date,volume,open,high,low,close,MACD,RSI
2020-10-27,16159838.29,0.77,4.8,0.77,1.3644,0.0,
2020-10-28,6727531.82,1.3582,1.3876,0.88,0.9965,-0.03,
2020-10-29,7302733.98,0.9965,1.185,0.7822,0.9967,-0.05,
2020-10-30,3805578.55,0.9968,1.0709,0.8,0.8818,-0.08,
2020-10-31,1092528.51,0.8816,0.9372,0.8334,0.8645,-0.1,
2020-11-01,1837288.18,0.8637,0.8849,0.773,0.8296,-0.12,
2020-11-02,2962241.96,0.8308,0.86,0.7701,0.847,-0.13,
2020-11-03,8002521.32,0.847,0.9,0.6901,0.7491,-0.14,
2020-11-04,3143362.84,0.7576,0.7632,0.7207,0.747,-0.16,
2020-11-05,2887717.71,0.7501,0.77,0.7063,0.7603,-0.16,
2020-11-06,3805217.67,0.7572,0.8398,0.7001,0.78,-0.16,
2020-11-07,4774610.65,0.78,0.86,0.74,0.7933,-0.16,
2020-11-08,4538974.9,0.7893,0.8967,0.7612,0.8358,-0.15,
2020-11-09,4242409.25,0.8353,0.994,0.788,0.8959,-0.14,
2020-11-10,2903930.21,0.8965,0.9492,0.87,0.9269,-0.13,23.72
2020-11-11,1106026.92,0.9269,0.9496,0.8818,0.902,-0.12,40.35
2020-11-12,1297966.2,0.9019,0.98,0.881,0.9246,-0.11,42.96
2020-11-13,2320871.14,0.9227,1.0431,0.919,1.0417,-0.09,65.55
2020-11-14,3691506.23,1.0405,1.0797,0.9433,1.0487,-0.07,68.28
2020-11-15,3681184.76,1.0463,1.2985,1.0063,1.2116,-0.04,80.23
2020-11-16,6722612.62,1.212,1.3499,1.1227,1.2225,-0.02,80.03
2020-11-17,4662941.11,1.2251,1.27,1.083,1.1683,-0.01,86.04
2020-11-18,4914606.26,1.1682,1.1803,0.9944,1.147,0.0,83.29
2020-11-19,5736334.33,1.147,1.3246,1.113,1.1592,0.01,83.26
2020-11-20,5594292.97,1.159,1.4199,1.1243,1.3578,0.03,87.11
2020-11-21,5063130.31,1.3578,1.461,1.2271,1.3595,0.05,86.91
2020-11-22,3666131.87,1.362,1.4,1.0884,1.1664,0.05,68.01
2020-11-23,3263898.76,1.1664,1.2599,1.1359,1.1938,0.05,66.83
2020-11-24,3229453.77,1.1946,1.2298,1.0465,1.1272,0.04,60.88
2020-11-25,2508414.79,1.1261,1.1774,1.0932,1.1297,0.03,62.68
2020-11-26,2612807.64,1.1298,1.1499,0.9,1.0503,0.02,56.58
2020-11-27,1873342.86,1.0562,1.0888,0.9718,1.0048,0.01,47.91
2020-11-28,1959681.52,1.0048,1.0949,0.9976,1.0248,0.0,48.67
2020-11-29,1366228.35,1.0248,1.19,1.011,1.187,0.01,48.63
2020-11-30,1605006.58,1.1871,1.1977,1.0964,1.136,0.01,45.38
2020-12-01,4296140.26,1.1361,1.2874,1.07,1.1812,0.01,50.7
2020-12-02,4454303.3,1.184,1.31,1.157,1.2362,0.02,54.64
2020-12-03,5026739.74,1.235,1.3599,1.2016,1.247,0.03,54.58
2020-12-04,5039249.97,1.2466,1.3053,1.0121,1.033,0.02,33.33
2020-12-05,2799315.55,1.0313,1.1049,1.0,1.0581,0.01,34.9
2020-12-06,1981578.12,1.0581,1.09,1.012,1.0272,-0.0,41.67
2020-12-07,2893582.1,1.028,1.1203,1.016,1.0807,-0.0,43.44
2020-12-08,8638069.93,1.081,1.2953,1.0303,1.167,0.0,52.26
2020-12-09,6920928.07,1.167,1.1995,1.046,1.1383,0.0,50.47
2020-12-10,4228151.61,1.137,1.1865,1.059,1.0832,0.0,51.86
2020-12-11,5138400.96,1.0838,1.0863,0.9487,0.9638,-0.01,47.86
2020-12-12,2599010.05,0.9638,1.0266,0.9606,0.9911,-0.02,48.25
2020-12-13,2832691.43,0.9911,1.0263,0.9552,0.993,-0.02,37.94
2020-12-14,1564551.04,0.9929,0.9948,0.955,0.9813,-0.03,39.89
2020-12-15,1568153.2,0.9812,0.9961,0.9581,0.9761,-0.03,35.85
2020-12-16,3642489.11,0.9761,1.0551,0.9631,0.9921,-0.03,32.21
2020-12-17,3982262.13,0.9922,1.0523,0.9745,1.0146,-0.03,33.34
2020-12-18,4146425.29,1.0159,1.1,0.9825,1.0232,-0.03,49.0
2020-12-19,11554044.36,1.0232,1.194,0.983,1.0188,-0.03,45.83
2020-12-20,3121388.39,1.0188,1.02,0.9141,0.9275,-0.04,40.63
2020-12-21,4088082.87,0.9275,0.9727,0.8101,0.864,-0.04,30.01
2020-12-22,2371283.34,0.864,0.9469,0.8332,0.9312,-0.05,27.45
2020-12-23,8560384.79,0.9312,1.08,0.8101,0.8426,-0.05,24.63
2020-12-24,2148371.3,0.8404,0.8686,0.7851,0.8657,-0.06,30.25
2020-12-25,1585285.91,0.8655,0.8838,0.7947,0.8192,-0.06,34.87
2020-12-26,10778150.66,0.8176,1.076,0.78,0.804,-0.07,29.91
2020-12-27,4600136.01,0.804,0.8519,0.785,0.8041,-0.07,29.64
2020-12-28,4251024.38,0.8049,0.8563,0.8004,0.8239,-0.07,33.33
2020-12-29,5208711.08,0.8245,0.8615,0.8,0.8278,-0.07,34.25
2020-12-30,4390969.92,0.8277,0.8458,0.7951,0.8454,-0.07,34.47
2020-12-31,2205934.55,0.8456,0.8616,0.8145,0.8485,-0.06,31.66
2021-01-01,1304225.6,0.8482,0.9099,0.8368,0.8697,-0.06,33.51
2021-01-02,1397798.8,0.8697,0.9278,0.8457,0.8754,-0.05,34.64
2021-01-03,1930917.67,0.8757,0.93,0.8632,0.9254,-0.04,49.75
2021-01-04,5840350.69,0.9257,1.0789,0.8706,0.9786,-0.03,63.8
2021-01-05,16460070.89,0.9786,1.3012,0.8792,0.9178,-0.03,48.36
2021-01-06,12613469.18,0.918,0.9997,0.9024,0.9446,-0.02,64.7
2021-01-07,11607424.45,0.9446,0.9725,0.8323,0.9006,-0.02,54.74
2021-01-08,5273795.77,0.9006,0.9199,0.848,0.9026,-0.02,62.89
2021-01-09,4652917.32,0.9025,0.9571,0.8755,0.9208,-0.02,67.89
2021-01-10,5922695.02,0.9209,0.985,0.87,0.9133,-0.01,66.36
2021-01-11,5757859.72,0.914,0.9164,0.793,0.869,-0.02,56.29
2021-01-12,4052494.92,0.8686,0.9069,0.8349,0.8894,-0.02,58.22
2021-01-13,2409112.42,0.8893,0.96,0.8652,0.9473,-0.01,62.27
2021-01-14,1835305.64,0.947,1.01,0.9261,0.999,-0.0,66.23
2021-01-15,2531534.98,0.999,1.0225,0.934,1.008,0.0,65.32
2021-01-16,2554005.98,1.0082,1.1052,0.9864,1.0437,0.01,67.48
2021-01-17,2090720.66,1.0436,1.143,0.987,1.11,0.02,68.54
2021-01-18,3562447.12,1.1105,1.1815,1.0218,1.1809,0.04,69.62
2021-01-19,1875495.26,1.1799,1.182,1.09,1.0933,0.04,66.18
2021-01-20,2804138.38,1.0936,1.29,1.0094,1.236,0.06,72.14
2021-01-21,26893632.58,1.2363,1.575,0.91,0.9264,0.04,51.4
2021-01-22,29666908.43,0.9325,1.05,0.86,0.9901,0.04,54.44
2021-01-23,8441723.35,0.9903,1.0478,0.96,1.0039,0.03,54.24
2021-01-24,8108500.08,1.0039,1.0718,0.9765,1.0198,0.03,55.38
2021-01-25,8043217.45,1.0196,1.0343,0.9092,0.9324,0.02,53.07
2021-01-26,3981911.8,0.9334,0.97,0.9049,0.9442,0.01,52.68
2021-01-27,14312377.27,0.9442,0.9445,0.81,0.8828,0.0,46.86
2021-01-28,5438841.59,0.8829,0.9576,0.8588,0.9395,-0.0,47.12
2021-01-29,6447611.69,0.9394,0.949,0.8578,0.9011,-0.01,44.97
2021-01-30,4658412.54,0.9007,0.9354,0.8787,0.9188,-0.01,44.02
2021-01-31,4612526.02,0.919,0.9647,0.8901,0.9186,-0.01,40.21
2021-02-01,5410214.61,0.9186,0.9989,0.8953,0.9784,-0.01,39.53
2021-02-02,4902904.43,0.9783,1.0329,0.957,0.9818,-0.01,43.68
2021-02-03,5404286.28,0.9815,1.0431,0.9772,1.0196,-0.0,36.09
2021-02-04,6505124.36,1.0196,1.0391,0.9214,1.0,0.0,57.55
2021-02-05,8636241.79,0.9999,1.25,0.9999,1.1998,0.02,66.81
2021-02-06,5411700.77,1.1998,1.22,1.05,1.166,0.03,62.59
2021-02-07,7243280.98,1.1664,1.32,1.1202,1.2601,0.05,66.64
2021-02-08,13009997.17,1.2594,1.84,1.2457,1.7246,0.1,86.04
2021-02-09,11310136.23,1.7257,1.9512,1.6358,1.792,0.14,86.71
2021-02-10,18178781.65,1.7908,2.4,1.7,2.2151,0.2,93.93
2021-02-11,7529478.43,2.2121,2.45,1.98,2.1098,0.24,87.39
2021-02-12,7462597.48,2.1131,2.5668,2.055,2.3092,0.29,90.79
2021-02-13,7898413.96,2.3125,2.566,2.1,2.3708,0.33,91.02
2021-02-14,5468540.56,2.3746,2.5,2.0046,2.0834,0.33,78.31
2021-02-15,9505463.43,2.0822,2.1487,1.4602,1.8867,0.31,70.7
2021-02-16,3264106.12,1.8867,2.0,1.7467,1.8647,0.29,69.95
2021-02-17,6238250.89,1.8664,2.33,1.6584,2.1934,0.3,73.44
2021-02-18,5196749.28,2.1967,2.3333,2.018,2.2387,0.31,74.49
2021-02-19,6834306.4,2.2407,2.7,2.1109,2.6942,0.34,76.83
2021-02-20,6167758.85,2.6948,2.73,1.8649,2.1102,0.32,64.16
2021-02-21,5056013.84,2.1102,2.2891,2.0,2.1177,0.3,63.2
2021-02-22,6524223.5,2.1192,2.1263,1.5,1.9219,0.27,53.31
