date,volume,open,high,low,close,MACD,RSI
2019-08-27,862063.0,0.048,0.04998,0.04512,0.04608,0.0,
2019-08-28,959452.6,0.04608,0.04875,0.0401,0.04063,-0.0,
2019-08-29,1102846.6,0.04078,0.04347,0.03781,0.04125,-0.0,
2019-08-30,3979079.2,0.04125,0.0479,0.04,0.0422,-0.0,
2019-08-31,566437.1,0.04204,0.04227,0.03981,0.04075,-0.0,
2019-09-01,236552.4,0.04167,0.04167,0.0395,0.0411,-0.0,
2019-09-02,1043043.1,0.04125,0.04231,0.03964,0.04139,-0.0,
2019-09-03,411062.8,0.04139,0.04199,0.04075,0.04194,-0.0,
2019-09-04,1082448.8,0.04135,0.04806,0.04121,0.0421,-0.0,
2019-09-05,678847.9,0.0421,0.04219,0.03904,0.0404,-0.0,
2019-09-06,581028.1,0.0404,0.04045,0.03732,0.03902,-0.0,
2019-09-07,617833.0,0.03902,0.0422,0.03808,0.04137,-0.0,
2019-09-08,468937.4,0.04137,0.04495,0.03955,0.04188,-0.0,
2019-09-09,3451569.5,0.04185,0.04997,0.04185,0.04475,-0.0,
2019-09-10,1124127.0,0.04415,0.04464,0.04102,0.04227,-0.0,40.98
2019-09-11,1588675.4,0.04235,0.0459,0.04181,0.04499,-0.0,61.86
2019-09-12,1775709.3,0.04498,0.0469,0.04263,0.04366,-0.0,56.31
2019-09-13,269963.3,0.04366,0.04436,0.0414,0.04231,-0.0,50.28
2019-09-14,266733.1,0.04229,0.04458,0.04124,0.04307,-0.0,56.17
2019-09-15,316616.7,0.0429,0.046,0.04232,0.04447,-0.0,58.49
2019-09-16,310813.7,0.04446,0.04502,0.04182,0.04318,-0.0,54.29
2019-09-17,659830.8,0.04313,0.0449,0.04155,0.04274,-0.0,51.93
2019-09-18,1673728.1,0.04274,0.051,0.04274,0.04582,-0.0,57.86
2019-09-19,499574.6,0.04582,0.04582,0.04182,0.04358,0.0,56.57
2019-09-20,376874.1,0.04404,0.048,0.04301,0.04557,0.0,63.2
2019-09-21,168313.2,0.04557,0.04597,0.04376,0.0445,0.0,56.65
2019-09-22,657531.2,0.0445,0.04775,0.04429,0.04662,0.0,59.43
2019-09-23,387694.0,0.04662,0.04694,0.04168,0.04213,0.0,45.1
2019-09-24,1284266.4,0.04204,0.04501,0.03375,0.03489,-0.0,38.29
2019-09-25,428662.6,0.03494,0.03716,0.03348,0.03631,-0.0,35.64
2019-09-26,906835.6,0.03684,0.03962,0.0327,0.03598,-0.0,36.86
2019-09-27,689146.6,0.03547,0.03722,0.03407,0.03663,-0.0,40.04
2019-09-28,194094.7,0.03723,0.03777,0.03641,0.03728,-0.0,39.81
2019-09-29,439947.8,0.03728,0.03846,0.0341,0.03532,-0.0,34.21
2019-09-30,524203.8,0.03596,0.03682,0.03437,0.0364,-0.0,38.21
2019-10-01,374528.4,0.0364,0.03721,0.03596,0.0363,-0.0,38.67
2019-10-02,213867.7,0.03674,0.03811,0.03578,0.03811,-0.0,35.8
2019-10-03,833625.4,0.03762,0.0392,0.03674,0.03809,-0.0,38.99
2019-10-04,305761.4,0.03802,0.03917,0.0368,0.03879,-0.0,35.66
2019-10-05,2004465.8,0.03845,0.04352,0.0382,0.04313,-0.0,47.45
2019-10-06,1086343.0,0.04285,0.04294,0.03826,0.04013,-0.0,38.32
2019-10-07,3272131.5,0.04038,0.04595,0.04038,0.04221,-0.0,50.16
2019-10-08,921047.7,0.04221,0.04475,0.04098,0.04306,-0.0,71.51
2019-10-09,2002950.4,0.04276,0.0477,0.04026,0.04179,-0.0,64.54
2019-10-10,445671.0,0.04202,0.04283,0.04038,0.04222,0.0,66.47
2019-10-11,684857.6,0.04146,0.04204,0.03864,0.03983,-0.0,57.74
2019-10-12,309417.0,0.03946,0.042,0.03918,0.03996,-0.0,56.65
2019-10-13,215800.8,0.04012,0.04096,0.03876,0.03948,-0.0,61.13
2019-10-14,503428.2,0.03948,0.04192,0.03898,0.0415,-0.0,63.0
2019-10-15,1081383.3,0.0415,0.04329,0.03893,0.03972,-0.0,58.03
2019-10-16,457083.7,0.03912,0.0399,0.0367,0.038,-0.0,49.74
2019-10-17,200619.5,0.038,0.03903,0.03682,0.03903,-0.0,52.12
2019-10-18,373886.7,0.03898,0.03898,0.0368,0.03744,-0.0,47.08
2019-10-19,304785.4,0.03702,0.03894,0.03683,0.03795,-0.0,36.57
2019-10-20,476997.0,0.03789,0.03966,0.03739,0.0386,-0.0,45.48
2019-10-21,398075.9,0.0386,0.0395,0.038,0.03879,-0.0,38.63
2019-10-22,1494274.2,0.03879,0.04112,0.03853,0.04024,-0.0,40.98
2019-10-23,1759641.8,0.04024,0.04148,0.03522,0.03681,-0.0,36.01
2019-10-24,864825.4,0.03681,0.03789,0.03654,0.03763,-0.0,37.38
2019-10-25,1486092.4,0.03763,0.04,0.03629,0.03975,-0.0,49.78
2019-10-26,877502.9,0.03975,0.04383,0.03829,0.03988,-0.0,49.78
2019-10-27,923753.1,0.03988,0.04499,0.03938,0.04264,-0.0,57.82
2019-10-28,799223.3,0.04288,0.04489,0.04141,0.043,0.0,54.05
2019-10-29,495731.8,0.043,0.04439,0.04188,0.04326,0.0,60.4
2019-10-30,556464.4,0.0433,0.04359,0.04079,0.04124,0.0,59.35
2019-10-31,611511.1,0.04184,0.04396,0.03977,0.04189,0.0,58.44
2019-11-01,468594.4,0.04177,0.04386,0.04145,0.04332,0.0,67.52
2019-11-02,544051.8,0.0433,0.04373,0.04142,0.0426,0.0,63.68
2019-11-03,1001387.8,0.04258,0.04535,0.04194,0.04291,0.0,62.94
2019-11-04,626839.0,0.043,0.04365,0.04221,0.0434,0.0,63.6
2019-11-05,2028256.7,0.04363,0.0477,0.04363,0.04375,0.0,61.07
2019-11-06,1242164.4,0.04375,0.04422,0.04293,0.04362,0.0,77.13
2019-11-07,878893.2,0.04362,0.0438,0.04086,0.04233,0.0,68.05
2019-11-08,362655.0,0.04201,0.04218,0.03879,0.0401,0.0,51.33
2019-11-09,586792.7,0.04037,0.04126,0.03996,0.04041,0.0,51.99
2019-11-10,679422.7,0.04007,0.04137,0.03971,0.04084,0.0,41.8
2019-11-11,266261.5,0.04087,0.04124,0.03907,0.0401,0.0,37.24
2019-11-12,821480.6,0.03975,0.04172,0.03923,0.04003,0.0,35.54
2019-11-13,401726.9,0.04003,0.04041,0.03951,0.04023,-0.0,44.6
2019-11-14,253659.8,0.04001,0.04016,0.03866,0.03941,-0.0,36.97
2019-11-15,284843.5,0.0394,0.0399,0.03824,0.03903,-0.0,24.68
2019-11-16,80773.0,0.03848,0.03926,0.0384,0.03862,-0.0,25.61
2019-11-17,1047654.3,0.03862,0.04389,0.03823,0.03937,-0.0,29.42
2019-11-18,748896.6,0.03909,0.0395,0.0375,0.03751,-0.0,20.46
2019-11-19,577712.2,0.03799,0.03799,0.0355,0.03664,-0.0,16.11
2019-11-20,227976.8,0.03634,0.03684,0.03545,0.03574,-0.0,15.01
2019-11-21,742261.8,0.03574,0.0365,0.03149,0.03321,-0.0,13.52
2019-11-22,2513870.8,0.03321,0.0341,0.02716,0.02936,-0.0,11.97
2019-11-23,1638560.6,0.02919,0.02936,0.02725,0.02918,-0.0,9.86
2019-11-24,710454.3,0.02921,0.02921,0.02588,0.02722,-0.0,6.12
2019-11-25,1505717.0,0.02769,0.02773,0.02356,0.02706,-0.0,6.36
2019-11-26,1653776.1,0.02705,0.02857,0.02641,0.0284,-0.0,14.13
2019-11-27,2906917.5,0.02857,0.03203,0.0273,0.02895,-0.0,15.94
2019-11-28,1307448.5,0.02916,0.0301,0.02837,0.02879,-0.0,16.6
2019-11-29,893566.6,0.02886,0.03073,0.02846,0.02973,-0.0,21.75
2019-11-30,2017802.8,0.02973,0.03222,0.02783,0.0281,-0.0,20.25
2019-12-01,1255788.2,0.02809,0.02822,0.0264,0.02765,-0.0,16.28
2019-12-02,459851.5,0.02764,0.02797,0.02694,0.02719,-0.0,17.71
2019-12-03,566973.4,0.02719,0.02797,0.02706,0.02777,-0.0,21.73
2019-12-04,1063029.1,0.02777,0.02872,0.02602,0.02612,-0.0,20.74
2019-12-05,575572.2,0.02609,0.02654,0.02542,0.02604,-0.0,24.37
2019-12-06,993501.3,0.02602,0.02672,0.02553,0.0265,-0.0,36.51
2019-12-07,1022994.6,0.0265,0.02744,0.02596,0.02683,-0.0,39.07
2019-12-08,1397294.3,0.02682,0.02826,0.02625,0.02747,-0.0,51.33
2019-12-09,1033206.8,0.02749,0.02793,0.02603,0.02647,-0.0,47.13
2019-12-10,1318637.7,0.0262,0.02648,0.02307,0.02378,-0.0,30.12
2019-12-11,1681750.9,0.0239,0.02569,0.02372,0.02527,-0.0,35.35
2019-12-12,1652433.4,0.02535,0.0257,0.0232,0.02358,-0.0,31.51
2019-12-13,1250993.7,0.0238,0.02424,0.02345,0.02347,-0.0,26.4
2019-12-14,1468220.9,0.0236,0.0242,0.02199,0.02299,-0.0,28.9
2019-12-15,490667.7,0.02255,0.02317,0.02192,0.02281,-0.0,29.56
2019-12-16,2780484.5,0.02278,0.0229,0.02013,0.02074,-0.0,26.02
2019-12-17,2109777.3,0.02072,0.02074,0.01791,0.01802,-0.0,18.73
2019-12-18,1986220.5,0.01828,0.0196,0.01688,0.01942,-0.0,28.16
2019-12-19,1626253.7,0.01942,0.01968,0.01821,0.01847,-0.0,26.65
2019-12-20,1978778.1,0.0185,0.02018,0.01814,0.01997,-0.0,31.07
2019-12-21,1554394.4,0.0198,0.01995,0.0184,0.01866,-0.0,27.59
2019-12-22,1125296.5,0.01866,0.01879,0.01796,0.01844,-0.0,24.65
2019-12-23,850939.7,0.01823,0.01844,0.01701,0.01741,-0.0,24.61
2019-12-24,586861.5,0.01737,0.01816,0.01711,0.0175,-0.0,29.4
2019-12-25,449743.8,0.01753,0.01763,0.01689,0.0174,-0.0,21.59
2019-12-26,2495025.2,0.01747,0.0185,0.01699,0.01759,-0.0,25.75
2019-12-27,836860.4,0.01756,0.0177,0.01681,0.01747,-0.0,25.73
2019-12-28,3705554.8,0.01747,0.01912,0.01729,0.0186,-0.0,33.13
2019-12-29,20306886.6,0.0186,0.02187,0.01844,0.02082,-0.0,43.39
2019-12-30,4706012.2,0.02099,0.02173,0.01935,0.02009,-0.0,47.63
2019-12-31,3670255.8,0.02007,0.0201,0.01803,0.01826,-0.0,50.94
2020-01-01,2667984.5,0.01806,0.01821,0.01766,0.01799,-0.0,43.88
2020-01-02,6277952.7,0.01799,0.02029,0.01729,0.01946,-0.0,54.05
2020-01-03,6851234.0,0.01966,0.021,0.01873,0.01943,-0.0,47.49
2020-01-04,2612215.4,0.01943,0.0198,0.01898,0.01973,-0.0,55.5
2020-01-05,4937276.5,0.01955,0.01983,0.01861,0.01864,-0.0,50.94
2020-01-06,3996035.1,0.01884,0.02,0.01828,0.01998,-0.0,61.78
2020-01-07,3169982.2,0.01991,0.02004,0.01845,0.0189,-0.0,55.88
2020-01-08,3395750.8,0.01889,0.01915,0.01755,0.01814,-0.0,52.95
2020-01-09,864936.5,0.01802,0.0185,0.01761,0.01777,-0.0,50.71
2020-01-10,1024911.1,0.01777,0.01801,0.01732,0.0177,-0.0,50.91
2020-01-11,2228687.0,0.01767,0.0191,0.01748,0.01842,-0.0,49.27
2020-01-12,9647532.0,0.01841,0.02162,0.0184,0.02093,-0.0,50.44
2020-01-13,2829539.7,0.02093,0.02122,0.01928,0.01954,-0.0,47.92
2020-01-14,11399079.7,0.01954,0.01974,0.01854,0.01904,-0.0,53.28
2020-01-15,7041688.7,0.01895,0.02085,0.0188,0.0203,-0.0,58.96
2020-01-16,3371088.4,0.02033,0.0211,0.01924,0.01988,-0.0,51.77
2020-01-17,6935302.2,0.01988,0.0226,0.01963,0.02133,-0.0,57.16
2020-01-18,3758275.5,0.02137,0.02184,0.0205,0.02158,-0.0,57.0
2020-01-19,3350379.1,0.02154,0.02195,0.01952,0.0201,-0.0,55.37
2020-01-20,841183.0,0.02012,0.02028,0.0197,0.02019,-0.0,50.85
2020-01-21,7503513.2,0.02018,0.02494,0.01995,0.02351,0.0,65.8
2020-01-22,22553268.0,0.0235,0.02607,0.02253,0.02359,0.0,69.59
2020-01-23,5606189.3,0.02367,0.02391,0.022,0.02223,0.0,64.97
2020-01-24,2862145.5,0.02223,0.02234,0.02105,0.02194,0.0,64.02
2020-01-25,1924312.7,0.0218,0.02185,0.02086,0.02133,0.0,59.69
2020-01-26,870984.7,0.02133,0.02177,0.02126,0.0217,0.0,52.99
2020-01-27,1367277.8,0.02174,0.022,0.02115,0.02169,0.0,59.36
2020-01-28,5302496.3,0.02187,0.02358,0.02168,0.0222,0.0,63.74
2020-01-29,2929810.6,0.02237,0.02288,0.0219,0.02239,0.0,60.02
2020-01-30,3804966.2,0.02238,0.02471,0.02199,0.02411,0.0,68.03
2020-01-31,10619738.1,0.02409,0.02593,0.02336,0.02555,0.0,68.0
2020-02-01,4291487.7,0.02545,0.026,0.02432,0.02581,0.0,68.03
2020-02-02,13972241.0,0.02567,0.03057,0.0253,0.02736,0.0,80.76
2020-02-03,7258651.1,0.02755,0.02924,0.02607,0.02651,0.0,75.16
2020-02-04,7305298.6,0.02666,0.0295,0.02642,0.02883,0.0,73.01
2020-02-05,8327575.4,0.02882,0.02969,0.02725,0.02885,0.0,72.87
2020-02-06,5946300.9,0.02885,0.0296,0.02832,0.02896,0.0,82.83
2020-02-07,7489028.4,0.02896,0.03332,0.02888,0.03161,0.0,88.34
2020-02-08,4636510.7,0.03161,0.03254,0.02958,0.03069,0.0,86.22
2020-02-09,3954723.6,0.03067,0.03122,0.02866,0.03102,0.0,86.18
2020-02-10,7497372.8,0.0311,0.03327,0.02871,0.03186,0.0,87.09
2020-02-11,9935616.0,0.03207,0.03528,0.03026,0.03404,0.0,88.49
2020-02-12,7483571.6,0.03411,0.0357,0.03332,0.03425,0.0,88.51
2020-02-13,5330063.3,0.03418,0.03466,0.0311,0.03244,0.0,76.89
2020-02-14,4229815.4,0.03244,0.03541,0.03169,0.03405,0.0,77.14
2020-02-15,11876780.5,0.03422,0.03995,0.03296,0.03637,0.0,79.8
