date,volume,open,high,low,close,MACD,RSI
2023-08-15,12137133.35,1.44,17.79,1.44,4.687,0.0,
2023-08-16,9504717.98,4.688,5.29,4.02,4.296,-0.03,
2023-08-17,3936463.44,4.296,4.38,3.705,3.872,-0.09,
2023-08-18,10918502.38,3.874,5.1,3.864,4.45,-0.09,
2023-08-19,3549718.65,4.449,4.67,4.011,4.041,-0.12,
2023-08-20,4901013.77,4.034,4.78,4.0,4.516,-0.1,
2023-08-21,9985756.46,4.516,5.07,4.12,4.894,-0.06,
2023-08-22,17816539.36,4.895,5.47,4.146,4.313,-0.07,
2023-08-23,8879066.54,4.312,4.473,3.688,4.108,-0.09,
2023-08-24,4609754.35,4.11,4.12,3.738,3.89,-0.13,
2023-08-25,5052663.51,3.889,3.932,3.526,3.647,-0.18,
2023-08-26,5238310.83,3.647,3.868,3.53,3.698,-0.21,
2023-08-27,6533631.27,3.697,3.921,3.669,3.808,-0.22,
2023-08-28,2332600.4,3.808,3.809,3.566,3.655,-0.24,
2023-08-29,30088819.26,3.655,8.22,3.584,7.16,0.03,66.01
2023-08-30,35005924.1,7.174,8.989,6.602,8.691,0.36,74.8
2023-08-31,16376976.26,8.679,9.65,7.941,8.56,0.61,77.36
2023-09-01,35614513.43,8.561,16.2,8.365,11.617,1.03,82.44
2023-09-02,42714411.92,11.632,14.3,6.533,7.181,1.0,60.42
2023-09-03,14687583.86,7.179,7.75,6.562,6.806,0.94,57.65
2023-09-04,12071424.45,6.807,7.46,6.026,6.203,0.83,54.31
2023-09-05,6896782.28,6.204,6.218,5.618,5.851,0.71,55.14
2023-09-06,9039559.49,5.848,6.473,5.752,6.076,0.62,56.56
2023-09-07,4049270.8,6.076,6.243,5.819,5.925,0.53,56.82
2023-09-08,5793065.34,5.927,6.138,5.217,5.461,0.42,55.99
2023-09-09,3098939.2,5.463,5.547,5.21,5.249,0.31,55.07
2023-09-10,4101341.96,5.249,5.32,4.787,4.902,0.2,53.52
2023-09-11,18148589.36,4.904,5.725,4.52,5.495,0.15,55.76
2023-09-12,8646478.94,5.496,5.645,4.967,4.997,0.07,41.66
2023-09-13,5038129.31,4.998,5.105,4.777,4.941,0.01,33.7
2023-09-14,8108790.12,4.941,5.313,4.817,5.061,-0.04,34.77
2023-09-15,5370315.96,5.063,5.533,4.908,5.483,-0.03,15.36
2023-09-16,5843985.52,5.482,5.61,5.201,5.311,-0.05,29.63
2023-09-17,3924084.89,5.311,5.311,4.824,4.922,-0.09,29.54
2023-09-18,4469760.81,4.924,5.13,4.735,4.936,-0.12,34.22
2023-09-19,2891732.53,4.934,5.22,4.885,5.138,-0.12,40.78
2023-09-20,12396111.58,5.138,6.034,5.09,5.826,-0.07,47.11
2023-09-21,4792910.22,5.826,5.869,5.056,5.121,-0.09,41.77
2023-09-22,2043549.25,5.121,5.232,5.01,5.104,-0.1,45.98
2023-09-23,1911053.28,5.104,5.183,4.9,5.053,-0.11,47.71
2023-09-24,2227004.46,5.053,5.139,4.984,5.009,-0.12,51.35
2023-09-25,2272248.36,5.007,5.111,4.923,5.044,-0.13,43.39
2023-09-26,3243223.35,5.045,5.296,5.005,5.225,-0.12,53.68
2023-09-27,2248655.66,5.224,5.285,5.0,5.088,-0.12,52.31
2023-09-28,1938190.56,5.087,5.249,5.041,5.178,-0.11,51.86
2023-09-29,1590030.93,5.176,5.23,5.05,5.126,-0.1,43.57
2023-09-30,3211158.29,5.127,5.448,5.107,5.199,-0.09,47.91
2023-10-01,2704013.88,5.199,5.459,5.175,5.416,-0.07,59.86
2023-10-02,2898070.13,5.417,5.494,4.9,5.105,-0.07,53.01
2023-10-03,1247834.34,5.108,5.151,4.95,5.004,-0.08,47.52
2023-10-04,1621663.57,5.003,5.003,4.58,4.889,-0.1,27.99
2023-10-05,1654974.99,4.89,4.978,4.793,4.811,-0.12,39.68
2023-10-06,982179.8,4.812,4.955,4.812,4.906,-0.12,43.73
2023-10-07,3715871.98,4.907,5.261,4.905,5.1,-0.11,51.36
2023-10-08,2258877.62,5.097,5.183,4.906,4.945,-0.11,48.26
2023-10-09,2128352.62,4.945,5.033,4.558,4.687,-0.13,41.32
2023-10-10,1934099.08,4.688,4.709,4.454,4.54,-0.16,33.07
2023-10-11,1525656.01,4.541,4.575,4.335,4.467,-0.18,34.15
2023-10-12,1667410.27,4.463,4.655,4.421,4.565,-0.19,34.42
2023-10-13,1210668.14,4.565,4.616,4.472,4.546,-0.2,35.01
2023-10-14,977158.73,4.547,4.612,4.498,4.51,-0.2,31.84
2023-10-15,1110756.37,4.51,4.549,4.409,4.426,-0.21,21.94
2023-10-16,1599302.37,4.426,4.684,4.422,4.55,-0.21,32.4
2023-10-17,1655465.75,4.55,4.554,4.104,4.141,-0.23,27.11
2023-10-18,1741650.78,4.141,4.312,4.01,4.184,-0.25,30.56
2023-10-19,1716634.93,4.183,4.321,4.018,4.074,-0.26,30.03
2023-10-20,1659868.94,4.073,4.229,4.063,4.188,-0.26,30.74
2023-10-21,1244972.86,4.188,4.326,4.185,4.285,-0.25,26.94
2023-10-22,1276547.0,4.287,4.375,4.176,4.27,-0.25,29.26
2023-10-23,2674258.24,4.27,4.571,4.244,4.554,-0.21,45.98
2023-10-24,4153127.64,4.554,4.957,4.47,4.772,-0.17,56.73
2023-10-25,22536534.66,4.776,6.541,4.702,6.282,-0.01,78.71
2023-10-26,11250650.01,6.285,6.865,5.762,6.307,0.12,78.21
2023-10-27,3409152.94,6.311,6.349,5.854,5.992,0.19,71.37
2023-10-28,2977506.04,5.993,6.496,5.972,6.084,0.25,72.88
2023-10-29,2887784.82,6.084,6.52,5.978,6.081,0.3,74.64
2023-10-30,3100208.12,6.086,6.474,6.038,6.378,0.35,75.88
2023-10-31,11498431.75,6.378,7.694,6.22,7.117,0.45,88.53
2023-11-01,6888861.71,7.122,7.187,5.95,6.414,0.47,74.66
2023-11-02,4208083.79,6.414,6.867,6.011,6.126,0.45,71.83
2023-11-03,2735471.18,6.125,6.16,5.646,5.834,0.41,66.87
2023-11-04,2721114.12,5.837,6.156,5.775,6.03,0.39,67.53
2023-11-05,3071341.05,6.032,6.399,5.862,6.019,0.37,67.58
2023-11-06,2313152.25,6.022,6.273,5.85,6.188,0.36,66.82
2023-11-07,8504221.48,6.185,6.99,6.006,6.398,0.37,66.76
