date,volume,open,high,low,close,MACD,RSI
2021-11-04,253270565.0,0.023,16.79999,0.023,3.30427,0.0,
2021-11-05,63669516.0,3.30427,3.42565,2.5,2.59758,-0.06,
2021-11-06,30882202.0,2.59824,2.83468,2.178,2.2,-0.13,
2021-11-07,16428814.0,2.2,2.3645,2.05,2.07632,-0.2,
2021-11-08,21982518.0,2.07578,2.07633,1.81173,1.91982,-0.26,
2021-11-09,16667851.0,1.92116,2.10402,1.85,1.85301,-0.31,
2021-11-10,28448768.0,1.85301,2.262,1.85,1.96255,-0.34,
2021-11-11,8345513.0,1.96688,2.02999,1.865,1.88187,-0.37,
2021-11-12,10459569.0,1.88187,1.89098,1.68492,1.77922,-0.39,
2021-11-13,113516656.0,1.77922,2.85,1.76,2.29207,-0.36,
2021-11-14,22783103.0,2.29571,2.3144,2.0615,2.13265,-0.35,
2021-11-15,15613112.0,2.13265,2.3459,1.96,1.97645,-0.35,
2021-11-16,11709627.0,1.97649,2.06548,1.76,1.90935,-0.35,
2021-11-17,56051536.0,1.90717,2.67,1.90082,2.25166,-0.32,
2021-11-18,42465942.0,2.25166,2.575,2.086,2.40728,-0.28,35.71
2021-11-19,63976144.0,2.40504,3.02541,2.27244,2.51025,-0.23,48.28
2021-11-20,110639996.0,2.51043,3.77197,2.43,3.32997,-0.13,69.11
2021-11-21,130081761.0,3.32702,4.57819,3.01,3.1382,-0.07,67.56
2021-11-22,51712315.0,3.14697,3.434,2.75,2.8699,-0.04,65.15
2021-11-23,62962023.0,2.8653,3.63996,2.8653,3.37357,0.03,71.28
2021-11-24,71015319.0,3.37361,4.5,3.25,4.16525,0.14,75.88
2021-11-25,76277746.0,4.16522,4.89,3.55,3.91483,0.21,72.97
2021-11-26,49902786.0,3.91669,4.39,3.03,3.2819,0.21,65.16
2021-11-27,22737711.0,3.28223,3.42,2.95011,3.10383,0.19,58.78
2021-11-28,57874414.0,3.10382,3.7653,2.8,3.64082,0.22,65.09
2021-11-29,48570612.0,3.64082,4.17243,3.45425,3.45495,0.23,64.7
2021-11-30,26463323.0,3.4567,3.675,3.22475,3.6294,0.24,66.75
2021-12-01,31959381.0,3.62407,3.891,3.22941,3.30007,0.22,60.23
2021-12-02,19336119.0,3.30008,3.39554,3.0,3.09335,0.19,56.63
2021-12-03,22806551.0,3.0923,3.3,2.8,2.8349,0.14,53.05
2021-12-04,28512533.0,2.83414,2.83564,1.81677,2.42354,0.07,40.79
2021-12-05,16218852.0,2.42232,2.4749,2.0972,2.16748,-0.01,40.26
2021-12-06,19691276.0,2.16748,2.34548,1.88,2.31083,-0.06,44.25
2021-12-07,14081029.0,2.31087,2.32423,2.07744,2.13344,-0.11,36.32
2021-12-08,46884758.0,2.13359,2.7696,2.08251,2.56328,-0.12,30.8
2021-12-09,29500302.0,2.56126,2.66936,2.2005,2.24681,-0.14,30.32
2021-12-10,14686588.0,2.24843,2.33458,2.11,2.11537,-0.17,34.39
2021-12-11,10550867.0,2.11306,2.25,2.06144,2.21533,-0.19,37.85
2021-12-12,15760103.0,2.2175,2.41868,2.18902,2.24938,-0.2,27.95
2021-12-13,17339496.0,2.24719,2.265,1.91944,1.97926,-0.22,27.22
2021-12-14,13670323.0,1.97863,2.07679,1.88788,1.95425,-0.24,22.89
2021-12-15,16461829.0,1.95282,2.07347,1.85222,2.04954,-0.24,28.1
2021-12-16,13280476.0,2.04955,2.19514,1.9937,2.00526,-0.25,29.8
2021-12-17,9074014.0,2.00528,2.03173,1.861,1.91148,-0.25,31.74
2021-12-18,6864935.0,1.9127,1.99414,1.89856,1.944,-0.25,38.85
2021-12-19,6545923.0,1.944,1.99292,1.88911,1.96232,-0.25,44.63
2021-12-20,37998396.0,1.96315,2.263,1.929,2.16364,-0.23,46.26
2021-12-21,18744139.0,2.16237,2.35,2.09688,2.27091,-0.2,53.62
2021-12-22,10886853.0,2.2709,2.27608,2.13226,2.14703,-0.19,36.94
2021-12-23,14118233.0,2.14751,2.314,2.032,2.27607,-0.16,51.04
2021-12-24,19855866.0,2.2771,2.51,2.26414,2.33651,-0.14,58.28
2021-12-25,25243705.0,2.33467,2.7542,2.33,2.7,-0.09,65.16
2021-12-26,12879003.0,2.69806,2.7,2.45643,2.52074,-0.06,57.78
2021-12-27,12435408.0,2.5207,2.70171,2.48478,2.53998,-0.04,68.78
2021-12-28,13025357.0,2.53998,2.54148,2.12,2.18785,-0.05,56.42
2021-12-29,6809320.0,2.18767,2.258,2.07,2.07823,-0.06,50.78
2021-12-30,6530653.0,2.07924,2.17925,2.0068,2.13114,-0.07,53.41
2021-12-31,6458523.0,2.13202,2.25599,2.07037,2.09633,-0.08,55.18
2022-01-01,6975647.0,2.09568,2.15213,2.01,2.09329,-0.08,54.25
2022-01-02,5885417.0,2.09652,2.17621,2.087,2.09213,-0.09,53.74
2022-01-03,4989357.0,2.09213,2.09902,2.03281,2.04569,-0.09,46.27
2022-01-04,7480702.0,2.04776,2.13589,1.98888,2.08325,-0.09,43.8
2022-01-05,13916399.0,2.083,2.1721,1.92127,1.98193,-0.1,44.46
2022-01-06,11797458.0,1.98193,2.02314,1.8463,1.90805,-0.11,37.18
2022-01-07,11621391.0,1.91019,1.92136,1.7,1.70953,-0.13,30.08
2022-01-08,6764983.0,1.71192,1.78713,1.55395,1.59831,-0.16,8.3
2022-01-09,5884460.0,1.59781,1.7358,1.59212,1.71828,-0.17,18.2
2022-01-10,9344583.0,1.71598,1.74309,1.47751,1.54133,-0.19,14.82
2022-01-11,5614650.0,1.54135,1.6126,1.51305,1.56586,-0.2,21.52
2022-01-12,6321341.0,1.56586,1.68818,1.53719,1.6814,-0.19,31.93
2022-01-13,5011961.0,1.6814,1.68198,1.53441,1.54263,-0.2,25.14
