date,volume,open,high,low,close,MACD,RSI
2019-03-28,2319.41987,90.0,98.89,88.0,95.74,0.0,
2019-03-29,3565.30155,95.74,98.19,94.91,98.13,0.19,
2019-03-30,3540.27743,98.3,101.0,95.5,100.78,0.55,
2019-03-31,11668.43675,100.58,110.89,99.61,110.7,1.62,
2019-04-01,16508.93631,110.5,120.06,107.71,112.97,2.61,
2019-04-02,15379.30754,113.28,125.84,111.03,123.69,4.22,
2019-04-03,26058.20443,123.5,139.1,118.38,123.43,5.41,
2019-04-04,8434.43214,123.78,131.65,119.02,122.87,6.24,
2019-04-05,5803.26085,122.87,134.24,122.87,132.78,7.6,
2019-04-06,4302.73303,132.84,137.83,128.01,130.93,8.44,
2019-04-07,4221.6208,130.55,135.33,130.11,135.11,9.33,
2019-04-08,5806.88245,135.17,137.85,128.67,135.3,9.94,
2019-04-09,3535.66865,135.2,135.52,128.84,131.4,9.99,
2019-04-10,4500.68937,131.32,133.38,126.43,129.74,9.79,
2019-04-11,7797.38187,129.73,129.84,113.2,122.3,8.92,72.94
2019-04-12,4715.41854,122.3,123.03,114.98,118.93,7.87,67.66
2019-04-13,1390.26356,118.72,119.84,117.11,119.1,6.98,66.24
2019-04-14,1796.90255,119.1,123.16,117.88,122.57,6.47,61.88
2019-04-15,2777.43757,122.57,123.78,115.04,118.56,5.68,55.41
2019-04-16,5110.50898,118.48,131.0,115.54,120.61,5.16,46.42
2019-04-17,2189.18509,120.5,122.33,118.44,120.08,4.65,46.13
2019-04-18,5542.19338,119.94,125.59,119.7,123.52,4.47,50.7
2019-04-19,3781.2912,123.54,123.82,119.45,122.11,4.17,35.84
2019-04-20,1741.75754,121.87,124.47,121.3,123.1,3.96,39.36
2019-04-21,3007.97153,123.27,123.72,117.22,121.19,3.61,29.85
2019-04-22,1540.87078,121.22,122.88,118.75,121.65,3.32,30.39
2019-04-23,1997.62099,122.15,125.38,117.05,117.05,2.69,29.79
2019-04-24,5968.04325,117.0,120.28,110.8,115.02,2.01,29.49
2019-04-25,4092.0347,115.45,118.0,106.91,108.89,0.96,30.6
2019-04-26,3136.99664,108.89,114.33,106.38,110.27,0.24,36.71
2019-04-27,1345.45349,110.27,111.43,108.76,110.01,-0.35,36.09
2019-04-28,1248.18569,110.01,111.48,108.88,110.73,-0.75,30.21
2019-04-29,3402.18252,110.72,111.5,106.77,107.72,-1.3,31.26
2019-04-30,1939.30731,107.72,111.71,106.93,110.98,-1.45,34.02
2019-05-01,3771.25114,111.04,119.41,110.98,116.47,-1.11,44.86
2019-05-02,5429.53051,116.95,118.9,114.9,117.13,-0.79,40.11
2019-05-03,5222.10447,116.41,121.57,115.65,120.71,-0.24,47.97
2019-05-04,5075.30245,121.09,123.91,116.58,120.22,0.16,45.76
2019-05-05,1224.0613,120.22,120.83,117.83,118.63,0.34,46.2
2019-05-06,2218.44901,118.51,122.36,116.26,120.53,0.63,48.4
2019-05-07,2895.70941,120.93,123.29,116.58,117.11,0.58,50.09
2019-05-08,1182.87689,116.88,118.71,115.0,117.69,0.58,54.11
2019-05-09,3298.32922,117.6,118.81,110.26,112.3,0.14,55.37
2019-05-10,2560.82801,112.37,115.94,111.09,112.92,-0.16,54.28
2019-05-11,7220.10121,112.92,126.3,111.77,122.83,0.4,65.78
2019-05-12,6405.02757,122.82,127.96,117.13,125.22,1.03,67.13
2019-05-13,9325.59123,125.22,136.38,124.23,130.51,1.93,75.57
2019-05-14,9125.49018,131.15,142.91,130.53,141.67,3.5,79.25
2019-05-15,9394.9463,141.67,155.46,140.77,154.14,5.69,81.68
2019-05-16,10560.85745,154.07,164.11,143.65,149.03,6.93,74.96
2019-05-17,11499.03441,149.03,150.06,126.97,139.49,7.07,63.44
2019-05-18,6740.10967,139.45,144.28,134.05,141.03,7.21,64.67
2019-05-19,13297.90897,140.54,176.74,140.24,172.14,9.73,76.64
2019-05-20,18171.7103,172.23,176.0,155.96,166.45,11.13,72.03
2019-05-21,11959.54869,166.39,168.99,159.03,165.71,12.05,73.93
2019-05-22,6338.88425,165.72,167.97,150.99,153.87,11.68,66.04
2019-05-23,7676.26041,153.87,156.14,145.61,154.06,11.28,69.41
2019-05-24,5761.6354,154.02,162.31,153.12,155.8,10.97,69.72
2019-05-25,2900.30815,155.8,160.19,153.02,156.02,10.62,66.76
2019-05-26,3384.98718,155.59,164.35,151.47,161.96,10.7,67.91
2019-05-27,7262.0323,161.67,169.86,160.95,165.79,10.95,67.44
2019-05-28,7023.78358,165.48,173.5,162.28,169.66,11.33,64.92
2019-05-29,5002.51712,169.17,175.15,160.44,168.27,11.38,58.54
2019-05-30,9088.32604,167.92,175.78,156.06,162.92,10.87,58.37
2019-05-31,4782.43585,163.0,166.36,157.01,165.99,10.59,67.32
2019-06-01,3160.6439,165.97,167.3,161.22,163.0,10.01,64.09
2019-06-02,3017.61798,163.0,167.76,161.8,165.09,9.61,42.8
2019-06-03,5019.09703,165.36,165.36,153.15,155.22,8.4,39.43
2019-06-04,8368.35424,155.12,160.34,130.0,143.83,6.45,32.85
2019-06-05,4328.75419,143.82,148.93,142.08,146.96,5.09,43.73
2019-06-06,4018.37758,146.65,149.22,138.36,143.18,3.67,40.73
2019-06-07,8526.29948,143.36,152.16,141.39,149.45,3.02,44.98
2019-06-08,1977.25395,148.45,150.01,142.63,144.94,2.11,41.79
2019-06-09,2899.99153,144.94,146.36,139.16,141.99,1.14,34.52
2019-06-10,7000.84822,141.68,151.33,140.23,150.17,1.02,38.65
2019-06-11,4293.71747,150.52,150.83,143.21,147.21,0.68,33.48
2019-06-12,3795.04067,147.21,158.1,146.02,155.83,1.09,41.72
2019-06-13,8330.87894,155.83,159.21,152.78,153.01,1.17,43.18
2019-06-14,4188.78863,153.4,155.62,149.1,153.72,1.28,41.27
2019-06-15,3520.28829,153.19,156.08,151.57,154.22,1.4,43.52
2019-06-16,5088.12129,154.22,160.74,153.73,155.81,1.59,43.1
2019-06-17,3584.33472,156.25,160.3,155.1,158.66,1.96,52.85
2019-06-18,10425.44394,158.73,166.53,154.2,158.45,2.21,64.89
2019-06-19,3588.14692,158.25,162.14,157.55,161.81,2.64,65.06
2019-06-20,3916.66476,161.81,162.68,157.65,161.75,2.95,70.37
2019-06-21,5450.81281,161.76,167.83,160.85,167.16,3.59,69.8
2019-06-22,10524.6524,166.83,180.58,164.35,176.9,4.82,81.99
2019-06-23,5491.41482,176.9,181.16,171.09,174.3,5.53,82.56
2019-06-24,4580.36162,174.3,179.83,171.5,176.33,6.18,80.1
2019-06-25,5141.08009,176.38,180.72,174.7,178.38,6.79,86.63
2019-06-26,13965.18603,178.66,189.54,165.15,175.41,6.94,76.53
2019-06-27,9148.71872,175.28,177.44,150.16,158.73,5.66,55.63
2019-06-28,4156.39921,158.05,171.28,155.69,170.83,5.55,63.77
2019-06-29,3664.2137,170.83,171.59,162.94,169.17,5.27,61.81
2019-06-30,4784.82595,169.17,171.54,154.0,157.31,4.05,51.02
2019-07-01,4960.25724,157.18,162.72,147.11,154.76,2.84,47.34
2019-07-02,6312.19634,155.23,156.03,145.92,151.98,1.64,45.74
2019-07-03,3075.4021,152.19,158.05,152.19,157.8,1.14,47.44
2019-07-04,4095.88431,157.45,161.89,153.87,155.26,0.54,45.98
2019-07-05,1806.75328,155.26,155.91,151.35,154.14,-0.03,41.49
2019-07-06,2077.25097,154.2,157.92,153.17,154.35,-0.46,33.16
2019-07-07,1989.45301,154.42,158.96,152.69,157.52,-0.54,37.58
2019-07-08,3817.66417,157.52,159.62,155.77,158.78,-0.49,36.86
2019-07-09,4318.3577,159.33,162.31,152.56,156.0,-0.67,33.42
2019-07-10,3880.09517,156.46,157.78,142.88,150.66,-1.23,32.29
2019-07-11,4280.22827,150.62,150.86,135.46,143.42,-2.23,37.33
2019-07-12,3444.19223,143.36,148.72,141.16,143.01,-3.02,21.46
2019-07-13,4405.24163,143.0,143.99,136.73,140.56,-3.81,21.12
2019-07-14,4077.87356,140.41,140.98,122.11,123.01,-5.77,18.94
2019-07-15,5634.42758,122.64,124.74,116.91,120.92,-7.42,19.1
2019-07-16,8900.93703,120.65,123.92,98.62,99.62,-10.32,14.27
2019-07-17,9741.40425,100.04,107.29,95.3,102.26,-12.27,10.39
2019-07-18,11844.014,102.13,111.79,99.04,109.98,-13.04,19.93
2019-07-19,5475.21229,110.02,113.7,106.52,112.35,-13.3,22.7
2019-07-20,4421.81728,112.38,120.31,112.24,116.19,-13.05,26.2
2019-07-21,2571.45455,116.1,119.25,115.55,118.32,-12.53,25.23
2019-07-22,3839.333,118.65,119.32,112.2,114.59,-12.29,22.92
2019-07-23,3679.03741,114.37,114.7,108.83,109.1,-12.39,22.18
2019-07-24,2466.96338,109.21,111.44,106.82,109.82,-12.27,24.37
2019-07-25,4319.9603,109.38,116.16,108.99,114.65,-11.65,31.38
2019-07-26,2707.09692,114.82,115.48,111.74,115.13,-11.0,31.98
2019-07-27,2887.35687,114.52,116.72,108.57,110.75,-10.71,31.2
2019-07-28,2386.5062,110.48,112.14,102.76,107.86,-10.59,38.28
2019-07-29,3695.04834,107.95,109.63,104.26,105.78,-10.54,38.28
2019-07-30,2843.07719,105.57,107.74,103.86,104.83,-10.46,55.89
2019-07-31,4724.74833,104.85,108.88,103.5,108.67,-9.97,57.05
2019-08-01,2552.71605,108.76,109.05,104.72,106.54,-9.65,45.68
2019-08-02,3768.54766,106.57,109.24,103.97,104.83,-9.42,40.41
2019-08-03,2813.24026,104.89,108.05,104.89,106.58,-8.99,37.05
2019-08-04,2818.19994,106.55,107.32,102.89,106.1,-8.59,32.77
2019-08-05,5050.81911,106.1,112.65,106.1,110.28,-7.85,44.0
2019-08-06,5539.98225,110.11,111.58,103.94,106.58,-7.47,46.31
2019-08-07,3475.93505,106.53,110.82,105.57,107.38,-7.03,46.43
2019-08-08,1817.40278,107.38,107.83,103.84,105.96,-6.71,35.89
2019-08-09,2016.42595,105.95,105.95,102.61,103.52,-6.58,32.27
2019-08-10,4229.50688,103.79,104.39,97.41,99.29,-6.74,32.42
2019-08-11,7426.2346,98.99,108.48,98.98,106.53,-6.22,48.2
2019-08-12,2555.35503,106.53,106.83,102.16,104.45,-5.9,48.2
2019-08-13,7584.14107,104.41,107.86,100.65,101.42,-5.82,45.63
2019-08-14,4283.65281,101.45,102.69,94.91,95.99,-6.13,34.39
2019-08-15,2323.36057,96.05,97.41,92.88,94.75,-6.4,35.16
2019-08-16,2778.14205,94.63,95.25,91.14,93.15,-6.67,35.26
2019-08-17,2097.78295,93.08,93.47,90.66,91.63,-6.92,31.02
2019-08-18,2757.71078,91.82,96.6,91.25,94.78,-6.79,36.54
2019-08-19,2591.54043,94.56,97.5,93.8,97.14,-6.42,33.67
2019-08-20,2734.06704,97.42,97.42,93.19,93.5,-6.35,33.72
2019-08-21,4477.61215,93.49,93.68,87.11,90.16,-6.49,29.85
2019-08-22,2229.25403,90.15,92.18,88.0,90.84,-6.47,31.99
2019-08-23,4953.94222,90.77,96.42,90.01,93.55,-6.16,38.2
