date,volume,open,high,low,close,MACD,RSI
2021-03-10,8652462.142,7.25,16.888,7.25,10.649,0.0,
2021-03-11,2843584.318,10.674,10.726,8.319,9.92,-0.06,
2021-03-12,1860400.402,9.945,11.538,8.45,11.267,0.0,
2021-03-13,10785087.556,11.344,21.609,10.465,19.73,0.73,
2021-03-14,15539920.286,19.724,34.7,19.689,25.51,1.75,
2021-03-15,8281181.345,25.586,31.95,19.212,25.914,2.56,
2021-03-16,4044611.819,25.986,30.0,21.74,23.277,2.96,
2021-03-17,2726082.592,23.192,24.765,20.0,21.051,3.06,
2021-03-18,1941409.308,21.052,23.0,20.307,20.77,3.08,
2021-03-19,2157511.951,20.77,20.95,18.114,18.951,2.91,
2021-03-20,5731974.901,18.952,26.841,16.835,20.3,2.86,
2021-03-21,4551653.022,20.3,24.981,19.502,19.889,2.75,
2021-03-22,1716340.025,19.887,20.888,17.76,18.202,2.5,
2021-03-23,1561379.87,18.232,19.957,17.113,17.439,2.21,
2021-03-24,1255907.737,17.441,19.1,15.86,16.369,1.88,59.87
2021-03-25,1132996.13,16.434,17.499,14.306,15.092,1.49,58.76
2021-03-26,1531930.117,15.058,18.889,15.026,17.181,1.34,59.77
2021-03-27,1187995.834,17.184,18.296,16.01,17.512,1.23,44.99
2021-03-28,2275052.115,17.513,19.941,17.119,19.229,1.27,32.61
2021-03-29,1245549.851,19.229,20.2,17.943,18.537,1.23,29.9
2021-03-30,991429.258,18.572,19.123,17.5,18.428,1.18,34.68
2021-03-31,783553.91,18.502,18.7,16.72,16.97,1.01,36.44
2021-04-01,897586.702,16.971,18.2,16.8,17.785,0.93,40.42
2021-04-02,662403.692,17.762,18.0,16.5,17.06,0.79,43.48
2021-04-03,740814.739,17.078,17.19,14.929,14.95,0.51,32.46
2021-04-04,1016568.525,14.951,17.5,14.694,16.928,0.44,41.2
2021-04-05,1012117.116,16.929,17.8,15.572,16.289,0.34,43.94
2021-04-06,570792.622,16.287,16.858,15.394,15.788,0.21,44.68
2021-04-07,872817.437,15.776,15.96,13.0,13.87,-0.05,42.36
2021-04-08,652791.805,13.96,16.0,13.779,15.102,-0.15,50.03
2021-04-09,2389578.609,15.114,19.5,15.0,18.425,0.03,53.54
2021-04-10,1963165.108,18.435,19.488,16.455,18.098,0.15,51.67
2021-04-11,962353.997,18.126,18.88,16.802,17.794,0.22,45.55
2021-04-12,1036116.436,17.822,19.177,17.068,18.619,0.34,50.25
2021-04-13,1515827.577,18.62,20.489,16.568,17.462,0.33,47.21
2021-04-14,815691.334,17.461,17.817,15.567,16.674,0.26,49.11
2021-04-15,1073055.967,16.691,17.2,15.191,16.174,0.16,45.07
2021-04-16,1016266.821,16.193,16.209,14.444,14.951,-0.01,43.73
2021-04-17,953796.899,14.947,15.969,14.71,15.08,-0.14,50.44
2021-04-18,966226.862,15.079,15.235,12.025,13.125,-0.39,37.17
2021-04-19,919421.275,13.125,14.599,12.082,12.36,-0.65,36.86
2021-04-20,768233.718,12.363,12.449,10.9,12.431,-0.84,38.44
2021-04-21,764967.347,12.42,12.445,11.13,11.19,-1.07,40.32
2021-04-22,1084648.6,11.175,12.51,9.84,10.417,-1.31,32.49
2021-04-23,1001499.671,10.424,11.017,8.484,9.837,-1.52,9.64
2021-04-24,1777966.365,9.839,12.594,8.668,11.65,-1.53,23.41
2021-04-25,2273074.488,11.65,12.201,9.019,10.193,-1.63,21.38
2021-04-26,1328624.386,10.208,11.533,10.101,10.996,-1.63,21.24
