date,volume,open,high,low,close,MACD,RSI
2019-08-27,364997684.0,0.00063,0.00063,0.000331,0.0005099,0.0,
2019-08-28,426318395.0,0.0005099,0.0005499,0.0004619,0.0004707,-0.0,
2019-08-29,305165325.0,0.000466,0.0004742,0.000327,0.0004382,-0.0,
2019-08-30,74199179.0,0.0004375,0.0004688,0.0004247,0.0004638,-0.0,
2019-08-31,70177695.0,0.0004654,0.0004654,0.0004419,0.0004553,-0.0,
2019-09-01,61228135.0,0.0004544,0.000465,0.0004494,0.0004627,-0.0,
2019-09-02,307646491.0,0.0004632,0.0004856,0.0004506,0.000469,-0.0,
2019-09-03,154107422.0,0.0004769,0.000477,0.000449,0.0004552,-0.0,
2019-09-04,78628883.0,0.0004592,0.0004729,0.0004415,0.0004499,-0.0,
2019-09-05,129944042.0,0.0004497,0.0004565,0.000431,0.0004498,-0.0,
2019-09-06,99491848.0,0.0004493,0.0004557,0.000417,0.0004283,-0.0,
2019-09-07,46908901.0,0.0004285,0.0004449,0.0004192,0.0004443,-0.0,
2019-09-08,76764946.0,0.0004443,0.000455,0.0004323,0.000455,-0.0,
2019-09-09,186099231.0,0.0004563,0.0004737,0.000416,0.0004286,-0.0,
2019-09-10,94698347.0,0.0004352,0.0004468,0.0004238,0.000425,-0.0,30.43
2019-09-11,144806595.0,0.0004258,0.0004429,0.0004174,0.0004255,-0.0,37.32
2019-09-12,110952164.0,0.0004255,0.000435,0.0004181,0.0004338,-0.0,48.57
2019-09-13,55684517.0,0.0004338,0.0004404,0.000426,0.0004404,-0.0,41.33
2019-09-14,61579484.0,0.0004404,0.0004549,0.0004351,0.0004468,-0.0,46.8
2019-09-15,56767264.0,0.000443,0.0004499,0.0004398,0.0004419,-0.0,42.02
2019-09-16,81128712.0,0.0004469,0.0004484,0.0004283,0.0004415,-0.0,38.96
2019-09-17,128754130.0,0.0004425,0.00049,0.0004384,0.0004749,-0.0,56.84
2019-09-18,253021090.0,0.000475,0.000497,0.0004651,0.0004943,-0.0,64.03
2019-09-19,203616864.0,0.0004929,0.0005392,0.00047,0.0004946,-0.0,64.14
2019-09-20,110907593.0,0.0004945,0.0005049,0.0004769,0.0004803,-0.0,67.2
2019-09-21,89493494.0,0.0004804,0.000497,0.0004688,0.0004814,0.0,63.61
2019-09-22,183984634.0,0.0004813,0.0004815,0.0004357,0.0004473,-0.0,47.59
2019-09-23,97964216.0,0.0004488,0.000469,0.0004328,0.0004439,-0.0,55.6
2019-09-24,188125265.0,0.0004395,0.0004543,0.0003335,0.00037,-0.0,36.71
2019-09-25,177689412.0,0.0003735,0.0003962,0.00034,0.0003605,-0.0,34.95
2019-09-26,247205353.0,0.0003605,0.0003647,0.0003237,0.000341,-0.0,29.58
2019-09-27,113803101.0,0.000341,0.000363,0.0003322,0.0003537,-0.0,31.42
2019-09-28,100227220.0,0.0003537,0.0003622,0.0003444,0.0003472,-0.0,28.66
2019-09-29,111183978.0,0.000349,0.00036,0.0003335,0.000339,-0.0,28.26
2019-09-30,5337442178.0,0.0003397,0.0003497,0.0002331,0.0002735,-0.0,22.17
2019-10-01,1571852081.0,0.0002737,0.0002768,0.0002437,0.0002473,-0.0,11.37
2019-10-02,891398241.0,0.000247,0.0002499,0.000234,0.0002461,-0.0,5.1
2019-10-03,606949770.0,0.0002448,0.0002496,0.000238,0.0002441,-0.0,4.96
2019-10-04,447985925.0,0.0002441,0.0002441,0.0002361,0.0002412,-0.0,5.17
2019-10-05,336117774.0,0.0002412,0.0002454,0.0002379,0.0002422,-0.0,5.14
2019-10-06,614186977.0,0.0002422,0.0002429,0.00022,0.0002241,-0.0,5.47
2019-10-07,669570897.0,0.0002248,0.00024,0.0002153,0.0002378,-0.0,10.5
2019-10-08,467312138.0,0.0002366,0.000239,0.0002276,0.0002387,-0.0,15.06
2019-10-09,991932799.0,0.0002376,0.000257,0.0002341,0.0002526,-0.0,21.94
2019-10-10,463574949.0,0.0002533,0.0002622,0.000235,0.0002618,-0.0,28.24
2019-10-11,369800861.0,0.0002619,0.0002629,0.000236,0.0002405,-0.0,20.3
2019-10-12,218857066.0,0.0002402,0.0002524,0.0002391,0.0002481,-0.0,24.15
2019-10-13,405677643.0,0.0002476,0.0002623,0.0002446,0.0002499,-0.0,25.96
2019-10-14,247966374.0,0.0002495,0.0002599,0.0002467,0.0002543,-0.0,42.27
2019-10-15,237796574.0,0.0002551,0.0002589,0.0002451,0.0002488,-0.0,50.72
2019-10-16,333679837.0,0.0002494,0.0002529,0.0002356,0.0002436,-0.0,48.84
2019-10-17,158882030.0,0.0002437,0.0002586,0.0002407,0.0002517,-0.0,53.35
2019-10-18,246967936.0,0.0002522,0.0002534,0.0002361,0.0002473,-0.0,52.65
2019-10-19,254757335.0,0.0002472,0.000255,0.0002427,0.0002491,-0.0,52.98
2019-10-20,246374239.0,0.0002491,0.0002571,0.0002425,0.0002551,-0.0,64.93
2019-10-21,171595318.0,0.0002546,0.0002597,0.0002515,0.0002535,-0.0,58.56
2019-10-22,191414987.0,0.0002531,0.0002551,0.0002471,0.000249,-0.0,55.4
2019-10-23,283001830.0,0.0002486,0.0002486,0.000226,0.000231,-0.0,39.13
2019-10-24,177019964.0,0.0002297,0.000235,0.0002251,0.0002301,-0.0,32.6
2019-10-25,686070796.0,0.0002296,0.0002569,0.0002267,0.0002451,-0.0,52.71
2019-10-26,589361226.0,0.0002454,0.0002595,0.0002344,0.0002431,-0.0,46.84
2019-10-27,456565966.0,0.0002431,0.0002584,0.0002391,0.0002429,-0.0,45.49
2019-10-28,593309617.0,0.0002434,0.000259,0.0002359,0.0002432,-0.0,42.45
2019-10-29,283915736.0,0.0002431,0.0002525,0.000242,0.0002493,-0.0,50.34
2019-10-30,182211490.0,0.0002494,0.0002497,0.000239,0.0002422,-0.0,49.08
2019-10-31,235777422.0,0.0002427,0.0002512,0.000238,0.0002441,-0.0,44.56
2019-11-01,232489939.0,0.0002436,0.0002461,0.0002344,0.0002453,-0.0,48.5
2019-11-02,639126392.0,0.0002453,0.0002628,0.0002399,0.0002526,-0.0,52.43
2019-11-03,224590353.0,0.0002526,0.0002563,0.000247,0.0002481,-0.0,45.04
2019-11-04,227630569.0,0.0002498,0.000254,0.000244,0.0002529,-0.0,49.59
2019-11-05,286548669.0,0.0002529,0.0002581,0.0002481,0.0002541,-0.0,53.62
2019-11-06,334223539.0,0.0002544,0.0002588,0.0002485,0.0002555,-0.0,72.73
2019-11-07,195093169.0,0.0002554,0.0002569,0.0002461,0.0002507,-0.0,67.82
2019-11-08,501898706.0,0.0002521,0.0002583,0.0002402,0.0002481,-0.0,53.3
2019-11-09,291015744.0,0.0002489,0.0002523,0.0002402,0.0002439,-0.0,50.84
2019-11-10,208663655.0,0.0002439,0.0002489,0.000241,0.0002438,-0.0,50.95
2019-11-11,425640737.0,0.0002447,0.0002462,0.0002211,0.0002346,-0.0,42.38
2019-11-12,261781423.0,0.0002346,0.0002442,0.0002337,0.0002413,-0.0,42.98
2019-11-13,203239989.0,0.0002407,0.000243,0.000233,0.0002355,-0.0,43.99
2019-11-14,162205237.0,0.0002351,0.0002369,0.000231,0.0002311,-0.0,38.83
2019-11-15,365877086.0,0.0002311,0.0002316,0.0002201,0.0002215,-0.0,32.13
2019-11-16,204001701.0,0.0002215,0.000227,0.0002191,0.0002249,-0.0,27.91
2019-11-17,244493505.0,0.0002241,0.000235,0.0002223,0.0002242,-0.0,29.71
2019-11-18,645321730.0,0.0002242,0.0002242,0.0002,0.0002077,-0.0,17.99
2019-11-19,495336364.0,0.0002069,0.0002094,0.00019,0.0001969,-0.0,14.34
2019-11-20,360798913.0,0.0001971,0.0002109,0.0001881,0.000198,-0.0,14.02
2019-11-21,360872590.0,0.0001962,0.000198,0.0001762,0.0001841,-0.0,12.58
2019-11-22,1288355081.0,0.0001833,0.0001867,0.0001376,0.0001553,-0.0,9.72
2019-11-23,502667858.0,0.0001537,0.0001633,0.0001478,0.0001609,-0.0,14.41
2019-11-24,342532339.0,0.0001607,0.0001609,0.0001422,0.0001495,-0.0,13.14
2019-11-25,698073492.0,0.0001495,0.000157,0.0001322,0.0001537,-0.0,17.09
2019-11-26,197984348.0,0.0001509,0.0001558,0.0001484,0.0001541,-0.0,12.61
2019-11-27,550741387.0,0.000154,0.0001655,0.0001422,0.0001608,-0.0,18.21
2019-11-28,619811514.0,0.000161,0.000172,0.0001549,0.0001591,-0.0,18.64
2019-11-29,1561397256.0,0.000158,0.0001918,0.0001575,0.0001745,-0.0,30.51
2019-11-30,608047444.0,0.0001725,0.0001783,0.0001665,0.0001708,-0.0,27.63
2019-12-01,225871194.0,0.0001706,0.0001738,0.0001611,0.0001704,-0.0,27.69
2019-12-02,318476869.0,0.0001698,0.0001782,0.000167,0.0001768,-0.0,36.02
