date,volume,open,high,low,close,MACD,RSI
2021-07-23,2992969.4,3.967,33.0,3.967,7.165,0.0,
2021-07-24,15506433.9,7.165,23.6,6.444,19.514,0.99,
2021-07-25,7658388.4,19.516,23.0,16.155,17.352,1.57,
2021-07-26,2554999.2,17.351,18.618,12.525,13.341,1.7,
2021-07-27,3100147.5,13.284,17.13,11.701,15.166,1.92,
2021-07-28,1023916.0,15.128,15.5,13.179,13.725,1.96,
2021-07-29,640636.9,13.724,13.949,12.428,12.601,1.87,
2021-07-30,2435196.1,12.602,15.419,11.401,12.601,1.79,
2021-07-31,902581.6,12.607,13.669,12.601,12.965,1.73,
2021-08-01,489950.9,13.037,13.09,11.739,11.828,1.57,
2021-08-02,333334.5,11.83,12.2,11.622,11.74,1.42,
2021-08-03,986328.7,11.74,12.285,10.485,11.165,1.25,
2021-08-04,547386.1,11.164,11.9,11.0,11.399,1.11,
2021-08-05,775525.6,11.398,12.2,10.562,11.05,0.97,
2021-08-06,891141.8,11.072,11.88,10.703,11.014,0.84,57.49
2021-08-07,636899.7,11.044,11.65,10.96,11.096,0.73,18.66
2021-08-08,5787216.3,11.112,17.8,11.0,15.431,0.99,43.84
2021-08-09,2050624.2,15.476,15.478,12.69,13.381,1.02,50.15
2021-08-10,675323.1,13.381,13.62,12.583,12.884,0.99,40.73
2021-08-11,743737.0,12.853,13.757,12.3,12.344,0.91,43.95
2021-08-12,551021.0,12.31,13.18,12.162,12.6,0.86,50.0
2021-08-13,365412.9,12.6,13.249,12.451,12.889,0.83,51.33
2021-08-14,1455456.9,12.891,14.99,12.185,12.777,0.79,49.11
2021-08-15,348407.7,12.776,12.873,12.21,12.578,0.73,53.89
2021-08-16,626230.4,12.562,13.437,12.24,12.469,0.67,53.77
2021-08-17,407109.7,12.445,13.004,11.302,11.429,0.53,51.3
2021-08-18,257834.5,11.436,12.057,10.994,11.294,0.41,49.48
2021-08-19,310806.6,11.294,11.85,10.727,11.55,0.33,52.52
