date,volume,open,high,low,close,MACD,RSI
2021-09-24,146162460.0,0.1968,0.2975,0.1965,0.2777,0.0,
2021-09-25,217411887.0,0.2776,0.35,0.244,0.2467,-0.0,
2021-09-26,68498307.0,0.2467,0.2589,0.2147,0.2203,-0.01,
2021-09-27,69066969.0,0.2203,0.2655,0.218,0.2234,-0.01,
2021-09-28,41065965.0,0.2234,0.2499,0.202,0.2057,-0.01,
2021-09-29,14432460.0,0.2054,0.2267,0.2038,0.2083,-0.02,
2021-09-30,16435412.0,0.2084,0.2236,0.2067,0.2086,-0.02,
2021-10-01,25978756.0,0.209,0.233,0.2064,0.2209,-0.02,
2021-10-02,23526100.0,0.2209,0.2245,0.2113,0.2156,-0.02,
2021-10-03,15572472.0,0.2156,0.2167,0.2072,0.2124,-0.02,
2021-10-04,18441415.0,0.2121,0.2154,0.2028,0.2077,-0.02,
2021-10-05,20739616.0,0.2077,0.2192,0.2011,0.2083,-0.02,
2021-10-06,14959939.0,0.2083,0.2128,0.1943,0.201,-0.02,
2021-10-07,14928365.0,0.2011,0.2084,0.1933,0.2043,-0.02,
2021-10-08,17709332.0,0.2043,0.22,0.2009,0.2025,-0.02,18.56
2021-10-09,17280092.0,0.2024,0.2245,0.2007,0.205,-0.02,27.11
2021-10-10,41079543.0,0.2042,0.2369,0.197,0.2016,-0.02,36.27
2021-10-11,9169689.0,0.2019,0.2109,0.1991,0.2008,-0.02,32.83
2021-10-12,7028181.0,0.2005,0.2036,0.1909,0.1968,-0.02,41.46
2021-10-13,13587236.0,0.1968,0.21,0.1912,0.2016,-0.02,43.83
2021-10-14,15036882.0,0.2016,0.2167,0.2007,0.2041,-0.02,46.02
2021-10-15,59941113.0,0.2039,0.249,0.196,0.2137,-0.01,43.31
2021-10-16,182740200.0,0.213,0.298,0.2063,0.2262,-0.01,58.69
2021-10-17,29398391.0,0.2264,0.227,0.208,0.2137,-0.01,50.92
2021-10-18,18943440.0,0.2136,0.229,0.211,0.2165,-0.01,56.43
2021-10-19,10259866.0,0.2165,0.223,0.2021,0.2096,-0.01,50.87
2021-10-20,12264875.0,0.2096,0.2158,0.2046,0.2134,-0.01,58.71
2021-10-21,14891381.0,0.2135,0.2225,0.2068,0.2135,-0.01,56.76
2021-10-22,11446497.0,0.2135,0.221,0.2069,0.209,-0.01,54.6
2021-10-23,6079275.0,0.2087,0.2136,0.2075,0.2091,-0.01,53.0
2021-10-24,7449003.0,0.209,0.2115,0.2024,0.204,-0.01,51.71
2021-10-25,11814051.0,0.2036,0.221,0.2012,0.2091,-0.01,55.59
2021-10-26,7655326.0,0.2096,0.2139,0.2024,0.2036,-0.01,54.49
2021-10-27,13693019.0,0.2035,0.2083,0.1606,0.1766,-0.01,37.24
2021-10-28,11468129.0,0.1766,0.1978,0.172,0.1891,-0.01,43.06
2021-10-29,11671543.0,0.1892,0.1961,0.1823,0.1949,-0.01,40.98
2021-10-30,24304273.0,0.1951,0.2163,0.1858,0.1929,-0.01,32.23
2021-10-31,10867661.0,0.1928,0.2049,0.186,0.1893,-0.01,35.61
