date,volume,open,high,low,close,MACD,RSI
2020-09-04,731752.551,4.12,4.12,2.59,2.938,0.0,
2020-09-05,2322020.361,2.938,3.15,1.826,2.143,-0.06,
2020-09-06,1865004.664,2.143,2.6,1.902,2.316,-0.1,
2020-09-07,1384710.494,2.316,2.45,1.86,2.189,-0.14,
2020-09-08,870729.73,2.199,2.246,1.861,1.995,-0.18,
2020-09-09,1039498.175,2.02,2.273,1.882,2.146,-0.2,
2020-09-10,1296251.859,2.156,2.466,2.135,2.193,-0.21,
2020-09-11,814701.943,2.193,2.307,1.985,2.182,-0.21,
2020-09-12,2179260.906,2.185,2.98,2.05,2.754,-0.17,
2020-09-13,3625029.047,2.755,2.98,2.159,2.376,-0.16,
2020-09-14,2745960.979,2.376,2.955,2.25,2.701,-0.13,
2020-09-15,2571952.707,2.697,2.935,2.296,2.401,-0.13,
2020-09-16,2180834.435,2.403,2.511,2.031,2.164,-0.14,
2020-09-17,1678727.17,2.172,2.31,1.888,2.028,-0.16,
2020-09-18,2201299.417,2.028,2.23,1.818,1.907,-0.19,35.55
2020-09-19,1768520.199,1.913,2.18,1.81,2.13,-0.19,49.78
2020-09-20,1189882.991,2.13,2.134,1.821,1.878,-0.2,42.88
2020-09-21,2525410.19,1.877,1.944,1.364,1.476,-0.25,39.36
2020-09-22,2364515.805,1.477,1.605,1.286,1.472,-0.28,41.72
2020-09-23,2448407.614,1.472,1.517,1.186,1.2,-0.32,35.58
2020-09-24,2053976.233,1.2,1.55,1.16,1.507,-0.33,40.31
2020-09-25,1945754.477,1.507,1.689,1.36,1.604,-0.32,42.03
2020-09-26,1343975.131,1.604,1.74,1.473,1.522,-0.32,30.36
2020-09-27,1198951.946,1.513,1.576,1.315,1.431,-0.32,33.42
2020-09-28,2802375.867,1.431,1.539,1.25,1.357,-0.32,24.13
2020-09-29,3018150.189,1.357,1.413,1.134,1.208,-0.33,25.62
2020-09-30,5614275.326,1.206,1.52,1.112,1.438,-0.32,35.12
2020-10-01,3811256.792,1.436,1.535,1.217,1.4,-0.31,36.59
2020-10-02,2998730.9,1.399,1.4,1.167,1.3,-0.3,36.92
2020-10-03,1279206.794,1.3,1.36,1.252,1.254,-0.3,29.57
2020-10-04,1035046.372,1.26,1.297,1.207,1.253,-0.3,33.49
2020-10-05,1022721.224,1.254,1.267,1.174,1.197,-0.29,40.98
2020-10-06,2446272.187,1.198,1.207,1.01,1.029,-0.3,37.05
2020-10-07,2563411.904,1.028,1.172,0.918,1.061,-0.3,45.28
2020-10-08,2106276.416,1.062,1.229,0.982,1.223,-0.28,39.29
2020-10-09,1964742.519,1.227,1.356,1.18,1.264,-0.26,36.61
2020-10-10,1563632.624,1.264,1.345,1.19,1.301,-0.24,40.98
2020-10-11,2087427.363,1.303,1.516,1.291,1.483,-0.21,51.98
2020-10-12,1953906.833,1.486,1.599,1.317,1.518,-0.18,56.3
2020-10-13,1225138.92,1.519,1.58,1.429,1.52,-0.15,63.81
2020-10-14,1526801.377,1.519,1.613,1.372,1.42,-0.13,49.1
2020-10-15,1801095.414,1.415,1.42,1.248,1.35,-0.13,47.58
2020-10-16,853737.097,1.35,1.392,1.202,1.216,-0.13,46.06
2020-10-17,671770.616,1.215,1.305,1.213,1.285,-0.13,51.42
2020-10-18,1335425.1,1.279,1.469,1.273,1.344,-0.12,53.97
2020-10-19,1457075.177,1.34,1.419,1.249,1.281,-0.11,53.64
2020-10-20,1313781.757,1.278,1.289,1.112,1.141,-0.12,54.97
2020-10-21,1954977.62,1.141,1.284,1.107,1.19,-0.12,55.64
2020-10-22,1701383.652,1.19,1.329,1.17,1.278,-0.11,52.57
2020-10-23,1000638.674,1.277,1.35,1.208,1.244,-0.11,49.06
2020-10-24,1560687.504,1.248,1.45,1.21,1.4,-0.09,54.19
2020-10-25,1993453.941,1.4,1.495,1.323,1.469,-0.07,49.34
2020-10-26,2178274.75,1.471,1.514,1.232,1.335,-0.06,42.16
2020-10-27,1323504.795,1.33,1.335,1.236,1.267,-0.06,39.74
2020-10-28,1323814.343,1.267,1.285,1.15,1.174,-0.07,39.97
2020-10-29,1158429.484,1.177,1.263,1.15,1.157,-0.07,41.77
2020-10-30,1333576.6,1.157,1.172,1.041,1.134,-0.08,46.14
2020-10-31,972426.405,1.135,1.174,1.067,1.09,-0.09,40.6
2020-11-01,829355.883,1.088,1.14,1.072,1.133,-0.09,39.67
2020-11-02,1032174.904,1.132,1.16,1.047,1.09,-0.09,40.46
2020-11-03,1281914.025,1.088,1.089,0.955,0.973,-0.1,41.41
2020-11-04,1337527.565,0.977,1.068,0.95,1.022,-0.11,41.41
2020-11-05,1614859.827,1.02,1.11,0.98,1.032,-0.11,36.33
2020-11-06,2238679.665,1.032,1.229,1.03,1.199,-0.09,47.82
2020-11-07,3177149.218,1.195,1.3,1.001,1.1,-0.09,34.63
2020-11-08,1370309.774,1.097,1.167,1.058,1.118,-0.08,31.03
2020-11-09,2207264.461,1.119,1.159,1.042,1.081,-0.08,34.66
2020-11-10,3044655.212,1.08,1.26,1.066,1.226,-0.07,47.73
2020-11-11,2326103.647,1.227,1.254,1.132,1.148,-0.06,48.54
2020-11-12,2428394.794,1.148,1.17,1.033,1.087,-0.06,46.25
2020-11-13,1970572.712,1.086,1.195,1.078,1.159,-0.05,51.27
2020-11-14,2181024.215,1.159,1.18,1.076,1.151,-0.05,53.22
2020-11-15,4216247.763,1.151,1.293,1.109,1.264,-0.03,56.44
2020-11-16,5064518.007,1.265,1.443,1.232,1.339,-0.02,61.87
2020-11-17,2900853.645,1.339,1.354,1.214,1.274,-0.01,65.1
2020-11-18,3280714.025,1.275,1.35,1.115,1.196,-0.01,58.48
2020-11-19,2179425.399,1.196,1.224,1.134,1.16,-0.01,56.08
2020-11-20,2610688.104,1.163,1.31,1.155,1.247,-0.01,52.47
2020-11-21,5035377.322,1.248,1.642,1.182,1.634,0.03,71.19
2020-11-22,8661822.855,1.634,1.919,1.352,1.677,0.06,71.75
2020-11-23,5530479.414,1.681,1.986,1.589,1.753,0.09,75.38
2020-11-24,4547810.507,1.752,1.783,1.515,1.622,0.1,65.11
2020-11-25,3039140.435,1.63,1.874,1.504,1.631,0.11,69.46
2020-11-26,2998512.854,1.637,1.71,1.301,1.476,0.1,64.57
2020-11-27,2788291.552,1.476,1.617,1.336,1.564,0.1,64.99
2020-11-28,3341643.192,1.557,1.748,1.464,1.63,0.11,67.0
2020-11-29,1829684.584,1.635,1.689,1.522,1.572,0.1,61.37
2020-11-30,2285621.458,1.571,1.7,1.523,1.589,0.1,59.65
