date,volume,open,high,low,close,MACD,RSI
2021-02-19,45525167.602,2.788,10.0,2.788,6.225,0.0,
2021-02-20,44571514.575,6.225,8.75,5.762,6.503,0.02,
2021-02-21,14878262.059,6.503,7.45,6.21,6.844,0.07,
2021-02-22,17358528.482,6.843,7.07,4.49,5.68,0.01,
2021-02-23,16912968.135,5.691,5.718,3.5,4.838,-0.11,
2021-02-24,9970601.061,4.837,5.66,4.473,4.868,-0.19,
2021-02-25,7043735.105,4.876,5.267,4.221,4.265,-0.3,
2021-02-26,7663337.644,4.264,4.379,3.71,3.982,-0.41,
2021-02-27,7254370.911,3.977,4.63,3.959,4.184,-0.47,
2021-02-28,6995247.333,4.184,4.265,3.286,3.62,-0.56,
2021-03-01,7668872.766,3.623,4.4,3.58,4.308,-0.57,
2021-03-02,5138848.348,4.316,4.449,3.773,4.081,-0.59,
2021-03-03,9264596.734,4.082,4.799,4.014,4.4,-0.57,
2021-03-04,6642141.265,4.398,4.78,4.05,4.14,-0.57,
2021-03-05,4432288.444,4.141,4.144,3.806,3.906,-0.59,30.79
2021-03-06,2763023.951,3.907,4.11,3.819,3.966,-0.58,28.19
2021-03-07,4025763.707,3.966,4.4,3.937,4.215,-0.56,27.04
2021-03-08,4031321.211,4.215,4.252,3.888,4.004,-0.54,32.44
2021-03-09,9794512.191,4.0,4.12,3.9,4.093,-0.52,40.73
2021-03-10,7325805.411,4.093,4.275,3.51,3.656,-0.53,36.31
2021-03-11,7545888.587,3.654,3.84,3.5,3.692,-0.53,42.58
2021-03-12,4802934.409,3.696,3.717,3.3,3.439,-0.55,42.91
2021-03-13,9700927.723,3.435,4.18,3.3,3.93,-0.51,46.92
2021-03-14,10706773.567,3.94,4.36,3.698,4.094,-0.47,56.37
2021-03-15,17923495.887,4.095,5.111,4.03,4.142,-0.42,47.3
2021-03-16,7198387.693,4.153,4.53,3.91,4.306,-0.37,53.73
2021-03-17,3989458.715,4.306,4.462,3.95,4.203,-0.33,46.48
2021-03-18,4524841.924,4.196,4.35,4.082,4.092,-0.31,49.09
2021-03-19,3001770.535,4.097,4.26,3.934,4.064,-0.29,53.23
2021-03-20,4280537.104,4.063,4.39,4.04,4.07,-0.27,52.18
2021-03-21,3111401.34,4.06,4.139,3.823,3.913,-0.26,43.43
2021-03-22,5715096.188,3.917,3.985,3.5,3.564,-0.28,40.97
2021-03-23,4059489.63,3.563,3.66,3.34,3.427,-0.3,36.59
2021-03-24,7926370.156,3.416,3.943,3.05,3.211,-0.34,40.17
2021-03-25,5114190.863,3.209,3.334,2.944,3.18,-0.36,38.66
2021-03-26,3567321.43,3.18,3.52,3.174,3.419,-0.36,49.55
2021-03-27,10876340.708,3.42,4.29,3.384,3.955,-0.31,50.55
2021-03-28,6912146.75,3.955,4.26,3.852,4.05,-0.26,49.01
2021-03-29,11306001.555,4.056,4.7,4.02,4.347,-0.19,54.15
2021-03-30,4806394.823,4.348,4.432,4.113,4.162,-0.15,47.11
2021-03-31,7425330.284,4.161,4.265,3.728,4.048,-0.13,46.9
2021-04-01,5156772.229,4.054,4.355,3.981,4.036,-0.11,48.83
2021-04-02,3474380.495,4.038,4.179,3.861,3.977,-0.1,48.21
2021-04-03,3933376.522,3.973,4.066,3.609,3.628,-0.11,42.04
