date,volume,open,high,low,close,MACD,RSI
2020-08-18,6039881.97,2.09,4.44,2.0,3.1,0.0,
2020-08-19,15895774.92,3.1,3.1999,2.64,2.95,-0.01,
2020-08-20,11040863.6,2.9449,3.1111,2.6,2.9,-0.03,
2020-08-21,9765153.74,2.8978,3.09,2.6826,2.833,-0.04,
2020-08-22,41611476.51,2.8387,4.55,2.782,4.4546,0.08,
2020-08-23,23845309.65,4.4756,4.4864,3.7032,3.9779,0.13,
2020-08-24,25843953.12,3.9805,4.7983,3.78,4.5759,0.22,
2020-08-25,39457369.99,4.5759,5.77,4.48,5.5412,0.36,
2020-08-26,37811519.74,5.5412,6.57,5.1015,6.0708,0.51,
2020-08-27,42626336.42,6.0708,6.8,5.2001,5.6547,0.59,
2020-08-28,24019172.63,5.6569,6.35,5.462,6.1812,0.69,
2020-08-29,15360444.96,6.1769,6.556,6.0032,6.1333,0.75,
2020-08-30,13266535.91,6.1339,6.251,5.6999,5.8912,0.78,
2020-08-31,13564047.71,5.8875,6.4662,5.7541,6.2718,0.81,
2020-09-01,16330264.82,6.2712,6.8619,6.12,6.239,0.83,75.71
2020-09-02,15500500.04,6.24,6.4472,5.58,6.1374,0.83,76.32
2020-09-03,21239867.51,6.1375,6.3325,5.5471,5.6743,0.78,71.44
2020-09-04,28314850.39,5.6743,5.99,4.5,5.1019,0.69,66.27
2020-09-05,32791302.31,5.0987,5.3147,3.5321,4.1456,0.53,47.55
2020-09-06,23608694.54,4.1456,4.921,3.7298,4.784,0.45,56.23
2020-09-07,16089613.82,4.7849,4.8367,4.001,4.5944,0.37,50.15
2020-09-08,10449746.7,4.5967,4.6339,4.1067,4.2787,0.28,38.34
2020-09-09,11225976.14,4.2657,4.7935,4.077,4.7003,0.24,37.08
2020-09-10,9912392.07,4.7003,4.8894,4.4308,4.5796,0.19,39.27
2020-09-11,9013005.18,4.5781,4.75,4.31,4.6498,0.16,33.18
2020-09-12,12566058.18,4.6433,5.296,4.4998,5.1385,0.17,40.04
2020-09-13,16262645.74,5.1379,5.4771,4.7668,5.3213,0.19,44.23
2020-09-14,14288009.6,5.3198,5.5761,5.0911,5.3555,0.21,40.01
2020-09-15,10306445.21,5.3597,5.45,5.012,5.0535,0.2,37.8
2020-09-16,8102718.15,5.0535,5.28,4.9578,5.0712,0.19,38.83
2020-09-17,10973999.33,5.0739,5.4261,5.043,5.3354,0.2,46.3
2020-09-18,7241901.56,5.3313,5.455,5.0939,5.2616,0.2,51.96
2020-09-19,6124417.44,5.2595,5.264,4.7862,4.924,0.17,61.26
2020-09-20,11400427.77,4.9205,4.9707,4.3715,4.6518,0.12,47.86
2020-09-21,18249034.01,4.656,4.6969,3.91,4.0691,0.04,42.46
2020-09-22,8023448.28,4.07,4.2103,3.9,4.1625,-0.02,48.22
2020-09-23,9432617.01,4.1623,4.3241,3.94,4.0077,-0.08,38.44
2020-09-24,8363967.02,4.0128,4.49,3.9616,4.3782,-0.09,46.9
2020-09-25,6666492.08,4.3784,4.5299,4.241,4.4139,-0.1,46.33
2020-09-26,3890876.06,4.4139,4.4819,4.224,4.3308,-0.11,35.6
2020-09-27,3814327.15,4.3329,4.3641,4.1152,4.2962,-0.12,30.71
2020-09-28,9835916.81,4.2999,4.5939,4.2474,4.4501,-0.12,33.69
2020-09-29,7753017.85,4.45,4.6112,4.331,4.4969,-0.11,38.96
2020-09-30,4418266.77,4.497,4.5,4.2288,4.3458,-0.11,36.34
2020-10-01,7358246.56,4.3459,4.5858,4.2317,4.3468,-0.12,29.33
2020-10-02,7748588.83,4.3427,4.3621,3.8882,4.1282,-0.13,27.65
2020-10-03,3078936.51,4.128,4.1349,4.0263,4.0607,-0.15,30.95
2020-10-04,2792994.5,4.0606,4.199,4.0111,4.177,-0.15,38.75
2020-10-05,4362181.16,4.1744,4.25,4.106,4.1621,-0.15,53.02
2020-10-06,9256379.98,4.1589,4.18,3.606,3.7465,-0.19,38.84
2020-10-07,8599075.85,3.7461,3.8964,3.6,3.8517,-0.2,45.7
2020-10-08,8531658.6,3.8538,4.1625,3.6333,4.1163,-0.19,42.34
2020-10-09,6400372.85,4.1145,4.35,4.0087,4.2541,-0.17,45.59
2020-10-10,5182487.56,4.2546,4.489,4.23,4.2606,-0.15,47.98
2020-10-11,3675666.58,4.2579,4.3355,4.1683,4.245,-0.13,48.51
2020-10-12,6228123.12,4.2464,4.4501,4.1899,4.3075,-0.11,45.61
2020-10-13,4643179.26,4.3099,4.3464,4.1302,4.2473,-0.1,42.38
2020-10-14,5239195.66,4.2515,4.3795,4.0836,4.1829,-0.1,44.75
2020-10-15,3826663.78,4.1816,4.1873,4.02,4.099,-0.1,42.42
2020-10-16,5544038.18,4.099,4.1562,3.8,3.9106,-0.11,43.21
2020-10-17,1738606.63,3.9132,3.9799,3.8607,3.9663,-0.12,47.03
2020-10-18,2456005.5,3.9652,4.125,3.954,4.1068,-0.11,47.83
2020-10-19,2740611.47,4.107,4.1229,3.9501,3.986,-0.11,44.89
2020-10-20,5741108.49,3.9843,4.149,3.8641,3.9034,-0.12,55.65
2020-10-21,7288864.8,3.9034,4.26,3.8907,4.1352,-0.11,59.35
2020-10-22,5757990.79,4.1329,4.338,4.1234,4.2683,-0.08,55.49
2020-10-23,8353056.52,4.2696,4.48,4.185,4.2633,-0.07,50.37
2020-10-24,4486543.97,4.264,4.43,4.2381,4.3536,-0.04,53.48
2020-10-25,4100261.59,4.35,4.4495,4.2588,4.331,-0.03,53.2
2020-10-26,11305772.22,4.3315,4.7475,4.2906,4.7031,0.02,61.98
2020-10-27,10647012.08,4.7064,4.95,4.6429,4.6721,0.05,63.09
2020-10-28,9278337.14,4.6723,4.78,4.252,4.357,0.05,54.65
2020-10-29,10671185.96,4.3569,4.4115,3.8469,4.0605,0.02,49.08
2020-10-30,7322005.17,4.0605,4.162,3.9153,4.0845,0.0,54.53
2020-10-31,3270318.58,4.0843,4.282,4.0574,4.1854,-0.0,55.57
2020-11-01,2456433.2,4.1833,4.225,4.1079,4.2211,-0.01,53.07
2020-11-02,5197343.74,4.2211,4.2627,3.96,4.0316,-0.02,51.18
2020-11-03,5133339.46,4.0272,4.0694,3.8842,4.0362,-0.03,53.58
2020-11-04,7425623.62,4.0377,4.1556,3.8915,4.0969,-0.04,48.86
2020-11-05,6288599.56,4.0988,4.3,4.0105,4.2229,-0.03,48.64
2020-11-06,8938274.32,4.2248,4.64,4.202,4.5826,0.0,57.87
2020-11-07,15757508.9,4.5837,4.8586,4.08,4.2341,0.0,47.39
2020-11-08,5332066.66,4.2311,4.4275,4.13,4.3736,0.01,50.89
2020-11-09,5918543.0,4.3733,4.4639,4.2395,4.3463,0.02,41.34
2020-11-10,5197286.34,4.3476,4.5061,4.2998,4.4231,0.03,44.08
2020-11-11,6264704.63,4.423,4.63,4.4168,4.4461,0.04,52.46
2020-11-12,4584711.89,4.446,4.4758,4.3103,4.4042,0.04,61.03
2020-11-13,5539505.41,4.4042,4.5918,4.3694,4.5425,0.06,63.69
2020-11-14,5232906.42,4.5401,4.5549,4.3517,4.4637,0.06,58.43
2020-11-15,4897453.63,4.4656,4.5027,4.3063,4.3664,0.05,54.24
2020-11-16,6702906.33,4.3659,4.6,4.3353,4.4983,0.06,64.11
2020-11-17,13923587.21,4.4986,4.9348,4.4882,4.8569,0.09,70.43
2020-11-18,11415111.58,4.8574,4.945,4.495,4.6797,0.1,63.71
2020-11-19,7976959.23,4.6791,4.85,4.5399,4.7567,0.11,62.86
2020-11-20,17934442.25,4.7557,5.4714,4.7404,5.23,0.16,64.78
2020-11-21,14938158.71,5.2301,5.8137,5.1285,5.7824,0.24,82.35
2020-11-22,12275138.21,5.7822,5.8453,5.1702,5.524,0.28,72.9
2020-11-23,14908169.22,5.516,5.96,5.415,5.9093,0.34,77.23
2020-11-24,15057227.46,5.9063,6.0857,5.605,5.7334,0.36,72.06
