date,volume,open,high,low,close,MACD,RSI
2020-09-11,16180.64,10.0,11.34,9.672,10.827,0.0,
2020-09-12,70120.19,11.023,14.172,10.344,13.461,0.21,
2020-09-13,107715.21,13.525,15.342,10.989,13.955,0.41,
2020-09-14,81206.6,13.803,15.374,12.624,13.978,0.57,
2020-09-15,57900.2,14.389,14.6,12.501,12.539,0.57,
2020-09-16,45903.26,12.51,13.545,12.091,12.463,0.55,
2020-09-17,26914.12,12.571,14.239,12.548,13.833,0.65,
2020-09-18,29145.52,13.7,14.372,12.59,13.374,0.68,
2020-09-19,13144.66,13.339,13.34,11.11,11.683,0.56,
2020-09-20,50666.86,11.611,11.739,9.057,10.17,0.34,
2020-09-21,472084.12,10.261,10.5,6.778,7.4,-0.06,
2020-09-22,116160.99,7.454,8.011,6.809,7.812,-0.34,
2020-09-23,104085.83,7.875,8.5,6.9,7.208,-0.6,
2020-09-24,127432.39,7.197,9.141,7.05,8.815,-0.67,
2020-09-25,61134.46,8.785,9.43,8.136,8.836,-0.72,43.41
2020-09-26,43997.59,8.896,9.193,8.031,8.45,-0.78,30.52
2020-09-27,33210.08,8.49,8.624,7.61,8.464,-0.81,27.83
2020-09-28,103193.68,8.341,9.559,8.153,8.914,-0.8,30.24
2020-09-29,77964.99,8.923,9.672,8.588,9.103,-0.76,35.14
2020-09-30,40316.66,9.094,9.107,8.151,8.533,-0.77,33.7
2020-10-01,84054.26,8.62,9.55,8.111,8.54,-0.76,25.25
2020-10-02,61873.4,8.478,8.573,6.524,7.512,-0.83,23.97
2020-10-03,32229.3,7.488,7.612,7.216,7.391,-0.89,27.86
2020-10-04,22847.25,7.341,7.8,7.122,7.717,-0.9,35.58
2020-10-05,78682.02,7.702,7.973,7.51,7.69,-0.89,52.52
2020-10-06,183157.9,7.738,7.748,5.597,6.3,-0.99,38.78
2020-10-07,111653.77,6.24,6.98,5.572,6.793,-1.02,46.87
2020-10-08,115254.22,6.77,8.44,5.75,8.138,-0.92,44.68
2020-10-09,78810.34,8.017,9.441,7.618,8.951,-0.77,50.8
2020-10-10,36915.95,8.992,10.235,8.701,8.895,-0.65,53.26
2020-10-11,37164.34,8.932,9.344,8.35,8.895,-0.54,53.16
2020-10-12,57438.37,8.799,10.02,8.541,9.15,-0.43,51.78
2020-10-13,38674.12,9.151,9.36,8.119,8.765,-0.37,47.52
2020-10-14,58521.23,8.764,9.57,7.838,8.431,-0.35,49.22
2020-10-15,49981.47,8.33,8.365,7.486,7.952,-0.37,45.83
2020-10-16,140453.92,7.934,8.24,6.173,6.76,-0.47,44.79
2020-10-17,36149.9,6.719,7.065,6.486,7.008,-0.53,47.39
2020-10-18,61464.8,6.951,7.704,6.95,7.636,-0.51,49.47
2020-10-19,69968.6,7.632,7.632,6.933,7.079,-0.54,46.26
2020-10-20,92440.88,7.072,7.779,6.506,6.697,-0.59,52.77
2020-10-21,113109.84,6.674,8.229,6.674,7.715,-0.54,55.99
2020-10-22,122059.23,7.734,8.547,7.642,8.298,-0.44,51.15
2020-10-23,109726.77,8.259,9.066,7.985,8.252,-0.37,44.33
2020-10-24,75032.64,8.243,8.938,8.15,8.621,-0.28,47.88
2020-10-25,61177.76,8.602,8.967,8.201,8.528,-0.21,47.21
2020-10-26,150283.92,8.51,10.107,8.369,9.887,-0.05,54.8
2020-10-27,186089.84,9.929,10.8,9.224,9.471,0.05,54.58
2020-10-28,211930.53,9.342,10.098,6.792,7.197,-0.06,43.6
2020-10-29,282401.76,7.199,7.39,5.542,6.163,-0.22,41.23
2020-10-30,260008.57,6.24,6.497,5.828,6.288,-0.34,47.42
2020-10-31,183210.52,6.255,6.862,6.212,6.551,-0.41,47.5
2020-11-01,68592.72,6.492,6.674,6.213,6.65,-0.45,44.28
2020-11-02,173436.25,6.69,6.861,5.675,5.945,-0.53,43.53
2020-11-03,202992.38,5.951,6.071,5.351,5.923,-0.59,45.4
2020-11-04,180563.47,5.921,6.395,5.397,6.207,-0.61,40.17
2020-11-05,135576.25,6.223,6.984,5.872,6.71,-0.58,39.54
2020-11-06,57358.38,6.717,8.393,6.621,8.138,-0.43,49.36
2020-11-07,270550.54,8.167,9.3,5.903,6.522,-0.44,39.73
2020-11-08,96886.79,6.54,7.306,6.12,7.054,-0.4,43.09
2020-11-09,73603.1,7.062,7.44,6.578,6.968,-0.37,34.45
2020-11-10,88341.93,6.942,7.574,6.825,7.241,-0.32,37.94
2020-11-11,125929.31,7.346,8.09,7.249,7.423,-0.26,51.58
2020-11-12,76175.5,7.392,7.457,6.824,7.2,-0.23,58.18
2020-11-13,56573.56,7.118,7.946,7.057,7.752,-0.17,60.82
2020-11-14,112801.18,7.786,7.786,6.983,7.418,-0.14,56.34
2020-11-15,82836.46,7.418,7.566,6.913,7.13,-0.13,53.41
2020-11-16,65338.4,7.071,7.85,7.007,7.498,-0.1,61.61
2020-11-17,159026.41,7.499,9.138,7.494,8.775,0.03,67.95
2020-11-18,123967.98,8.839,9.123,7.128,7.982,0.06,60.5
2020-11-19,125231.25,8.04,8.744,7.395,8.305,0.12,59.64
2020-11-20,333462.38,8.305,11.372,8.25,10.354,0.32,62.46
2020-11-21,156467.33,10.342,12.792,9.964,12.731,0.67,82.15
2020-11-22,132547.84,12.746,13.012,9.927,11.513,0.84,71.56
2020-11-23,381376.64,11.551,13.279,11.076,13.046,1.08,75.78
2020-11-24,225161.62,13.047,14.118,10.867,11.706,1.15,67.36
2020-11-25,255473.42,11.76,12.263,7.82,8.536,0.94,53.51
2020-11-26,603470.38,8.478,8.757,5.762,7.064,0.65,49.6
2020-11-27,496158.05,7.099,7.989,6.288,7.22,0.42,48.41
2020-11-28,306595.54,7.253,7.799,6.744,7.473,0.26,50.17
2020-11-29,287436.22,7.52,9.424,7.016,9.268,0.28,55.9
2020-11-30,338185.46,9.315,10.9,9.101,10.24,0.36,57.32
2020-12-01,235387.53,10.254,11.098,8.053,8.654,0.3,49.68
2020-12-02,143889.1,8.648,10.599,8.343,10.25,0.37,55.72
2020-12-03,153861.75,10.285,10.772,9.6,9.938,0.4,54.12
2020-12-04,156945.06,9.925,10.082,7.722,7.941,0.26,43.9
