date,volume,open,high,low,close,MACD,RSI
2020-01-16,561680733.0,0.003724,0.00546,0.003678,0.004149,0.0,
2020-01-17,282987187.0,0.004149,0.004524,0.003011,0.003217,-0.0,
2020-01-18,113198796.0,0.003209,0.003366,0.00285,0.002881,-0.0,
2020-01-19,100021821.0,0.002881,0.002999,0.002506,0.002546,-0.0,
2020-01-20,37650896.0,0.002545,0.002639,0.002415,0.002467,-0.0,
2020-01-21,64801378.0,0.002468,0.002538,0.00233,0.002445,-0.0,
2020-01-22,50893691.0,0.002444,0.002627,0.002417,0.00244,-0.0,
2020-01-23,27372718.0,0.002441,0.002508,0.00217,0.002221,-0.0,
2020-01-24,31223572.0,0.002202,0.002291,0.002078,0.00221,-0.0,
2020-01-25,14513262.0,0.00221,0.00221,0.002138,0.002189,-0.0,
2020-01-26,14469225.0,0.002179,0.00226,0.002145,0.002174,-0.0,
2020-01-27,31299781.0,0.00218,0.002224,0.002008,0.002027,-0.0,
2020-01-28,98179348.0,0.002009,0.002079,0.001,0.00194,-0.0,
2020-01-29,27996609.0,0.00193,0.002048,0.00188,0.001922,-0.0,
2020-01-30,22213329.0,0.001902,0.001949,0.001857,0.00188,-0.0,0.0
2020-01-31,82922340.0,0.00188,0.0021,0.001862,0.001986,-0.0,7.35
2020-02-01,31519854.0,0.001984,0.002041,0.001919,0.00197,-0.0,9.44
2020-02-02,46856563.0,0.001971,0.001988,0.001889,0.001908,-0.0,12.47
2020-02-03,23403877.0,0.001925,0.00198,0.001868,0.001927,-0.0,15.82
2020-02-04,20211355.0,0.001923,0.001959,0.001865,0.001941,-0.0,17.77
2020-02-05,68392174.0,0.001929,0.002066,0.00188,0.001953,-0.0,19.14
2020-02-06,135532012.0,0.001953,0.002498,0.001917,0.002343,-0.0,56.35
2020-02-07,289722599.0,0.002323,0.002778,0.002159,0.002275,-0.0,53.2
2020-02-08,81975651.0,0.002275,0.002352,0.002193,0.002295,-0.0,55.22
2020-02-09,82458866.0,0.002295,0.002455,0.002203,0.002344,-0.0,58.1
2020-02-10,64597469.0,0.00234,0.002366,0.002108,0.002225,-0.0,59.69
2020-02-11,188184701.0,0.002225,0.002593,0.002188,0.002328,-0.0,68.69
2020-02-12,178401620.0,0.002338,0.002768,0.002327,0.002592,-0.0,76.09
2020-02-13,152737482.0,0.002598,0.002808,0.002339,0.002461,-0.0,71.16
2020-02-14,98639774.0,0.002447,0.002703,0.002371,0.002627,-0.0,72.37
2020-02-15,211842934.0,0.002614,0.0028,0.002276,0.0024,-0.0,63.08
2020-02-16,672375324.0,0.002382,0.002697,0.00226,0.002487,-0.0,67.35
