date,volume,open,high,low,close,MACD,RSI
2019-07-22,15731187.49,0.612,0.667,0.2668,0.2962,0.0,
2019-07-23,7079094.07,0.2962,0.3047,0.21,0.2114,-0.01,
2019-07-24,5576418.01,0.214,0.2234,0.1708,0.1723,-0.02,
2019-07-25,5122187.54,0.1711,0.2005,0.1702,0.193,-0.02,
2019-07-26,6203041.17,0.1929,0.212,0.1831,0.1876,-0.02,
2019-07-27,3676859.0,0.1879,0.1926,0.1588,0.1616,-0.03,
2019-07-28,1765397.45,0.1616,0.1706,0.1515,0.1576,-0.03,
2019-07-29,1547377.16,0.1576,0.159,0.1472,0.1499,-0.04,
2019-07-30,2738581.08,0.1498,0.1594,0.142,0.1476,-0.04,
2019-07-31,1974010.76,0.1476,0.1527,0.1355,0.1403,-0.04,
2019-08-01,3355648.64,0.1403,0.1418,0.1186,0.123,-0.04,
2019-08-02,5387825.8,0.123,0.148,0.1206,0.1331,-0.04,
2019-08-03,3238782.44,0.133,0.1373,0.1163,0.118,-0.04,
2019-08-04,2233792.38,0.118,0.1197,0.1105,0.1117,-0.05,
2019-08-05,4638215.57,0.1116,0.1131,0.0984,0.1003,-0.05,11.96
2019-08-06,8749026.05,0.1004,0.1266,0.1,0.1046,-0.05,19.83
2019-08-07,6130613.58,0.1051,0.108,0.0971,0.1011,-0.05,24.82
2019-08-08,62941272.55,0.1012,0.176,0.1012,0.1485,-0.04,36.76
2019-08-09,17865580.26,0.1479,0.1479,0.1071,0.1079,-0.04,30.4
2019-08-10,8258069.2,0.1085,0.1207,0.1015,0.1158,-0.04,37.63
2019-08-11,19809380.53,0.1158,0.1462,0.1149,0.1177,-0.04,39.1
2019-08-12,22421577.44,0.1178,0.1665,0.1178,0.1654,-0.03,53.47
2019-08-13,23512201.88,0.1647,0.1769,0.144,0.1617,-0.03,53.14
2019-08-14,42170552.85,0.1616,0.2233,0.149,0.1972,-0.02,61.26
2019-08-15,52989156.3,0.1986,0.2741,0.1958,0.2335,-0.01,70.33
2019-08-16,44703113.75,0.2345,0.2666,0.202,0.2589,-0.0,71.92
2019-08-17,34264625.96,0.258,0.2852,0.239,0.2482,0.0,73.04
2019-08-18,25082408.54,0.2495,0.256,0.2124,0.217,0.01,67.12
2019-08-19,24540810.99,0.2171,0.2224,0.1934,0.1978,0.01,65.46
2019-08-20,30073625.01,0.1979,0.2272,0.1955,0.2188,0.01,67.2
2019-08-21,21087001.72,0.2188,0.2222,0.1801,0.1854,0.01,61.65
2019-08-22,18439595.18,0.1854,0.1854,0.1615,0.1715,0.0,53.5
2019-08-23,11425192.8,0.1715,0.1836,0.1635,0.1708,0.0,60.9
2019-08-24,14948738.12,0.1708,0.1808,0.154,0.1641,-0.0,58.41
2019-08-25,22973922.73,0.1631,0.1918,0.16,0.17,-0.0,58.98
2019-08-26,11295863.77,0.1714,0.1748,0.1521,0.154,-0.0,47.8
2019-08-27,16838418.42,0.1546,0.172,0.1492,0.1581,-0.01,49.31
2019-08-28,16257071.5,0.1589,0.1745,0.1466,0.1485,-0.01,39.6
2019-08-29,7426542.65,0.1485,0.1486,0.1238,0.1238,-0.01,25.35
2019-08-30,6292092.66,0.1248,0.138,0.122,0.1314,-0.01,18.86
2019-08-31,4316708.73,0.1314,0.1358,0.123,0.1265,-0.01,19.41
2019-09-01,2781431.05,0.1272,0.1322,0.1237,0.1313,-0.01,25.16
2019-09-02,7654188.96,0.1314,0.1394,0.128,0.1308,-0.01,28.22
2019-09-03,8936956.44,0.1308,0.1313,0.12,0.121,-0.02,15.71
2019-09-04,11117041.1,0.1209,0.1302,0.1166,0.1233,-0.02,22.15
2019-09-05,5943547.19,0.1233,0.1265,0.1121,0.1133,-0.02,22.96
2019-09-06,10891783.31,0.1133,0.1145,0.1013,0.1044,-0.02,21.33
2019-09-07,3730782.64,0.105,0.1098,0.1031,0.1065,-0.02,24.1
2019-09-08,7106496.29,0.1063,0.1167,0.1062,0.1137,-0.02,24.98
2019-09-09,6289724.62,0.1141,0.115,0.1044,0.1057,-0.02,26.89
2019-09-10,6918844.14,0.1063,0.1082,0.1009,0.1013,-0.02,22.9
2019-09-11,7742874.25,0.1014,0.1029,0.0884,0.0901,-0.02,22.56
2019-09-12,4844857.55,0.0898,0.0926,0.0851,0.0898,-0.02,29.27
2019-09-13,7238833.36,0.0899,0.0987,0.0867,0.0879,-0.02,21.49
2019-09-14,3745402.67,0.0876,0.093,0.0854,0.0894,-0.02,24.55
2019-09-15,2084433.99,0.0894,0.0915,0.0881,0.0907,-0.02,20.75
2019-09-16,5402461.67,0.0904,0.0959,0.0871,0.0895,-0.02,20.54
2019-09-17,7710485.07,0.0894,0.1013,0.0882,0.0943,-0.02,29.49
2019-09-18,6273897.56,0.094,0.101,0.0933,0.0979,-0.02,30.87
2019-09-19,5636049.74,0.0979,0.0983,0.0863,0.0908,-0.02,32.28
2019-09-20,3303342.58,0.0908,0.0975,0.0897,0.0922,-0.02,39.11
2019-09-21,1924593.34,0.0926,0.0961,0.0906,0.0916,-0.02,36.33
2019-09-22,3724748.37,0.0916,0.0923,0.0836,0.0852,-0.02,23.46
2019-09-23,3385900.88,0.0856,0.0911,0.0795,0.0803,-0.02,24.9
2019-09-24,6267320.02,0.0803,0.0867,0.0564,0.0615,-0.02,19.38
2019-09-25,3823057.22,0.0612,0.065,0.058,0.0629,-0.02,25.36
2019-09-26,6401770.23,0.0624,0.0657,0.053,0.058,-0.02,23.41
2019-09-27,2913244.03,0.0574,0.0587,0.0548,0.0575,-0.02,23.97
2019-09-28,2909268.83,0.0572,0.061,0.0571,0.0596,-0.02,24.75
2019-09-29,6937436.39,0.0598,0.0645,0.0589,0.0616,-0.02,25.63
2019-09-30,5956483.09,0.0618,0.0645,0.057,0.062,-0.02,26.66
2019-10-01,3556816.6,0.0618,0.0649,0.0593,0.0596,-0.02,19.29
2019-10-02,1535526.09,0.0596,0.0617,0.0591,0.0607,-0.02,15.56
2019-10-03,2454856.1,0.0607,0.0624,0.0573,0.0586,-0.02,17.14
2019-10-04,1783546.76,0.0585,0.0606,0.0577,0.0592,-0.02,15.77
2019-10-05,1484569.17,0.0592,0.0597,0.0573,0.0592,-0.01,15.97
2019-10-06,1360508.3,0.0593,0.0594,0.0555,0.0567,-0.01,17.39
2019-10-07,1710778.36,0.0563,0.0599,0.0559,0.0593,-0.01,24.64
2019-10-08,2110709.02,0.0595,0.0623,0.0589,0.062,-0.01,50.99
2019-10-09,5300236.24,0.062,0.068,0.0607,0.0658,-0.01,55.23
2019-10-10,3928314.29,0.0658,0.0665,0.0602,0.0621,-0.01,57.74
2019-10-11,10860862.7,0.0622,0.072,0.0607,0.069,-0.01,67.48
2019-10-12,13356957.81,0.0689,0.0779,0.0665,0.0743,-0.01,70.36
2019-10-13,5858866.0,0.0745,0.0798,0.0684,0.0711,-0.01,62.73
2019-10-14,4981938.7,0.0704,0.0771,0.0693,0.0763,-0.01,66.98
2019-10-15,7318448.24,0.0763,0.0776,0.0665,0.0669,-0.01,57.43
2019-10-16,7032413.27,0.067,0.0683,0.0583,0.0608,-0.01,50.09
2019-10-17,3787553.01,0.0607,0.0642,0.0594,0.0628,-0.01,53.89
2019-10-18,3360290.49,0.0628,0.0631,0.0567,0.0604,-0.01,51.08
2019-10-19,3918177.58,0.0596,0.0632,0.058,0.0596,-0.01,50.35
2019-10-20,2491085.94,0.0597,0.0615,0.058,0.0608,-0.01,53.71
2019-10-21,2108768.36,0.061,0.0618,0.0595,0.0597,-0.01,50.37
2019-10-22,1800186.23,0.06,0.0626,0.0594,0.0603,-0.0,48.36
2019-10-23,4426189.08,0.0604,0.0608,0.0508,0.052,-0.01,37.72
2019-10-24,1660397.45,0.0524,0.0533,0.0502,0.0524,-0.01,40.83
2019-10-25,5079212.89,0.0519,0.0554,0.0512,0.0537,-0.01,33.83
2019-10-26,8214306.13,0.054,0.0548,0.0502,0.0514,-0.01,24.15
2019-10-27,6665025.9,0.0513,0.054,0.0491,0.0518,-0.01,26.75
2019-10-28,9571688.06,0.0518,0.0655,0.0509,0.0589,-0.01,29.95
2019-10-29,8338969.48,0.0586,0.0609,0.054,0.0557,-0.01,34.95
2019-10-30,3413533.03,0.0559,0.0559,0.0515,0.0532,-0.0,38.69
2019-10-31,5218848.43,0.0531,0.0575,0.0512,0.0562,-0.0,40.46
2019-11-01,5178920.59,0.0561,0.0575,0.0531,0.0558,-0.0,42.94
2019-11-02,3084289.38,0.0558,0.0584,0.055,0.0567,-0.0,45.57
2019-11-03,7288479.3,0.0568,0.0626,0.0564,0.0598,-0.0,48.55
2019-11-04,8382144.83,0.0598,0.0625,0.0547,0.057,-0.0,46.28
2019-11-05,5034688.79,0.0568,0.0578,0.0562,0.0567,-0.0,45.0
2019-11-06,5740496.02,0.0571,0.0613,0.0563,0.0584,-0.0,60.88
2019-11-07,2379346.4,0.0584,0.0586,0.0557,0.056,-0.0,55.73
2019-11-08,2183242.89,0.0563,0.0573,0.0527,0.0541,-0.0,50.62
2019-11-09,636414.18,0.0541,0.0554,0.0536,0.0541,-0.0,54.55
2019-11-10,2619476.12,0.0541,0.0573,0.0541,0.0557,-0.0,56.31
2019-11-11,3815550.87,0.056,0.0561,0.0529,0.054,-0.0,40.39
2019-11-12,2190870.67,0.0544,0.055,0.0524,0.0527,-0.0,43.64
2019-11-13,2579414.73,0.053,0.0555,0.0514,0.0543,-0.0,52.42
2019-11-14,1632628.06,0.0544,0.055,0.0522,0.0525,-0.0,41.4
2019-11-15,1736676.54,0.0529,0.0535,0.0507,0.0518,-0.0,40.83
2019-11-16,1424983.35,0.0516,0.0549,0.0513,0.0525,-0.0,40.28
2019-11-17,1109915.09,0.0526,0.0532,0.0519,0.0524,-0.0,30.11
2019-11-18,1750975.79,0.0522,0.053,0.0494,0.05,-0.0,30.77
2019-11-19,1916171.34,0.05,0.05,0.0461,0.048,-0.0,28.14
2019-11-20,882622.02,0.0479,0.0495,0.0469,0.0477,-0.0,21.08
2019-11-21,4068851.36,0.0479,0.0484,0.0401,0.0422,-0.0,18.06
2019-11-22,5579563.11,0.0426,0.0439,0.0346,0.0378,-0.0,16.18
2019-11-23,1610341.06,0.0382,0.0394,0.0367,0.0391,-0.0,20.47
2019-11-24,2797103.58,0.0391,0.0391,0.0348,0.0349,-0.01,12.86
2019-11-25,4587144.09,0.0351,0.0358,0.0312,0.0345,-0.01,13.48
2019-11-26,8423141.48,0.0344,0.0466,0.0344,0.0401,-0.01,29.68
2019-11-27,5444909.64,0.0401,0.0413,0.036,0.0402,-0.01,26.1
2019-11-28,3887264.2,0.0404,0.043,0.039,0.0401,-0.01,27.7
2019-11-29,2598604.25,0.0402,0.0444,0.0398,0.0419,-0.0,32.87
2019-11-30,7518499.38,0.0418,0.0478,0.0412,0.0448,-0.0,37.62
2019-12-01,5612282.0,0.0448,0.0448,0.0413,0.0418,-0.0,34.41
2019-12-02,4497074.98,0.042,0.0421,0.0395,0.04,-0.0,35.03
2019-12-03,4142932.42,0.0402,0.0431,0.0402,0.0415,-0.0,40.12
2019-12-04,7601747.91,0.0413,0.0481,0.0389,0.0431,-0.0,43.27
2019-12-05,8911299.91,0.043,0.0518,0.0418,0.0504,-0.0,61.39
2019-12-06,11745363.67,0.0504,0.0599,0.0487,0.0573,-0.0,75.32
2019-12-07,7055462.13,0.0573,0.0606,0.0526,0.0542,-0.0,68.73
2019-12-08,3727994.6,0.0542,0.0558,0.0516,0.0538,0.0,75.89
2019-12-09,8926549.32,0.054,0.06,0.0508,0.0508,0.0,70.84
2019-12-10,9872367.13,0.051,0.0512,0.0429,0.0448,0.0,55.95
2019-12-11,4394633.61,0.045,0.0482,0.0439,0.0458,0.0,56.93
2019-12-12,5069147.82,0.0461,0.0463,0.0412,0.0427,-0.0,53.0
2019-12-13,2255267.91,0.0426,0.0452,0.0424,0.0427,-0.0,50.96
2019-12-14,2723085.67,0.0428,0.0438,0.0398,0.0407,-0.0,44.96
2019-12-15,1305722.68,0.0405,0.0429,0.04,0.0417,-0.0,49.87
2019-12-16,3548974.0,0.0418,0.0418,0.0373,0.038,-0.0,47.54
2019-12-17,2620098.81,0.038,0.038,0.0328,0.0335,-0.0,40.83
2019-12-18,4692989.1,0.0335,0.039,0.0316,0.0368,-0.0,43.05
2019-12-19,7545103.42,0.0373,0.0448,0.0363,0.043,-0.0,41.63
2019-12-20,6685195.16,0.043,0.0442,0.0407,0.0414,-0.0,29.56
2019-12-21,5261706.56,0.0411,0.0438,0.0396,0.042,-0.0,33.24
2019-12-22,5481863.28,0.0422,0.0424,0.0383,0.0405,-0.0,32.27
2019-12-23,2992609.17,0.0405,0.0432,0.0397,0.0403,-0.0,34.87
2019-12-24,8526092.14,0.0405,0.0473,0.0404,0.0449,-0.0,50.15
2019-12-25,5145560.41,0.0449,0.0449,0.0401,0.0423,-0.0,44.99
2019-12-26,8328406.6,0.0423,0.0474,0.0422,0.045,-0.0,53.33
2019-12-27,8715503.02,0.0453,0.049,0.0446,0.047,-0.0,55.89
2019-12-28,6837172.36,0.0469,0.0485,0.0446,0.0473,-0.0,59.48
2019-12-29,4537249.71,0.0473,0.0482,0.0442,0.0449,-0.0,54.42
2019-12-30,5121897.25,0.0449,0.0455,0.0423,0.0438,-0.0,58.63
2019-12-31,4090969.86,0.0438,0.0457,0.043,0.0434,-0.0,66.78
2020-01-01,2275971.33,0.0431,0.0432,0.041,0.0426,-0.0,60.74
2020-01-02,5174460.74,0.0426,0.0426,0.0375,0.0385,-0.0,40.96
2020-01-03,5713995.24,0.0384,0.0401,0.0382,0.039,-0.0,44.96
2020-01-04,4262337.32,0.0391,0.0412,0.0387,0.0391,-0.0,43.78
2020-01-05,1547504.84,0.0394,0.0408,0.0391,0.0396,-0.0,47.98
2020-01-06,4018447.27,0.0399,0.0404,0.0386,0.039,-0.0,47.14
2020-01-07,5512294.32,0.0394,0.0406,0.0377,0.0379,-0.0,31.77
2020-01-08,3978160.24,0.038,0.0383,0.0364,0.0364,-0.0,33.7
2020-01-09,1692375.08,0.0364,0.0372,0.0356,0.036,-0.0,21.52
2020-01-10,1636761.7,0.0359,0.0364,0.0346,0.0355,-0.0,9.79
2020-01-11,1778492.83,0.0353,0.0367,0.0352,0.0355,-0.0,7.86
2020-01-12,2042935.38,0.0356,0.0377,0.0352,0.0361,-0.0,13.93
2020-01-13,7889146.82,0.0361,0.0406,0.0353,0.0401,-0.0,37.75
2020-01-14,8829128.22,0.0403,0.0403,0.0367,0.0387,-0.0,35.4
2020-01-15,3034317.71,0.0386,0.0394,0.0379,0.0382,-0.0,36.08
2020-01-16,9076971.91,0.0383,0.0388,0.0356,0.0381,-0.0,48.31
2020-01-17,9355486.78,0.038,0.0436,0.0377,0.04,-0.0,53.79
2020-01-18,1876266.2,0.04,0.0404,0.0388,0.0395,-0.0,51.47
2020-01-19,1993995.34,0.0394,0.0397,0.0367,0.038,-0.0,44.52
2020-01-20,1935670.75,0.0382,0.0382,0.0364,0.0371,-0.0,43.62
2020-01-21,2480116.9,0.037,0.0392,0.0368,0.0384,-0.0,51.66
2020-01-22,1441554.47,0.0382,0.0396,0.0378,0.0383,-0.0,56.93
2020-01-23,3522838.36,0.0384,0.0384,0.0354,0.0372,-0.0,54.17
2020-01-24,2374660.41,0.0372,0.0373,0.0349,0.0359,-0.0,51.32
2020-01-25,2576359.54,0.0359,0.0382,0.0355,0.037,-0.0,54.6
2020-01-26,2761561.1,0.0368,0.0377,0.036,0.0368,-0.0,52.2
2020-01-27,1624799.67,0.0368,0.0371,0.0361,0.0363,-0.0,34.68
2020-01-28,2005111.82,0.0363,0.0367,0.0351,0.0364,-0.0,39.64
2020-01-29,1415136.89,0.0363,0.0365,0.0347,0.0348,-0.0,36.07
2020-01-30,4427751.73,0.0347,0.037,0.0329,0.0362,-0.0,42.96
2020-01-31,1775736.18,0.0364,0.0365,0.0349,0.0364,-0.0,34.75
2020-02-01,1660699.65,0.0364,0.0373,0.0355,0.0363,-0.0,35.96
2020-02-02,3620784.06,0.0362,0.0381,0.0355,0.0369,-0.0,44.76
2020-02-03,5024001.97,0.0368,0.0396,0.0368,0.0386,-0.0,56.64
2020-02-04,7836909.42,0.0388,0.0409,0.0372,0.0407,-0.0,59.5
2020-02-05,5751581.76,0.0406,0.042,0.0394,0.0401,-0.0,57.14
2020-02-06,10572178.55,0.0402,0.0442,0.0396,0.0432,0.0,70.55
2020-02-07,11892143.94,0.0432,0.0464,0.0424,0.0455,0.0,80.77
2020-02-08,7522077.69,0.0455,0.0458,0.0408,0.0428,0.0,66.86
