date,volume,open,high,low,close,MACD,RSI
2021-09-09,38446040.96,3.0,16.435,3.0,12.971,0.0,
2021-09-10,18421740.51,12.992,14.5,9.821,10.425,-0.2,
2021-09-11,11241412.43,10.425,12.759,10.414,10.933,-0.32,
2021-09-12,8259547.67,10.929,12.691,10.692,11.303,-0.38,
2021-09-13,10122607.64,11.293,11.484,9.1,10.4,-0.49,
2021-09-14,8726719.26,10.401,12.2,9.996,11.699,-0.47,
2021-09-15,6790443.33,11.687,12.497,11.028,11.599,-0.46,
2021-09-16,22864521.72,11.605,16.99,11.584,15.387,-0.14,
2021-09-17,21354357.1,15.386,18.5,14.905,16.499,0.2,
2021-09-18,10614651.01,16.499,18.022,15.481,16.08,0.43,
2021-09-19,8921403.58,16.06,16.34,13.839,14.259,0.46,
2021-09-20,13855506.34,14.259,14.278,11.19,11.831,0.29,
2021-09-21,13533755.13,11.842,13.695,10.83,12.557,0.2,
2021-09-22,10687185.57,12.552,14.991,12.25,14.637,0.3,
2021-09-23,7027804.71,14.624,14.974,13.078,14.079,0.33,52.97
2021-09-24,9342176.7,14.08,14.15,11.103,12.108,0.19,54.65
2021-09-25,9461156.48,12.108,14.357,11.448,13.984,0.23,57.84
2021-09-26,28192101.69,13.985,19.666,12.817,19.308,0.69,66.4
2021-09-27,25279800.3,19.299,22.899,18.7,20.975,1.17,71.01
2021-09-28,21685750.07,20.963,23.588,19.255,22.558,1.66,71.33
2021-09-29,19505915.14,22.559,26.935,21.802,26.751,2.35,75.64
2021-09-30,15546595.12,26.747,27.857,23.106,23.555,2.62,64.11
2021-10-01,17171570.54,23.588,25.129,21.3,22.299,2.7,59.97
2021-10-02,12354701.84,22.308,24.398,21.721,23.216,2.8,62.06
2021-10-03,9301265.41,23.215,23.87,21.366,23.59,2.88,66.57
2021-10-04,15725757.48,23.564,26.431,22.6,23.46,2.9,72.49
2021-10-05,8456662.92,23.449,24.495,22.073,22.617,2.81,69.37
2021-10-06,11921331.03,22.629,23.541,20.52,22.992,2.74,67.22
2021-10-07,10189841.28,22.987,24.932,21.551,21.729,2.56,65.32
2021-10-08,6226904.02,21.711,22.77,21.0,21.964,2.4,71.21
2021-10-09,4592505.89,21.965,23.015,21.336,21.832,2.24,68.26
2021-10-10,12772132.12,21.832,24.9,21.103,22.595,2.15,59.71
