date,volume,open,high,low,close,MACD,RSI
2021-09-08,16992240.7,0.7835,0.8461,0.77,0.816,0.0,
2021-09-09,14070365.3,0.816,1.03,0.775,0.8958,0.01,
2021-09-10,11342291.4,0.8958,0.99,0.7874,0.818,0.01,
2021-09-11,3958208.3,0.8196,0.89,0.7743,0.8033,0.0,
2021-09-12,3727773.7,0.8033,0.8384,0.776,0.8109,0.0,
2021-09-13,4160181.0,0.8136,0.83,0.6803,0.7213,-0.01,
2021-09-14,2108609.2,0.7204,0.7328,0.6877,0.7194,-0.01,
2021-09-15,9434238.5,0.7189,0.7937,0.7114,0.7529,-0.02,
2021-09-16,34068171.9,0.753,0.82,0.7093,0.7745,-0.01,
2021-09-17,179633209.5,0.7746,1.38,0.7556,1.0007,0.0,
2021-09-18,32215836.2,1.0007,1.068,0.8918,0.9216,0.01,
2021-09-19,9530384.5,0.9209,0.9308,0.8333,0.8465,0.01,
2021-09-20,47589454.0,0.8465,1.075,0.7601,0.8578,0.01,
2021-09-21,15510095.3,0.8575,0.93,0.7257,0.7484,0.0,
2021-09-22,6644456.4,0.7488,0.8499,0.7299,0.8384,0.01,51.22
2021-09-23,13604396.3,0.84,0.85,0.75,0.7878,0.0,43.92
2021-09-24,7391738.8,0.7886,0.7889,0.6666,0.7123,-0.01,44.04
2021-09-25,3216947.2,0.7107,0.7188,0.658,0.6732,-0.02,42.86
2021-09-26,3001980.2,0.6737,0.6739,0.595,0.643,-0.03,41.0
2021-09-27,3697792.7,0.6449,0.6777,0.6112,0.6178,-0.04,44.04
2021-09-28,3476548.3,0.6178,0.632,0.5621,0.5644,-0.05,41.58
2021-09-29,2755171.4,0.5653,0.6012,0.551,0.5671,-0.06,39.55
2021-09-30,20430572.3,0.5661,0.6935,0.5579,0.6343,-0.06,42.5
2021-10-01,8464957.3,0.634,0.6761,0.627,0.6751,-0.05,28.28
2021-10-02,5599155.0,0.6747,0.6828,0.6437,0.6663,-0.05,31.21
2021-10-03,3011106.7,0.666,0.676,0.6424,0.6652,-0.05,35.02
2021-10-04,9269958.1,0.6654,0.7198,0.651,0.6827,-0.04,35.68
2021-10-05,4641450.7,0.6836,0.6936,0.652,0.682,-0.04,43.4
2021-10-06,11059726.4,0.6832,0.75,0.653,0.72,-0.03,36.87
2021-10-07,4174551.4,0.7222,0.7222,0.6775,0.6926,-0.03,38.87
2021-10-08,6804189.8,0.6907,0.739,0.6635,0.7095,-0.03,49.62
2021-10-09,3075725.3,0.7079,0.7096,0.6677,0.6804,-0.03,51.0
2021-10-10,2168030.2,0.6804,0.6865,0.6503,0.6546,-0.03,51.64
2021-10-11,9035459.3,0.6534,0.7382,0.6366,0.7059,-0.02,61.57
2021-10-12,4522994.8,0.7067,0.7068,0.6374,0.6563,-0.02,62.19
2021-10-13,1199099.8,0.6574,0.6679,0.639,0.6646,-0.02,62.75
2021-10-14,1977834.3,0.665,0.6729,0.6527,0.6614,-0.02,54.25
2021-10-15,4987942.7,0.6614,0.6678,0.5952,0.6152,-0.03,40.75
2021-10-16,3709989.3,0.6152,0.6232,0.5996,0.6076,-0.03,40.9
2021-10-17,4680733.3,0.6076,0.628,0.5781,0.5964,-0.03,39.66
2021-10-18,2910291.9,0.5975,0.6,0.5697,0.58,-0.03,34.52
2021-10-19,3148732.7,0.58,0.6095,0.5611,0.587,-0.04,35.95
2021-10-20,2464935.3,0.587,0.6042,0.5702,0.6011,-0.04,31.07
2021-10-21,2405063.6,0.6011,0.6127,0.572,0.5847,-0.04,32.2
