date,volume,open,high,low,close,MACD,RSI
2021-11-10,6140557.61,43.66,120.0,43.66,73.82,0.0,
2021-11-11,3948818.81,73.87,86.76,55.06,55.31,-1.48,
2021-11-12,2126466.36,55.38,64.94,50.0,54.65,-2.67,
2021-11-13,2193469.09,54.6,63.58,48.0,55.57,-3.5,
2021-11-14,1322151.69,55.58,62.49,53.2,56.21,-4.06,
2021-11-15,1803171.58,56.22,60.15,50.05,55.77,-4.49,
2021-11-16,1789182.35,55.75,55.94,47.91,48.17,-5.38,
2021-11-17,1310706.19,48.21,50.6,45.45,48.16,-6.01,
2021-11-18,1438354.24,48.14,50.94,40.05,41.31,-6.99,
2021-11-19,1513024.78,41.33,51.2,38.39,47.84,-7.16,
2021-11-20,832173.96,47.8,49.69,44.51,46.78,-7.29,
2021-11-21,983085.28,46.78,46.83,41.39,42.06,-7.68,
2021-11-22,1534197.42,42.06,47.13,39.86,40.97,-8.0,
2021-11-23,2288542.92,40.92,53.0,40.46,50.8,-7.36,
2021-11-24,1153521.29,50.8,51.21,45.84,49.17,-6.91,29.62
2021-11-25,4015128.37,49.22,73.0,48.3,68.31,-4.96,60.63
2021-11-26,3708353.65,68.24,77.0,55.1,59.51,-4.07,53.51
2021-11-27,3728749.65,59.52,84.0,59.1,73.45,-2.21,60.87
2021-11-28,2685887.3,73.45,76.69,65.0,76.15,-0.52,61.82
2021-11-29,2039843.68,76.14,82.75,69.5,70.21,0.34,58.04
2021-11-30,1633783.32,70.21,78.12,66.0,69.93,0.98,63.18
2021-12-01,1591713.0,69.98,74.91,63.21,64.81,1.07,59.5
2021-12-02,1133043.63,64.81,64.84,58.5,61.67,0.88,62.13
2021-12-03,1543989.9,61.68,63.29,50.0,54.24,0.12,53.77
2021-12-04,2239096.3,54.29,54.93,39.0,50.81,-0.74,52.31
2021-12-05,1630663.11,50.79,54.74,45.47,49.3,-1.54,54.31
2021-12-06,1355959.12,49.34,51.5,42.0,51.42,-1.97,56.15
2021-12-07,962952.66,51.46,53.99,48.62,50.69,-2.34,49.93
2021-12-08,640059.23,50.72,52.43,47.0,49.36,-2.72,50.13
2021-12-09,801079.22,49.37,50.72,44.69,44.97,-3.33,30.82
2021-12-10,622039.94,44.97,46.8,42.5,42.61,-3.96,34.47
2021-12-11,1038286.43,42.6,49.28,41.55,47.48,-4.02,21.37
2021-12-12,700533.61,47.46,48.07,44.11,47.06,-4.05,16.23
2021-12-13,820821.19,47.07,47.1,39.36,39.96,-4.6,15.8
2021-12-14,914632.04,39.99,41.71,37.74,39.85,-4.98,15.86
2021-12-15,1048199.34,39.87,44.48,37.12,42.48,-5.02,23.14
2021-12-16,1315758.83,42.43,48.01,42.27,44.34,-4.84,28.49
2021-12-17,1029710.85,44.34,46.66,40.15,42.18,-4.82,32.78
2021-12-18,523812.15,42.15,44.5,40.58,42.62,-4.71,37.22
2021-12-19,531596.32,42.64,43.76,40.58,40.86,-4.71,36.93
2021-12-20,858980.89,40.82,41.64,37.31,40.39,-4.7,31.99
2021-12-21,590775.71,40.43,42.13,39.69,40.95,-4.59,34.01
2021-12-22,1020491.02,40.94,46.18,40.71,45.14,-4.12,43.67
2021-12-23,1182622.63,45.09,49.8,42.73,49.51,-3.35,56.82
2021-12-24,626372.08,49.52,49.59,44.7,45.65,-3.02,54.37
2021-12-25,657278.89,45.7,48.18,44.88,46.43,-2.67,48.29
2021-12-26,573457.94,46.41,47.0,43.51,45.66,-2.42,47.75
2021-12-27,667074.9,45.67,48.19,44.12,44.41,-2.3,58.83
2021-12-28,1040937.09,44.42,44.44,39.0,39.7,-2.55,49.75
2021-12-29,585878.14,39.7,40.84,37.82,38.59,-2.81,43.12
2021-12-30,612443.36,38.6,41.0,38.0,39.06,-2.94,40.19
2021-12-31,578761.88,39.08,41.87,38.19,38.93,-3.03,43.47
2022-01-01,430582.9,38.96,40.4,38.72,40.18,-2.95,45.25
2022-01-02,433126.06,40.19,41.72,39.53,41.05,-2.8,50.38
2022-01-03,513629.03,41.06,41.14,38.38,39.26,-2.78,47.84
2022-01-04,629134.2,39.27,41.64,38.43,38.69,-2.79,45.67
2022-01-05,1055464.54,38.7,39.95,31.41,33.78,-3.15,28.84
2022-01-06,1036757.75,33.8,34.48,31.5,33.16,-3.45,14.6
2022-01-07,1461963.36,33.14,33.23,28.25,30.03,-3.89,15.07
2022-01-08,967323.19,30.05,30.86,26.43,27.74,-4.38,10.85
2022-01-09,684215.86,27.73,29.53,26.92,28.01,-4.69,12.24
2022-01-10,1017945.01,28.01,28.75,24.41,25.38,-5.08,11.56
2022-01-11,630921.99,25.39,27.28,25.14,26.75,-5.23,19.76
2022-01-12,623866.87,26.76,28.9,26.22,27.97,-5.19,25.33
2022-01-13,651390.49,27.97,28.3,25.55,25.7,-5.27,21.36
2022-01-14,619451.94,25.68,26.87,24.84,26.27,-5.24,23.36
2022-01-15,582819.79,26.28,27.8,26.01,26.64,-5.12,20.41
2022-01-16,742353.9,26.66,28.4,25.65,27.7,-4.88,21.07
2022-01-17,881002.99,27.69,27.87,23.89,24.31,-4.92,19.7
2022-01-18,717610.77,24.31,24.64,22.4,23.4,-4.96,19.43
2022-01-19,886523.84,23.43,23.5,21.24,22.15,-5.03,22.76
2022-01-20,866381.79,22.15,24.67,20.91,21.14,-5.11,22.36
2022-01-21,1493559.47,21.1,21.58,17.22,17.88,-5.38,22.22
2022-01-22,1383432.02,17.87,18.37,15.12,16.06,-5.67,22.71
2022-01-23,870815.82,16.06,17.5,15.78,17.15,-5.75,25.56
2022-01-24,1008751.09,17.14,17.15,14.43,16.46,-5.8,28.01
2022-01-25,590798.44,16.46,17.0,15.73,16.55,-5.76,23.16
2022-01-26,1853461.53,16.56,19.66,16.32,16.98,-5.64,19.82
