date,volume,open,high,low,close,MACD,RSI
2020-09-10,4222.74,10.0,10.504,10.0,10.277,0.0,
2020-09-11,1254.46,10.114,10.708,9.921,10.172,-0.01,
2020-09-12,888.49,10.286,10.494,9.744,9.975,-0.03,
2020-09-13,1372.06,10.003,11.153,9.87,10.71,0.01,
2020-09-14,566.24,10.844,11.021,10.363,10.707,0.04,
2020-09-15,1806.06,10.68,10.93,10.274,10.9,0.08,
2020-09-16,2138.91,11.044,11.75,10.639,10.88,0.11,
2020-09-17,3340.57,10.927,10.93,10.4,10.578,0.11,
2020-09-18,482.97,10.787,11.305,10.6,11.176,0.15,
2020-09-19,1694.07,10.862,11.142,10.696,11.142,0.18,
2020-09-20,4756.21,11.046,11.639,11.046,11.27,0.22,
2020-09-21,4323.37,11.242,12.755,11.115,12.683,0.35,
2020-09-22,2188.55,12.763,12.828,11.798,12.055,0.4,
2020-09-23,2972.1,11.871,14.147,11.8,13.55,0.56,
2020-09-24,5196.48,13.845,13.845,11.718,12.269,0.57,63.97
2020-09-25,1299.52,12.027,13.126,11.77,11.923,0.55,61.87
2020-09-26,5469.81,11.702,12.431,11.125,11.578,0.5,60.66
2020-09-27,5239.65,11.494,12.219,11.189,11.481,0.44,55.6
2020-09-28,2359.31,11.32,11.68,10.632,11.68,0.41,56.87
2020-09-29,268.93,11.843,11.883,11.131,11.184,0.34,51.92
2020-09-30,601.64,11.326,11.773,11.326,11.541,0.31,54.28
2020-10-01,4244.79,11.462,12.868,10.749,12.092,0.33,59.5
2020-10-02,6017.0,12.04,14.0,11.95,13.14,0.42,61.67
2020-10-03,658.96,13.218,13.218,12.829,13.014,0.48,61.0
2020-10-04,1202.28,13.141,13.33,12.25,12.5,0.48,56.91
2020-10-05,185.42,12.284,12.902,12.268,12.431,0.47,48.33
2020-10-06,214390.47,12.265,13.038,7.774,9.466,0.22,36.91
2020-10-07,113438.56,9.52,10.349,9.071,9.858,0.05,28.99
2020-10-08,31909.28,10.0,11.743,9.73,10.156,-0.06,36.46
2020-10-09,2895.0,10.413,10.594,9.652,9.98,-0.16,37.27
2020-10-10,7698.05,9.796,9.911,8.85,9.891,-0.24,38.57
2020-10-11,4247.48,9.878,10.164,9.254,9.59,-0.33,37.53
2020-10-12,8886.97,9.727,10.245,9.409,9.785,-0.37,37.5
2020-10-13,3686.44,9.872,10.099,9.617,9.901,-0.4,41.09
2020-10-14,2584.43,9.715,10.367,9.689,10.226,-0.39,40.82
2020-10-15,4348.69,10.215,10.363,9.936,10.214,-0.37,35.83
2020-10-16,4420.6,10.112,11.228,10.112,10.77,-0.32,30.68
2020-10-17,406.83,10.814,11.092,10.794,10.941,-0.25,33.23
2020-10-18,1023.41,10.941,10.941,10.659,10.75,-0.22,35.06
2020-10-19,5626.86,10.762,10.956,10.168,10.468,-0.21,33.83
2020-10-20,2881.79,10.468,11.161,10.383,10.921,-0.16,70.45
2020-10-21,13642.56,10.984,10.984,9.757,10.133,-0.19,53.48
2020-10-22,6573.9,10.124,10.17,9.313,9.564,-0.25,42.99
2020-10-23,516.9,9.788,10.276,9.76,9.948,-0.27,49.64
2020-10-24,89.89,9.957,10.126,9.717,9.865,-0.28,49.71
2020-10-25,1394.24,9.806,10.193,9.087,9.321,-0.33,47.12
2020-10-26,18055.57,9.076,10.453,8.968,10.059,-0.31,52.63
2020-10-27,823.97,10.058,10.077,9.569,9.972,-0.3,50.68
2020-10-28,9923.11,9.696,10.136,8.953,9.881,-0.29,46.51
2020-10-29,1065.11,9.826,10.326,9.614,10.216,-0.26,50.02
2020-10-30,47554.06,9.998,12.328,9.998,11.13,-0.15,53.2
