date,volume,open,high,low,close,MACD,RSI
2020-09-10,22810.7,10.0,10.0,9.419,9.683,0.0,
2020-09-11,10102.57,9.75,10.042,9.23,9.728,0.0,
2020-09-12,11107.27,9.739,10.167,9.5,9.997,0.03,
2020-09-13,43596.56,9.96,10.193,8.856,9.212,-0.02,
2020-09-14,11598.09,9.198,9.544,8.968,9.321,-0.04,
2020-09-15,2729.58,9.3,9.692,9.001,9.178,-0.07,
2020-09-16,5422.18,9.0,9.277,7.979,9.136,-0.1,
2020-09-17,2077.03,9.107,9.632,9.014,9.301,-0.11,
2020-09-18,5493.03,9.347,9.401,8.58,8.863,-0.15,
2020-09-19,3043.32,9.012,9.215,8.954,8.998,-0.16,
2020-09-20,6324.04,8.9,8.951,8.35,8.634,-0.2,
2020-09-21,8321.76,8.64,8.837,7.111,7.402,-0.33,
2020-09-22,790.93,7.391,7.833,7.22,7.703,-0.41,
2020-09-23,1112.98,7.86,7.86,6.241,6.474,-0.56,
2020-09-24,6483.03,6.486,7.257,6.486,7.16,-0.61,28.77
2020-09-25,3693.11,7.157,7.305,6.727,7.233,-0.64,29.11
2020-09-26,31478.1,7.321,7.576,6.984,7.299,-0.66,26.61
2020-09-27,14062.97,7.309,7.523,7.093,7.409,-0.65,32.3
2020-09-28,22920.25,7.499,7.706,7.276,7.276,-0.65,30.02
2020-09-29,15820.08,7.339,7.561,7.315,7.561,-0.62,34.63
2020-09-30,15624.93,7.502,7.502,7.253,7.404,-0.6,33.89
2020-10-01,27637.51,7.404,7.661,6.848,7.159,-0.59,30.36
2020-10-02,2857.93,7.145,7.218,6.379,6.732,-0.62,30.42
2020-10-03,2058.78,6.782,6.905,6.665,6.759,-0.63,29.02
2020-10-04,2183.23,6.764,7.101,6.675,6.968,-0.62,33.92
2020-10-05,29818.32,6.972,7.129,6.863,7.059,-0.59,45.75
2020-10-06,124345.93,7.092,9.603,1.8,7.918,-0.49,52.34
2020-10-07,85869.21,7.818,8.063,7.233,7.48,-0.45,63.22
2020-10-08,43985.23,7.41,7.599,6.48,7.26,-0.42,51.5
2020-10-09,8155.48,7.294,7.623,7.069,7.522,-0.38,54.09
2020-10-10,13389.55,7.518,8.011,7.489,7.545,-0.34,53.53
