date,volume,open,high,low,close,MACD,RSI
2021-04-02,18053501.632,4.502,22.5,4.502,6.931,0.0,
2021-04-03,8038120.729,6.931,8.469,5.685,5.685,-0.1,
2021-04-04,4729354.439,5.685,6.236,5.45,5.674,-0.18,
2021-04-05,6136051.612,5.671,5.699,4.625,4.914,-0.3,
2021-04-06,4742724.352,4.92,5.009,3.841,3.936,-0.46,
2021-04-07,5871208.02,3.929,4.37,3.288,3.511,-0.63,
2021-04-08,5126688.02,3.511,4.0,3.403,3.515,-0.74,
2021-04-09,16288005.483,3.517,5.2,3.466,4.374,-0.76,
2021-04-10,7969429.375,4.374,4.949,3.75,3.842,-0.8,
2021-04-11,6172168.601,3.859,4.399,3.643,4.301,-0.8,
2021-04-12,5293983.793,4.302,4.65,4.1,4.419,-0.77,
2021-04-13,4444103.166,4.419,4.494,3.75,3.945,-0.78,
2021-04-14,3885223.999,3.928,4.01,3.4,3.538,-0.81,
2021-04-15,4442444.342,3.538,3.59,3.3,3.38,-0.84,
2021-04-16,6095435.53,3.38,3.393,2.81,2.905,-0.88,20.85
2021-04-17,3999475.3,2.906,3.12,2.8,2.817,-0.92,25.05
2021-04-18,4647195.169,2.817,2.864,2.18,2.46,-0.97,23.63
2021-04-19,8809176.955,2.46,3.11,2.332,2.465,-0.99,27.06
2021-04-20,3978899.854,2.465,2.708,2.211,2.699,-0.98,36.54
2021-04-21,4696150.272,2.699,2.926,2.25,2.277,-1.0,36.56
2021-04-22,5522662.384,2.278,2.424,1.859,1.933,-1.02,33.96
2021-04-23,4141584.807,1.935,1.971,1.625,1.819,-1.04,19.49
2021-04-24,4172744.196,1.818,1.821,1.517,1.585,-1.06,20.98
2021-04-25,5185958.947,1.585,1.777,1.451,1.543,-1.07,10.28
2021-04-26,7222113.841,1.545,1.89,1.519,1.872,-1.04,15.42
2021-04-27,7894848.21,1.871,2.083,1.813,1.91,-1.0,18.66
2021-04-28,18377162.183,1.91,2.66,1.77,2.46,-0.91,34.1
