date,volume,open,high,low,close,MACD,RSI
2021-06-22,2219423.5,7.991,9.8,5.5,6.351,0.0,
2021-06-23,437339.2,6.4,7.9,6.2,6.999,0.05,
2021-06-24,185111.9,6.999,7.144,6.34,6.765,0.07,
2021-06-25,276421.7,6.765,6.872,5.775,6.002,0.03,
2021-06-26,128553.6,6.001,6.183,5.322,5.889,-0.02,
2021-06-27,447137.5,5.889,7.052,5.843,6.604,0.01,
2021-06-28,138701.9,6.604,6.97,6.134,6.305,-0.0,
2021-06-29,172132.2,6.259,6.651,6.1,6.312,-0.01,
2021-06-30,90129.3,6.27,6.365,5.81,6.236,-0.01,
2021-07-01,199562.0,6.227,6.281,5.54,5.68,-0.07,
2021-07-02,185913.6,5.68,5.77,5.316,5.615,-0.11,
2021-07-03,84051.4,5.616,5.961,5.604,5.74,-0.14,
2021-07-04,212782.8,5.74,6.25,5.64,5.906,-0.14,
2021-07-05,252260.9,5.9,5.9,5.379,5.48,-0.17,
2021-07-06,295185.3,5.481,6.564,5.471,5.852,-0.17,44.53
2021-07-07,553388.2,5.852,7.262,5.814,6.35,-0.13,42.65
2021-07-08,409994.0,6.344,7.246,5.9,6.046,-0.11,41.98
2021-07-09,165715.1,6.019,6.159,5.709,6.021,-0.11,50.25
2021-07-10,311053.0,6.025,6.532,5.992,6.43,-0.06,56.69
2021-07-11,323387.6,6.42,7.132,6.33,6.79,-0.0,52.52
2021-07-12,167603.1,6.824,6.852,6.0,6.384,0.01,51.04
2021-07-13,178774.5,6.384,6.396,5.85,5.985,-0.01,46.1
2021-07-14,583030.2,5.991,6.99,5.603,6.951,0.05,57.04
2021-07-15,5260251.2,6.951,10.66,6.435,9.65,0.32,77.49
2021-07-16,1994387.3,9.601,10.25,7.201,7.214,0.33,58.34
2021-07-17,456276.2,7.204,7.565,6.9,7.062,0.32,56.87
2021-07-18,456644.6,7.058,7.948,6.9,7.271,0.32,57.06
2021-07-19,350320.4,7.271,7.318,5.971,6.136,0.23,53.16
2021-07-20,321140.6,6.161,6.166,5.574,5.831,0.14,49.9
2021-07-21,666224.8,5.858,7.251,5.776,6.762,0.13,51.92
2021-07-22,429779.3,6.76,7.506,6.6,6.821,0.13,53.69
2021-07-23,852666.1,6.823,8.158,6.164,8.027,0.23,58.59
2021-07-24,855087.6,8.028,8.639,7.386,7.66,0.27,55.29
2021-07-25,604816.2,7.651,8.9,7.307,8.658,0.38,57.61
2021-07-26,717880.7,8.658,9.45,7.61,7.887,0.4,55.95
2021-07-27,474859.5,7.907,9.122,7.532,8.269,0.44,59.05
2021-07-28,547569.7,8.269,8.666,7.654,7.82,0.43,53.59
2021-07-29,238149.2,7.844,8.081,7.664,7.776,0.42,40.08
2021-07-30,287793.5,7.777,8.396,7.551,8.131,0.43,56.23
2021-07-31,170456.6,8.124,8.22,7.815,8.05,0.43,56.77
2021-08-01,222384.9,8.05,8.472,7.764,7.974,0.42,54.91
2021-08-02,335442.7,7.973,8.9,7.8,7.975,0.4,65.26
2021-08-03,188740.1,8.005,8.191,7.679,8.121,0.4,69.52
2021-08-04,3357024.3,8.121,12.757,7.976,11.615,0.67,78.79
2021-08-05,2288983.0,11.615,12.112,9.757,10.931,0.82,72.7
2021-08-06,892934.7,10.921,12.56,10.4,12.127,1.02,72.67
2021-08-07,1796490.9,12.122,14.898,11.679,13.435,1.27,78.92
