date,volume,open,high,low,close,MACD,RSI
2020-01-17,469.2943,60.7,66.23,60.7,63.54,0.0,
2020-02-03,2051.04351,44.09,45.06,41.92,43.21,-1.62,
2020-02-04,4275.50964,42.74,46.68,41.95,44.29,-2.79,
2020-02-05,43443.76464,44.25,44.56,31.63,33.69,-4.52,
2020-02-06,99129.44683,33.69,35.0,27.99,29.59,-6.14,
2020-02-07,139756.10776,29.59,29.59,24.99,25.43,-7.68,
2020-02-08,142841.59225,25.44,28.75,23.86,25.4,-8.8,
2020-02-09,104238.05421,25.41,25.42,22.73,23.71,-9.71,
2020-02-10,145092.56294,23.68,27.34,23.35,25.56,-10.17,
2020-02-11,213934.70995,25.59,27.25,19.94,20.5,-10.82,
2020-02-12,795442.00203,20.38,20.45,12.0,13.5,-11.76,
2020-02-13,830424.9926,13.51,14.8,11.6,13.21,-12.38,
2020-02-14,726728.88068,13.19,14.47,10.41,10.76,-12.93,
2020-02-15,818856.40639,10.76,13.59,10.33,13.17,-13.01,
2020-02-16,1406430.18061,13.18,16.1,11.84,14.05,-12.86,10.04
2020-02-17,1338896.22643,13.95,16.8,12.65,12.75,-12.7,14.5
2020-02-18,1980830.31278,12.75,13.98,10.24,10.47,-12.61,11.66
2020-02-19,1664498.89102,10.47,13.37,10.28,13.33,-12.17,22.0
2020-02-20,2013354.19292,13.33,14.97,12.45,13.4,-11.68,24.96
2020-02-21,1435716.17002,13.45,13.95,11.73,12.27,-11.26,27.54
2020-02-22,1147905.71111,12.22,13.45,12.0,12.76,-10.75,28.76
2020-02-23,1289629.32318,12.75,12.8,10.78,10.89,-10.39,28.59
2020-02-24,1902790.50607,10.92,13.02,10.53,12.09,-9.89,27.01
2020-02-25,2310819.34206,12.09,14.88,12.0,14.66,-9.18,39.1
2020-02-26,2841241.42773,14.7,20.37,14.05,18.86,-8.18,61.17
2020-02-27,2651499.55511,18.87,22.24,14.99,17.1,-7.45,57.64
2020-02-28,2417796.24153,17.1,20.29,15.36,17.21,-6.78,63.94
2020-02-29,1450024.77803,17.21,19.6,15.81,19.55,-5.99,63.83
2020-03-01,2151694.01416,19.51,21.12,16.91,19.64,-5.3,62.55
2020-03-02,2322927.1735,19.67,20.11,15.16,15.73,-5.01,55.99
2020-03-03,1989488.93998,15.71,18.06,15.54,17.3,-4.6,64.13
2020-03-04,1068507.30419,17.3,18.04,16.24,17.26,-4.23,59.2
2020-03-05,1733370.66522,17.27,17.27,15.03,16.4,-3.96,56.78
2020-03-06,1975890.41891,16.39,16.58,12.65,12.75,-3.99,50.97
2020-03-07,2493754.29501,12.75,14.2,11.67,14.06,-3.87,52.55
2020-03-08,4077618.48221,14.06,21.45,14.06,21.0,-3.17,66.55
2020-03-09,2998402.68425,21.0,24.2,18.31,20.49,-2.64,64.07
2020-03-10,1923033.8367,20.49,22.65,19.34,21.25,-2.12,61.75
2020-03-11,2076769.62175,21.27,27.41,20.47,23.18,-1.54,58.38
2020-03-12,2525429.03506,23.19,56.98,22.8,52.61,1.28,83.22
2020-03-13,2750587.99844,52.0,89.84,17.5,23.13,1.12,53.57
2020-03-14,1388901.1761,23.13,30.56,22.78,29.54,1.5,55.75
2020-03-15,1534295.21898,29.55,31.37,21.6,27.35,1.6,54.33
2020-03-16,2103445.41676,27.34,43.13,26.52,35.66,2.32,60.67
2020-03-17,1877439.61115,35.66,37.04,26.0,28.5,2.29,55.66
2020-03-18,1630208.69125,28.5,33.71,27.3,27.5,2.17,55.12
2020-03-19,3919801.82312,27.5,29.2,14.0,16.26,1.14,49.94
2020-03-20,7471993.65247,16.26,20.29,11.0,16.07,0.31,51.55
2020-03-21,4161136.71918,16.1,18.65,14.25,15.98,-0.35,50.91
2020-03-22,4471596.2227,16.0,20.03,14.45,19.75,-0.56,49.39
2020-03-23,5181322.04317,19.8,20.9,12.5,13.11,-1.25,46.6
2020-03-24,5746463.94308,13.11,14.0,10.81,12.25,-1.84,45.86
2020-03-25,4859747.6215,12.29,13.97,11.2,12.96,-2.23,45.25
2020-03-26,3475971.89239,12.93,13.65,11.71,12.11,-2.58,24.33
2020-03-27,2812179.28186,12.13,14.3,11.3,13.99,-2.67,41.09
2020-03-28,3913099.24138,13.99,16.0,13.06,13.7,-2.74,32.47
2020-03-29,1773806.22934,13.74,15.72,13.3,15.6,-2.61,36.91
2020-03-30,1690451.06232,15.67,15.75,11.58,12.43,-2.73,20.78
2020-03-31,508820.31032,12.43,12.9,11.92,12.2,-2.81,25.17
