date,volume,open,high,low,close,MACD,RSI
2020-07-13,9025.85,10.0,10.63,9.85,10.4,0.0,
2020-07-14,13621.63,10.45,10.67,10.15,10.26,-0.01,
2020-07-15,9067.5,10.28,10.71,10.28,10.51,0.0,
2020-07-16,36847.45,10.53,11.49,10.44,11.11,0.06,
2020-07-17,11436.67,11.09,11.32,10.97,11.15,0.1,
2020-07-18,4111.77,11.25,11.25,10.75,10.89,0.12,
2020-07-19,4805.04,10.85,11.13,10.38,10.49,0.1,
2020-07-20,13482.64,10.47,11.03,10.4,10.79,0.1,
2020-07-21,25333.23,10.9,10.9,9.58,9.76,0.02,
2020-07-22,227302.6,9.79,10.04,7.73,8.05,-0.17,
2020-07-23,416041.99,8.08,8.39,7.02,7.31,-0.39,
2020-07-24,340161.32,7.32,7.75,6.61,7.03,-0.57,
2020-07-25,632592.16,7.03,7.03,5.48,5.64,-0.82,
2020-07-26,905904.12,5.64,5.85,5.01,5.38,-1.03,
2020-07-27,1437683.95,5.36,5.36,4.39,4.93,-1.21,15.16
2020-07-28,712456.47,4.92,5.58,4.73,5.12,-1.33,17.47
2020-07-29,431068.2,5.06,5.27,4.82,5.1,-1.41,14.73
2020-07-30,710754.08,5.12,5.26,4.16,4.48,-1.5,6.89
2020-07-31,1153164.34,4.47,4.68,4.01,4.1,-1.59,6.1
2020-08-01,1918100.47,4.1,4.18,3.05,3.18,-1.71,5.64
2020-08-02,3359714.13,3.2,4.26,2.6,3.2,-1.79,6.14
2020-08-03,1448061.96,3.19,3.32,2.61,2.84,-1.86,2.51
2020-08-04,1133403.62,2.85,2.95,2.53,2.81,-1.89,2.85
2020-08-05,961506.94,2.79,2.88,2.47,2.59,-1.91,3.57
2020-08-06,779301.69,2.59,2.72,2.52,2.67,-1.9,5.56
2020-08-07,1419585.34,2.68,3.33,2.62,3.0,-1.85,11.76
2020-08-08,868954.01,3.02,3.07,2.64,2.67,-1.81,14.73
2020-08-09,625120.77,2.64,2.92,2.57,2.78,-1.75,17.98
2020-08-10,607235.17,2.78,2.84,2.58,2.69,-1.69,19.73
2020-08-11,844465.38,2.68,3.15,2.62,2.89,-1.61,19.95
2020-08-12,570431.93,2.95,3.19,2.73,2.75,-1.54,19.32
2020-08-13,1033075.19,2.75,2.98,1.993,2.118,-1.51,19.26
2020-08-14,870850.73,2.081,2.2,1.821,1.94,-1.49,20.33
2020-08-15,531722.42,1.92,2.082,1.867,2.032,-1.45,29.59
2020-08-16,319170.52,2.015,2.29,1.957,2.002,-1.4,28.77
2020-08-17,515875.75,2.0,2.183,1.8,1.985,-1.35,32.76
2020-08-18,540758.0,1.989,2.155,1.943,2.043,-1.29,34.7
2020-08-19,802554.33,2.05,2.461,1.996,2.264,-1.21,43.5
2020-08-20,726212.38,2.252,2.327,2.069,2.135,-1.15,39.54
2020-08-21,981600.71,2.109,2.64,2.087,2.586,-1.05,42.27
2020-08-22,686637.5,2.586,2.716,2.4,2.416,-0.97,44.96
2020-08-23,431311.38,2.42,2.68,2.414,2.532,-0.89,45.09
2020-08-24,718125.53,2.534,2.6,2.167,2.212,-0.84,41.32
2020-08-25,655240.98,2.199,2.97,2.199,2.714,-0.76,47.12
2020-08-26,512130.05,2.709,2.83,2.5,2.638,-0.68,48.13
2020-08-27,816728.88,2.638,2.939,2.418,2.731,-0.61,62.49
2020-08-28,555277.04,2.7,2.757,2.42,2.45,-0.57,59.98
2020-08-29,327680.4,2.451,2.509,2.29,2.389,-0.54,57.07
2020-08-30,707271.29,2.392,2.41,1.937,1.944,-0.54,49.01
2020-08-31,969182.37,1.949,2.085,1.824,1.881,-0.55,48.26
2020-09-01,3550055.42,1.87,1.942,1.324,1.424,-0.58,40.86
2020-09-02,4975220.06,1.438,1.941,1.383,1.733,-0.57,42.36
2020-09-03,4007950.16,1.73,2.53,1.604,2.387,-0.51,53.15
2020-09-04,2389297.4,2.396,2.828,2.064,2.28,-0.46,45.81
2020-09-05,3126611.09,2.311,3.81,2.16,3.193,-0.34,58.84
2020-09-06,1657284.54,3.215,3.676,2.638,2.797,-0.28,52.83
2020-09-07,1507678.33,2.816,3.474,2.686,2.804,-0.23,56.78
2020-09-08,1448585.06,2.777,3.4,2.75,3.153,-0.16,55.21
2020-09-09,1155731.24,3.152,3.29,2.732,2.9,-0.12,52.99
2020-09-10,1338765.23,2.892,2.9,2.366,2.544,-0.12,47.99
2020-09-11,1191017.58,2.544,2.762,2.442,2.465,-0.12,50.17
2020-09-12,550960.65,2.465,2.597,2.244,2.244,-0.14,48.43
2020-09-13,1661294.49,2.244,2.75,2.2,2.552,-0.13,56.8
2020-09-14,971673.31,2.551,2.738,2.263,2.384,-0.13,55.49
2020-09-15,1123602.84,2.384,2.603,2.288,2.572,-0.12,63.32
2020-09-16,1173627.03,2.582,2.727,2.424,2.577,-0.1,60.54
2020-09-17,1774762.87,2.577,2.595,2.152,2.226,-0.12,47.82
2020-09-18,1072246.64,2.226,2.388,2.172,2.279,-0.13,49.99
2020-09-19,601776.04,2.278,2.382,2.225,2.27,-0.13,33.18
2020-09-20,1085522.5,2.27,2.52,2.27,2.44,-0.12,42.91
2020-09-21,3306618.08,2.45,3.2,2.351,2.945,-0.07,52.34
2020-09-22,1653483.95,2.929,3.049,2.768,2.849,-0.04,44.5
2020-09-23,2477092.5,2.848,3.48,2.822,3.317,0.02,57.0
2020-09-24,3599943.89,3.317,3.393,2.6,2.7,0.03,52.41
2020-09-25,1146377.73,2.714,3.033,2.455,2.633,0.02,52.6
2020-09-26,943337.98,2.625,2.781,2.5,2.57,0.01,55.31
2020-09-27,802251.9,2.557,2.747,2.332,2.483,-0.0,48.79
2020-09-28,831331.39,2.483,2.539,2.2,2.436,-0.02,50.95
2020-09-29,995967.65,2.442,2.497,2.313,2.349,-0.04,45.75
2020-09-30,626758.63,2.337,2.496,2.31,2.359,-0.05,45.86
2020-10-01,1076652.97,2.343,2.599,2.176,2.465,-0.05,55.01
2020-10-02,1142836.52,2.475,2.77,2.443,2.583,-0.04,56.2
2020-10-03,358615.15,2.582,2.614,2.5,2.56,-0.04,55.88
2020-10-04,711285.09,2.58,2.624,2.45,2.481,-0.04,50.86
2020-10-05,702894.58,2.491,2.547,2.41,2.456,-0.04,37.08
2020-10-06,936174.77,2.451,2.742,2.425,2.671,-0.03,45.58
2020-10-07,887886.79,2.668,2.8,2.613,2.65,-0.02,28.69
2020-10-08,1233136.54,2.644,2.774,2.445,2.477,-0.02,40.05
2020-10-09,705693.43,2.477,2.567,2.17,2.239,-0.04,34.75
2020-10-10,893110.56,2.241,2.242,1.981,2.135,-0.07,33.68
2020-10-11,420349.09,2.14,2.161,2.004,2.07,-0.09,34.25
2020-10-12,1241310.22,2.076,2.223,1.697,1.836,-0.13,29.97
2020-10-13,1107041.09,1.825,2.05,1.813,1.92,-0.15,35.65
2020-10-14,856327.51,1.922,2.079,1.819,1.98,-0.16,37.73
2020-10-15,791280.62,1.98,2.121,1.913,1.997,-0.17,33.93
2020-10-16,875583.9,1.991,2.249,1.951,2.191,-0.15,37.21
2020-10-17,244207.65,2.183,2.223,2.1,2.14,-0.14,36.54
