date,volume,open,high,low,close,MACD,RSI
2020-07-13,30832.2,10.0,10.24,9.44,9.68,0.0,
2020-07-14,12428.8,9.6,9.88,9.38,9.73,0.0,
2020-07-15,18491.7,9.8,9.8,9.37,9.56,-0.01,
2020-07-16,48436.77,9.56,9.62,8.65,9.04,-0.06,
2020-07-17,17554.58,8.98,9.08,8.84,8.91,-0.1,
2020-07-18,14124.31,8.9,9.29,8.87,9.16,-0.12,
2020-07-19,9133.46,9.18,9.57,8.96,9.54,-0.1,
2020-07-20,15879.11,9.52,9.57,9.06,9.2,-0.11,
2020-07-21,40951.77,9.24,10.32,9.24,10.19,-0.04,
2020-07-22,228929.19,10.15,12.95,9.74,12.28,0.18,
2020-07-23,201994.85,12.27,13.97,11.83,13.41,0.44,
2020-07-24,136512.53,13.42,14.85,12.68,13.85,0.68,
2020-07-25,148622.82,13.88,17.49,13.88,16.94,1.1,
2020-07-26,211944.81,16.94,19.0,15.98,17.54,1.47,
2020-07-27,360312.1,17.61,20.53,17.52,18.83,1.84,89.89
2020-07-28,154527.06,18.87,19.55,16.72,18.1,2.06,84.44
2020-07-29,111660.36,18.25,18.92,17.6,18.14,2.2,85.69
2020-07-30,163639.45,18.15,20.57,17.78,19.79,2.43,90.87
2020-07-31,397705.0,19.88,21.44,19.19,21.09,2.68,92.53
2020-08-01,209908.88,21.15,26.49,20.86,25.65,3.2,94.26
2020-08-02,891536.51,25.65,29.5,17.7,22.51,3.33,80.32
2020-08-03,123513.16,22.56,25.15,22.0,23.93,3.51,82.78
2020-08-04,96009.36,23.98,25.5,23.37,24.09,3.62,82.12
2020-08-05,146620.14,24.09,25.94,23.6,25.25,3.75,81.31
2020-08-06,88746.65,25.38,25.61,24.26,24.58,3.77,77.58
2020-08-07,130876.5,24.5,25.09,20.35,22.19,3.54,68.78
2020-08-08,50178.95,22.19,24.2,21.95,24.2,3.49,67.19
2020-08-09,54882.06,24.14,24.62,22.7,23.4,3.34,63.74
2020-08-10,54383.32,23.4,24.49,22.87,23.93,3.23,62.4
2020-08-11,78658.28,23.93,24.29,21.14,22.39,2.98,60.04
2020-08-12,54788.06,22.39,23.17,20.82,23.0,2.8,61.08
2020-08-13,171335.89,23.0,27.44,21.99,26.54,2.91,64.16
2020-08-14,103035.38,26.7,28.911,26.02,28.09,3.09,64.53
2020-08-15,45896.85,28.1,28.738,26.625,27.34,3.13,54.17
2020-08-16,48411.32,27.2,27.8,25.001,27.38,3.13,64.18
2020-08-17,69210.37,27.379,28.952,25.84,26.9,3.06,59.15
2020-08-18,33206.7,26.802,27.4,25.01,26.007,2.9,55.65
2020-08-19,55778.44,26.033,26.4,22.38,23.602,2.55,45.47
2020-08-20,35228.15,23.8,24.909,23.25,24.51,2.31,49.81
2020-08-21,44276.87,24.54,24.929,21.16,21.527,1.87,48.26
2020-08-22,37176.59,21.659,22.4,20.794,22.343,1.56,44.8
2020-08-23,22733.66,22.499,22.5,20.98,21.87,1.26,45.63
2020-08-24,32116.2,21.87,23.9,21.6,23.775,1.17,49.59
2020-08-25,62025.97,23.769,23.769,19.52,20.99,0.86,46.52
2020-08-26,27480.09,20.982,21.98,20.23,21.218,0.63,45.49
2020-08-27,47679.55,21.2,22.41,19.708,20.977,0.42,33.1
2020-08-28,42685.48,20.88,22.704,20.61,22.363,0.36,32.42
2020-08-29,39810.48,22.202,23.34,21.956,22.62,0.33,35.06
2020-08-30,57194.35,22.669,26.143,22.62,26.142,0.59,46.79
2020-08-31,49340.56,26.142,27.282,24.765,26.735,0.82,49.57
2020-09-01,77476.93,26.713,33.123,26.1,31.476,1.38,61.76
2020-09-02,159775.87,31.25,32.088,24.24,26.65,1.42,55.94
2020-09-03,167734.21,26.547,27.875,19.555,20.41,0.93,43.39
2020-09-04,127955.87,20.41,22.165,18.274,20.847,0.57,48.8
2020-09-05,257148.6,20.77,21.496,14.666,16.703,-0.04,41.13
2020-09-06,256413.28,16.441,18.502,15.3,17.806,-0.44,43.73
2020-09-07,170199.85,17.919,18.365,15.696,17.98,-0.73,40.55
2020-09-08,118527.28,18.09,18.162,15.764,16.67,-1.05,42.6
2020-09-09,83392.77,16.74,18.442,16.31,17.75,-1.21,44.23
2020-09-10,126874.71,17.75,19.78,17.73,18.924,-1.22,46.69
2020-09-11,48637.09,19.133,19.738,17.893,19.4,-1.18,45.07
2020-09-12,85566.5,19.568,21.0,18.605,20.84,-1.02,47.15
2020-09-13,148354.24,20.891,21.237,17.324,18.75,-1.05,37.61
2020-09-14,85815.07,18.751,20.469,17.659,19.784,-0.98,38.52
2020-09-15,39319.8,19.784,20.24,18.28,18.57,-1.01,25.87
2020-09-16,34803.09,18.5,19.392,17.6,18.652,-1.01,31.82
2020-09-17,83647.21,18.578,21.39,18.351,20.934,-0.82,51.45
2020-09-18,63618.07,20.934,21.226,19.525,20.32,-0.72,48.55
2020-09-19,30172.29,20.381,20.805,19.67,20.509,-0.61,63.34
2020-09-20,41443.99,20.5,20.5,18.5,19.159,-0.62,54.66
2020-09-21,55894.03,19.12,19.631,15.37,16.235,-0.86,44.94
2020-09-22,45610.88,16.236,16.85,15.788,16.484,-1.02,49.43
2020-09-23,54986.69,16.494,16.664,13.75,14.509,-1.29,40.52
2020-09-24,53940.34,14.411,17.42,14.179,16.96,-1.29,44.65
2020-09-25,43512.66,17.06,17.9,15.888,17.191,-1.26,43.91
2020-09-26,52329.0,17.217,17.78,16.739,17.546,-1.19,40.33
2020-09-27,24571.52,17.487,18.258,16.876,17.74,-1.11,46.67
2020-09-28,36932.68,17.64,18.729,17.176,17.382,-1.06,41.7
2020-09-29,26782.42,17.382,18.106,17.155,17.97,-0.96,47.83
2020-09-30,12091.71,17.946,18.11,17.2,18.08,-0.86,47.94
2020-10-01,45900.73,18.049,18.928,16.47,17.323,-0.84,35.37
2020-10-02,49022.2,17.28,17.48,15.57,16.62,-0.87,35.12
2020-10-03,23681.56,16.641,17.128,16.389,16.61,-0.88,34.09
2020-10-04,13608.68,16.61,17.4,16.54,17.274,-0.83,41.85
2020-10-05,14657.98,17.274,17.57,16.85,17.38,-0.77,56.54
2020-10-06,25130.43,17.439,17.506,15.786,16.148,-0.81,48.27
2020-10-07,15205.24,15.989,16.366,15.35,16.192,-0.83,60.78
2020-10-08,24891.36,16.262,17.418,15.482,17.105,-0.76,51.16
2020-10-09,45532.17,17.171,18.8,16.812,18.47,-0.59,58.64
2020-10-10,66652.27,18.53,19.872,18.46,18.953,-0.42,59.35
2020-10-11,24662.49,18.943,19.733,18.781,19.388,-0.24,60.61
2020-10-12,80396.41,19.388,21.399,18.353,20.658,0.01,68.87
2020-10-13,47291.5,20.603,20.672,19.35,20.066,0.15,62.07
2020-10-14,31617.87,20.063,20.654,19.184,19.74,0.24,59.33
2020-10-15,23889.22,19.799,20.018,18.9,19.512,0.28,63.07
2020-10-16,63037.62,19.672,19.916,18.05,18.475,0.23,60.65
2020-10-17,12553.7,18.428,18.9,18.181,18.62,0.2,61.37
2020-10-18,17458.54,18.626,19.72,18.601,19.72,0.26,63.18
2020-10-19,27537.61,19.729,20.17,18.943,19.777,0.31,62.99
2020-10-20,41467.36,19.715,19.969,18.229,18.6,0.25,63.37
2020-10-21,143109.12,18.677,21.59,18.636,20.6,0.37,69.81
2020-10-22,144223.99,20.669,22.989,20.572,22.44,0.59,72.13
2020-10-23,53373.99,22.4,22.85,21.41,22.049,0.74,66.15
2020-10-24,27872.71,22.048,22.705,21.737,22.12,0.85,64.84
2020-10-25,44249.57,22.167,22.7,21.25,21.6,0.88,60.28
2020-10-26,71867.91,21.562,21.994,19.506,20.496,0.81,49.23
2020-10-27,72432.57,20.401,22.082,20.1,21.523,0.82,56.61
2020-10-28,73620.43,21.53,21.973,19.266,20.101,0.71,51.49
2020-10-29,23281.87,20.101,20.58,19.28,19.915,0.61,51.67
2020-10-30,60653.69,19.844,20.4,18.524,19.555,0.48,54.74
2020-10-31,59245.32,19.519,20.751,19.366,19.958,0.42,55.74
2020-11-01,36278.33,19.957,20.969,19.712,20.914,0.43,55.18
2020-11-02,64058.83,20.922,21.65,19.08,19.55,0.33,49.11
2020-11-03,62758.38,19.439,20.227,18.322,20.006,0.29,55.81
2020-11-04,82885.61,20.05,21.997,18.938,21.458,0.37,53.71
2020-11-05,132626.54,21.486,23.05,20.66,22.494,0.5,50.25
2020-11-06,146067.98,22.582,26.291,22.329,26.037,0.89,64.35
2020-11-07,130131.09,26.044,27.091,23.101,24.04,1.02,56.07
2020-11-08,67359.99,24.127,26.46,23.718,25.803,1.26,62.31
2020-11-09,89160.59,25.745,26.357,23.972,24.872,1.35,62.95
2020-11-10,70925.64,24.836,25.922,24.323,25.437,1.45,61.91
2020-11-11,115609.69,25.43,27.8,25.343,26.52,1.6,69.94
2020-11-12,102562.12,26.526,27.225,25.359,26.489,1.7,70.62
2020-11-13,69623.32,26.475,27.99,25.921,27.826,1.86,74.45
2020-11-14,62626.28,27.775,27.901,25.149,26.298,1.85,67.57
2020-11-15,39624.55,26.211,26.499,24.048,25.014,1.71,61.16
