date,volume,open,high,low,close,MACD,RSI
2021-08-11,353101.046,196.2,958.4,196.2,290.8,0.0,
2021-08-12,81145.847,290.7,325.0,270.7,291.0,0.02,
2021-08-13,22650.848,291.2,304.9,284.2,298.0,0.59,
2021-08-14,24100.285,297.9,307.8,265.9,273.4,-0.94,
2021-08-15,20562.815,273.4,275.0,250.8,267.8,-2.56,
2021-08-16,17294.301,267.8,274.4,252.7,253.9,-4.92,
2021-08-17,49047.896,253.9,300.9,240.7,263.3,-5.96,
2021-08-18,35951.583,263.3,290.0,255.0,257.9,-7.14,
2021-08-19,23239.18,258.0,274.0,250.2,264.8,-7.43,
2021-08-20,21003.614,264.8,270.8,253.6,259.9,-7.96,
2021-08-21,20777.127,259.6,266.0,246.8,253.8,-8.77,
2021-08-22,36513.126,253.4,255.0,235.1,244.4,-10.06,
2021-08-23,17960.807,244.5,244.8,235.0,242.3,-11.12,
2021-08-24,17706.604,242.1,244.7,215.0,224.6,-13.24,
2021-08-25,17755.773,224.6,245.0,220.1,230.9,-14.25,24.94
2021-08-26,13586.721,230.9,234.9,216.0,216.0,-16.06,22.06
2021-08-27,25154.765,216.0,242.5,210.0,239.3,-15.44,30.5
2021-08-28,385549.867,239.3,386.0,231.3,303.1,-9.69,57.83
2021-08-29,147308.402,302.9,326.0,268.0,274.9,-7.32,51.67
2021-08-30,77606.468,274.5,285.0,250.2,252.2,-7.19,49.62
2021-08-31,74696.907,252.8,280.0,243.0,246.2,-7.49,46.07
2021-09-01,41412.539,246.1,262.5,238.2,258.6,-6.65,50.16
2021-09-02,42168.483,258.6,274.5,250.9,254.3,-6.26,47.64
2021-09-03,37725.225,254.3,255.2,237.7,246.9,-6.47,47.11
2021-09-04,20341.097,247.4,252.9,241.5,242.5,-6.91,47.47
2021-09-05,50250.099,243.0,274.0,242.4,261.5,-5.66,53.68
2021-09-06,29390.35,261.5,270.0,248.3,254.4,-5.19,52.55
2021-09-07,37988.213,254.4,256.0,164.7,213.4,-8.03,47.85
2021-09-08,19785.157,213.7,219.6,186.3,209.8,-10.45,45.91
2021-09-09,25290.833,209.7,225.9,201.3,205.7,-12.55,47.92
2021-09-10,21939.08,205.0,212.3,185.5,192.4,-15.12,40.12
2021-09-11,50359.83,192.6,244.0,191.0,210.6,-15.5,25.87
2021-09-12,21631.752,210.8,225.2,203.5,207.5,-15.88,29.77
2021-09-13,32313.518,207.7,213.0,188.4,200.0,-16.59,32.76
2021-09-14,47578.218,199.4,217.9,194.4,204.1,-16.63,35.92
2021-09-15,27352.045,204.1,219.5,203.1,211.7,-15.86,33.79
2021-09-16,43787.573,211.5,235.0,206.0,207.7,-15.4,33.86
2021-09-17,33512.613,207.7,218.0,202.0,205.5,-15.04,35.13
2021-09-18,23315.517,205.5,215.0,203.2,206.9,-14.48,36.93
2021-09-19,19584.391,207.0,211.0,192.0,194.8,-14.83,24.21
2021-09-20,49226.278,194.3,199.8,165.5,179.0,-16.2,22.68
2021-09-21,36626.479,178.5,195.8,153.0,163.4,-18.34,27.8
2021-09-22,24981.177,163.4,183.2,158.9,179.3,-18.53,37.79
2021-09-23,22984.729,179.3,188.3,174.7,180.8,-18.35,39.82
2021-09-24,34879.931,181.3,189.0,154.0,169.6,-18.9,40.52
2021-09-25,21002.325,169.6,177.4,164.4,167.3,-19.29,29.24
2021-09-26,22867.313,167.0,182.3,155.1,164.8,-19.58,29.41
2021-09-27,13310.516,164.5,173.5,160.1,160.1,-19.96,30.23
2021-09-28,11463.986,160.1,162.8,155.0,158.3,-20.17,26.77
2021-09-29,8950.278,157.9,165.2,155.2,156.7,-20.24,20.3
2021-09-30,11885.864,156.6,166.7,156.0,162.6,-19.59,26.14
2021-10-01,34081.846,162.7,193.0,162.2,181.5,-17.34,39.21
2021-10-02,27380.423,181.2,191.0,174.1,179.0,-15.59,37.58
2021-10-03,12163.13,178.6,180.6,170.3,179.3,-14.02,42.29
2021-10-04,11966.946,179.3,179.3,167.1,169.7,-13.39,45.07
2021-10-05,11579.282,169.4,179.4,166.2,172.4,-12.53,55.53
2021-10-06,92917.906,172.4,228.1,161.4,186.6,-10.58,54.58
2021-10-07,31059.456,186.3,186.8,169.9,175.8,-9.79,47.19
2021-10-08,12968.889,176.1,181.2,170.0,171.9,-9.37,51.41
2021-10-09,18780.271,171.9,182.5,168.0,175.1,-8.69,54.72
2021-10-10,9533.674,174.9,179.4,167.2,170.4,-8.42,53.3
2021-10-11,12288.729,170.4,180.0,164.4,166.9,-8.4,54.07
2021-10-12,28387.743,167.0,182.5,160.6,166.1,-8.35,54.72
2021-10-13,14365.461,166.4,169.2,161.0,166.7,-8.17,56.13
2021-10-14,17055.724,167.0,178.1,166.0,171.9,-7.52,55.75
2021-10-15,144736.911,171.5,240.0,166.6,183.4,-6.0,51.29
2021-10-16,21731.058,183.4,187.7,173.9,181.5,-4.9,51.71
2021-10-17,15458.142,181.6,186.9,170.8,174.9,-4.51,47.22
2021-10-18,34294.912,174.7,193.5,174.7,182.4,-3.55,58.24
2021-10-19,11921.775,182.4,184.8,172.5,177.5,-3.15,53.22
2021-10-20,14421.295,177.5,184.1,172.1,178.8,-2.7,44.13
2021-10-21,27414.101,178.8,186.0,173.5,175.0,-2.62,49.33
2021-10-22,19573.07,175.0,178.6,168.1,170.5,-2.88,48.83
2021-10-23,8838.388,170.7,172.7,167.0,170.5,-3.05,45.95
2021-10-24,8150.765,170.5,171.6,163.0,165.9,-3.52,46.03
2021-10-25,16220.902,165.9,170.9,164.5,168.9,-3.61,51.78
2021-10-26,17843.542,169.0,173.3,165.4,166.6,-3.82,50.43
2021-10-27,16047.918,166.6,168.8,149.2,149.6,-5.3,38.46
2021-10-28,18852.919,149.6,162.8,145.0,158.5,-5.69,41.39
2021-10-29,11323.625,158.4,160.7,153.8,159.5,-5.85,32.24
2021-10-30,11068.313,159.5,160.0,151.7,152.7,-6.45,30.06
2021-10-31,53751.346,153.0,197.6,151.8,159.6,-6.29,39.45
2021-11-01,21846.222,159.7,166.8,149.5,159.6,-6.1,32.46
2021-11-02,13349.452,159.6,162.9,156.0,159.8,-5.87,35.32
2021-11-03,19231.36,159.8,174.0,153.5,159.4,-5.65,33.67
2021-11-04,33635.598,159.4,180.7,155.9,176.7,-4.03,51.17
2021-11-05,26726.237,176.7,187.7,164.0,166.0,-3.57,47.16
2021-11-06,12293.168,165.6,170.9,164.5,167.9,-3.02,48.4
2021-11-07,7870.299,168.0,170.4,164.9,166.5,-2.66,50.39
2021-11-08,13595.382,166.6,169.0,162.1,165.2,-2.46,47.57
2021-11-09,9454.054,165.2,168.4,160.0,162.6,-2.48,47.38
2021-11-10,19696.823,162.4,166.7,147.9,154.0,-3.15,53.24
2021-11-11,12426.069,153.8,164.2,150.0,156.1,-3.47,48.04
2021-11-12,10594.427,156.1,159.7,150.5,153.9,-3.86,45.51
2021-11-13,8584.468,153.7,157.8,146.2,154.6,-4.07,51.69
2021-11-14,18235.829,154.7,158.5,147.0,151.2,-4.45,42.05
2021-11-15,12766.081,151.1,154.4,148.4,149.6,-4.83,40.81
2021-11-16,14449.058,149.6,149.9,125.0,135.5,-6.2,32.21
2021-11-17,9594.088,135.5,140.4,128.4,138.7,-6.95,35.44
2021-11-18,24033.72,138.5,143.6,118.0,124.1,-8.61,11.55
2021-11-19,13666.677,124.2,140.0,121.6,131.7,-9.22,23.74
2021-11-20,12529.204,131.7,136.5,128.7,132.5,-9.52,22.43
2021-11-21,36085.092,132.5,157.8,127.3,135.0,-9.45,25.88
2021-11-22,15183.144,134.8,135.0,125.0,128.5,-9.81,23.97
2021-11-23,12486.254,128.5,130.6,122.8,127.8,-10.03,24.64
2021-11-24,13541.291,128.0,128.0,117.9,122.6,-10.51,25.92
2021-11-25,18256.346,122.7,140.0,122.0,131.2,-10.07,32.64
2021-11-26,15197.109,131.2,131.3,113.2,119.0,-10.59,28.64
2021-11-27,38764.572,119.0,152.0,118.7,126.8,-10.25,34.35
2021-11-28,9480.442,126.9,128.7,118.3,128.2,-9.76,36.75
2021-11-29,14904.662,128.2,130.2,123.4,124.9,-9.53,36.05
2021-11-30,13221.69,124.9,126.2,121.0,124.3,-9.29,42.53
2021-12-01,8475.666,123.8,126.2,121.5,122.7,-9.12,39.1
2021-12-02,7243.128,122.9,123.7,119.0,120.3,-9.07,46.9
2021-12-03,18800.873,120.3,125.0,109.0,115.2,-9.34,35.95
2021-12-04,17109.55,115.0,115.4,87.3,104.2,-10.32,29.46
2021-12-05,24571.212,103.7,115.2,100.0,105.2,-10.89,27.89
2021-12-06,95386.415,105.2,136.4,97.6,104.1,-11.3,30.32
2021-12-07,29039.035,103.8,118.0,103.0,105.3,-11.4,32.0
2021-12-08,20483.725,105.4,113.2,99.5,104.2,-11.44,34.25
2021-12-09,13305.964,104.3,110.2,97.7,97.7,-11.85,20.25
2021-12-10,13396.442,97.7,102.1,91.7,92.1,-12.49,22.94
2021-12-11,9009.868,92.1,99.3,90.7,96.7,-12.48,17.63
2021-12-12,5209.387,96.7,97.7,93.1,95.2,-12.45,14.59
2021-12-13,15110.207,95.2,95.9,81.9,88.3,-12.83,13.55
2021-12-14,8882.157,88.3,89.8,83.8,86.3,-13.15,13.18
2021-12-15,12413.194,86.3,93.2,82.4,87.7,-13.13,15.95
2021-12-16,12174.664,87.7,96.8,86.2,86.3,-13.08,16.27
2021-12-17,14108.369,86.3,91.3,81.4,85.0,-13.0,17.6
2021-12-18,164620.338,84.7,126.2,84.1,102.0,-11.43,47.91
2021-12-19,38644.09,102.1,108.4,92.0,95.3,-10.6,41.51
2021-12-20,11007.576,95.4,95.4,85.0,91.0,-10.18,39.35
