date,volume,open,high,low,close,MACD,RSI
2023-07-26,4342792.0,1.0,1.05,1.0,1.0008,0.0,
2023-07-27,394028.0,1.0008,1.0017,1.0004,1.0007,-0.0,
2023-07-28,1310839.0,1.0007,1.0021,1.0005,1.0005,-0.0,
2023-07-29,618843.0,1.0005,1.0009,1.0005,1.0007,-0.0,
2023-07-30,66145.0,1.0007,1.0009,1.0004,1.0008,-0.0,
2023-07-31,2813006.0,1.0008,1.0008,0.9996,1.0,-0.0,
2023-08-01,194175294.0,1.0,1.02,1.0,1.001,-0.0,
2023-08-02,65855538.0,1.001,1.0018,1.0002,1.0005,-0.0,
2023-08-03,21935814.0,1.0005,1.0017,1.0004,1.0011,-0.0,
2023-08-04,28245020.0,1.0011,1.0017,1.0007,1.0013,0.0,
2023-08-05,20597148.0,1.0013,1.0016,1.0008,1.0009,0.0,
2023-08-06,20375770.0,1.001,1.0011,1.0003,1.0008,0.0,
2023-08-07,14407476.0,1.0008,1.0014,1.0,1.0006,0.0,
2023-08-08,13114680.0,1.0006,1.0011,1.0002,1.0006,-0.0,
2023-08-09,10590689.0,1.0005,1.0008,1.0004,1.0005,-0.0,46.67
2023-08-10,11845158.0,1.0005,1.0006,1.0002,1.0005,-0.0,47.73
2023-08-11,9504462.0,1.0005,1.0007,1.0001,1.0005,-0.0,50.0
2023-08-12,6423612.0,1.0006,1.0009,1.0001,1.0001,-0.0,43.18
2023-08-13,10612024.0,1.0001,1.0005,0.9996,0.9998,-0.0,39.13
2023-08-14,13223912.0,0.9997,1.0003,0.9989,0.9998,-0.0,47.37
2023-08-15,29613808.0,0.9997,1.0007,0.9995,1.0003,-0.0,39.39
2023-08-16,38739604.0,1.0003,1.0015,1.0001,1.0006,-0.0,51.61
2023-08-17,56215691.0,1.0006,1.001,0.9978,0.9992,-0.0,25.64
2023-08-18,23339694.0,0.9991,1.0002,0.999,1.0,-0.0,35.56
2023-08-19,9296003.0,1.0001,1.0004,0.9999,1.0003,-0.0,43.18
2023-08-20,7271854.0,1.0002,1.0006,1.0,1.0003,-0.0,44.19
2023-08-21,9729218.0,1.0003,1.0005,1.0001,1.0003,-0.0,46.34
2023-08-22,10068013.0,1.0002,1.0007,1.0001,1.0003,-0.0,46.34
2023-08-23,11429900.0,1.0003,1.0184,0.9996,1.0003,-0.0,47.5
2023-08-24,10288182.0,1.0002,1.0006,1.0001,1.0003,-0.0,47.5
2023-08-25,11963046.0,1.0003,1.0007,1.0001,1.0005,-0.0,50.0
2023-08-26,5577087.0,1.0005,1.0005,1.0002,1.0002,-0.0,51.22
2023-08-27,6017278.0,1.0003,1.0005,1.0001,1.0003,-0.0,56.41
2023-08-28,19828223.0,1.0002,1.0003,0.9994,0.9999,-0.0,51.16
2023-08-29,31350903.0,0.9998,1.0001,0.999,0.9993,-0.0,38.64
2023-08-30,13433130.0,0.9993,0.9998,0.9991,0.9991,-0.0,32.56
2023-08-31,50193870.0,0.9991,1.0,0.9984,0.999,-0.0,46.67
2023-09-01,24961954.0,0.999,0.9995,0.9987,0.999,-0.0,27.27
2023-09-02,9900258.0,0.999,0.9992,0.9989,0.9992,-0.0,23.81
2023-09-03,6037123.0,0.9991,0.9994,0.9991,0.9993,-0.0,27.27
2023-09-04,5669965.0,0.9992,0.9994,0.9992,0.9993,-0.0,27.27
2023-09-05,10916991.0,0.9993,0.9995,0.9991,0.9995,-0.0,33.33
2023-09-06,14736048.0,0.9995,0.9995,0.9991,0.9993,-0.0,30.77
2023-09-07,19567661.0,0.9993,0.9998,0.9992,0.9998,-0.0,41.94
2023-09-08,23543424.0,0.9998,0.9999,0.9995,0.9996,-0.0,35.48
2023-09-09,8612225.0,0.9997,0.9998,0.9996,0.9998,-0.0,43.33
2023-09-10,15014196.0,0.9998,0.9999,0.9995,0.9996,-0.0,38.71
2023-09-11,51568381.0,0.9997,0.9997,0.9991,0.9996,-0.0,44.44
2023-09-12,54014624.0,0.9996,1.0,0.9994,0.9996,-0.0,57.14
2023-09-13,46680474.0,0.9997,0.9999,0.9996,0.9997,-0.0,65.0
2023-09-14,56106112.0,0.9997,0.9999,0.9996,0.9997,-0.0,68.42
2023-09-15,46776739.0,0.9997,0.9998,0.9996,0.9997,-0.0,68.42
2023-09-16,19924044.0,0.9997,0.9998,0.9996,0.9997,-0.0,64.71
2023-09-17,14233990.0,0.9997,0.9997,0.9996,0.9996,-0.0,58.82
2023-09-18,85253502.0,0.9997,1.0,0.9995,0.9996,-0.0,58.82
2023-09-19,92575247.0,0.9997,1.0,0.9995,0.9999,-0.0,61.11
2023-09-20,90884380.0,0.9998,1.0,0.9997,0.9999,-0.0,68.75
2023-09-21,69978719.0,0.9999,1.0,0.9996,0.9997,-0.0,46.15
2023-09-22,34038327.0,0.9998,0.9998,0.9996,0.9997,-0.0,54.55
2023-09-23,15907143.0,0.9997,0.9997,0.9995,0.9996,-0.0,40.0
2023-09-24,35876387.0,0.9996,0.9997,0.9992,0.9994,-0.0,40.0
2023-09-25,76925656.0,0.9995,0.9999,0.9994,0.9997,-0.0,53.85
2023-09-26,30079992.0,0.9997,0.9998,0.9996,0.9997,-0.0,53.85
2023-09-27,120909996.0,0.9997,1.0005,0.9996,0.9998,-0.0,53.85
2023-09-28,178680705.0,0.9998,1.0004,0.9995,0.9996,-0.0,46.67
2023-09-29,91949840.0,0.9997,0.9997,0.9993,0.9995,-0.0,43.75
2023-09-30,29225941.0,0.9994,0.9995,0.9993,0.9994,-0.0,41.18
2023-10-01,59693610.0,0.9995,0.9997,0.9994,0.9996,-0.0,50.0
2023-10-02,166068915.0,0.9996,1.0,0.9993,0.9995,-0.0,47.37
2023-10-03,104409605.0,0.9995,0.9996,0.9993,0.9995,-0.0,37.5
2023-10-04,111401259.0,0.9995,0.9997,0.9994,0.9997,-0.0,44.44
2023-10-05,102068868.0,0.9997,0.9998,0.9994,0.9994,-0.0,42.11
2023-10-06,150255705.0,0.9994,0.9996,0.9993,0.9994,-0.0,42.11
2023-10-07,54455977.0,0.9995,0.9995,0.999,0.9993,-0.0,42.11
2023-10-08,79199913.0,0.9993,0.9994,0.9989,0.9992,-0.0,44.44
2023-10-09,131117871.0,0.9991,0.9993,0.9989,0.9993,-0.0,37.5
2023-10-10,262465979.0,0.9992,1.0007,0.9992,1.0004,-0.0,62.96
2023-10-11,205630667.0,1.0003,1.0007,1.0,1.0001,0.0,55.17
2023-10-12,85931504.0,1.0001,1.0002,0.9995,1.0,0.0,57.14
2023-10-13,121591954.0,1.0,1.0006,0.9998,1.0002,0.0,62.07
2023-10-14,51132245.0,1.0002,1.0004,1.0,1.0002,0.0,64.29
2023-10-15,105119908.0,1.0003,1.0004,0.9993,0.9999,0.0,55.17
2023-10-16,410327800.0,0.9999,1.0003,0.9998,1.0001,0.0,60.0
2023-10-17,196762591.0,1.0002,1.0002,0.9999,1.0,0.0,58.06
2023-10-18,145640082.0,1.0001,1.0002,0.9995,0.9998,0.0,51.61
2023-10-19,197174245.0,0.9997,1.0,0.9995,0.9998,0.0,57.14
2023-10-20,236131662.0,0.9999,1.0001,0.9995,0.9997,0.0,55.17
2023-10-21,101894148.0,0.9997,0.9998,0.9995,0.9998,0.0,58.62
2023-10-22,100862200.0,0.9998,0.9998,0.9994,0.9996,0.0,56.67
2023-10-23,387012376.0,0.9996,0.9998,0.9994,0.9995,0.0,53.33
2023-10-24,775959716.0,0.9994,0.9996,0.9966,0.9994,-0.0,25.0
2023-10-25,355401607.0,0.9993,0.9997,0.9993,0.9996,-0.0,36.84
2023-10-26,146992950.0,0.9996,0.9999,0.9993,0.9998,-0.0,45.0
2023-10-27,216102726.0,0.9998,1.0013,0.9996,1.0007,0.0,59.26
2023-10-28,125093129.0,1.0007,1.0019,1.0006,1.0017,0.0,70.27
2023-10-29,77857899.0,1.0017,1.0022,1.0012,1.002,0.0,78.38
2023-10-30,179760842.0,1.002,1.0024,1.0005,1.0016,0.0,69.23
2023-10-31,176315089.0,1.0016,1.0019,0.9999,1.0006,0.0,56.25
2023-11-01,246175994.0,1.0006,1.0009,0.9998,1.0,0.0,51.92
2023-11-02,196900909.0,1.0,1.0004,0.9991,0.9996,0.0,48.21
2023-11-03,168214680.0,0.9996,0.9997,0.9988,0.9995,0.0,48.21
2023-11-04,99817576.0,0.9996,0.9998,0.9991,0.9993,0.0,45.61
2023-11-05,107370869.0,0.9993,0.9994,0.9985,0.999,-0.0,44.83
2023-11-06,125782904.0,0.999,0.9997,0.9987,0.9993,-0.0,48.33
2023-11-07,157779774.0,0.9992,0.9999,0.9989,0.9995,-0.0,50.82
2023-11-08,110387032.0,0.9994,0.9998,0.9992,0.9995,-0.0,49.15
2023-11-09,277846410.0,0.9996,0.9998,0.9987,0.9991,-0.0,44.26
2023-11-10,222944716.0,0.9991,0.9995,0.9987,0.9991,-0.0,34.62
2023-11-11,120926945.0,0.999,0.9992,0.9988,0.999,-0.0,18.6
2023-11-12,88626143.0,0.999,0.9993,0.9988,0.9993,-0.0,18.6
