date,volume,open,high,low,close,MACD,RSI
2019-02-28,153340418.22,0.33,0.489,0.301,0.3554,0.0,
2019-03-01,122476704.43,0.3554,0.4768,0.3502,0.4426,0.01,
2019-03-02,50660886.62,0.443,0.4431,0.3801,0.4026,0.01,
2019-03-03,41110679.59,0.402,0.429,0.3537,0.3639,0.01,
2019-03-04,66614590.51,0.3639,0.3782,0.3226,0.3309,0.0,
2019-03-05,61152467.51,0.3309,0.3456,0.305,0.3137,-0.0,
2019-03-06,30721731.0,0.3136,0.3299,0.3061,0.31,-0.0,
2019-03-07,73918772.24,0.31,0.366,0.3075,0.3478,-0.0,
2019-03-08,46682378.21,0.3476,0.3504,0.28,0.2875,-0.01,
2019-03-09,37817821.7,0.2873,0.2956,0.2675,0.2678,-0.01,
2019-03-10,42782586.81,0.2678,0.2679,0.238,0.255,-0.02,
2019-03-11,42628057.43,0.2548,0.2768,0.2138,0.2173,-0.03,
2019-03-12,34036963.2,0.2173,0.2414,0.2087,0.2202,-0.03,
2019-03-13,49772747.64,0.2206,0.2583,0.2206,0.2456,-0.03,
2019-03-14,57242839.99,0.2454,0.268,0.224,0.2293,-0.03,35.43
2019-03-15,19695949.18,0.2295,0.2415,0.2295,0.2323,-0.03,19.83
2019-03-16,16714026.23,0.2329,0.236,0.2211,0.2283,-0.04,22.11
2019-03-17,16432052.55,0.2283,0.2399,0.227,0.2361,-0.03,27.31
2019-03-18,28554545.69,0.236,0.2392,0.2253,0.2278,-0.03,29.93
2019-03-19,51788431.46,0.2278,0.2335,0.2107,0.2174,-0.03,30.75
2019-03-20,36760892.86,0.2175,0.2233,0.2127,0.2199,-0.03,31.9
2019-03-21,64150250.0,0.22,0.2265,0.195,0.2022,-0.04,18.18
2019-03-22,40212713.11,0.2021,0.2086,0.1996,0.2054,-0.04,26.09
2019-03-23,38747348.04,0.2054,0.2084,0.1959,0.2022,-0.03,28.87
2019-03-24,48190652.49,0.2022,0.2187,0.2014,0.2084,-0.03,34.32
2019-03-25,49421470.3,0.2087,0.2138,0.1906,0.1977,-0.03,41.94
2019-03-26,46719166.24,0.1976,0.201,0.1777,0.1819,-0.03,35.76
2019-03-27,62095512.42,0.1818,0.1984,0.18,0.1942,-0.03,28.83
2019-03-28,76218206.93,0.1942,0.2239,0.1881,0.2199,-0.03,46.41
2019-03-29,63644370.74,0.2199,0.2201,0.2034,0.2067,-0.03,40.92
2019-03-30,53398632.02,0.2067,0.2072,0.196,0.2052,-0.03,41.66
2019-03-31,41682675.44,0.2051,0.2054,0.1922,0.1973,-0.03,36.0
2019-04-01,62557950.4,0.1971,0.203,0.194,0.2015,-0.02,40.22
2019-04-02,78206197.24,0.2014,0.2093,0.1953,0.2049,-0.02,45.1
2019-04-03,73783946.79,0.2045,0.2231,0.188,0.1924,-0.02,40.0
2019-04-04,56478444.37,0.1927,0.2009,0.1888,0.1953,-0.02,47.19
2019-04-05,43657482.78,0.1952,0.2025,0.1935,0.1973,-0.02,46.67
2019-04-06,46296680.86,0.1973,0.2099,0.1958,0.1997,-0.02,48.96
2019-04-07,51759586.89,0.2001,0.21,0.1982,0.2027,-0.02,47.57
2019-04-08,61498802.64,0.2024,0.2186,0.1975,0.2115,-0.02,55.97
2019-04-09,37173577.96,0.2116,0.2127,0.1988,0.205,-0.01,60.87
2019-04-10,38389629.56,0.2049,0.2082,0.2001,0.2018,-0.01,53.91
2019-04-11,40867456.61,0.2018,0.2033,0.1699,0.181,-0.01,28.93
2019-04-12,35520308.48,0.1808,0.1928,0.173,0.1893,-0.01,40.05
2019-04-13,30017230.26,0.1893,0.1947,0.1835,0.192,-0.01,42.55
2019-04-14,25352798.15,0.192,0.1924,0.1851,0.1906,-0.01,45.92
2019-04-15,37893791.12,0.1905,0.1973,0.1801,0.183,-0.01,39.18
2019-04-16,29250696.81,0.183,0.1892,0.179,0.1869,-0.01,39.53
2019-04-17,35592104.2,0.1871,0.2009,0.1868,0.197,-0.01,52.75
2019-04-18,43770529.81,0.1969,0.216,0.1969,0.2109,-0.01,58.25
2019-04-19,34708544.17,0.2105,0.212,0.201,0.2042,-0.01,53.47
2019-04-20,45647573.57,0.2043,0.2341,0.203,0.2292,-0.0,62.1
2019-04-21,66159288.17,0.2296,0.2488,0.2036,0.2328,-0.0,62.29
2019-04-22,48467021.61,0.2328,0.2463,0.2178,0.2293,-0.0,57.59
2019-04-23,45255496.41,0.2293,0.2306,0.2038,0.2076,-0.0,50.98
2019-04-24,43385561.66,0.2075,0.2077,0.1751,0.1875,-0.0,45.21
2019-04-25,17425250.37,0.1874,0.1897,0.1585,0.1601,-0.01,43.3
2019-04-26,22673386.24,0.1604,0.1649,0.1407,0.1461,-0.01,36.63
2019-04-27,23139161.61,0.1463,0.1535,0.1411,0.1509,-0.01,37.45
2019-04-28,31556751.14,0.1511,0.1579,0.144,0.1467,-0.01,36.82
2019-04-29,29393292.01,0.1465,0.1499,0.127,0.1284,-0.02,34.59
2019-04-30,34624953.27,0.1284,0.1399,0.1283,0.1386,-0.02,36.84
2019-05-01,34828656.54,0.1386,0.1418,0.1327,0.1362,-0.02,32.71
2019-05-02,26473642.74,0.136,0.1412,0.1308,0.1327,-0.02,26.36
2019-05-03,35630525.75,0.1326,0.1359,0.1276,0.134,-0.02,28.06
2019-05-04,29489810.34,0.1341,0.1345,0.1187,0.1241,-0.02,13.73
2019-05-05,29087977.31,0.1239,0.1255,0.1195,0.1219,-0.02,11.36
2019-05-06,34562990.3,0.1219,0.127,0.1174,0.1236,-0.02,12.7
2019-05-07,37075435.28,0.124,0.126,0.11,0.1114,-0.02,13.62
2019-05-08,21735885.82,0.1116,0.1136,0.1058,0.1068,-0.02,15.42
2019-05-09,9601618.45,0.1061,0.1061,0.0925,0.0943,-0.02,17.68
2019-05-10,14476137.43,0.0945,0.1048,0.0875,0.0998,-0.03,25.19
2019-05-11,35468300.41,0.0999,0.1132,0.0955,0.1065,-0.02,26.68
2019-05-12,52739783.96,0.1065,0.1265,0.1043,0.1147,-0.02,33.87
2019-05-13,45923125.33,0.1149,0.1326,0.1141,0.1201,-0.02,45.19
2019-05-14,57979259.36,0.1201,0.145,0.1201,0.1433,-0.02,52.37
2019-05-15,23107049.24,0.143,0.1499,0.1326,0.1471,-0.01,55.41
2019-05-16,33338162.86,0.1467,0.157,0.1279,0.1332,-0.01,50.23
2019-05-17,57768580.48,0.1331,0.18,0.1145,0.1709,-0.01,62.51
2019-05-18,43772639.46,0.1711,0.193,0.1555,0.1615,-0.01,62.72
2019-05-19,88020567.99,0.1613,0.2156,0.1551,0.2059,-0.0,72.2
2019-05-20,185510226.27,0.2059,0.3166,0.1946,0.2709,0.01,79.17
2019-05-21,206404080.15,0.2715,0.3422,0.2167,0.2285,0.01,70.71
2019-05-22,116173555.21,0.2285,0.2404,0.1636,0.1686,0.01,59.14
2019-05-23,142239360.03,0.1688,0.2163,0.1585,0.1789,0.01,62.6
2019-05-24,69875445.41,0.1789,0.1855,0.1526,0.1585,0.01,58.37
2019-05-25,100283057.11,0.158,0.19,0.1478,0.1777,0.01,59.8
2019-05-26,91490186.06,0.1777,0.2093,0.1615,0.1741,0.01,58.28
2019-05-27,51124673.08,0.1738,0.1865,0.162,0.1697,0.01,56.94
2019-05-28,69507078.25,0.1696,0.2025,0.1693,0.1821,0.01,55.59
2019-05-29,57063165.31,0.1821,0.1857,0.1666,0.1755,0.01,54.06
2019-05-30,73852700.68,0.1756,0.1887,0.156,0.164,0.01,54.44
2019-05-31,73322193.25,0.1641,0.1968,0.1635,0.1828,0.01,51.81
2019-06-01,94307860.09,0.1826,0.2036,0.1725,0.1939,0.01,54.91
2019-06-02,47247676.38,0.1939,0.2115,0.1826,0.2,0.01,48.99
2019-06-03,61362152.81,0.1999,0.2005,0.174,0.1752,0.01,30.97
2019-06-04,75388705.57,0.1748,0.1821,0.1624,0.1762,0.01,37.55
2019-06-05,136770343.87,0.176,0.2173,0.1685,0.2049,0.01,60.15
2019-06-06,104811482.6,0.2047,0.2209,0.185,0.1981,0.01,55.47
2019-06-07,50399926.66,0.1981,0.218,0.1952,0.2075,0.01,64.9
2019-06-08,27439885.64,0.2067,0.2173,0.1971,0.2131,0.01,61.74
2019-06-09,123931742.84,0.2135,0.2361,0.1972,0.2048,0.01,59.87
2019-06-10,168069851.71,0.205,0.254,0.1952,0.2436,0.01,69.46
2019-06-11,114110261.31,0.2439,0.2539,0.2236,0.2519,0.02,68.78
2019-06-12,112776518.47,0.2519,0.2559,0.2263,0.2365,0.02,65.67
2019-06-13,86282637.7,0.2364,0.2386,0.2123,0.2137,0.02,62.07
2019-06-14,74346679.56,0.2138,0.2171,0.1865,0.1961,0.01,53.25
2019-06-15,82551173.74,0.1958,0.2158,0.1934,0.2031,0.01,52.29
2019-06-16,57100137.6,0.2034,0.2038,0.1943,0.2005,0.01,50.13
2019-06-17,82965791.14,0.2004,0.225,0.1963,0.198,0.01,56.52
2019-06-18,67971296.12,0.1976,0.211,0.1932,0.2084,0.01,58.74
2019-06-19,78364192.17,0.2084,0.217,0.2006,0.2024,0.01,49.23
2019-06-20,68655287.53,0.2029,0.2047,0.1892,0.1915,0.01,48.01
2019-06-21,59644404.53,0.1914,0.1953,0.1764,0.1803,0.0,41.88
2019-06-22,73545943.15,0.1807,0.1898,0.1734,0.1869,0.0,42.22
2019-06-23,68512795.88,0.187,0.1921,0.1757,0.1766,0.0,41.73
2019-06-24,62445524.83,0.1767,0.1823,0.1662,0.169,-0.0,23.2
2019-06-25,58591942.12,0.1695,0.1696,0.1617,0.1625,-0.0,17.47
2019-06-26,63275060.57,0.1623,0.1644,0.1414,0.1504,-0.01,17.9
2019-06-27,43499951.6,0.1505,0.1667,0.1449,0.1506,-0.01,21.7
2019-06-28,36872296.35,0.1507,0.156,0.1426,0.1447,-0.01,24.25
2019-06-29,52865317.74,0.1452,0.172,0.142,0.1633,-0.01,32.14
2019-06-30,73026885.15,0.1632,0.1873,0.1519,0.1527,-0.01,29.98
2019-07-01,40932237.1,0.1526,0.1647,0.1464,0.1629,-0.01,36.19
2019-07-02,37729114.21,0.1629,0.1651,0.1455,0.1481,-0.01,27.07
2019-07-03,32905523.67,0.1482,0.157,0.1432,0.1484,-0.01,28.54
2019-07-04,25687477.79,0.1485,0.1492,0.1329,0.1362,-0.01,28.25
2019-07-05,15177688.9,0.1358,0.1526,0.1354,0.1457,-0.01,36.2
2019-07-06,12829281.66,0.1462,0.151,0.1401,0.1418,-0.01,31.62
2019-07-07,9220530.58,0.1418,0.1486,0.1393,0.1451,-0.01,36.39
2019-07-08,11296853.55,0.1451,0.1479,0.1334,0.1358,-0.01,35.86
2019-07-09,11751196.89,0.1358,0.1364,0.1287,0.1291,-0.01,35.8
2019-07-10,15429159.9,0.1291,0.13,0.118,0.1259,-0.01,38.73
2019-07-11,14465401.88,0.1255,0.1272,0.1098,0.1113,-0.02,34.04
2019-07-12,17957483.69,0.1113,0.122,0.1044,0.1194,-0.02,39.9
2019-07-13,27899232.17,0.1194,0.1394,0.1139,0.122,-0.02,31.11
2019-07-14,17234524.87,0.1222,0.1295,0.1045,0.1045,-0.02,29.26
2019-07-15,16445767.76,0.1045,0.112,0.0964,0.1035,-0.02,22.24
2019-07-16,13572811.17,0.1036,0.1063,0.09,0.0924,-0.02,23.04
2019-07-17,14275091.15,0.0926,0.1028,0.09,0.0977,-0.02,26.59
2019-07-18,17774185.34,0.0976,0.1052,0.0951,0.1019,-0.02,32.9
2019-07-19,8466422.63,0.1018,0.1032,0.099,0.1025,-0.02,26.37
2019-07-20,12084567.03,0.1024,0.1087,0.1005,0.1059,-0.02,30.25
2019-07-21,8382354.68,0.1058,0.1071,0.1003,0.1028,-0.02,26.68
2019-07-22,9925395.54,0.103,0.1044,0.095,0.0983,-0.02,28.17
2019-07-23,11194710.91,0.0984,0.0987,0.0883,0.0888,-0.02,27.28
2019-07-24,15249658.14,0.0888,0.0917,0.0845,0.0874,-0.02,27.85
2019-07-25,46332633.15,0.0874,0.1144,0.0873,0.1053,-0.02,46.67
2019-07-26,24061765.15,0.1053,0.1123,0.102,0.1023,-0.01,39.95
2019-07-27,24789395.08,0.1023,0.105,0.0915,0.0917,-0.01,33.73
2019-07-28,15041440.75,0.0921,0.0949,0.0862,0.0902,-0.01,40.73
2019-07-29,14073958.59,0.0902,0.0947,0.0882,0.0932,-0.01,43.49
2019-07-30,17301648.47,0.0932,0.0947,0.0902,0.0916,-0.01,49.43
2019-07-31,17183174.25,0.0916,0.093,0.0885,0.0901,-0.01,44.22
2019-08-01,18390812.16,0.0901,0.0911,0.0826,0.0838,-0.01,36.67
2019-08-02,16016100.52,0.0838,0.09,0.0831,0.085,-0.01,37.23
2019-08-03,9781086.53,0.0851,0.0864,0.0812,0.0824,-0.01,32.64
2019-08-04,8940998.46,0.0823,0.0827,0.0775,0.078,-0.01,32.03
