date,volume,open,high,low,close,MACD,RSI
2020-10-15,1083589.84,10.0,430.0,10.0,62.5418,0.0,
2020-10-16,1696876.76,62.5902,75.8725,38.8302,44.348,-1.45,
2020-10-17,672950.78,44.3512,50.6273,40.3325,42.24,-2.74,
2020-10-18,593629.16,42.2364,42.3136,31.7722,32.4049,-4.5,
2020-10-19,814098.46,32.3569,35.0,29.9321,33.9755,-5.71,
2020-10-20,310168.39,33.9203,34.0,30.1783,31.175,-6.81,
2020-10-21,455344.06,31.1293,31.8875,26.5013,26.5028,-7.97,
2020-10-22,703079.84,26.5197,26.8362,22.6,23.739,-9.01,
2020-10-23,832249.99,23.707,25.7,20.6023,23.8771,-9.71,
2020-10-24,772683.6,23.8806,26.7346,22.257,25.8076,-9.99,
2020-10-25,1500278.48,25.7672,39.7777,25.3386,38.6663,-9.07,
2020-10-26,1061248.86,38.7826,40.8939,31.9795,33.7887,-8.64,
2020-10-27,571656.41,33.854,37.9,32.6056,35.1693,-8.09,
2020-10-28,552030.18,35.1506,36.5,32.6309,33.6161,-7.69,
2020-10-29,614406.89,33.5782,34.1836,31.8001,32.52,-7.38,27.18
2020-10-30,956640.96,32.52,32.52,28.5677,29.2175,-7.31,35.13
2020-10-31,677740.01,29.2173,32.431,28.1306,31.2848,-7.02,39.23
2020-11-01,334260.05,31.3196,31.8877,30.5975,31.6076,-6.68,49.04
2020-11-02,661737.85,31.5645,31.9782,29.36,29.6401,-6.49,44.81
2020-11-03,603170.03,29.6254,29.685,27.9081,28.8364,-6.33,47.06
2020-11-04,549375.41,28.8386,29.5325,28.1668,28.8967,-6.14,53.41
2020-11-05,628207.45,28.8979,30.2522,28.3853,29.3544,-5.87,58.56
2020-11-06,1324665.71,29.3518,33.3,29.1761,31.6801,-5.42,61.15
2020-11-07,1342540.77,31.7016,33.3249,29.3275,29.9356,-5.14,55.93
2020-11-08,356552.66,29.9355,31.1902,29.5915,30.7588,-4.79,32.65
2020-11-09,678300.25,30.7588,32.3992,30.3332,31.2188,-4.43,43.0
2020-11-10,711348.49,31.2116,31.3165,30.2852,30.3614,-4.16,36.53
2020-11-11,553179.49,30.3614,30.9654,29.8457,30.0939,-3.93,39.36
2020-11-12,602392.94,30.1095,30.3338,28.6667,29.4952,-3.75,40.58
2020-11-13,432455.91,29.4851,30.0507,29.0847,29.155,-3.59,49.76
2020-11-14,504114.99,29.16,29.4685,28.4731,29.2753,-3.42,40.99
2020-11-15,534821.82,29.2825,29.3447,27.4413,27.7306,-3.37,34.33
2020-11-16,603708.65,27.7306,28.016,27.1839,27.448,-3.31,39.74
2020-11-17,874683.52,27.4414,30.0167,27.3292,29.111,-3.1,51.19
2020-11-18,779951.97,29.1068,29.7911,27.7213,28.8206,-2.92,49.68
2020-11-19,369770.07,28.8202,29.3398,28.3821,28.8326,-2.74,47.7
2020-11-20,625457.86,28.8452,30.0,28.7314,29.0516,-2.56,35.75
2020-11-21,1071209.41,29.0497,31.1452,28.8075,29.9369,-2.31,50.01
2020-11-22,685662.82,29.9369,30.2187,28.5873,28.9382,-2.17,39.34
2020-11-23,528273.79,28.9279,29.48,28.7314,29.1832,-2.02,37.77
2020-11-24,1081887.21,29.1856,31.0,29.0002,29.7757,-1.83,46.37
2020-11-25,2098325.9,29.7589,35.3122,29.5,31.0128,-1.56,55.09
2020-11-26,1725341.81,30.9917,32.0301,28.8302,29.8835,-1.42,52.03
2020-11-27,578586.52,29.8926,30.5211,29.2857,29.9387,-1.29,54.22
2020-11-28,400740.0,29.9194,30.3754,29.6572,29.943,-1.18,53.65
2020-11-29,271826.75,29.9428,30.2,29.7272,30.0018,-1.07,64.8
2020-11-30,639113.1,30.0193,30.8965,30.0016,30.3751,-0.94,68.85
2020-12-01,819376.45,30.3768,31.9769,29.7195,30.323,-0.83,59.85
2020-12-02,644848.67,30.3229,31.2971,30.1,30.5754,-0.72,64.35
2020-12-03,468646.74,30.5613,30.9001,30.2109,30.4246,-0.64,62.73
2020-12-04,663311.68,30.4205,30.5283,28.9173,29.0085,-0.68,49.71
2020-12-05,378043.89,29.0061,30.1836,28.9174,29.8579,-0.63,49.47
2020-12-06,309980.14,29.8593,30.0782,29.0152,29.3247,-0.63,52.78
2020-12-07,1383098.17,29.3252,34.0,29.2744,30.473,-0.53,58.21
2020-12-08,929012.5,30.4823,30.9461,29.7,29.937,-0.49,51.03
2020-12-09,1331319.47,29.9322,31.4006,29.6552,30.5,-0.41,46.4
2020-12-10,1475987.52,30.5001,32.8,30.4599,30.538,-0.34,55.43
2020-12-11,998641.15,30.538,30.7236,29.814,29.8306,-0.33,49.19
2020-12-12,475286.21,29.8293,30.3438,29.7696,29.9157,-0.32,49.8
2020-12-13,313538.96,29.9156,30.3549,29.8509,29.99,-0.3,49.91
2020-12-14,535083.87,29.9843,30.1557,29.087,29.3347,-0.33,42.63
2020-12-15,457502.22,29.3385,29.793,29.03,29.1237,-0.37,41.69
2020-12-16,691678.7,29.1237,29.5313,27.822,28.416,-0.45,35.93
2020-12-17,723195.22,28.4112,29.4608,28.2832,28.4405,-0.51,36.86
2020-12-18,352202.43,28.4366,28.8596,28.3101,28.4577,-0.55,45.52
2020-12-19,504450.37,28.4601,28.8968,28.0806,28.2008,-0.59,35.09
2020-12-20,260830.23,28.1994,28.4891,27.9342,28.3891,-0.61,41.03
2020-12-21,1351069.74,28.3897,28.3967,23.8392,24.9963,-0.88,13.28
2020-12-22,1231062.98,24.992,25.5892,24.4,24.6213,-1.11,13.57
2020-12-23,1171948.67,24.6215,25.0122,21.2126,22.3358,-1.47,4.74
2020-12-24,952827.63,22.3349,24.4495,21.8151,23.6991,-1.62,16.94
2020-12-25,1254489.78,23.683,24.5903,23.12,24.349,-1.67,23.36
2020-12-26,318833.86,24.3496,24.3785,23.4349,23.5652,-1.75,21.1
2020-12-27,712076.66,23.5656,23.6979,22.2223,22.236,-1.9,18.33
2020-12-28,583942.93,22.2373,23.1026,21.9515,21.9937,-2.01,18.97
2020-12-29,1136091.54,21.9946,22.2755,19.959,20.4405,-2.2,17.03
2020-12-30,1012089.23,20.4486,22.0122,20.2212,21.5173,-2.24,24.52
2020-12-31,1980304.58,21.5175,26.2,21.0867,24.3284,-2.02,37.41
2021-01-01,1975066.69,24.3356,25.0,21.8948,22.2169,-2.0,33.06
2021-01-02,1085360.74,22.2144,23.2285,21.3368,21.7766,-1.99,32.73
2021-01-03,1149838.47,21.7669,21.9999,20.9397,21.4253,-1.99,31.45
2021-01-04,1303846.94,21.4398,22.98,20.9816,21.4059,-1.97,38.34
2021-01-05,1083908.33,21.4015,22.4576,21.0014,21.6019,-1.91,40.08
2021-01-06,953691.78,21.6039,22.5778,21.5218,21.9407,-1.82,48.51
2021-01-07,1291722.6,21.9407,22.967,21.7943,22.0598,-1.72,43.18
2021-01-08,737513.43,22.0566,22.2902,20.8888,21.5989,-1.65,38.38
2021-01-09,611335.11,21.6045,22.6,21.34,22.0071,-1.55,43.2
2021-01-10,2178920.9,22.005,24.3442,22.005,23.4251,-1.34,55.15
2021-01-11,1485288.51,23.4136,23.5433,20.9158,21.6398,-1.3,48.65
2021-01-12,813438.12,21.6451,21.929,20.941,21.0413,-1.31,52.48
2021-01-13,563074.33,21.0435,21.9099,20.9602,21.7131,-1.24,50.83
2021-01-14,773935.26,21.7131,22.3102,21.3824,21.5738,-1.19,34.8
2021-01-15,821873.19,21.5778,22.2463,21.3222,21.5435,-1.13,45.17
2021-01-16,2154282.19,21.5391,25.0384,21.5163,22.8433,-0.98,56.81
2021-01-17,3324552.24,22.8426,26.1297,22.4001,24.3442,-0.72,66.24
2021-01-18,1575697.57,24.3355,24.9271,23.51,23.7605,-0.56,62.33
2021-01-19,1392163.3,23.7654,24.2885,22.6451,22.6578,-0.51,55.05
2021-01-20,1313276.86,22.6481,23.1255,21.7,22.339,-0.5,51.91
2021-01-21,1091794.57,22.3399,22.7194,20.9083,21.3251,-0.56,46.76
2021-01-22,2190609.41,21.3251,23.3054,20.7176,22.2845,-0.53,52.9
2021-01-23,1758652.81,22.2926,23.5735,22.13,22.6979,-0.46,52.92
2021-01-24,996202.15,22.7051,23.1669,22.4088,22.7027,-0.41,46.53
2021-01-25,929176.03,22.7029,23.0362,22.359,22.4279,-0.38,54.42
2021-01-26,856507.16,22.4278,22.75,21.8,22.1876,-0.37,56.7
2021-01-27,1006804.38,22.2,22.2239,21.193,21.42,-0.42,48.31
2021-01-28,663617.54,21.4197,22.0869,21.3011,21.8988,-0.42,51.81
2021-01-29,1136239.9,21.8921,22.8761,21.8526,22.3086,-0.38,54.08
2021-01-30,668206.1,22.308,22.5888,21.9787,22.0354,-0.37,45.16
2021-01-31,703793.37,22.0393,22.6,22.0214,22.2488,-0.34,35.15
2021-02-01,2060433.07,22.249,24.0393,22.01,22.621,-0.28,41.67
2021-02-02,656229.33,22.6209,22.9237,22.3019,22.4829,-0.24,48.51
2021-02-03,790555.1,22.482,23.45,22.401,23.0537,-0.16,55.83
2021-02-04,899891.48,23.0507,23.2674,22.62,22.8902,-0.11,64.82
2021-02-05,2207299.27,22.886,25.6116,22.7803,24.4825,0.05,68.59
2021-02-06,1646885.21,24.4825,25.2454,23.7565,24.2434,0.17,63.47
2021-02-07,1160116.26,24.2509,24.6031,23.6797,24.0475,0.24,61.34
2021-02-08,3399727.31,24.0399,28.8749,23.819,27.6608,0.58,78.23
2021-02-09,10360782.65,27.6793,51.9635,27.088,44.1298,2.15,93.03
2021-02-10,7444640.48,44.1,45.7821,35.0,39.761,3.01,81.52
2021-02-11,3092652.68,39.7404,42.9083,36.8,40.3198,3.69,81.57
2021-02-12,3632985.0,40.3378,44.8,39.1735,42.65,4.37,82.7
2021-02-13,3009342.87,42.65,44.6632,39.6,41.534,4.77,80.52
2021-02-14,5457198.51,41.551,53.0,41.1328,47.125,5.47,83.33
2021-02-15,6177838.0,47.1332,50.6677,36.05,42.9236,5.62,74.67
2021-02-16,2575753.51,42.956,45.89,40.011,41.874,5.59,73.05
2021-02-17,2163900.06,41.859,44.7751,40.2717,43.205,5.61,73.53
2021-02-18,1635575.95,43.1919,44.4121,42.3631,43.4281,5.58,73.95
2021-02-19,1994041.8,43.428,43.723,40.9946,43.1378,5.47,72.43
2021-02-20,4204436.62,43.1405,49.5,42.0547,43.0007,5.31,72.61
2021-02-21,2063847.42,43.0517,45.9733,42.4908,44.6468,5.25,73.99
2021-02-22,4028531.96,44.6216,44.835,32.3214,39.3921,4.73,63.16
2021-02-23,3639030.24,39.4234,39.5259,31.4204,35.4658,3.95,36.47
2021-02-24,2054149.6,35.466,38.3994,34.3003,36.5817,3.39,44.47
2021-02-25,1422586.08,36.5618,37.5469,34.7508,34.9813,2.78,41.05
2021-02-26,1470450.57,34.9813,36.5498,33.2406,35.1275,2.29,36.39
2021-02-27,1529635.51,35.1368,38.811,35.0688,37.8763,2.09,43.75
2021-02-28,1299134.45,37.8771,38.398,34.7763,35.9652,1.76,28.19
2021-03-01,1418850.74,35.9677,39.41,35.5,38.5649,1.69,40.91
2021-03-02,1157265.03,38.5649,39.0269,37.206,38.2082,1.59,42.13
2021-03-03,2567011.86,38.2125,45.0,38.0001,42.0681,1.79,47.8
2021-03-04,2018704.78,42.0808,43.2558,39.8097,40.7542,1.83,45.03
2021-03-05,1254014.04,40.7615,40.7844,38.3305,40.4667,1.82,45.04
2021-03-06,806648.02,40.4684,40.8489,38.9619,40.3937,1.78,45.14
2021-03-07,715697.16,40.4043,41.7749,40.274,41.3943,1.81,43.79
2021-03-08,829887.71,41.4099,42.0,40.4285,41.535,1.83,55.08
2021-03-09,1065530.76,41.5263,42.5869,41.1699,41.9292,1.85,68.42
2021-03-10,1255246.33,41.9293,44.2103,41.0,42.4547,1.89,67.32
2021-03-11,1146593.02,42.4832,43.13,41.6674,42.2225,1.88,73.22
2021-03-12,1694265.18,42.2339,45.1,41.8999,44.0483,1.99,75.83
2021-03-13,2875290.29,44.059,52.0804,43.5,49.4071,2.49,79.0
2021-03-14,3414066.85,49.3945,57.3707,49.3536,53.8001,3.2,89.88
2021-03-15,2461948.21,53.7835,56.3809,52.0101,53.3584,3.68,86.61
2021-03-16,2708655.02,53.3074,63.9898,50.7144,63.6062,4.84,92.2
2021-03-17,8732867.61,63.5232,96.6659,62.53,88.4498,7.67,95.4
2021-03-18,6988950.66,88.4544,89.7334,73.7931,79.4902,9.09,82.98
2021-03-19,3162744.3,79.4902,86.0,75.554,82.9575,10.37,84.32
2021-03-20,1629861.53,83.043,86.0168,81.38,82.0287,11.18,83.17
2021-03-21,1264062.63,82.0892,83.3661,80.1841,80.651,11.58,81.09
2021-03-22,1782548.13,80.652,81.5,75.25,76.3281,11.42,75.84
2021-03-23,2542396.23,76.3281,85.5,73.3627,82.512,11.65,77.76
2021-03-24,3332468.5,82.5589,94.9069,79.7003,85.8829,11.97,78.59
2021-03-25,3555241.5,85.9117,96.1913,84.9065,91.0363,12.5,80.18
2021-03-26,5241509.24,91.0313,128.7747,90.8959,124.514,15.44,85.75
2021-03-27,5788393.98,124.7046,139.6672,119.7344,132.4472,18.2,86.07
2021-03-28,3153158.08,132.3979,133.772,120.7961,125.2637,19.58,80.31
2021-03-29,2056652.63,125.2633,130.459,123.7402,127.3,20.6,80.94
2021-03-30,3694414.48,127.3391,153.4,124.16,149.6027,22.95,82.69
2021-03-31,6898124.16,149.5697,197.5495,145.5068,190.8556,27.82,84.61
2021-04-01,9489084.8,190.7998,238.2033,180.0,185.6217,30.89,86.79
2021-04-02,5871429.95,185.5682,205.535,160.637,171.9372,31.86,78.81
2021-04-03,3233013.68,171.9372,181.3,162.4098,178.1755,32.76,80.09
2021-04-04,2827398.95,178.1755,193.8753,175.2589,182.7438,33.45,81.33
2021-04-05,1733545.24,182.8548,187.0685,171.0001,176.4686,33.11,80.36
2021-04-06,1403949.62,176.4975,178.9999,164.808,165.5486,31.59,74.48
2021-04-07,4009234.83,165.59,166.4399,135.5526,156.2777,29.3,70.05
2021-04-08,1572359.8,156.2742,158.84,146.352,154.0,27.0,68.23
