date,volume,open,high,low,close,MACD,RSI
2020-10-20,135467.1,10.0,10.486,8.8,8.882,0.0,
2020-10-21,116610.63,8.985,10.5,7.876,10.5,0.13,
2020-10-22,118363.88,10.648,14.378,9.71,13.35,0.46,
2020-10-23,186886.4,13.399,16.721,7.75,8.98,0.36,
2020-10-24,348177.97,9.078,10.261,6.651,7.442,0.16,
2020-10-25,2758925.68,7.442,7.649,1.93,2.658,-0.39,
2020-10-26,2494233.77,2.647,3.54,2.35,3.163,-0.77,
2020-10-27,5552573.05,3.181,3.318,1.39,1.786,-1.17,
2020-10-28,1637353.12,1.789,2.025,1.658,1.842,-1.46,
2020-10-29,1054870.1,1.842,2.02,1.759,1.9,-1.67,
2020-10-30,1126890.79,1.927,2.348,1.924,2.269,-1.79,
2020-10-31,868954.56,2.269,2.388,1.782,1.959,-1.88,
2020-11-01,692480.74,1.954,2.032,1.85,1.875,-1.94,
2020-11-02,829734.55,1.876,2.166,1.818,2.13,-1.95,
2020-11-03,871107.5,2.13,2.335,2.1,2.181,-1.92,31.62
2020-11-04,898597.23,2.181,2.3,2.077,2.167,-1.89,24.93
2020-11-05,687570.56,2.167,2.247,1.915,2.062,-1.84,9.33
2020-11-06,719158.09,2.081,2.093,1.47,1.657,-1.82,13.06
2020-11-07,881071.98,1.653,1.95,1.46,1.868,-1.76,17.53
2020-11-08,677901.21,1.865,1.909,1.687,1.748,-1.71,38.39
2020-11-09,407050.86,1.754,1.798,1.551,1.674,-1.65,28.66
2020-11-10,305388.6,1.68,1.767,1.632,1.746,-1.59,49.08
2020-11-11,270654.03,1.707,1.826,1.666,1.797,-1.51,48.97
2020-11-12,79575.23,1.813,1.989,1.774,1.851,-1.43,48.87
2020-11-13,100037.78,1.866,1.903,1.774,1.895,-1.35,39.89
2020-11-14,138508.07,1.891,1.99,1.834,1.84,-1.27,46.27
2020-11-15,131322.79,1.874,2.16,1.854,2.108,-1.17,56.55
2020-11-16,172256.66,2.108,2.209,2.039,2.141,-1.08,50.35
2020-11-17,239217.86,2.136,2.152,1.712,1.837,-1.02,40.5
2020-11-18,111597.53,1.8,2.1,1.729,1.874,-0.96,42.01
2020-11-19,81890.42,1.879,1.99,1.805,1.913,-0.9,45.78
2020-11-20,234756.72,1.894,1.898,1.653,1.792,-0.85,54.55
2020-11-21,177973.92,1.79,1.816,1.527,1.685,-0.81,43.36
2020-11-22,172744.7,1.677,1.856,1.65,1.803,-0.76,52.0
2020-11-23,59578.56,1.805,1.834,1.736,1.776,-0.72,53.83
2020-11-24,193148.59,1.784,1.82,1.579,1.718,-0.68,48.94
2020-11-25,1127807.08,1.715,1.725,1.094,1.395,-0.67,37.34
2020-11-26,663531.61,1.406,1.572,1.312,1.501,-0.64,39.33
2020-11-27,198526.76,1.485,1.522,1.44,1.491,-0.61,37.42
2020-11-28,98919.6,1.475,1.499,1.441,1.474,-0.59,38.33
2020-11-29,27734.61,1.473,1.495,1.453,1.479,-0.56,25.9
2020-11-30,93063.38,1.464,1.476,1.401,1.449,-0.53,23.43
2020-12-01,15963.75,1.437,1.499,1.325,1.435,-0.51,30.14
2020-12-02,27223.31,1.464,1.465,1.388,1.428,-0.48,27.29
2020-12-03,37123.72,1.445,1.47,1.429,1.452,-0.46,26.16
2020-12-04,88012.75,1.453,1.591,1.44,1.565,-0.42,38.16
2020-12-05,19899.91,1.582,1.59,1.469,1.499,-0.39,39.87
2020-12-06,11126.61,1.487,1.576,1.485,1.554,-0.36,35.44
2020-12-07,472470.22,1.54,1.541,1.142,1.454,-0.34,32.65
2020-12-08,170207.79,1.443,1.516,1.404,1.492,-0.32,37.56
2020-12-09,218139.31,1.499,1.52,1.366,1.445,-0.3,53.96
2020-12-10,153456.74,1.427,1.451,1.286,1.445,-0.29,44.68
2020-12-11,51702.06,1.448,1.5,1.421,1.5,-0.26,50.79
2020-12-12,17297.58,1.493,1.511,1.462,1.491,-0.25,51.51
2020-12-13,6927.9,1.505,1.507,1.462,1.482,-0.23,50.26
2020-12-14,29154.8,1.497,1.582,1.477,1.561,-0.21,59.09
2020-12-15,54442.36,1.548,1.591,1.513,1.588,-0.18,62.16
2020-12-16,29035.22,1.576,1.699,1.544,1.642,-0.16,65.83
2020-12-17,45098.62,1.642,1.66,1.531,1.641,-0.14,64.47
2020-12-18,32243.92,1.649,1.656,1.595,1.63,-0.12,55.9
2020-12-19,31720.31,1.652,1.688,1.6,1.663,-0.11,65.83
2020-12-20,17859.67,1.669,1.695,1.639,1.66,-0.09,61.37
2020-12-21,266048.82,1.654,2.106,1.63,1.883,-0.06,86.42
2020-12-22,356722.27,1.891,2.031,1.758,1.96,-0.03,87.26
2020-12-23,506775.92,1.96,2.691,1.88,2.39,0.03,96.74
2020-12-24,147905.69,2.414,2.49,1.973,2.084,0.05,74.26
2020-12-25,32064.62,2.085,2.195,1.952,1.995,0.06,68.32
2020-12-26,144234.71,1.998,2.158,1.998,2.14,0.07,71.82
2020-12-27,59484.09,2.121,2.421,2.114,2.418,0.11,76.65
2020-12-28,18947.49,2.38,2.46,2.184,2.46,0.14,76.15
2020-12-29,43673.66,2.412,2.904,2.387,2.829,0.19,80.11
2020-12-30,69283.16,2.806,2.836,2.42,2.541,0.21,69.59
2020-12-31,626923.08,2.537,2.624,1.464,1.818,0.16,52.93
2021-01-01,173050.43,1.803,2.28,1.68,2.207,0.15,58.5
2021-01-02,155075.29,2.203,2.376,2.032,2.287,0.15,59.06
2021-01-03,52909.1,2.29,2.458,2.252,2.332,0.15,59.64
2021-01-04,83211.35,2.352,2.46,2.076,2.365,0.15,57.32
2021-01-05,44100.59,2.365,2.446,2.188,2.336,0.14,55.79
2021-01-06,28200.97,2.329,2.361,2.157,2.277,0.14,48.03
2021-01-07,34651.45,2.273,2.329,2.07,2.277,0.13,53.76
2021-01-08,26828.0,2.267,2.451,2.249,2.341,0.12,56.8
2021-01-09,25866.81,2.345,2.42,2.144,2.24,0.11,52.0
2021-01-10,175802.06,2.282,2.292,1.811,2.006,0.08,41.61
2021-01-11,74879.51,2.08,2.561,2.069,2.407,0.09,49.06
2021-01-12,18555.83,2.413,2.561,2.344,2.561,0.11,44.85
2021-01-13,8436.48,2.556,2.556,2.351,2.425,0.11,47.63
2021-01-14,18380.56,2.402,2.474,2.289,2.449,0.11,68.04
2021-01-15,19735.72,2.442,2.5,2.306,2.446,0.11,58.77
2021-01-16,266322.76,2.44,2.44,1.712,2.188,0.09,46.79
