date,volume,open,high,low,close,MACD,RSI
2020-10-20,23072.75,10.0,11.251,9.252,11.173,0.0,
2020-10-21,10925.57,11.029,12.501,8.892,8.892,-0.18,
2020-10-22,100462.72,8.733,8.817,5.886,6.336,-0.53,
2020-10-23,202607.3,6.4,8.802,5.008,7.594,-0.69,
2020-10-24,230976.25,7.506,8.799,6.598,8.23,-0.76,
2020-10-25,360773.95,8.219,20.316,8.1,15.673,-0.21,
2020-10-26,220313.51,15.841,17.799,9.86,10.966,-0.16,
2020-10-27,270085.32,10.912,17.394,10.45,16.439,0.33,
2020-10-28,58246.94,16.419,17.663,13.88,15.65,0.64,
2020-10-29,41670.12,15.611,16.32,13.992,15.011,0.82,
2020-10-30,68222.75,15.011,15.011,11.5,12.274,0.74,
2020-10-31,46736.11,12.073,14.877,11.35,13.925,0.8,
2020-11-01,43846.49,14.226,14.6,13.4,14.4,0.88,
2020-11-02,32399.89,14.4,14.825,12.349,12.699,0.79,
2020-11-03,22961.93,12.567,12.71,10.979,12.089,0.66,51.39
2020-11-04,11795.9,12.149,12.613,11.393,12.15,0.56,55.3
2020-11-05,18606.72,12.15,13.5,11.688,12.82,0.53,61.24
2020-11-06,39864.38,12.705,16.846,12.596,15.241,0.69,62.74
2020-11-07,41194.49,15.082,16.889,12.41,13.342,0.66,58.17
2020-11-08,12178.14,13.026,14.61,12.852,14.22,0.7,47.06
2020-11-09,16438.03,14.023,15.839,13.678,14.786,0.76,59.29
2020-11-10,32372.1,14.578,15.136,13.913,13.958,0.74,42.21
2020-11-11,20042.9,14.037,14.657,13.264,13.606,0.68,43.4
2020-11-12,4730.65,13.503,13.88,12.084,13.0,0.59,43.49
2020-11-13,7199.2,12.913,13.721,12.69,12.69,0.48,51.6
2020-11-14,8851.43,12.677,13.114,12.059,13.006,0.41,46.07
2020-11-15,14089.23,12.991,12.991,10.837,11.256,0.22,37.88
2020-11-16,18308.19,11.15,11.605,10.684,10.862,0.03,42.12
2020-11-17,41205.32,10.874,13.776,10.858,12.904,0.04,53.11
2020-11-18,15661.58,12.94,13.665,11.241,12.766,0.05,52.34
2020-11-19,11266.13,12.682,13.139,11.9,12.51,0.03,48.78
