date,volume,open,high,low,close,MACD,RSI
2020-09-04,3775401.98,0.1778,0.2158,0.1773,0.1955,0.0,
2020-09-05,2646812.94,0.1942,0.2012,0.138,0.147,-0.0,
2020-09-06,2251866.42,0.147,0.1677,0.1379,0.1587,-0.01,
2020-09-07,2262711.82,0.1587,0.1665,0.1404,0.1553,-0.01,
2020-09-08,1892906.28,0.1554,0.1658,0.1456,0.1541,-0.01,
2020-09-09,852672.02,0.1528,0.1668,0.1496,0.1616,-0.01,
2020-09-10,7783909.56,0.162,0.192,0.1601,0.185,-0.01,
2020-09-11,2860647.31,0.184,0.1863,0.1681,0.1802,-0.01,
2020-09-12,1125451.23,0.1803,0.1819,0.1708,0.1736,-0.01,
2020-09-13,1532789.83,0.173,0.1806,0.1583,0.1586,-0.01,
2020-09-14,828544.46,0.1583,0.1645,0.1557,0.1581,-0.01,
2020-09-15,1027353.01,0.1581,0.1587,0.1441,0.1454,-0.01,
2020-09-16,943790.73,0.1441,0.145,0.1354,0.1358,-0.01,
2020-09-17,649793.71,0.1358,0.1401,0.1322,0.1368,-0.01,
2020-09-18,1396104.2,0.1368,0.1471,0.1351,0.1413,-0.01,31.98
2020-09-19,859873.18,0.1413,0.1511,0.1394,0.1433,-0.01,48.22
2020-09-20,355124.88,0.1429,0.144,0.1356,0.137,-0.01,38.98
2020-09-21,788306.73,0.1367,0.1393,0.1209,0.1234,-0.01,35.33
2020-09-22,613650.75,0.123,0.1249,0.1188,0.1238,-0.02,35.96
2020-09-23,611371.33,0.1239,0.1275,0.1201,0.1209,-0.02,30.3
2020-09-24,292812.51,0.1217,0.1291,0.1209,0.1288,-0.02,18.0
2020-09-25,736120.57,0.1289,0.1313,0.1243,0.1306,-0.02,20.75
2020-09-26,470467.44,0.1311,0.1376,0.1296,0.133,-0.01,24.81
2020-09-27,340339.78,0.134,0.1367,0.1279,0.1298,-0.01,29.07
2020-09-28,371136.93,0.1297,0.131,0.122,0.1225,-0.01,26.46
2020-09-29,589693.6,0.1226,0.1237,0.117,0.12,-0.01,30.58
2020-09-30,335745.18,0.1201,0.1214,0.1174,0.1214,-0.01,37.41
2020-10-01,986547.71,0.1206,0.1249,0.1145,0.116,-0.01,33.12
2020-10-02,454655.74,0.1152,0.1164,0.1099,0.1108,-0.01,25.52
2020-10-03,396231.79,0.1107,0.1137,0.1096,0.1113,-0.01,23.68
2020-10-04,220147.73,0.1111,0.1111,0.1093,0.1098,-0.01,25.71
2020-10-05,212612.42,0.1102,0.1121,0.109,0.11,-0.01,34.27
2020-10-06,426674.71,0.1096,0.1117,0.1023,0.1025,-0.01,28.57
2020-10-07,373467.73,0.1025,0.1025,0.0994,0.1018,-0.01,29.89
2020-10-08,452699.64,0.102,0.104,0.0977,0.1022,-0.01,16.75
2020-10-09,1192792.0,0.1022,0.1125,0.1021,0.1117,-0.01,30.19
2020-10-10,997999.47,0.1117,0.1127,0.1069,0.107,-0.01,24.0
2020-10-11,139727.06,0.1076,0.109,0.1059,0.1079,-0.01,27.04
2020-10-12,816715.65,0.1074,0.1165,0.1053,0.1055,-0.01,30.14
2020-10-13,571590.87,0.1054,0.1066,0.1009,0.1035,-0.01,30.5
