date,volume,open,high,low,close,MACD,RSI
2021-01-29,948647.076,4.446,6.38,4.052,4.317,0.0,
2021-01-30,278483.836,4.317,4.54,4.1,4.126,-0.02,
2021-01-31,185776.03,4.126,4.199,3.86,3.957,-0.04,
2021-02-01,233017.402,3.957,4.074,3.645,3.726,-0.08,
2021-02-02,205086.308,3.726,4.2,3.688,4.15,-0.07,
2021-02-03,177168.174,4.143,4.23,3.981,4.161,-0.07,
2021-02-04,270367.405,4.15,4.47,3.864,3.962,-0.08,
2021-02-05,594421.153,3.962,4.9,3.902,4.702,-0.03,
2021-02-06,578932.753,4.702,5.4,4.343,4.85,0.03,
2021-02-07,351719.304,4.85,5.208,4.4,4.572,0.04,
2021-02-08,273579.996,4.588,5.011,4.554,4.995,0.09,
2021-02-09,542602.191,4.97,5.656,4.601,5.2,0.15,
2021-02-10,433339.322,5.209,5.399,4.8,5.057,0.17,
2021-02-11,625502.659,5.057,6.25,5.007,5.962,0.27,
2021-02-12,269175.986,5.963,6.286,5.626,6.055,0.34,70.89
2021-02-13,959388.523,6.017,8.3,5.938,7.451,0.51,80.99
2021-02-14,451260.292,7.497,7.583,6.164,6.421,0.55,69.79
2021-02-15,347736.17,6.421,6.736,5.381,6.1,0.56,68.79
2021-02-16,379782.52,6.142,6.34,5.719,5.953,0.54,64.93
2021-02-17,366257.073,5.95,7.006,5.59,6.734,0.58,68.89
2021-02-18,286985.727,6.706,7.274,6.467,6.711,0.61,70.72
2021-02-19,301679.485,6.687,7.35,6.293,6.802,0.63,67.55
2021-02-20,355911.86,6.802,7.069,6.027,6.181,0.59,60.31
2021-02-21,337034.121,6.18,7.1,6.1,6.89,0.61,66.83
2021-02-22,385466.038,6.913,6.913,5.66,6.152,0.55,58.03
2021-02-23,346669.1,6.169,6.17,4.6,5.001,0.41,48.78
2021-02-24,255714.878,5.005,5.65,4.833,5.384,0.33,51.95
2021-02-25,276842.472,5.384,5.94,4.922,4.968,0.23,43.71
2021-02-26,159091.687,4.968,5.116,4.633,4.87,0.14,42.5
2021-02-27,297289.257,4.87,6.0,4.843,5.611,0.13,37.31
2021-02-28,225842.135,5.579,5.7,4.893,5.187,0.08,40.71
2021-03-01,126272.061,5.19,5.551,5.136,5.498,0.07,45.46
2021-03-02,274966.124,5.477,5.697,5.2,5.356,0.05,45.5
2021-03-03,1838629.233,5.356,7.49,5.299,6.193,0.1,45.95
2021-03-04,543377.163,6.191,6.378,5.65,6.049,0.12,45.14
2021-03-05,502292.568,6.04,6.808,5.75,6.622,0.19,48.77
2021-03-06,258556.342,6.648,6.782,6.167,6.223,0.21,50.3
2021-03-07,249918.978,6.249,6.487,6.152,6.402,0.23,46.27
2021-03-08,408061.375,6.417,7.0,6.29,6.696,0.27,54.46
2021-03-09,350456.667,6.696,6.843,6.545,6.697,0.3,67.16
2021-03-10,1907812.319,6.699,8.74,6.25,7.755,0.4,71.11
2021-03-11,1316033.826,7.755,9.0,7.608,7.707,0.48,76.09
2021-03-12,672107.632,7.738,8.6,7.165,7.435,0.51,73.65
2021-03-13,407439.704,7.458,8.093,7.176,7.727,0.55,71.27
2021-03-14,487448.892,7.73,8.7,7.532,8.52,0.64,81.19
2021-03-15,731482.887,8.531,9.5,7.7,7.929,0.65,71.62
2021-03-16,526428.02,7.928,8.95,7.501,8.723,0.72,76.83
2021-03-17,356597.611,8.719,8.758,7.929,8.449,0.74,69.75
2021-03-18,255321.577,8.44,8.518,7.903,8.05,0.72,66.77
2021-03-19,219680.348,8.046,8.167,7.761,7.919,0.68,61.74
2021-03-20,330009.144,7.921,8.495,7.707,7.707,0.63,63.9
2021-03-21,297970.245,7.719,8.55,7.584,8.1,0.61,65.29
2021-03-22,244286.088,8.1,8.46,7.402,7.532,0.55,57.17
2021-03-23,270499.42,7.529,8.2,7.282,7.642,0.5,57.96
2021-03-24,227322.404,7.641,7.98,7.069,7.17,0.42,44.53
2021-03-25,239072.369,7.185,7.274,6.582,6.858,0.32,42.44
2021-03-26,159604.017,6.848,7.45,6.848,7.412,0.29,49.8
2021-03-27,257519.974,7.414,7.85,6.98,7.6,0.28,48.9
2021-03-28,259289.097,7.591,8.0,7.514,7.931,0.29,44.47
2021-03-29,550785.466,7.931,9.4,7.702,8.94,0.38,58.8
