date,volume,open,high,low,close,MACD,RSI
2021-03-03,6055813.959,3.341,4.399,3.076,3.27,0.0,
2021-03-04,2627620.898,3.27,3.305,2.919,2.931,-0.03,
2021-03-05,1530277.907,2.931,3.053,2.68,2.85,-0.05,
2021-03-06,1109274.29,2.864,3.0,2.65,2.778,-0.08,
2021-03-07,797340.178,2.783,2.897,2.721,2.811,-0.1,
2021-03-08,1128064.533,2.803,2.839,2.578,2.778,-0.11,
2021-03-09,1594219.732,2.779,3.013,2.749,2.972,-0.11,
2021-03-10,1960221.261,2.981,3.236,2.795,2.917,-0.11,
2021-03-11,1365209.815,2.916,3.05,2.721,2.855,-0.11,
2021-03-12,2613022.703,2.855,3.4,2.73,3.383,-0.07,
2021-03-13,2441440.972,3.396,4.05,3.153,3.667,-0.01,
2021-03-14,1730864.945,3.666,4.08,3.5,3.801,0.04,
2021-03-15,1926873.422,3.801,4.05,3.222,4.012,0.1,
2021-03-16,1624058.948,4.016,4.265,3.364,3.513,0.1,
2021-03-17,1061312.382,3.526,3.797,3.337,3.708,0.12,58.05
2021-03-18,643823.208,3.725,3.79,3.546,3.69,0.13,65.82
2021-03-19,2568403.364,3.685,4.88,3.665,4.601,0.21,77.11
2021-03-20,866185.652,4.631,4.676,4.14,4.208,0.24,70.14
2021-03-21,960824.388,4.203,4.506,3.758,3.956,0.24,65.19
2021-03-22,1298052.131,3.971,4.75,3.793,4.177,0.26,67.68
2021-03-23,977768.232,4.184,4.557,3.934,4.107,0.26,64.81
2021-03-24,881921.831,4.104,4.45,3.684,3.736,0.23,59.87
2021-03-25,985714.482,3.733,4.168,3.447,3.516,0.19,57.67
2021-03-26,588810.765,3.517,3.879,3.511,3.777,0.17,54.88
2021-03-27,728424.744,3.774,4.285,3.7,3.958,0.17,53.7
2021-03-28,732739.137,3.944,4.15,3.788,3.974,0.17,52.26
2021-03-29,781562.604,3.975,4.43,3.876,4.286,0.19,53.49
2021-03-30,590146.675,4.286,4.339,3.987,4.033,0.19,57.08
2021-03-31,746966.232,4.047,4.049,3.663,3.845,0.17,51.87
2021-04-01,547602.161,3.862,3.877,3.583,3.686,0.14,49.95
2021-04-02,1311010.079,3.688,4.271,3.59,3.633,0.11,33.59
2021-04-03,869212.595,3.632,4.05,3.571,3.767,0.09,41.81
2021-04-04,475946.052,3.753,3.922,3.63,3.793,0.08,46.69
2021-04-05,580004.854,3.797,3.93,3.652,3.709,0.07,39.95
2021-04-06,744260.372,3.709,3.86,3.465,3.517,0.04,37.96
2021-04-07,808692.056,3.516,3.625,3.121,3.319,0.0,40.84
2021-04-08,612347.649,3.306,3.78,3.28,3.651,-0.0,52.83
2021-04-09,1039464.305,3.645,4.076,3.629,3.844,0.01,51.44
2021-04-10,864223.598,3.845,3.954,3.504,3.606,0.0,42.6
2021-04-11,574798.944,3.606,3.725,3.395,3.631,-0.0,42.82
2021-04-12,413297.18,3.639,3.696,3.372,3.498,-0.02,32.16
2021-04-13,537890.514,3.498,3.648,3.311,3.385,-0.04,34.33
2021-04-14,518200.257,3.387,3.4,3.17,3.289,-0.06,35.93
2021-04-15,514054.257,3.282,3.55,3.277,3.491,-0.06,45.17
2021-04-16,527943.474,3.506,3.596,3.122,3.25,-0.08,41.32
2021-04-17,695046.615,3.251,3.455,3.127,3.166,-0.1,36.07
2021-04-18,839019.474,3.167,3.206,2.45,2.794,-0.15,30.04
2021-04-19,673080.114,2.8,3.08,2.354,2.502,-0.21,27.74
2021-04-20,3533692.187,2.507,2.7,1.95,2.453,-0.25,29.28
2021-04-21,661371.823,2.453,2.541,2.244,2.278,-0.3,29.55
2021-04-22,841039.913,2.27,2.5,2.01,2.062,-0.35,17.29
2021-04-23,1723687.054,2.065,2.065,1.56,1.844,-0.4,9.25
2021-04-24,705373.844,1.844,2.0,1.63,1.688,-0.45,9.57
2021-04-25,756568.085,1.694,1.999,1.661,1.767,-0.48,11.58
2021-04-26,1917145.707,1.769,2.49,1.733,2.223,-0.46,26.81
2021-04-27,5912922.913,2.223,2.98,2.17,2.411,-0.42,32.75
2021-04-28,1854070.71,2.411,2.465,2.188,2.299,-0.4,32.57
2021-04-29,1637008.763,2.3,2.423,2.138,2.361,-0.37,29.07
2021-04-30,16154965.244,2.361,4.47,2.328,3.19,-0.28,49.09
2021-05-01,28374921.046,3.192,4.64,2.985,3.689,-0.16,57.06
2021-05-02,4826793.185,3.689,3.8,3.28,3.309,-0.1,56.94
2021-05-03,3773306.433,3.317,3.518,3.045,3.07,-0.07,57.76
2021-05-04,2485643.062,3.07,3.072,2.736,2.743,-0.07,53.68
2021-05-05,5228565.315,2.745,3.593,2.669,2.99,-0.05,58.88
2021-05-06,2441396.324,2.987,3.299,2.708,3.092,-0.03,63.23
2021-05-07,2798391.322,3.097,3.394,2.7,2.868,-0.03,63.13
2021-05-08,1204548.873,2.868,3.1,2.772,2.812,-0.03,64.79
2021-05-09,1634041.496,2.808,3.09,2.55,2.737,-0.04,62.78
2021-05-10,2118179.877,2.737,2.849,2.25,2.341,-0.07,51.58
2021-05-11,2051806.301,2.329,2.936,2.261,2.883,-0.06,55.77
2021-05-12,3217387.663,2.886,3.149,2.268,2.28,-0.1,49.79
2021-05-13,1547209.717,2.304,2.651,2.192,2.283,-0.12,49.14
2021-05-14,3483203.427,2.297,2.8,2.2,2.613,-0.12,42.83
2021-05-15,2266539.799,2.613,2.863,2.397,2.454,-0.12,33.23
2021-05-16,1026848.437,2.462,2.655,2.25,2.355,-0.13,35.98
2021-05-17,986929.582,2.356,2.369,2.012,2.111,-0.16,35.93
2021-05-18,682153.684,2.112,2.281,1.999,2.027,-0.19,38.69
2021-05-19,1829965.385,2.025,2.077,1.286,1.36,-0.26,27.26
2021-05-20,1289560.659,1.373,1.696,1.248,1.49,-0.3,27.82
2021-05-21,38135686.879,1.5,2.844,1.434,2.293,-0.27,43.14
2021-05-22,21949333.841,2.288,2.595,1.72,1.8,-0.28,39.07
2021-05-23,10772957.555,1.8,1.85,0.967,1.246,-0.32,35.4
2021-05-24,6587345.386,1.243,1.691,1.17,1.532,-0.34,41.91
2021-05-25,2948322.477,1.532,1.585,1.233,1.407,-0.35,33.89
2021-05-26,2290844.88,1.414,1.585,1.369,1.486,-0.35,40.21
2021-05-27,2206709.119,1.482,1.597,1.302,1.439,-0.35,39.71
2021-05-28,1709145.25,1.435,1.466,1.192,1.26,-0.36,32.87
2021-05-29,1126694.355,1.262,1.326,1.085,1.136,-0.38,33.16
2021-05-30,1446936.321,1.138,1.347,1.071,1.263,-0.38,36.15
2021-05-31,2116708.496,1.26,1.469,1.183,1.344,-0.36,39.85
2021-06-01,994390.133,1.344,1.394,1.271,1.304,-0.35,40.32
2021-06-02,4544299.197,1.308,1.738,1.253,1.442,-0.33,51.28
2021-06-03,4186823.85,1.442,1.73,1.422,1.488,-0.3,49.97
2021-06-04,2400012.59,1.485,1.494,1.254,1.355,-0.29,30.87
2021-06-05,1276641.642,1.35,1.417,1.217,1.278,-0.28,37.18
2021-06-06,2961269.338,1.275,1.563,1.26,1.344,-0.27,53.17
2021-06-07,2135415.963,1.344,1.407,1.242,1.251,-0.26,39.63
2021-06-08,2218903.443,1.249,1.265,1.01,1.159,-0.26,40.62
2021-06-09,8157281.184,1.156,1.547,1.086,1.32,-0.24,44.09
2021-06-10,2541297.745,1.319,1.342,1.152,1.18,-0.24,41.35
2021-06-11,8437898.804,1.179,1.489,1.128,1.313,-0.22,51.83
2021-06-12,5990118.483,1.313,1.4,1.125,1.234,-0.21,53.49
2021-06-13,1675183.589,1.234,1.301,1.188,1.291,-0.2,51.05
2021-06-14,2078344.159,1.293,1.36,1.255,1.283,-0.18,47.59
