date,volume,open,high,low,close,MACD,RSI
2023-05-05,895541625011.0,3.23e-05,5.4e-05,3.23e-05,4.785e-05,0.0,
2023-05-06,763748694374.0,4.784e-05,4.828e-05,3.832e-05,3.999e-05,-0.0,
2023-05-07,295592733538.0,4.002e-05,4.2e-05,3.788e-05,3.923e-05,-0.0,
2023-05-08,341982182985.0,3.923e-05,3.986e-05,3.181e-05,3.44e-05,-0.0,
2023-05-09,223960089339.0,3.439e-05,3.663e-05,3.376e-05,3.587e-05,-0.0,
2023-05-10,183637675475.0,3.586e-05,3.815e-05,3.421e-05,3.776e-05,-0.0,
2023-05-11,178636283060.0,3.774e-05,3.776e-05,3.305e-05,3.549e-05,-0.0,
2023-05-12,150704079571.0,3.549e-05,3.661e-05,3.291e-05,3.634e-05,-0.0,
2023-05-13,222106493653.0,3.637e-05,3.725e-05,3.487e-05,3.586e-05,-0.0,
2023-05-14,95352047455.0,3.586e-05,3.627e-05,3.49e-05,3.592e-05,-0.0,
2023-05-15,96825354309.0,3.592e-05,3.62e-05,3.467e-05,3.525e-05,-0.0,
2023-05-16,108017905864.0,3.525e-05,3.574e-05,3.355e-05,3.39e-05,-0.0,
2023-05-17,171816172315.0,3.39e-05,3.418e-05,3.186e-05,3.356e-05,-0.0,
2023-05-18,205347291008.0,3.358e-05,3.555e-05,3.2e-05,3.26e-05,-0.0,
2023-05-19,81664369458.0,3.261e-05,3.286e-05,3.217e-05,3.28e-05,-0.0,18.63
2023-05-20,161140909481.0,3.28e-05,3.445e-05,3.222e-05,3.323e-05,-0.0,29.59
2023-05-21,132318446085.0,3.32e-05,3.32e-05,3.047e-05,3.099e-05,-0.0,27.16
2023-05-22,135445704331.0,3.099e-05,3.149e-05,3.016e-05,3.103e-05,-0.0,37.28
2023-05-23,131373513376.0,3.102e-05,3.207e-05,3.084e-05,3.181e-05,-0.0,33.84
2023-05-24,465066185513.0,3.182e-05,3.385e-05,2.975e-05,3.127e-05,-0.0,21.05
2023-05-25,418609687321.0,3.127e-05,3.304e-05,2.98e-05,3.108e-05,-0.0,25.85
2023-05-26,189177033984.0,3.108e-05,3.193e-05,3.036e-05,3.114e-05,-0.0,18.82
