date,volume,open,high,low,close,MACD,RSI
2021-07-30,4483043.91,18.31,35.61,18.31,23.9,0.0,
2021-07-31,3473070.16,23.91,28.0,22.93,24.36,0.04,
2021-08-01,1142018.18,24.37,24.42,21.07,21.09,-0.2,
2021-08-02,854827.32,21.13,22.7,20.75,22.15,-0.29,
2021-08-03,375663.45,22.15,22.4,20.5,20.84,-0.47,
2021-08-04,661972.03,20.84,22.48,20.27,22.3,-0.48,
2021-08-05,637252.01,22.32,23.5,20.91,22.32,-0.49,
2021-08-06,350100.08,22.28,22.64,21.51,22.42,-0.48,
2021-08-07,388005.74,22.45,23.37,21.92,22.67,-0.45,
2021-08-08,344950.32,22.66,23.4,21.19,21.46,-0.51,
2021-08-09,474626.36,21.46,22.36,20.57,22.19,-0.5,
2021-08-10,711136.75,22.19,24.11,21.66,23.09,-0.41,
2021-08-11,811378.53,23.16,26.69,22.97,23.8,-0.28,
2021-08-12,384941.69,23.78,24.0,21.9,22.56,-0.28,
2021-08-13,254047.6,22.56,24.0,22.4,23.67,-0.18,49.17
2021-08-14,339092.44,23.65,23.91,22.5,23.31,-0.13,46.18
2021-08-15,271717.58,23.32,23.39,22.13,23.06,-0.11,59.2
2021-08-16,298445.24,23.05,23.74,22.48,22.78,-0.12,53.17
2021-08-17,602247.67,22.81,25.11,21.86,22.22,-0.17,57.52
2021-08-18,400235.39,22.23,24.0,21.12,22.36,-0.19,50.38
2021-08-19,205234.48,22.37,23.02,21.25,22.83,-0.17,53.07
2021-08-20,243716.14,22.87,23.58,22.28,23.43,-0.1,55.73
2021-08-21,723106.91,23.4,25.38,23.02,23.2,-0.07,53.01
2021-08-22,340637.13,23.17,23.37,22.54,23.06,-0.05,60.36
2021-08-23,484075.95,23.08,24.52,22.79,23.94,0.03,61.12
2021-08-24,655568.15,23.94,23.99,21.62,21.78,-0.08,42.83
2021-08-25,957231.85,21.78,23.03,20.81,22.34,-0.11,41.87
2021-08-26,456435.05,22.34,22.95,20.94,21.29,-0.23,42.78
2021-08-27,380500.67,21.3,22.0,20.96,21.84,-0.27,38.88
2021-08-28,280837.22,21.89,22.17,21.58,21.65,-0.31,39.7
2021-08-29,2572952.59,21.65,28.91,21.54,27.61,0.13,66.52
2021-08-30,2199673.19,27.6,29.1,24.31,25.17,0.28,57.5
2021-08-31,1510140.26,25.18,27.68,24.0,25.14,0.4,59.48
2021-09-01,876838.22,25.12,25.84,24.22,25.67,0.52,60.48
2021-09-02,413788.87,25.67,25.79,24.96,25.19,0.58,57.47
2021-09-03,421931.41,25.14,25.94,24.8,25.46,0.64,56.56
2021-09-04,486156.4,25.43,27.35,25.0,25.71,0.69,58.1
2021-09-05,662259.66,25.71,27.33,25.28,26.72,0.81,61.19
2021-09-06,477529.22,26.73,26.79,25.15,25.86,0.83,55.88
2021-09-07,808617.09,25.86,26.17,20.43,21.38,0.47,48.93
2021-09-08,1203457.51,21.43,22.91,18.4,21.05,0.16,46.5
2021-09-09,420295.72,21.05,22.35,20.53,21.47,-0.05,50.51
2021-09-10,449742.8,21.46,22.07,19.6,20.08,-0.33,45.28
2021-09-11,186273.42,20.1,20.72,19.75,20.42,-0.51,46.73
2021-09-12,207858.08,20.43,21.0,19.8,20.76,-0.62,23.99
2021-09-13,553289.68,20.72,20.77,18.63,19.6,-0.8,26.58
2021-09-14,2706708.46,19.6,25.75,19.5,22.7,-0.68,41.84
