date,volume,open,high,low,close,MACD,RSI
2021-12-10,65293697.28,1.22,5.0,1.22,1.826,0.0,
2021-12-11,18380585.07,1.823,2.177,1.772,1.879,0.0,
2021-12-12,5496512.66,1.879,1.997,1.791,1.85,0.01,
2021-12-13,8636991.62,1.848,1.884,1.347,1.417,-0.03,
2021-12-14,4751274.82,1.422,1.565,1.35,1.419,-0.05,
2021-12-15,32041417.07,1.418,2.076,1.418,1.756,-0.05,
2021-12-16,8239817.4,1.754,1.939,1.681,1.725,-0.04,
2021-12-17,3608393.52,1.727,1.753,1.511,1.598,-0.05,
2021-12-18,2563809.72,1.594,1.697,1.539,1.6,-0.06,
2021-12-19,1500117.4,1.602,1.65,1.57,1.573,-0.06,
2021-12-20,2047071.66,1.574,1.609,1.461,1.517,-0.07,
2021-12-21,3439373.5,1.519,1.838,1.518,1.737,-0.06,
2021-12-22,3067819.7,1.739,1.784,1.608,1.619,-0.06,
2021-12-23,2353817.05,1.619,1.75,1.577,1.681,-0.05,
2021-12-24,10805878.49,1.683,2.2,1.648,2.065,-0.01,56.35
2021-12-25,32353426.63,2.065,2.95,2.03,2.394,0.04,61.94
2021-12-26,9435060.46,2.395,2.55,2.164,2.461,0.09,63.92
2021-12-27,4955982.17,2.462,2.548,2.255,2.296,0.11,72.81
2021-12-28,4276056.6,2.296,2.314,2.05,2.093,0.11,65.84
2021-12-29,3828849.06,2.097,2.14,1.883,1.921,0.1,54.2
2021-12-30,7871474.17,1.917,2.348,1.894,2.074,0.1,58.37
2021-12-31,8603742.25,2.074,2.49,2.07,2.395,0.12,67.49
2022-01-01,3310823.52,2.401,2.527,2.289,2.4,0.14,67.53
2022-01-02,18227674.25,2.4,3.425,2.37,2.948,0.2,74.53
2022-01-03,22137948.29,2.947,3.45,2.733,3.129,0.25,77.53
2022-01-04,7097945.86,3.131,3.189,2.813,2.889,0.28,69.54
2022-01-05,9143547.97,2.885,3.16,2.501,2.8,0.28,70.23
2022-01-06,8590836.52,2.799,2.875,2.504,2.69,0.28,67.0
2022-01-07,10318731.14,2.687,2.69,2.205,2.344,0.24,54.76
2022-01-08,28562973.7,2.344,3.108,2.312,2.707,0.24,55.28
2022-01-09,13292759.25,2.707,3.08,2.665,2.85,0.25,56.4
2022-01-10,10753369.35,2.849,2.936,2.371,2.57,0.23,54.34
2022-01-11,5794546.22,2.57,2.786,2.518,2.689,0.22,59.71
2022-01-12,7146555.28,2.685,3.05,2.683,3.041,0.24,67.23
2022-01-13,6241221.2,3.04,3.05,2.733,2.771,0.23,60.35
2022-01-14,5135083.12,2.769,2.893,2.626,2.792,0.22,56.47
2022-01-15,2570490.91,2.793,2.809,2.72,2.742,0.21,55.49
2022-01-16,3598937.23,2.741,2.749,2.622,2.65,0.19,44.39
2022-01-17,6693799.59,2.65,2.658,2.298,2.393,0.15,36.53
2022-01-18,4827864.54,2.392,2.49,2.15,2.228,0.1,37.56
2022-01-19,4726399.28,2.23,2.252,2.012,2.105,0.06,37.09
2022-01-20,9932416.39,2.104,2.512,2.05,2.128,0.02,39.21
2022-01-21,21627607.14,2.122,2.396,1.62,1.714,-0.04,38.21
2022-01-22,15827099.04,1.711,1.76,1.292,1.48,-0.1,25.87
2022-01-23,9117432.03,1.475,1.689,1.436,1.574,-0.15,24.42
2022-01-24,10796990.99,1.573,1.574,1.278,1.493,-0.18,26.54
2022-01-25,5271418.47,1.495,1.574,1.387,1.483,-0.21,22.42
2022-01-26,9434329.38,1.485,1.715,1.471,1.57,-0.23,11.71
2022-01-27,4704676.37,1.574,1.599,1.455,1.522,-0.24,13.24
2022-01-28,4460302.44,1.521,1.627,1.468,1.566,-0.24,14.4
2022-01-29,3798043.66,1.566,1.68,1.553,1.624,-0.24,17.69
2022-01-30,3170063.24,1.625,1.657,1.503,1.542,-0.24,17.79
2022-01-31,2735932.57,1.545,1.557,1.459,1.554,-0.23,21.56
2022-02-01,2709097.7,1.551,1.593,1.502,1.529,-0.23,23.82
2022-02-02,4756602.1,1.53,1.633,1.453,1.483,-0.23,25.28
2022-02-03,2998879.5,1.483,1.519,1.394,1.461,-0.22,23.47
2022-02-04,4146849.45,1.459,1.602,1.421,1.598,-0.21,44.08
2022-02-05,3293892.09,1.6,1.68,1.557,1.594,-0.2,57.6
2022-02-06,11613698.34,1.596,1.9,1.58,1.786,-0.17,62.5
2022-02-07,8514603.18,1.786,2.065,1.76,1.927,-0.13,73.9
2022-02-08,4703264.11,1.929,2.064,1.761,1.874,-0.11,70.56
2022-02-09,2991891.08,1.874,1.912,1.785,1.869,-0.09,67.2
2022-02-10,3483861.43,1.868,1.9,1.691,1.734,-0.08,61.09
2022-02-11,2847708.68,1.731,1.794,1.553,1.584,-0.09,50.85
2022-02-12,6301495.15,1.583,1.749,1.475,1.595,-0.09,48.57
2022-02-13,4645965.04,1.595,1.774,1.575,1.659,-0.08,55.87
