date,volume,open,high,low,close,MACD,RSI
2021-08-20,427469593.0,0.05981,0.1396,0.05981,0.0965,0.0,
2021-08-21,254888133.0,0.09651,0.0968,0.08312,0.08716,-0.0,
2021-08-22,129421557.0,0.08739,0.08788,0.07741,0.07963,-0.0,
2021-08-23,158289345.0,0.07978,0.0845,0.07516,0.0781,-0.0,
2021-08-24,728238442.0,0.07808,0.10254,0.07406,0.08366,-0.0,
2021-08-25,493560786.0,0.08366,0.104,0.08049,0.08595,-0.0,
2021-08-26,139293025.0,0.08589,0.088,0.075,0.07672,-0.0,
2021-08-27,259830041.0,0.07672,0.09614,0.07381,0.0822,-0.0,
2021-08-28,96766121.0,0.0822,0.0854,0.0788,0.082,-0.0,
2021-08-29,111290771.0,0.08201,0.08505,0.0762,0.07912,-0.0,
2021-08-30,95163464.0,0.07913,0.0841,0.077,0.07723,-0.0,
2021-08-31,66964092.0,0.07723,0.08065,0.07485,0.07621,-0.0,
2021-09-01,90125797.0,0.07625,0.08167,0.074,0.07949,-0.0,
2021-09-02,72337101.0,0.0795,0.086,0.07886,0.08096,-0.0,
2021-09-03,44238608.0,0.0809,0.08098,0.07877,0.07997,-0.0,34.31
2021-09-04,65158351.0,0.0798,0.0803,0.07619,0.07759,-0.0,39.54
2021-09-05,77810342.0,0.07765,0.0805,0.07537,0.07754,-0.0,47.27
2021-09-06,69770087.0,0.07758,0.07822,0.0746,0.07699,-0.0,48.51
2021-09-07,144422409.0,0.07699,0.08,0.05451,0.05974,-0.01,25.57
2021-09-08,115739295.0,0.05974,0.073,0.05801,0.06642,-0.01,31.7
2021-09-09,59641818.0,0.06665,0.06665,0.06176,0.06382,-0.01,36.19
2021-09-10,48651338.0,0.06357,0.0656,0.05739,0.06015,-0.01,25.45
2021-09-11,47892470.0,0.06022,0.06694,0.05922,0.0617,-0.01,28.06
2021-09-12,60157858.0,0.06186,0.06808,0.06176,0.06494,-0.01,34.79
2021-09-13,38575277.0,0.06477,0.06505,0.05755,0.05958,-0.01,32.38
2021-09-14,41040593.0,0.05958,0.0655,0.0589,0.06312,-0.01,37.56
2021-09-15,800245424.0,0.06318,0.0988,0.06191,0.08529,-0.01,54.06
2021-09-16,1675326345.0,0.08523,0.12285,0.07355,0.09841,-0.0,60.49
2021-09-17,2385644466.0,0.09842,0.14477,0.09292,0.10947,0.0,65.82
2021-09-18,805471208.0,0.10947,0.1287,0.1014,0.10288,0.0,62.98
2021-09-19,288739532.0,0.10279,0.10563,0.09169,0.09375,0.0,57.61
2021-09-20,255894268.0,0.09381,0.09419,0.07525,0.07745,0.0,50.19
2021-09-21,985688142.0,0.07745,0.10686,0.07167,0.08826,0.0,62.31
2021-09-22,418467662.0,0.08825,0.10042,0.08552,0.09077,0.0,60.9
2021-09-23,189245154.0,0.09075,0.09247,0.08621,0.08815,0.0,60.89
2021-09-24,142114644.0,0.0882,0.09,0.075,0.0834,0.0,60.31
2021-09-25,141478183.0,0.08331,0.085,0.07723,0.07878,0.0,57.37
2021-09-26,153086923.0,0.07895,0.0833,0.06966,0.07607,0.0,54.83
2021-09-27,252368697.0,0.07602,0.09087,0.0751,0.07932,0.0,58.72
2021-09-28,138369081.0,0.07932,0.0889,0.07267,0.07322,-0.0,54.36
2021-09-29,125310339.0,0.07322,0.082,0.07242,0.07444,-0.0,44.28
2021-09-30,92164170.0,0.07457,0.08,0.074,0.07697,-0.0,37.27
2021-10-01,362347215.0,0.07694,0.09675,0.07633,0.08561,-0.0,35.41
2021-10-02,206769070.0,0.08566,0.095,0.08442,0.08607,0.0,38.89
2021-10-03,111642253.0,0.0861,0.08812,0.0828,0.084,0.0,42.89
2021-10-04,77447097.0,0.08404,0.085,0.08,0.08119,0.0,53.39
2021-10-05,124304832.0,0.0812,0.08871,0.08013,0.0812,0.0,42.03
2021-10-06,95832855.0,0.08117,0.08164,0.07675,0.07978,-0.0,37.28
2021-10-07,74340443.0,0.07972,0.082,0.07767,0.07982,-0.0,39.75
2021-10-08,152104157.0,0.07983,0.0865,0.07701,0.07958,-0.0,44.71
2021-10-09,345867433.0,0.07957,0.09376,0.0785,0.08039,-0.0,52.49
2021-10-10,102912662.0,0.08039,0.08443,0.07785,0.07785,-0.0,52.77
2021-10-11,121787624.0,0.0779,0.087,0.07755,0.07916,-0.0,49.74
2021-10-12,72584195.0,0.07916,0.08396,0.07682,0.07938,-0.0,62.66
2021-10-13,122755315.0,0.07929,0.08305,0.077,0.08015,-0.0,61.96
2021-10-14,91524926.0,0.08017,0.083,0.0788,0.08041,-0.0,57.96
2021-10-15,775391494.0,0.08046,0.10755,0.07702,0.08612,0.0,51.37
2021-10-16,968325404.0,0.0861,0.11864,0.0815,0.0905,0.0,59.81
2021-10-17,942167350.0,0.0906,0.115,0.0905,0.09364,0.0,70.37
2021-10-18,161700786.0,0.09364,0.09629,0.087,0.0872,0.0,61.01
2021-10-19,116155741.0,0.08714,0.0941,0.086,0.08904,0.0,63.46
2021-10-20,286691592.0,0.08912,0.10288,0.08804,0.09184,0.0,69.77
2021-10-21,105841792.0,0.09193,0.0955,0.08809,0.09169,0.0,69.39
2021-10-22,64241224.0,0.09161,0.0938,0.0876,0.08957,0.0,65.37
2021-10-23,122428741.0,0.08959,0.099,0.08887,0.09387,0.0,68.73
2021-10-24,143764185.0,0.09385,0.10188,0.09295,0.09781,0.0,76.7
2021-10-25,54664166.0,0.09786,0.1,0.09431,0.09607,0.0,72.36
2021-10-26,57680046.0,0.09607,0.09667,0.092,0.09272,0.0,66.29
2021-10-27,94877660.0,0.09287,0.09501,0.08,0.08133,0.0,51.14
2021-10-28,74257588.0,0.0813,0.08955,0.08072,0.08569,0.0,54.74
2021-10-29,50857122.0,0.08573,0.08781,0.084,0.08569,0.0,49.57
2021-10-30,57380382.0,0.08565,0.0862,0.08148,0.08205,0.0,41.41
2021-10-31,73642650.0,0.08211,0.08237,0.07861,0.0803,0.0,36.05
2021-11-01,86702525.0,0.08029,0.0863,0.08002,0.08318,0.0,45.46
2021-11-02,93492431.0,0.08319,0.08853,0.08189,0.08483,-0.0,45.22
2021-11-03,93474448.0,0.0848,0.08937,0.08299,0.08733,0.0,44.85
2021-11-04,160950695.0,0.0874,0.095,0.0874,0.08975,0.0,47.89
2021-11-05,51917734.0,0.08986,0.09084,0.08501,0.08575,0.0,46.01
2021-11-06,25850250.0,0.08575,0.08792,0.0823,0.08526,0.0,40.24
2021-11-07,93828931.0,0.0852,0.09079,0.08468,0.08817,0.0,38.81
2021-11-08,70947526.0,0.08821,0.0899,0.0854,0.08697,0.0,39.3
2021-11-09,107625799.0,0.08697,0.0955,0.08599,0.09289,0.0,50.19
2021-11-10,123942948.0,0.09295,0.0995,0.08644,0.08949,0.0,60.99
2021-11-11,40636761.0,0.08949,0.09361,0.08712,0.09143,0.0,58.27
2021-11-12,34349603.0,0.09143,0.09155,0.08454,0.0873,0.0,52.07
2021-11-13,22271784.0,0.0873,0.08779,0.08541,0.08686,0.0,56.75
2021-11-14,45123786.0,0.08691,0.09,0.08506,0.0882,0.0,61.22
2021-11-15,50267617.0,0.08832,0.092,0.08561,0.08737,0.0,56.32
2021-11-16,101228170.0,0.08735,0.0986,0.07904,0.08077,-0.0,44.67
2021-11-17,48655559.0,0.08076,0.08497,0.07631,0.08042,-0.0,40.39
2021-11-18,50901261.0,0.08042,0.08317,0.0728,0.07446,-0.0,30.65
2021-11-19,43633031.0,0.0744,0.08054,0.07362,0.07924,-0.0,41.92
2021-11-20,118961027.0,0.07924,0.0849,0.07666,0.08099,-0.0,44.86
2021-11-21,195656748.0,0.08109,0.095,0.08014,0.08517,-0.0,46.5
2021-11-22,75192935.0,0.08528,0.08794,0.07901,0.07918,-0.0,41.82
2021-11-23,46540907.0,0.07912,0.08184,0.07821,0.08114,-0.0,36.54
2021-11-24,40841098.0,0.08101,0.08144,0.07694,0.07762,-0.0,36.44
2021-11-25,94416037.0,0.07773,0.0849,0.07689,0.08145,-0.0,39.07
2021-11-26,57155775.0,0.08173,0.08237,0.07228,0.07329,-0.0,35.9
2021-11-27,44181142.0,0.07329,0.0774,0.073,0.07577,-0.0,39.28
2021-11-28,29362539.0,0.07578,0.07644,0.0714,0.0762,-0.0,38.19
2021-11-29,31783543.0,0.07618,0.07998,0.0755,0.07869,-0.0,41.73
2021-11-30,29891979.0,0.07861,0.07861,0.07461,0.07562,-0.0,44.74
2021-12-01,33763706.0,0.07595,0.0781,0.075,0.07558,-0.0,45.02
2021-12-02,318890595.0,0.07556,0.09584,0.07382,0.08007,-0.0,55.95
2021-12-03,220272022.0,0.08007,0.093,0.07781,0.07926,-0.0,50.02
2021-12-04,133189010.0,0.07945,0.08855,0.06273,0.07149,-0.0,40.35
2021-12-05,164644837.0,0.07136,0.084,0.0683,0.07449,-0.0,38.88
2021-12-06,94002014.0,0.07415,0.0796,0.06345,0.0717,-0.0,41.66
2021-12-07,42242067.0,0.07191,0.0746,0.06845,0.06911,-0.0,36.77
2021-12-08,32770752.0,0.06911,0.07117,0.06624,0.07015,-0.0,41.31
2021-12-09,33406669.0,0.07009,0.07082,0.0631,0.06419,-0.0,30.87
2021-12-10,22161853.0,0.06419,0.06712,0.06213,0.06248,-0.0,36.02
2021-12-11,38106585.0,0.06247,0.06527,0.06133,0.06394,-0.0,34.29
2021-12-12,65402116.0,0.0638,0.06586,0.06151,0.06287,-0.0,32.59
2021-12-13,41805915.0,0.06289,0.06303,0.05279,0.05289,-0.01,21.82
2021-12-14,28204670.0,0.05287,0.05591,0.05218,0.05496,-0.01,26.93
2021-12-15,27701582.0,0.05494,0.0571,0.05237,0.05656,-0.01,29.48
2021-12-16,84404129.0,0.05654,0.06224,0.05626,0.05816,-0.01,24.79
2021-12-17,66957215.0,0.05814,0.069,0.05697,0.06135,-0.01,30.46
2021-12-18,53178748.0,0.06134,0.06687,0.05847,0.06058,-0.01,35.95
2021-12-19,96924035.0,0.06057,0.068,0.05935,0.06224,-0.01,33.66
2021-12-20,36240495.0,0.06227,0.06242,0.05635,0.05876,-0.01,33.05
2021-12-21,21026721.0,0.05876,0.06119,0.05771,0.06003,-0.0,37.68
2021-12-22,23913878.0,0.06001,0.06239,0.05955,0.05991,-0.0,35.75
