date,volume,open,high,low,close,MACD,RSI
2021-10-04,4470713.0,1.2824,1.55,1.2692,1.3132,0.0,
2021-10-05,2774849.0,1.3117,1.3984,1.2485,1.307,-0.0,
2021-10-06,1980556.0,1.3108,1.3308,1.1818,1.24,-0.01,
2021-10-07,1635047.0,1.235,1.3259,1.1992,1.2733,-0.01,
2021-10-08,1440984.0,1.2727,1.33,1.252,1.275,-0.01,
2021-10-09,742600.0,1.2723,1.2979,1.2515,1.2624,-0.01,
2021-10-10,897440.0,1.2675,1.276,1.2052,1.2174,-0.02,
2021-10-11,609208.0,1.2117,1.241,1.1821,1.1971,-0.02,
2021-10-12,2519529.0,1.1956,1.35,1.1496,1.2055,-0.02,
2021-10-13,1619814.0,1.2051,1.33,1.1665,1.2151,-0.03,
2021-10-14,798479.0,1.2202,1.29,1.2103,1.2332,-0.03,
2021-10-15,1919770.0,1.2266,1.32,1.1805,1.2624,-0.02,
2021-10-16,3774518.0,1.264,1.4598,1.2394,1.2718,-0.02,
2021-10-17,1843934.0,1.2715,1.35,1.2,1.2286,-0.02,
2021-10-18,2823843.0,1.2301,1.3765,1.2001,1.2961,-0.01,47.7
2021-10-19,1618272.0,1.296,1.37,1.203,1.2582,-0.01,43.95
2021-10-20,989464.0,1.2582,1.2997,1.2135,1.2966,-0.01,57.55
2021-10-21,2010006.0,1.2916,1.3489,1.2386,1.2616,-0.01,48.45
2021-10-22,1532194.0,1.2647,1.3406,1.2594,1.2819,-0.01,50.87
2021-10-23,835424.0,1.2819,1.313,1.2494,1.2675,-0.01,50.64
2021-10-24,868914.0,1.2711,1.2792,1.2329,1.2393,-0.01,52.88
2021-10-25,1425263.0,1.2331,1.3289,1.2072,1.2677,-0.01,59.1
2021-10-26,1011431.0,1.2737,1.2742,1.2272,1.2372,-0.01,53.86
2021-10-27,1843236.0,1.2372,1.259,0.9249,1.0407,-0.02,35.39
2021-10-28,5351695.0,1.0435,1.2743,1.0324,1.1418,-0.03,43.28
2021-10-29,1249392.0,1.1454,1.1805,1.1087,1.1552,-0.03,41.93
2021-10-30,4200721.0,1.1567,1.1615,1.0589,1.1027,-0.04,38.05
2021-10-31,3277257.0,1.1027,1.1909,1.07,1.144,-0.04,44.0
2021-11-01,2138848.0,1.1479,1.24,1.1089,1.126,-0.04,37.03
2021-11-02,1758514.0,1.126,1.1876,1.1113,1.136,-0.04,40.27
2021-11-03,1771811.0,1.1396,1.169,1.1,1.1298,-0.04,36.0
2021-11-04,2027237.0,1.1298,1.1651,1.0976,1.1538,-0.04,40.78
2021-11-05,1199641.0,1.156,1.1636,1.1046,1.131,-0.04,37.15
2021-11-06,779356.0,1.131,1.1434,1.0842,1.1046,-0.04,36.41
2021-11-07,934620.0,1.1046,1.153,1.1011,1.1238,-0.04,40.22
2021-11-08,5302835.0,1.1238,1.3278,1.0949,1.2503,-0.03,48.74
2021-11-09,1451743.0,1.2465,1.2559,1.1399,1.1644,-0.02,45.11
2021-11-10,1715058.0,1.1644,1.1676,1.04,1.0746,-0.03,52.66
2021-11-11,1115167.0,1.0742,1.1152,1.061,1.099,-0.03,46.18
2021-11-12,3100527.0,1.0983,1.1142,1.03,1.0611,-0.03,41.96
2021-11-13,2211724.0,1.0621,1.16,1.0145,1.0897,-0.04,48.84
2021-11-14,1901636.0,1.0895,1.1356,1.0614,1.0795,-0.04,43.91
2021-11-15,3103169.0,1.0801,1.1651,1.0667,1.0899,-0.04,46.54
2021-11-16,2585639.0,1.0897,1.09,0.93,0.9716,-0.04,36.96
2021-11-17,1169492.0,0.9707,0.9832,0.94,0.9674,-0.05,37.08
2021-11-18,1574593.0,0.9672,0.9834,0.8501,0.8708,-0.06,29.82
2021-11-19,1587156.0,0.8706,0.95,0.8344,0.9264,-0.07,36.06
2021-11-20,1599398.0,0.9277,0.9889,0.8971,0.9765,-0.07,41.55
2021-11-21,26798391.0,0.9783,1.5472,0.9455,1.1244,-0.05,50.03
2021-11-22,31853651.0,1.1244,1.4109,1.02,1.0856,-0.04,39.69
2021-11-23,4147841.0,1.0848,1.1517,1.0451,1.0607,-0.04,42.97
2021-11-24,2899601.0,1.0607,1.1459,0.9533,0.9885,-0.04,44.02
2021-11-25,1944171.0,0.988,1.0458,0.98,1.0052,-0.04,43.42
2021-11-26,1744582.0,1.0009,1.0085,0.8829,0.9075,-0.05,40.05
2021-11-27,4040178.0,0.9051,1.0459,0.9011,0.9934,-0.05,44.2
2021-11-28,1849767.0,0.9954,0.9999,0.8502,0.9405,-0.05,42.03
2021-11-29,17664315.0,0.9448,1.27,0.9239,1.0761,-0.04,49.31
2021-11-30,12897184.0,1.0761,1.19,1.0102,1.04,-0.03,53.74
2021-12-01,3817661.0,1.04,1.07,0.9491,0.9995,-0.03,51.69
2021-12-02,3225230.0,0.9994,1.0254,0.9184,0.9894,-0.03,56.86
2021-12-03,4760829.0,0.9904,1.0428,0.9463,0.9706,-0.03,52.67
2021-12-04,4341478.0,0.9703,0.9703,0.644,0.8077,-0.04,41.03
2021-12-05,4315654.0,0.8079,0.8778,0.741,0.7859,-0.06,29.23
2021-12-06,2421614.0,0.7858,0.7943,0.7044,0.7939,-0.06,31.4
2021-12-07,3075120.0,0.7936,0.832,0.7492,0.7618,-0.07,31.11
2021-12-08,5571157.0,0.7614,0.8361,0.7508,0.7968,-0.07,37.29
2021-12-09,6878101.0,0.7969,0.8238,0.7216,0.7256,-0.08,32.71
2021-12-10,4638312.0,0.7246,0.7683,0.6722,0.6794,-0.09,34.94
2021-12-11,3618109.0,0.6808,0.7361,0.6682,0.715,-0.09,30.31
2021-12-12,2516392.0,0.7148,0.7237,0.6807,0.7102,-0.09,32.52
2021-12-13,3901576.0,0.7102,0.7115,0.6207,0.6489,-0.1,13.45
2021-12-14,2974235.0,0.649,0.6534,0.6046,0.6476,-0.1,14.3
2021-12-15,5363451.0,0.6491,0.6743,0.6015,0.6579,-0.1,17.12
2021-12-16,3599045.0,0.6579,0.712,0.639,0.6559,-0.1,17.39
2021-12-17,4364901.0,0.6545,0.6892,0.619,0.6322,-0.1,17.22
2021-12-18,8332207.0,0.6308,0.7746,0.6204,0.6757,-0.1,33.37
2021-12-19,18464499.0,0.6765,0.83,0.6648,0.7289,-0.09,43.34
