date,volume,open,high,low,close,MACD,RSI
2021-12-10,248883.5,21.456,24.38,18.784,19.576,0.0,
2021-12-11,22034.0,19.657,20.4,18.9,19.55,-0.0,
2021-12-12,54405.4,19.549,19.575,17.601,18.546,-0.08,
2021-12-13,28928.6,18.54,18.734,17.505,17.575,-0.22,
2021-12-14,18780.1,17.601,18.135,17.002,17.275,-0.36,
2021-12-15,12833.0,17.198,17.518,16.485,16.916,-0.48,
2021-12-16,16177.9,16.918,17.278,16.176,16.426,-0.62,
2021-12-17,24309.2,16.426,17.454,15.12,15.375,-0.8,
2021-12-18,141253.2,15.537,15.588,13.348,14.001,-1.04,
2021-12-19,55647.0,14.001,14.923,13.939,14.414,-1.19,
2021-12-20,59548.6,14.409,14.77,13.751,13.958,-1.32,
2021-12-21,372908.0,13.905,18.89,13.763,17.289,-1.15,
2021-12-22,286360.6,17.297,18.926,17.037,18.018,-0.94,
2021-12-23,140041.3,18.016,20.75,17.829,20.162,-0.6,
2021-12-24,98342.9,20.175,22.95,20.001,21.2,-0.24,55.93
2021-12-25,70944.8,21.198,22.061,20.092,20.413,-0.02,52.99
2021-12-26,35300.7,20.412,20.74,19.996,20.503,0.16,57.23
2021-12-27,262356.6,20.431,25.745,20.122,23.694,0.56,69.42
2021-12-28,247442.5,23.764,25.998,22.001,22.148,0.74,64.33
2021-12-29,329774.9,22.109,27.9,21.632,26.175,1.19,72.4
2021-12-30,1388773.8,26.272,34.0,25.491,30.0,1.84,78.28
2021-12-31,1007001.7,29.964,43.899,29.702,39.158,3.05,87.03
2022-01-01,374863.5,39.154,41.0,34.666,36.716,3.78,84.23
2022-01-02,141541.8,36.778,37.1,34.721,35.05,4.17,79.97
2022-01-03,183735.5,35.05,35.283,31.564,32.81,4.25,76.03
2022-01-04,587646.1,32.815,42.499,32.431,37.844,4.66,77.11
2022-01-05,258117.4,37.843,39.0,34.0,34.447,4.67,70.24
2022-01-06,286163.0,34.432,37.064,32.233,34.496,4.62,68.62
2022-01-07,512155.6,34.506,39.675,34.099,38.277,4.83,70.71
2022-01-08,289016.9,38.292,42.0,37.2,38.1,4.93,71.77
2022-01-09,256211.1,38.1,39.25,35.013,36.151,4.79,68.42
2022-01-10,181668.0,36.209,39.3,34.298,34.724,4.51,63.54
2022-01-11,161685.6,34.734,36.256,34.015,34.942,4.26,66.24
2022-01-12,424533.9,34.893,45.9,34.881,41.49,4.54,68.27
2022-01-13,389184.9,41.289,41.6,36.075,37.66,4.4,59.14
2022-01-14,187358.6,37.666,39.783,37.054,38.565,4.32,49.12
2022-01-15,98487.3,38.565,38.616,36.528,36.796,4.06,50.12
2022-01-16,101029.1,36.794,37.741,35.74,37.08,3.83,53.21
2022-01-17,169458.2,37.067,37.067,31.201,32.07,3.21,48.92
2022-01-18,176909.2,32.071,34.331,29.265,30.902,2.6,38.62
2022-01-19,149933.8,30.903,32.495,27.903,28.063,1.86,39.34
2022-01-20,295425.2,28.064,30.739,26.165,26.82,1.16,37.68
2022-01-21,267021.8,26.817,27.902,21.0,21.828,0.2,24.58
2022-01-22,248130.6,21.848,22.857,18.7,19.484,-0.74,23.04
2022-01-23,189674.4,19.568,21.0,19.37,20.35,-1.4,26.38
2022-01-24,403316.5,20.359,20.498,17.0,17.98,-2.09,25.65
2022-01-25,350933.1,17.852,18.8,16.756,18.032,-2.6,25.29
2022-01-26,450708.3,18.028,20.617,17.558,18.8,-2.91,10.11
2022-01-27,209939.4,18.801,19.67,17.095,19.628,-3.06,14.56
2022-01-28,646978.8,19.635,23.84,19.229,22.922,-2.87,21.89
2022-01-29,89432.0,22.933,23.342,22.053,22.818,-2.7,23.29
2022-01-30,106773.0,22.806,22.81,21.27,21.493,-2.65,21.35
2022-01-31,70856.2,21.464,22.491,20.953,21.525,-2.57,26.28
2022-02-01,78010.5,21.574,22.549,21.207,21.467,-2.48,27.66
2022-02-02,92313.0,21.48,21.863,20.209,20.515,-2.46,30.37
2022-02-03,148000.4,20.473,20.553,17.36,18.414,-2.59,29.07
2022-02-04,180961.5,18.414,20.961,17.945,20.258,-2.51,45.37
2022-02-05,83910.0,20.192,20.515,19.672,20.098,-2.43,52.08
2022-02-06,70121.6,20.098,20.359,19.59,20.136,-2.34,49.23
2022-02-07,122846.3,20.136,21.999,19.728,21.121,-2.16,62.52
2022-02-08,199670.8,21.17,22.801,20.515,21.468,-1.97,63.38
2022-02-09,81692.5,21.419,21.8,20.638,21.541,-1.79,61.29
2022-02-10,174837.3,21.6,22.9,20.698,21.05,-1.67,56.02
