date,volume,open,high,low,close,MACD,RSI
2023-03-17,113820.5,3.6,4.41,3.25,3.759,0.0,
2023-03-18,129957.8,3.764,3.795,3.521,3.553,-0.02,
2023-03-19,136707.7,3.553,3.701,3.408,3.643,-0.02,
2023-03-20,296929.0,3.652,3.88,3.38,3.397,-0.05,
2023-03-21,235575.7,3.404,3.552,3.273,3.439,-0.06,
2023-03-22,63480.0,3.422,3.422,3.244,3.351,-0.08,
2023-03-23,55990.8,3.351,3.487,3.327,3.478,-0.08,
2023-03-24,208648.9,3.484,3.765,3.396,3.488,-0.08,
2023-03-25,38398.7,3.489,3.489,3.321,3.368,-0.09,
2023-03-26,53072.0,3.355,3.611,3.35,3.44,-0.09,
2023-03-27,72115.5,3.416,3.477,3.157,3.299,-0.1,
2023-03-28,55245.2,3.296,3.356,3.141,3.321,-0.11,
2023-03-29,40439.6,3.315,3.428,3.268,3.427,-0.1,
2023-03-30,66238.4,3.42,3.424,3.284,3.335,-0.1,
2023-03-31,63079.9,3.332,3.391,3.235,3.358,-0.1,35.52
2023-04-01,44495.3,3.358,3.41,3.327,3.396,-0.1,43.55
2023-04-02,71482.6,3.399,3.526,3.28,3.314,-0.1,36.39
2023-04-03,79909.9,3.307,3.32,3.215,3.281,-0.1,44.18
2023-04-04,36608.6,3.277,3.334,3.232,3.328,-0.1,44.46
2023-04-05,86292.4,3.311,3.538,3.291,3.379,-0.09,51.45
2023-04-06,639431.0,3.389,3.74,3.368,3.502,-0.07,51.25
2023-04-07,106722.7,3.508,3.508,3.311,3.376,-0.07,44.8
2023-04-08,90717.1,3.373,3.422,3.353,3.377,-0.07,50.47
2023-04-09,280632.8,3.384,3.579,3.352,3.457,-0.05,50.88
2023-04-10,288784.5,3.462,3.537,3.322,3.464,-0.05,59.93
2023-04-11,69268.2,3.468,3.468,3.405,3.443,-0.04,57.35
2023-04-12,56402.8,3.438,3.438,3.322,3.372,-0.04,46.54
2023-04-13,42488.5,3.373,3.442,3.347,3.434,-0.04,56.47
2023-04-14,76765.4,3.436,3.49,3.384,3.469,-0.03,57.14
2023-04-15,50928.3,3.466,3.522,3.412,3.447,-0.02,53.35
2023-04-16,554177.9,3.451,3.892,3.437,3.524,-0.01,63.89
2023-04-17,425796.2,3.517,3.8,3.469,3.515,-0.01,65.98
2023-04-18,170116.5,3.515,3.549,3.429,3.521,-0.0,63.97
2023-04-19,102783.6,3.519,3.594,3.24,3.26,-0.02,43.4
2023-04-20,65454.3,3.26,3.319,3.173,3.25,-0.03,34.01
2023-04-21,74969.8,3.251,3.266,3.11,3.156,-0.05,35.45
