date,volume,open,high,low,close,MACD,RSI
2020-07-20,96013.42,1.248,2.7926,1.0174,1.2586,0.0,
2020-07-21,157874.86,1.2597,1.2689,1.2573,1.266,0.0,
2020-07-22,167032.57,1.2663,1.2675,1.2574,1.2646,0.0,
2020-07-23,228907.76,1.2646,1.2687,1.2573,1.2642,0.0,
2020-07-24,176517.71,1.2642,1.272,1.261,1.2705,0.0,
2020-07-25,174813.49,1.2703,1.2718,1.269,1.2711,0.0,
2020-07-26,364676.81,1.271,1.2734,1.2672,1.2705,0.0,
2020-07-27,457459.24,1.271,1.2832,1.271,1.2793,0.0,
2020-07-28,354565.23,1.2802,1.2864,1.2751,1.2837,0.0,
2020-07-29,306866.0,1.2831,1.2918,1.2615,1.2899,0.01,
2020-07-30,287894.17,1.289,1.3027,1.2863,1.3027,0.01,
2020-07-31,119828.76,1.3033,1.3071,1.2973,1.3004,0.01,
2020-08-01,195719.96,1.2993,1.3023,1.2977,1.301,0.01,
2020-08-02,648362.19,1.301,1.3073,1.296,1.3045,0.01,
2020-08-03,271548.99,1.3036,1.3056,1.2925,1.2998,0.01,84.33
2020-08-04,246142.85,1.3002,1.3027,1.2909,1.3007,0.01,82.43
2020-08-05,247904.56,1.3007,1.3071,1.299,1.3048,0.01,85.77
2020-08-06,302302.82,1.3042,1.3102,1.2956,1.3054,0.01,86.52
2020-08-07,314897.84,1.3054,1.3073,1.291,1.2975,0.01,73.28
2020-08-08,114392.77,1.2978,1.3002,1.2952,1.2988,0.01,73.59
2020-08-09,144930.0,1.2984,1.3,1.2959,1.2974,0.01,72.61
2020-08-10,318568.9,1.2983,1.3018,1.2936,1.2995,0.01,69.13
2020-08-11,479221.22,1.2995,1.3046,1.2971,1.2984,0.01,64.85
2020-08-12,452589.99,1.2986,1.3007,1.2922,1.2968,0.01,57.68
2020-08-13,456410.51,1.2968,1.305,1.2957,1.2989,0.01,44.44
2020-08-14,320094.09,1.2994,1.3052,1.295,1.2994,0.01,48.46
2020-08-15,227152.33,1.3009,1.302,1.2987,1.3,0.01,48.46
2020-08-16,125404.32,1.3004,1.3034,1.2997,1.3025,0.01,46.82
2020-08-17,775442.49,1.3013,1.3049,1.2981,1.3021,0.01,54.24
2020-08-18,455829.75,1.3025,1.317,1.3023,1.3165,0.01,69.46
2020-08-19,378559.03,1.3165,1.3197,1.3018,1.3038,0.01,48.98
2020-08-20,279755.6,1.3038,1.3146,1.2905,1.3133,0.01,56.8
2020-08-21,198283.65,1.3137,1.3164,1.2983,1.3019,0.01,53.57
2020-08-22,209271.57,1.3019,1.3036,1.3003,1.3006,0.01,51.46
2020-08-23,152967.68,1.301,1.3033,1.3001,1.302,0.01,53.73
2020-08-24,322558.71,1.3015,1.3069,1.2977,1.2996,0.0,50.08
2020-08-25,332669.78,1.2992,1.3095,1.2984,1.3074,0.0,56.56
2020-08-26,606533.02,1.3077,1.3145,1.3044,1.3134,0.01,61.37
2020-08-27,343074.68,1.3143,1.32,1.309,1.3136,0.01,60.34
2020-08-28,241272.13,1.3136,1.3273,1.3117,1.3268,0.01,66.35
2020-08-29,167469.83,1.3268,1.3284,1.3261,1.3275,0.01,66.39
2020-08-30,462057.67,1.3267,1.3289,1.3234,1.3279,0.01,65.53
2020-08-31,372218.21,1.3285,1.3307,1.3212,1.3284,0.01,66.06
2020-09-01,536425.86,1.3286,1.3391,1.3276,1.3321,0.01,60.96
2020-09-02,408702.45,1.3325,1.3328,1.3199,1.3262,0.01,67.39
2020-09-03,882583.2,1.3263,1.3267,1.3152,1.3161,0.01,52.15
2020-09-04,750266.53,1.3156,1.3238,1.3086,1.3186,0.01,64.88
2020-09-05,449053.27,1.3184,1.3231,1.3181,1.3215,0.01,68.11
2020-09-06,480631.34,1.322,1.3234,1.3164,1.3175,0.01,62.85
2020-09-07,406571.92,1.3175,1.3185,1.3069,1.3094,0.01,57.42
2020-09-08,313622.45,1.3094,1.3094,1.2886,1.2898,0.0,38.69
2020-09-09,294367.54,1.2898,1.295,1.2818,1.2935,0.0,36.82
2020-09-10,290802.23,1.2918,1.2964,1.2705,1.2727,-0.0,28.72
2020-09-11,256606.91,1.2738,1.2775,1.2693,1.2719,-0.0,17.2
2020-09-12,258115.51,1.2719,1.274,1.2707,1.272,-0.01,16.61
2020-09-13,317905.62,1.272,1.2746,1.27,1.274,-0.01,18.18
2020-09-14,561421.16,1.2732,1.2838,1.2719,1.2782,-0.01,21.61
2020-09-15,404701.26,1.2776,1.2843,1.2758,1.2805,-0.01,20.34
2020-09-16,558035.64,1.2809,1.2933,1.2803,1.2889,-0.01,29.16
2020-09-17,405702.58,1.2888,1.2909,1.28,1.29,-0.01,33.79
2020-09-18,401779.5,1.29,1.2932,1.2836,1.2841,-0.01,29.44
2020-09-19,253550.43,1.2841,1.2859,1.2828,1.2847,-0.01,27.45
2020-09-20,376751.04,1.2839,1.2868,1.2835,1.2861,-0.01,30.13
2020-09-21,610383.43,1.2861,1.2896,1.2713,1.2749,-0.01,28.99
2020-09-22,272138.59,1.2749,1.2793,1.2642,1.2666,-0.01,33.62
2020-09-23,409258.49,1.2673,1.2705,1.2495,1.2649,-0.01,29.22
2020-09-24,464873.38,1.2655,1.2709,1.2506,1.269,-0.01,46.45
2020-09-25,339447.51,1.2689,1.2727,1.2622,1.267,-0.01,45.4
2020-09-26,217160.04,1.2666,1.2683,1.2661,1.267,-0.01,45.3
2020-09-27,347232.17,1.2667,1.27,1.2655,1.2694,-0.01,45.71
2020-09-28,448025.67,1.2699,1.2861,1.2688,1.2814,-0.01,52.61
2020-09-29,416416.69,1.2807,1.2828,1.276,1.2795,-0.01,49.18
2020-09-30,430130.88,1.2805,1.287,1.2701,1.2843,-0.01,45.99
2020-10-01,660322.62,1.2863,1.2907,1.2745,1.2818,-0.0,43.03
2020-10-02,583225.62,1.2818,1.2886,1.2773,1.2869,-0.0,52.41
2020-10-03,267190.6,1.2869,1.2871,1.2846,1.2854,-0.0,50.59
2020-10-04,400602.79,1.2854,1.2875,1.2836,1.2852,-0.0,49.22
2020-10-05,798694.55,1.2862,1.2933,1.2825,1.2917,-0.0,65.85
2020-10-06,656266.29,1.2917,1.2936,1.2802,1.2812,-0.0,63.22
2020-10-07,498189.71,1.2812,1.2868,1.2789,1.2852,-0.0,67.65
2020-10-08,626840.19,1.2853,1.29,1.2827,1.2857,-0.0,65.49
2020-10-09,498305.51,1.2861,1.2975,1.2851,1.2965,0.0,73.52
2020-10-10,360944.7,1.2969,1.3001,1.2948,1.2971,0.0,73.78
2020-10-11,282895.63,1.2971,1.3008,1.2941,1.2968,0.0,72.39
2020-10-12,697073.02,1.2964,1.3009,1.2928,1.2991,0.0,67.18
2020-10-13,524204.54,1.2976,1.2992,1.2847,1.2858,0.0,55.01
2020-10-14,395992.27,1.2852,1.2983,1.279,1.2931,0.0,56.73
2020-10-15,450516.1,1.2937,1.2954,1.2816,1.2825,0.0,50.48
2020-10-16,484809.69,1.2829,1.2879,1.2801,1.2832,0.0,47.32
2020-10-17,229448.21,1.2839,1.2852,1.2826,1.2839,0.0,48.9
2020-10-18,227659.5,1.2839,1.2859,1.2815,1.2846,0.0,49.56
2020-10-19,369129.73,1.2856,1.2949,1.2849,1.287,0.0,46.37
2020-10-20,532374.13,1.2878,1.2907,1.2839,1.2872,0.0,55.51
2020-10-21,1288168.69,1.2873,1.3104,1.2866,1.3038,0.0,63.88
2020-10-22,794025.5,1.3047,1.3068,1.2979,1.3,0.0,60.17
2020-10-23,617754.35,1.3,1.3043,1.2945,1.2976,0.0,50.89
2020-10-24,260726.49,1.2976,1.2978,1.2952,1.2959,0.0,49.05
2020-10-25,334142.04,1.2959,1.298,1.2936,1.2968,0.0,50.0
2020-10-26,686340.14,1.2968,1.3003,1.2911,1.2937,0.0,45.81
2020-10-27,664478.14,1.2937,1.3006,1.2926,1.2951,0.0,58.86
2020-10-28,712269.66,1.2946,1.299,1.2863,1.2911,0.0,47.97
2020-10-29,667914.15,1.2916,1.2958,1.2809,1.2851,0.0,52.91
2020-10-30,888857.46,1.2855,1.2908,1.2825,1.2871,0.0,54.25
2020-10-31,492449.68,1.2871,1.2908,1.2867,1.2878,0.0,54.25
2020-11-01,352807.22,1.2878,1.2886,1.2844,1.2853,0.0,50.73
2020-11-02,790096.79,1.2853,1.2867,1.2782,1.2845,-0.0,47.29
2020-11-03,871851.52,1.285,1.3051,1.2842,1.3039,0.0,62.79
2020-11-04,1488611.01,1.3041,1.3057,1.2861,1.2894,0.0,38.61
2020-11-05,1775057.25,1.2893,1.3096,1.2881,1.3071,0.0,54.6
2020-11-06,2621263.75,1.3072,1.3183,1.3044,1.3104,0.0,58.21
2020-11-07,2209499.43,1.31,1.3182,1.306,1.3094,0.0,58.73
2020-11-08,1494286.41,1.3096,1.32,1.3071,1.3116,0.0,59.41
2020-11-09,1892462.68,1.312,1.315,1.3048,1.3122,0.01,62.16
2020-11-10,1866742.77,1.312,1.3213,1.3093,1.3182,0.01,64.31
2020-11-11,1484624.77,1.3188,1.3241,1.3114,1.317,0.01,66.62
2020-11-12,1741974.51,1.3166,1.3237,1.3041,1.3079,0.01,64.07
2020-11-13,2014423.22,1.3077,1.3118,1.301,1.3118,0.01,64.9
2020-11-14,872459.66,1.3106,1.3116,1.3082,1.3094,0.01,62.77
2020-11-15,690071.1,1.3093,1.3115,1.3073,1.3115,0.01,65.56
2020-11-16,1777855.61,1.3117,1.3176,1.3065,1.3144,0.01,67.32
2020-11-17,3801996.36,1.3148,1.32,1.3124,1.3175,0.01,59.71
2020-11-18,3217012.95,1.3178,1.327,1.316,1.3205,0.01,76.58
2020-11-19,1941740.29,1.3205,1.3218,1.3141,1.3189,0.01,63.92
2020-11-20,2685317.93,1.3188,1.3256,1.318,1.3232,0.01,64.75
2020-11-21,3094041.84,1.324,1.3262,1.3137,1.3212,0.01,63.29
2020-11-22,3452158.62,1.3213,1.325,1.3149,1.3188,0.01,58.07
2020-11-23,4445643.01,1.3197,1.3334,1.3184,1.3241,0.01,62.07
2020-11-24,6102671.96,1.3242,1.333,1.3193,1.3286,0.01,60.88
2020-11-25,4515675.09,1.3286,1.3334,1.3222,1.3314,0.01,64.57
2020-11-26,8774348.29,1.3311,1.34,1.32,1.3254,0.01,68.9
2020-11-27,3471819.77,1.3255,1.3321,1.3191,1.3221,0.01,61.27
2020-11-28,1726582.45,1.3222,1.324,1.3166,1.3229,0.01,65.31
2020-11-29,2278346.32,1.3236,1.3249,1.3181,1.3228,0.01,63.42
2020-11-30,4052577.73,1.3234,1.3427,1.3204,1.3283,0.01,65.55
2020-12-01,5619154.35,1.3283,1.336,1.3225,1.3337,0.01,67.23
2020-12-02,3877433.3,1.3338,1.3365,1.3225,1.3303,0.01,60.34
2020-12-03,3061198.41,1.3306,1.3442,1.3277,1.3378,0.01,67.73
2020-12-04,4201728.2,1.3376,1.346,1.3332,1.3372,0.01,64.11
2020-12-05,1804958.53,1.3372,1.338,1.3337,1.3357,0.01,64.77
2020-12-06,2775804.52,1.3357,1.35,1.33,1.3346,0.01,66.53
2020-12-07,3042698.19,1.3345,1.3368,1.3171,1.3282,0.01,54.19
2020-12-08,3816486.17,1.3286,1.3325,1.3221,1.3316,0.01,53.14
2020-12-09,4081682.37,1.3313,1.3437,1.3287,1.3311,0.01,49.67
2020-12-10,3453199.61,1.3311,1.3333,1.3196,1.3262,0.0,50.9
2020-12-11,4931707.57,1.326,1.327,1.3081,1.3165,0.0,44.49
2020-12-12,2233515.37,1.3158,1.3174,1.3125,1.3154,0.0,42.66
2020-12-13,2514601.48,1.3153,1.3297,1.3123,1.3241,0.0,51.09
2020-12-14,2413293.82,1.3242,1.3371,1.3225,1.328,0.0,49.74
2020-12-15,3081772.46,1.3281,1.3428,1.3231,1.3385,0.0,53.8
2020-12-16,3055141.36,1.3394,1.3544,1.3374,1.3463,0.0,61.83
2020-12-17,5388510.05,1.3453,1.36,1.3431,1.353,0.01,61.38
2020-12-18,3093116.22,1.353,1.3536,1.3415,1.3464,0.01,56.32
2020-12-19,2784659.27,1.3463,1.3478,1.3413,1.3418,0.01,54.02
2020-12-20,2637585.88,1.3418,1.3455,1.3315,1.3329,0.01,48.98
2020-12-21,4478736.42,1.3324,1.3415,1.3109,1.3391,0.01,56.53
2020-12-22,5156543.3,1.3387,1.3401,1.3266,1.3346,0.0,51.77
2020-12-23,7395322.81,1.3344,1.3508,1.3293,1.3425,0.0,56.2
2020-12-24,5521518.68,1.3426,1.3567,1.3408,1.3487,0.01,62.06
2020-12-25,8544514.33,1.3496,1.3537,1.3433,1.3481,0.01,68.76
2020-12-26,5952410.44,1.348,1.3511,1.3337,1.346,0.01,67.96
2020-12-27,8125025.9,1.346,1.3563,1.33,1.3524,0.01,67.07
2020-12-28,4092977.58,1.3525,1.3534,1.3398,1.3438,0.01,59.02
2020-12-29,5407323.81,1.3445,1.3517,1.3428,1.3469,0.01,55.24
2020-12-30,4848165.36,1.347,1.3621,1.3453,1.359,0.01,57.51
2020-12-31,3732946.76,1.359,1.3667,1.3568,1.3636,0.01,56.43
2021-01-01,4070509.35,1.3639,1.368,1.3571,1.3623,0.01,60.31
2021-01-02,5928615.98,1.362,1.3665,1.353,1.3583,0.01,60.78
2021-01-03,8911384.05,1.3585,1.3635,1.35,1.3614,0.01,70.16
2021-01-04,14800163.22,1.3612,1.3658,1.346,1.3528,0.01,59.37
2021-01-05,7858144.56,1.3527,1.3624,1.3501,1.3569,0.01,65.34
2021-01-06,13820345.81,1.3573,1.366,1.344,1.3548,0.01,59.19
2021-01-07,19939623.2,1.3549,1.3597,1.3433,1.351,0.01,51.78
2021-01-08,20564968.85,1.3511,1.3592,1.3424,1.3496,0.01,51.15
2021-01-09,11480401.24,1.3496,1.3535,1.3451,1.3492,0.0,52.52
2021-01-10,18755710.51,1.3493,1.3595,1.3393,1.3439,0.0,43.2
2021-01-11,37528943.15,1.3442,1.3543,1.3347,1.3435,0.0,49.72
2021-01-12,18157476.35,1.3433,1.3675,1.3421,1.3648,0.0,62.34
2021-01-13,13125106.9,1.3647,1.3694,1.3576,1.3629,0.0,53.13
2021-01-14,11497068.97,1.3629,1.371,1.3581,1.3663,0.0,52.21
2021-01-15,16708886.89,1.3664,1.3682,1.35,1.3533,0.0,43.82
2021-01-16,13082788.68,1.3533,1.3584,1.3524,1.3548,0.0,47.51
2021-01-17,11737502.9,1.3546,1.3615,1.3524,1.355,0.0,45.25
2021-01-18,11513749.32,1.355,1.3592,1.35,1.3575,0.0,53.83
2021-01-19,17214846.7,1.3575,1.3655,1.3518,1.358,0.0,50.95
2021-01-20,18184146.62,1.358,1.368,1.3568,1.3649,0.0,58.08
2021-01-21,21930207.4,1.365,1.375,1.3637,1.3705,0.0,65.16
2021-01-22,16104382.96,1.3705,1.3738,1.3568,1.3655,0.0,61.71
2021-01-23,7811350.35,1.3655,1.37,1.3615,1.3632,0.0,60.03
2021-01-24,9566692.55,1.3632,1.3685,1.3619,1.3645,0.0,65.65
2021-01-25,12806718.47,1.3645,1.3707,1.3614,1.3627,0.0,64.29
2021-01-26,11807811.13,1.3627,1.3729,1.3555,1.3723,0.0,56.76
2021-01-27,13592067.0,1.3722,1.373,1.3619,1.3622,0.0,49.45
2021-01-28,15192853.79,1.3625,1.3715,1.3597,1.3665,0.0,50.15
2021-01-29,32961537.31,1.3664,1.3703,1.3593,1.3647,0.0,60.67
2021-01-30,19168311.18,1.3647,1.3684,1.3613,1.3635,0.0,58.19
2021-01-31,17154175.79,1.3634,1.3668,1.3611,1.3635,0.0,58.03
2021-02-01,22533511.92,1.3635,1.3766,1.3607,1.3633,0.0,55.73
2021-02-02,20715406.3,1.3633,1.3703,1.3575,1.3625,0.0,54.42
2021-02-03,23241249.97,1.3625,1.3659,1.3572,1.3601,0.0,44.83
2021-02-04,28064694.4,1.3601,1.37,1.3522,1.3627,0.0,41.01
2021-02-05,25640086.97,1.3627,1.3713,1.3615,1.3686,0.0,53.5
2021-02-06,23978803.7,1.3687,1.3738,1.3645,1.3663,0.0,53.5
2021-02-07,26117115.76,1.3662,1.368,1.3604,1.3676,0.0,53.5
2021-02-08,32934647.28,1.3674,1.371,1.3617,1.3687,0.0,56.88
2021-02-09,33748231.13,1.3687,1.3794,1.368,1.3758,0.0,54.26
2021-02-10,36444622.32,1.3759,1.3813,1.3689,1.3747,0.0,69.47
2021-02-11,29025807.89,1.3747,1.385,1.37,1.3741,0.0,63.38
