date,volume,open,high,low,close,MACD,RSI
2021-08-20,4124045.5,1.982,2.4,1.982,2.15,0.0,
2021-08-21,1475455.3,2.15,2.205,2.079,2.096,-0.0,
2021-08-22,1013830.5,2.097,2.14,2.0,2.084,-0.01,
2021-08-23,1590025.9,2.075,2.198,2.05,2.093,-0.01,
2021-08-24,840088.1,2.091,2.103,2.0,2.015,-0.02,
2021-08-25,1384514.5,2.015,2.084,1.955,2.003,-0.03,
2021-08-26,4762070.6,2.0,2.324,1.966,2.082,-0.03,
2021-08-27,2051833.7,2.082,2.15,1.998,2.057,-0.03,
2021-08-28,817019.1,2.057,2.081,1.985,2.001,-0.03,
2021-08-29,865829.1,2.0,2.049,1.976,1.976,-0.04,
2021-08-30,1755798.3,1.987,2.085,1.944,1.96,-0.04,
2021-08-31,1091728.3,1.962,1.982,1.9,1.91,-0.05,
2021-09-01,755312.0,1.911,1.933,1.845,1.899,-0.06,
2021-09-02,978848.3,1.899,1.93,1.85,1.863,-0.06,
2021-09-03,921884.9,1.863,1.898,1.815,1.841,-0.07,18.14
2021-09-04,1403913.6,1.841,1.95,1.833,1.892,-0.07,28.84
2021-09-05,946741.6,1.892,1.918,1.83,1.852,-0.07,27.25
2021-09-06,890551.7,1.855,1.89,1.844,1.878,-0.07,29.6
2021-09-07,1642899.5,1.878,1.89,1.611,1.766,-0.08,27.81
2021-09-08,798414.7,1.758,1.839,1.714,1.729,-0.09,26.62
2021-09-09,766248.3,1.736,1.837,1.717,1.743,-0.09,17.47
2021-09-10,587317.2,1.747,1.789,1.685,1.721,-0.09,17.57
2021-09-11,526073.5,1.721,1.787,1.675,1.714,-0.1,19.4
2021-09-12,580626.7,1.71,1.84,1.703,1.74,-0.1,24.89
2021-09-13,627122.2,1.738,1.778,1.683,1.703,-0.1,23.83
2021-09-14,336578.9,1.701,1.745,1.683,1.71,-0.1,27.68
2021-09-15,324407.7,1.712,1.749,1.682,1.732,-0.09,31.81
2021-09-16,618273.5,1.733,1.77,1.694,1.735,-0.09,34.98
2021-09-17,897659.0,1.737,1.78,1.699,1.733,-0.08,36.7
2021-09-18,526567.8,1.736,1.769,1.686,1.72,-0.08,26.63
2021-09-19,291034.7,1.719,1.719,1.666,1.675,-0.08,26.27
2021-09-20,4727558.1,1.677,2.259,1.568,1.628,-0.08,18.27
2021-09-21,2362162.1,1.625,1.98,1.611,1.626,-0.09,25.35
2021-09-22,660159.4,1.625,1.669,1.612,1.656,-0.08,36.82
2021-09-23,646123.6,1.659,1.676,1.626,1.655,-0.08,33.33
2021-09-24,724747.9,1.657,1.657,1.575,1.607,-0.08,30.34
2021-09-25,1474593.2,1.607,1.627,1.508,1.575,-0.08,27.94
2021-09-26,343239.2,1.575,1.6,1.535,1.595,-0.08,26.54
2021-09-27,236404.9,1.595,1.606,1.562,1.569,-0.08,27.52
2021-09-28,245313.1,1.569,1.628,1.548,1.565,-0.08,25.42
2021-09-29,303225.7,1.565,1.628,1.548,1.566,-0.08,19.71
2021-09-30,209539.8,1.566,1.608,1.552,1.58,-0.08,22.81
2021-10-01,1279945.8,1.58,1.696,1.569,1.625,-0.07,33.54
2021-10-02,593014.7,1.634,1.646,1.6,1.613,-0.07,33.64
2021-10-03,446588.1,1.613,1.636,1.6,1.625,-0.06,41.5
2021-10-04,2985158.3,1.629,1.887,1.609,1.671,-0.05,57.34
2021-10-05,1221006.7,1.677,1.731,1.66,1.69,-0.04,60.32
2021-10-06,913994.2,1.693,1.7,1.624,1.657,-0.04,50.16
2021-10-07,470839.7,1.655,1.68,1.574,1.651,-0.03,49.37
2021-10-08,407430.8,1.656,1.689,1.634,1.641,-0.03,56.07
2021-10-09,387891.4,1.644,1.69,1.632,1.665,-0.03,66.54
2021-10-10,323662.2,1.667,1.68,1.645,1.648,-0.03,59.85
2021-10-11,533757.3,1.643,1.68,1.62,1.64,-0.02,64.14
2021-10-12,397784.0,1.635,1.681,1.609,1.63,-0.02,62.65
2021-10-13,448110.4,1.633,1.69,1.621,1.667,-0.02,67.24
2021-10-14,677679.1,1.669,1.718,1.651,1.661,-0.02,64.21
2021-10-15,874662.7,1.662,1.725,1.645,1.71,-0.01,64.71
2021-10-16,978866.0,1.704,1.799,1.685,1.723,-0.0,68.97
2021-10-17,590018.6,1.725,1.748,1.695,1.712,-0.0,65.05
2021-10-18,19498346.0,1.71,2.672,1.708,1.815,0.01,70.81
2021-10-19,1760914.7,1.815,1.83,1.698,1.762,0.01,59.47
2021-10-20,1141966.8,1.762,1.828,1.75,1.79,0.02,67.73
