date,volume,open,high,low,close,MACD,RSI
2022-01-11,8171664.3,0.25,51.0,0.25,11.9991,0.0,
2022-01-12,17891810.6,11.9709,12.743,8.3233,8.9508,-0.24,
2022-01-13,25894045.4,8.9507,14.59,8.53,11.574,-0.22,
2022-01-14,18697629.5,11.5701,15.97,11.2433,13.3751,-0.06,
2022-01-15,6745525.5,13.3673,14.279,12.3855,12.6221,0.01,
2022-01-16,5872644.3,12.6303,12.8278,10.3788,10.3916,-0.11,
2022-01-17,7107326.8,10.3924,11.1402,9.595,10.0361,-0.24,
2022-01-18,6431068.2,10.0361,10.3051,8.6238,9.2303,-0.4,
2022-01-19,10380403.2,9.2303,11.13,8.3633,10.1362,-0.45,
2022-01-20,7401490.7,10.1427,11.42,9.6871,9.7728,-0.51,
2022-01-21,4290909.9,9.772,10.07,8.5,8.6571,-0.64,
2022-01-22,4488139.7,8.6573,9.062,6.77,7.4271,-0.83,
2022-01-23,2547577.6,7.4302,8.7079,7.37,8.0164,-0.93,
2022-01-24,3756835.1,8.0164,8.02,6.5,7.4103,-1.04,
2022-01-25,2214747.6,7.4125,7.98,7.113,7.7827,-1.09,37.45
2022-01-26,2063926.4,7.783,7.8815,7.01,7.22,-1.16,43.95
2022-01-27,1870771.0,7.219,7.3299,6.5,6.6067,-1.25,29.82
2022-01-28,1921746.5,6.6067,6.6834,5.9903,6.4417,-1.32,17.51
2022-01-29,1332886.1,6.4418,6.6,6.02,6.1899,-1.37,18.37
2022-01-30,1232231.1,6.189,6.412,5.6587,5.6977,-1.44,22.16
2022-01-31,2818641.5,5.692,5.75,5.0,5.3939,-1.51,22.29
2022-02-01,1728614.9,5.3896,5.7508,5.2071,5.3184,-1.55,24.42
2022-02-02,1915996.8,5.3204,5.5479,4.93,5.0782,-1.58,13.78
2022-02-03,1435336.4,5.0757,5.1,4.58,4.7499,-1.61,13.84
2022-02-04,6556686.1,4.7499,6.2361,4.7292,5.75,-1.54,28.72
2022-02-05,4415572.4,5.75,6.22,5.6779,5.7526,-1.46,35.06
2022-02-06,3996371.7,5.762,6.7405,5.7574,6.1354,-1.36,32.57
2022-02-07,2167745.7,6.1467,6.666,5.9763,6.262,-1.25,38.32
2022-02-08,1616556.9,6.2633,6.3889,5.6055,5.8251,-1.18,30.35
2022-02-09,1230332.0,5.8252,6.01,5.6199,5.8801,-1.12,35.03
2022-02-10,1164825.0,5.8805,5.9568,5.5,5.5306,-1.08,37.22
2022-02-11,2211012.7,5.5368,6.0621,5.1001,5.172,-1.06,35.58
2022-02-12,1590039.4,5.1732,5.3199,4.775,4.9031,-1.06,35.45
2022-02-13,911367.0,4.9079,5.02,4.6502,4.71,-1.07,38.02
