date,volume,open,high,low,close,MACD,RSI
2022-10-05,1495831.798,40.91,67.0,40.91,50.93,0.0,
2022-10-06,532847.829,50.92,52.38,42.71,44.22,-0.54,
2022-10-07,172143.533,44.23,45.7,42.24,43.12,-1.04,
2022-10-08,256456.015,43.09,48.0,42.37,44.46,-1.31,
2022-10-09,249959.641,44.45,49.0,44.11,45.21,-1.45,
2022-10-10,153337.863,45.18,46.48,41.14,41.45,-1.84,
2022-10-11,169859.672,41.45,41.46,37.32,38.32,-2.38,
2022-10-12,66439.571,38.32,40.5,38.23,38.66,-2.75,
2022-10-13,139116.869,38.66,38.75,34.63,38.66,-3.0,
2022-10-14,123876.552,38.55,42.1,37.44,37.98,-3.22,
2022-10-15,43063.162,38.03,38.59,36.17,36.38,-3.48,
2022-10-16,37625.245,36.38,38.48,36.36,38.05,-3.52,
2022-10-17,85168.703,38.01,39.5,37.23,38.34,-3.48,
2022-10-18,32534.51,38.43,38.79,36.04,37.08,-3.51,
2022-10-19,45784.827,37.17,37.17,34.91,34.92,-3.67,17.71
2022-10-20,26714.1,34.99,35.5,33.15,33.32,-3.88,22.31
2022-10-21,69139.991,33.25,38.0,32.5,35.21,-3.85,30.68
2022-10-22,38334.964,35.23,36.5,33.81,34.76,-3.82,25.23
2022-10-23,34949.36,34.83,37.38,34.51,37.16,-3.56,31.04
2022-10-24,32347.89,37.14,37.26,35.5,35.81,-3.42,35.02
2022-10-25,42939.222,35.88,38.85,35.41,37.6,-3.13,47.94
2022-10-26,171166.261,37.61,45.0,37.4,42.17,-2.5,58.08
2022-10-27,103904.926,42.24,43.55,39.0,39.06,-2.23,50.81
2022-10-28,107185.196,39.08,43.35,37.84,42.37,-1.73,58.0
2022-10-29,121292.888,42.37,46.77,42.07,43.47,-1.23,63.15
2022-10-30,98836.021,43.46,43.61,40.67,41.47,-0.98,56.27
2022-10-31,95879.511,41.46,43.48,40.86,42.7,-0.68,57.73
2022-11-01,81545.688,42.74,43.74,41.76,41.91,-0.5,58.7
2022-11-02,136776.309,41.92,43.0,40.14,40.57,-0.46,60.49
2022-11-03,170053.29,40.58,41.41,40.05,40.14,-0.45,63.24
2022-11-04,84530.617,40.14,43.45,39.8,43.17,-0.2,64.8
2022-11-05,62594.406,43.2,43.56,40.56,40.96,-0.18,60.82
2022-11-06,47207.904,40.98,41.36,38.18,38.23,-0.38,51.85
2022-11-07,97156.775,38.17,40.26,37.35,38.5,-0.51,54.82
2022-11-08,164352.271,38.48,40.75,31.63,35.26,-0.87,46.01
2022-11-09,191273.407,35.32,37.38,25.2,26.18,-1.86,26.4
2022-11-10,118243.965,26.19,36.63,25.89,34.93,-1.92,44.77
2022-11-11,92755.319,34.94,36.08,31.0,34.95,-1.94,39.76
2022-11-12,190831.012,35.05,42.86,35.0,36.77,-1.79,40.93
2022-11-13,400228.235,36.78,48.0,36.02,38.32,-1.53,45.68
2022-11-14,207068.391,38.37,47.58,37.54,42.05,-1.01,49.17
2022-11-15,154103.759,42.17,46.0,39.77,42.74,-0.53,51.07
2022-11-16,94894.831,42.72,44.4,38.32,40.71,-0.32,50.18
2022-11-17,51988.986,40.74,41.38,38.27,39.62,-0.23,49.35
2022-11-18,39658.847,39.67,44.34,39.5,40.56,-0.09,46.58
2022-11-19,76034.733,40.57,43.7,40.0,43.0,0.22,52.66
2022-11-20,152691.588,43.0,49.6,40.6,41.1,0.31,53.82
2022-11-21,99906.462,41.11,44.2,39.2,40.81,0.35,53.07
2022-11-22,123340.203,40.79,42.23,36.3,40.84,0.38,58.12
2022-11-23,80919.609,40.85,43.13,39.86,42.56,0.54,80.33
2022-11-24,98882.481,42.62,46.99,42.21,45.98,0.93,75.5
2022-11-25,71098.236,45.86,49.89,43.28,46.33,1.25,75.86
2022-11-26,71528.996,46.32,48.23,43.63,44.13,1.32,66.44
2022-11-27,45551.751,44.16,45.58,43.06,43.14,1.27,61.04
2022-11-28,73142.811,43.14,43.66,40.51,40.81,1.04,46.96
2022-11-29,103831.061,40.82,42.8,40.35,41.62,0.91,47.27
2022-11-30,156171.962,41.6,49.63,41.38,49.37,1.41,66.49
2022-12-01,175931.604,49.3,53.8,47.62,50.33,1.87,70.49
2022-12-02,200007.304,50.32,59.59,49.59,55.52,2.62,74.62
2022-12-03,119853.172,55.43,58.55,50.91,51.6,2.86,63.5
2022-12-04,59474.58,51.66,55.14,51.41,53.32,3.16,69.29
2022-12-05,71805.438,53.32,57.85,51.3,51.49,3.21,66.07
2022-12-06,63599.375,51.5,52.57,48.33,50.21,3.11,63.59
2022-12-07,143341.206,50.31,56.78,49.0,51.95,3.14,63.61
2022-12-08,62404.81,51.99,55.07,50.7,54.01,3.28,62.12
2022-12-09,66184.516,54.01,54.58,51.19,51.92,3.2,58.02
2022-12-10,37747.21,51.91,55.04,51.65,53.73,3.24,63.92
2022-12-11,107236.223,53.73,58.99,53.61,55.47,3.37,67.5
2022-12-12,135200.723,55.42,59.5,53.9,58.84,3.7,74.86
2022-12-13,213167.311,58.84,61.0,52.94,53.65,3.51,64.8
2022-12-14,99357.035,53.62,55.25,51.24,52.6,3.23,54.76
2022-12-15,38892.64,52.6,52.92,50.2,50.86,2.84,50.76
2022-12-16,93585.4,50.88,52.28,44.67,46.16,2.13,36.33
2022-12-17,65223.37,46.19,50.2,45.86,48.05,1.69,44.49
2022-12-18,31217.919,48.09,48.53,46.11,46.16,1.18,38.94
2022-12-19,51240.886,46.2,46.83,42.32,43.93,0.59,38.47
2022-12-20,38966.897,43.99,47.58,43.72,46.5,0.33,44.56
2022-12-21,28990.027,46.5,47.72,45.83,47.23,0.18,42.86
2022-12-22,32660.287,47.29,47.52,45.0,46.18,-0.03,37.78
2022-12-23,12860.795,46.24,46.56,45.6,46.05,-0.2,40.25
2022-12-24,9966.178,46.12,46.99,45.87,46.59,-0.29,37.61
2022-12-25,8939.916,46.66,46.79,45.45,45.85,-0.41,32.71
2022-12-26,18160.51,45.86,46.56,44.51,45.14,-0.56,22.77
2022-12-27,17416.694,45.24,45.47,43.61,44.16,-0.75,27.35
2022-12-28,29213.589,44.12,44.18,41.52,41.71,-1.09,25.64
2022-12-29,24439.394,41.7,43.6,41.38,42.96,-1.24,31.93
2022-12-30,32247.07,42.85,43.42,40.3,41.1,-1.49,36.7
2022-12-31,30756.654,41.1,42.24,40.17,41.6,-1.63,31.71
2023-01-01,16702.075,41.62,41.98,41.0,41.34,-1.74,34.94
2023-01-02,38543.585,41.36,42.55,40.49,41.51,-1.8,41.32
2023-01-03,119591.169,41.54,42.63,37.65,39.9,-1.95,24.58
2023-01-04,81017.249,39.93,42.21,39.83,41.34,-1.93,28.49
2023-01-05,156891.041,41.4,45.0,40.53,41.56,-1.88,32.04
2023-01-06,38971.912,41.6,42.06,40.75,41.64,-1.8,32.79
2023-01-07,29413.549,41.65,42.19,40.91,41.14,-1.77,28.66
2023-01-08,52847.248,41.15,41.2,39.0,40.21,-1.8,28.24
2023-01-09,132053.396,40.21,43.55,40.2,42.3,-1.63,40.1
2023-01-10,91513.917,42.37,45.36,41.98,44.62,-1.29,51.47
2023-01-11,66880.883,44.69,46.84,44.0,46.3,-0.88,65.39
2023-01-12,74509.403,46.32,47.19,43.87,45.9,-0.58,60.46
2023-01-13,104407.389,45.89,52.32,44.82,51.03,0.07,78.65
2023-01-14,116185.311,51.03,53.43,48.12,52.06,0.66,79.28
2023-01-15,49580.661,52.09,52.44,50.23,51.27,1.05,77.0
2023-01-16,55595.999,51.22,52.49,48.7,50.0,1.25,71.78
2023-01-17,84171.958,50.0,50.22,47.38,48.9,1.3,73.71
2023-01-18,85192.034,48.94,49.5,44.45,45.0,1.01,58.54
2023-01-19,28792.295,44.94,46.47,44.84,45.93,0.85,59.86
2023-01-20,54228.1,45.97,50.99,45.6,50.85,1.1,67.06
2023-01-21,89457.684,50.85,52.43,47.95,48.16,1.08,62.03
2023-01-22,144830.22,48.17,54.0,48.01,50.35,1.22,66.66
2023-01-23,229064.072,50.37,55.64,48.78,54.36,1.64,68.63
2023-01-24,157197.78,54.27,55.87,47.51,49.33,1.54,56.72
2023-01-25,120746.781,49.31,54.22,46.92,53.28,1.77,59.35
2023-01-26,82829.15,53.28,54.16,50.69,51.51,1.78,57.25
2023-01-27,130317.895,51.53,56.01,49.75,55.71,2.11,56.19
2023-01-28,123228.738,55.76,57.8,53.73,55.83,2.35,55.11
2023-01-29,278291.659,55.83,64.7,55.21,61.55,2.97,62.3
2023-01-30,266972.266,61.6,62.5,55.1,58.49,3.17,59.74
2023-01-31,167861.805,58.43,60.65,56.42,59.54,3.38,62.22
2023-02-01,254433.919,59.59,69.58,55.9,66.99,4.1,73.35
2023-02-02,267776.004,66.99,71.51,64.39,64.85,4.45,69.59
2023-02-03,238204.798,64.86,73.44,63.69,71.14,5.17,70.42
2023-02-04,295005.24,71.13,77.43,70.47,70.99,5.67,74.22
2023-02-05,282588.952,70.91,71.92,63.66,66.73,5.65,66.65
2023-02-06,162670.309,66.68,68.68,64.75,66.24,5.53,63.0
2023-02-07,209392.474,66.25,74.78,65.85,71.98,5.84,74.41
2023-02-08,146022.874,72.05,72.58,65.0,67.28,5.63,64.85
2023-02-09,173503.902,67.2,67.59,59.91,60.52,4.87,58.64
2023-02-10,127568.117,60.52,61.98,57.58,60.26,4.2,54.72
2023-02-11,119964.136,60.26,66.99,60.13,66.36,4.11,59.72
2023-02-12,79656.272,66.36,67.76,64.06,64.57,3.85,53.01
2023-02-13,123254.813,64.56,67.17,60.74,66.92,3.79,58.51
2023-02-14,406234.703,66.92,80.39,65.94,74.71,4.32,63.48
2023-02-15,226254.428,74.7,82.9,73.1,81.43,5.22,63.0
2023-02-16,339735.599,81.43,88.71,76.5,76.66,5.49,60.15
2023-02-17,246190.308,76.64,83.12,76.35,82.17,6.08,59.61
2023-02-18,186419.898,82.12,85.35,78.38,80.43,6.33,58.0
2023-02-19,119458.196,80.45,81.78,76.5,77.45,6.22,59.29
