date,volume,open,high,low,close,MACD,RSI
2021-08-30,125066.394,294.9,418.0,294.9,309.0,0.0,
2021-08-31,35540.757,308.5,331.0,280.4,282.2,-2.14,
2021-09-01,28640.252,282.2,311.0,263.8,294.2,-2.83,
2021-09-02,19690.055,294.5,327.0,289.1,307.4,-2.29,
2021-09-03,23279.121,307.4,343.0,298.8,310.7,-1.58,
2021-09-04,4970.858,310.5,323.8,299.7,302.5,-1.65,
2021-09-05,2875.285,302.1,311.8,296.9,308.7,-1.2,
2021-09-06,3908.713,308.7,314.6,300.1,314.1,-0.4,
2021-09-07,5854.016,314.2,314.9,219.2,261.6,-3.96,
2021-09-08,2691.6,262.5,274.9,247.0,266.8,-6.28,
2021-09-09,4563.136,266.5,307.7,264.6,293.4,-5.91,
2021-09-10,3047.303,294.3,295.4,272.6,275.2,-7.01,
2021-09-11,954.14,275.3,286.0,272.4,281.9,-7.25,
2021-09-12,930.969,282.0,289.0,280.0,284.2,-7.17,
2021-09-13,1017.301,284.3,285.0,267.7,274.0,-7.85,41.11
2021-09-14,5802.289,274.0,297.8,269.7,286.0,-7.33,51.04
2021-09-15,3961.74,286.0,297.4,283.0,295.2,-6.1,50.28
2021-09-16,1419.846,295.0,300.0,284.4,285.8,-5.82,43.84
2021-09-17,1559.313,285.8,293.3,275.2,276.2,-6.3,40.51
2021-09-18,3843.178,276.4,296.9,275.5,277.4,-6.51,42.82
2021-09-19,1916.765,277.1,278.3,263.3,265.5,-7.55,38.03
2021-09-20,6492.568,265.5,266.5,236.0,243.0,-10.07,32.0
2021-09-21,13050.538,242.8,274.5,225.0,235.1,-12.57,41.33
2021-09-22,5468.545,235.2,268.9,235.1,256.9,-12.64,47.08
2021-09-23,2361.64,256.8,272.4,255.5,268.2,-11.65,41.83
2021-09-24,1971.541,268.7,269.7,236.5,247.8,-12.37,41.24
2021-09-25,1945.3,248.3,249.0,240.8,243.6,-13.12,37.56
2021-09-26,2001.274,243.6,251.8,230.0,249.1,-13.13,38.83
2021-09-27,1839.828,248.0,261.8,243.1,243.4,-13.44,39.97
2021-09-28,3354.768,243.0,249.6,232.6,233.0,-14.35,32.45
2021-09-29,2887.677,233.4,247.9,231.1,235.1,-14.74,29.12
2021-09-30,2409.015,235.1,249.9,234.9,249.8,-13.71,37.94
2021-10-01,2091.157,249.7,268.0,248.6,266.5,-11.41,46.9
2021-10-02,1979.53,266.3,276.0,264.0,273.8,-8.89,48.89
2021-10-03,1252.797,273.8,281.9,268.9,277.7,-6.51,53.95
2021-10-04,821.842,277.5,278.2,267.9,276.7,-4.65,62.68
2021-10-05,2178.486,276.6,290.8,271.5,289.4,-2.12,69.72
2021-10-06,9268.162,289.4,323.6,278.6,297.4,0.52,66.34
2021-10-07,1995.284,298.1,303.2,291.8,296.9,2.54,62.69
2021-10-08,3100.868,296.9,313.6,293.6,299.3,4.29,77.08
2021-10-09,7979.991,298.3,320.9,296.4,303.0,5.9,81.4
2021-10-10,2981.428,302.9,303.6,294.6,295.8,6.52,74.25
2021-10-11,2213.399,295.8,307.8,291.0,302.2,7.45,80.31
2021-10-12,3052.256,302.2,307.3,294.3,301.7,8.05,89.44
2021-10-13,1572.119,302.3,309.7,300.8,309.1,9.02,90.04
2021-10-14,3833.846,309.3,328.7,309.0,322.7,10.76,89.92
2021-10-15,3470.201,323.2,336.8,319.0,329.5,12.54,88.7
2021-10-16,1940.024,329.5,339.3,326.2,327.2,13.61,84.95
2021-10-17,1972.983,327.2,340.0,324.8,335.1,14.93,85.7
2021-10-18,1367.32,335.5,339.5,323.7,327.5,15.18,79.2
2021-10-19,4075.215,327.5,347.2,326.7,339.4,16.16,79.0
2021-10-20,3685.87,339.6,365.0,338.3,364.8,18.76,82.53
