date,volume,open,high,low,close,MACD,RSI
2023-02-17,9896086.66,6.032,13.88,6.032,10.279,0.0,
2023-02-18,5243120.62,10.275,11.98,10.0,10.339,0.0,
2023-02-19,3052295.81,10.34,10.7,8.839,9.01,-0.1,
2023-02-20,1780258.87,8.996,9.6,8.535,9.29,-0.15,
2023-02-21,2077246.68,9.291,10.114,8.581,8.898,-0.23,
2023-02-22,1168157.48,8.9,8.999,8.0,8.536,-0.31,
2023-02-23,1550549.16,8.551,9.5,8.386,9.188,-0.32,
2023-02-24,1123858.66,9.196,9.682,8.16,8.333,-0.4,
2023-02-25,551811.34,8.333,8.475,7.81,8.217,-0.46,
2023-02-26,481178.65,8.224,8.748,8.139,8.63,-0.47,
2023-02-27,399655.83,8.63,8.729,8.221,8.308,-0.5,
2023-02-28,469408.36,8.307,8.553,7.801,7.857,-0.55,
2023-03-01,567504.23,7.857,8.336,7.803,7.915,-0.58,
2023-03-02,628089.43,7.915,8.019,7.15,7.401,-0.64,
2023-03-03,779528.72,7.405,7.595,6.761,7.345,-0.68,24.97
2023-03-04,463083.16,7.344,7.548,6.817,6.934,-0.74,22.59
2023-03-05,494860.78,6.915,7.489,6.889,7.115,-0.76,31.29
2023-03-06,1352248.4,7.118,8.155,6.96,7.782,-0.72,36.17
2023-03-07,1664601.67,7.78,8.414,7.331,7.725,-0.68,38.53
2023-03-08,673548.1,7.719,7.95,6.9,6.94,-0.7,35.59
2023-03-09,642083.02,6.949,7.21,6.512,6.606,-0.74,25.27
2023-03-10,987663.5,6.606,6.67,5.811,6.471,-0.77,29.31
2023-03-11,1435659.81,6.451,6.65,5.225,6.085,-0.82,27.65
2023-03-12,1040120.53,6.102,6.8,5.704,6.786,-0.79,31.77
2023-03-13,1315729.01,6.759,7.2,6.241,6.985,-0.75,36.6
2023-03-14,1403581.26,6.999,7.899,6.796,7.345,-0.67,44.72
2023-03-15,1733495.7,7.342,8.123,6.88,7.625,-0.58,47.14
2023-03-16,4527251.11,7.625,9.588,7.605,8.929,-0.41,63.05
2023-03-17,1406850.53,8.929,9.45,8.535,9.071,-0.25,64.52
2023-03-18,1422343.73,9.084,9.943,8.883,8.972,-0.13,68.1
2023-03-19,751698.85,8.975,9.445,8.551,8.893,-0.04,66.08
2023-03-20,1266578.05,8.892,8.894,7.86,7.936,-0.05,51.32
2023-03-21,869775.88,7.916,8.657,7.74,8.227,-0.03,54.15
2023-03-22,843368.73,8.225,8.263,7.576,7.719,-0.06,56.74
2023-03-23,650087.68,7.719,8.37,7.672,8.241,-0.04,63.71
2023-03-24,1066710.29,8.239,8.508,6.837,7.05,-0.11,54.12
2023-03-25,413984.72,7.05,7.331,6.831,6.926,-0.18,56.22
2023-03-26,336415.66,6.928,7.426,6.926,7.281,-0.21,53.86
2023-03-27,506149.47,7.28,7.3,6.605,6.958,-0.25,49.79
2023-03-28,656620.17,6.957,7.493,6.81,7.475,-0.24,50.97
2023-03-29,587862.88,7.481,8.0,7.291,7.712,-0.21,50.65
2023-03-30,319892.95,7.714,7.846,7.405,7.595,-0.19,37.79
2023-03-31,410316.17,7.595,7.916,7.417,7.606,-0.17,36.26
2023-04-01,221745.39,7.601,7.835,7.362,7.471,-0.17,36.02
2023-04-02,199116.13,7.47,7.49,7.018,7.156,-0.19,34.5
2023-04-03,202993.56,7.152,7.35,6.98,7.065,-0.21,40.81
2023-04-04,224814.09,7.065,7.8,6.982,7.484,-0.19,42.36
2023-04-05,231394.26,7.485,7.7,7.367,7.508,-0.17,47.59
2023-04-06,186229.01,7.509,7.512,7.056,7.197,-0.18,37.48
2023-04-07,170174.48,7.199,7.26,6.87,6.984,-0.2,48.97
2023-04-08,130679.59,6.987,7.1,6.88,6.938,-0.22,50.19
2023-04-09,216232.28,6.937,7.032,6.602,6.862,-0.24,42.61
2023-04-10,246083.24,6.862,7.101,6.685,7.096,-0.23,52.51
2023-04-11,462344.32,7.093,7.2,6.68,6.922,-0.23,38.49
2023-04-12,199094.55,6.923,6.937,6.61,6.736,-0.25,29.25
2023-04-13,750031.29,6.739,7.453,6.695,7.256,-0.22,43.85
2023-04-14,1128191.55,7.251,8.326,7.175,7.913,-0.14,54.51
2023-04-15,879425.9,7.916,8.236,7.478,7.861,-0.08,55.88
2023-04-16,614716.16,7.863,8.25,7.669,8.108,-0.01,64.65
2023-04-17,438713.42,8.112,8.2,7.521,7.803,0.02,60.65
2023-04-18,428429.68,7.806,8.099,7.65,7.829,0.04,55.62
2023-04-19,677840.92,7.829,7.899,6.856,6.881,-0.02,42.15
2023-04-20,442959.46,6.88,7.034,6.63,6.721,-0.07,43.81
2023-04-21,555780.46,6.721,6.802,5.875,6.21,-0.16,40.66
2023-04-22,406606.99,6.212,6.626,6.151,6.473,-0.2,44.67
2023-04-23,327084.9,6.473,6.496,6.0,6.216,-0.25,42.89
2023-04-24,497728.32,6.215,6.331,6.0,6.074,-0.3,38.51
2023-04-25,398881.03,6.07,6.38,5.91,6.281,-0.32,42.85
2023-04-26,595490.52,6.286,6.45,5.87,6.08,-0.35,42.7
2023-04-27,328900.3,6.076,6.45,5.999,6.224,-0.36,37.48
2023-04-28,252717.55,6.225,6.268,6.01,6.073,-0.37,24.54
2023-04-29,136152.27,6.071,6.148,5.986,6.057,-0.37,24.79
2023-04-30,225258.95,6.057,6.088,5.8,5.881,-0.39,18.25
2023-05-01,304685.37,5.881,5.954,5.555,5.572,-0.42,18.23
2023-05-02,308539.57,5.568,5.665,5.404,5.62,-0.44,18.74
2023-05-03,420166.76,5.621,5.7,5.295,5.622,-0.45,25.67
2023-05-04,329609.1,5.62,5.763,5.501,5.646,-0.45,28.07
2023-05-05,638166.08,5.646,6.027,5.634,5.808,-0.43,40.44
2023-05-06,327709.02,5.808,6.0,5.3,5.442,-0.44,26.62
2023-05-07,151111.74,5.446,5.502,5.35,5.352,-0.45,28.8
2023-05-08,350894.81,5.357,5.4,4.9,4.979,-0.48,25.87
2023-05-09,176861.36,4.977,5.026,4.819,4.891,-0.51,17.67
2023-05-10,314585.18,4.892,5.117,4.7,4.953,-0.52,21.98
2023-05-11,390971.78,4.952,4.953,4.577,4.691,-0.54,14.0
2023-05-12,242934.34,4.691,4.849,4.604,4.835,-0.54,20.83
2023-05-13,225151.27,4.839,4.995,4.764,4.849,-0.53,21.51
2023-05-14,283312.79,4.842,5.211,4.817,5.191,-0.49,34.91
2023-05-15,213455.14,5.19,5.238,5.06,5.084,-0.47,38.29
2023-05-16,146001.28,5.083,5.25,5.008,5.169,-0.43,39.37
2023-05-17,340686.1,5.167,5.514,5.118,5.411,-0.38,45.53
2023-05-18,420833.4,5.415,5.782,5.368,5.625,-0.32,49.59
2023-05-19,327689.28,5.622,5.69,5.227,5.294,-0.3,40.55
2023-05-20,125616.64,5.288,5.307,5.165,5.257,-0.28,46.13
2023-05-21,183510.16,5.255,5.294,5.005,5.018,-0.28,43.43
2023-05-22,124377.34,5.018,5.106,4.944,5.041,-0.27,51.42
2023-05-23,168954.25,5.04,5.141,4.888,5.05,-0.26,53.77
2023-05-24,261347.74,5.045,5.053,4.586,4.749,-0.28,45.66
2023-05-25,154275.93,4.749,4.84,4.652,4.711,-0.29,50.47
2023-05-26,140468.8,4.705,4.952,4.685,4.889,-0.28,51.25
2023-05-27,65553.02,4.89,4.93,4.81,4.926,-0.27,51.76
2023-05-28,192663.09,4.926,5.199,4.913,5.154,-0.24,49.11
2023-05-29,116725.43,5.156,5.231,4.981,5.088,-0.22,50.1
2023-05-30,152903.31,5.088,5.185,4.945,4.989,-0.2,45.59
2023-05-31,191103.64,4.984,5.06,4.78,4.934,-0.2,37.14
2023-06-01,74181.02,4.933,4.963,4.812,4.866,-0.19,27.79
2023-06-02,195694.74,4.868,5.026,4.767,4.979,-0.18,39.44
2023-06-03,125702.64,4.973,4.977,4.814,4.837,-0.18,36.84
2023-06-04,52815.59,4.835,4.921,4.821,4.834,-0.18,43.24
2023-06-05,342196.11,4.834,4.836,4.149,4.428,-0.21,32.42
2023-06-06,279022.41,4.428,4.523,4.247,4.507,-0.22,35.02
2023-06-07,269220.02,4.507,4.521,4.193,4.256,-0.25,36.02
2023-06-08,152048.86,4.257,4.346,4.155,4.24,-0.27,36.47
2023-06-09,135579.88,4.24,4.267,4.105,4.143,-0.29,27.53
2023-06-10,495826.57,4.142,4.152,3.65,3.92,-0.32,22.75
2023-06-11,137491.39,3.918,3.99,3.847,3.937,-0.34,12.78
2023-06-12,155618.78,3.939,3.974,3.824,3.927,-0.35,13.24
2023-06-13,175542.16,3.927,3.99,3.792,3.826,-0.36,13.22
2023-06-14,158168.78,3.825,3.873,3.608,3.676,-0.38,12.47
2023-06-15,205143.31,3.678,3.828,3.62,3.783,-0.38,18.43
2023-06-16,138529.64,3.782,3.899,3.682,3.894,-0.37,18.33
