date,volume,open,high,low,close,MACD,RSI
2020-12-17,281389717.4,0.03,0.147,0.03,0.12275,0.0,
2020-12-18,1898014833.3,0.12253,0.28665,0.12253,0.26122,0.01,
2020-12-19,2419429958.8,0.26097,0.5899,0.25522,0.47749,0.04,
2020-12-20,1865776315.5,0.47735,0.783,0.45,0.73826,0.08,
2020-12-21,907018961.8,0.73726,0.772,0.45,0.47195,0.09,
2020-12-22,876719992.8,0.47176,0.629,0.42445,0.54572,0.1,
2020-12-23,559463556.2,0.54572,0.58159,0.346,0.41158,0.1,
2020-12-24,393761571.9,0.41198,0.45665,0.35246,0.41046,0.09,
2020-12-25,251983717.3,0.41045,0.42136,0.33552,0.35847,0.09,
2020-12-26,540655436.7,0.35859,0.499,0.32,0.4848,0.09,
2020-12-27,362117948.2,0.4848,0.49531,0.37768,0.39677,0.08,
2020-12-28,243597202.2,0.39679,0.43888,0.37801,0.38084,0.08,
2020-12-29,158342381.0,0.38123,0.38741,0.3399,0.3736,0.07,
2020-12-30,141656718.5,0.3735,0.40349,0.35,0.37465,0.07,
2020-12-31,77737307.6,0.37494,0.38084,0.34152,0.35046,0.06,58.1
2021-01-01,106546510.6,0.35046,0.37905,0.34505,0.36169,0.05,53.93
2021-01-02,84820913.7,0.36195,0.36195,0.30265,0.32751,0.05,43.16
2021-01-03,153423664.4,0.32691,0.33734,0.28111,0.29857,0.04,24.57
2021-01-04,141661225.9,0.29884,0.35,0.29001,0.30888,0.03,36.6
2021-01-05,139064307.9,0.30888,0.349,0.28511,0.33823,0.03,31.61
2021-01-06,218355039.2,0.33783,0.39685,0.315,0.36991,0.03,45.49
2021-01-07,196776753.3,0.36979,0.42,0.31686,0.34633,0.02,43.38
2021-01-08,142103169.3,0.34625,0.35206,0.305,0.32903,0.02,46.72
2021-01-09,115581643.7,0.32903,0.365,0.31651,0.34849,0.02,30.1
2021-01-10,125875101.8,0.34849,0.3764,0.30816,0.32627,0.02,37.26
2021-01-11,138090381.2,0.32634,0.32737,0.2331,0.29053,0.01,34.77
2021-01-12,71587105.0,0.29069,0.30991,0.26422,0.27768,0.01,34.12
2021-01-13,107455478.2,0.27726,0.351,0.26682,0.325,0.0,42.87
2021-01-14,110363475.6,0.325,0.36267,0.316,0.33379,0.01,47.5
2021-01-15,178469452.4,0.33355,0.3945,0.309,0.33761,0.01,46.3
2021-01-16,279114614.3,0.33761,0.47643,0.33748,0.466,0.02,66.5
2021-01-17,306706282.4,0.46559,0.57473,0.40711,0.51877,0.03,74.82
2021-01-18,323369083.5,0.51969,0.6693,0.5107,0.61907,0.05,79.07
2021-01-19,197832800.4,0.61907,0.64749,0.52334,0.53828,0.05,67.1
2021-01-20,138096404.8,0.5381,0.57519,0.47657,0.52203,0.06,63.35
2021-01-21,135397425.9,0.52203,0.56062,0.43496,0.43566,0.05,57.06
2021-01-22,184350309.6,0.43567,0.55547,0.40018,0.5111,0.05,63.18
2021-01-23,158706315.2,0.5111,0.593,0.49001,0.58446,0.06,65.85
2021-01-24,125427784.9,0.58489,0.5935,0.51797,0.55604,0.06,65.31
2021-01-25,94312245.0,0.55607,0.59561,0.525,0.52985,0.06,66.15
2021-01-26,82771056.1,0.52997,0.55076,0.48,0.53701,0.06,67.63
2021-01-27,84714099.4,0.5375,0.54614,0.45327,0.48465,0.05,60.78
2021-01-28,136166967.3,0.4846,0.58379,0.4675,0.556,0.05,63.84
2021-01-29,206830617.6,0.556,0.665,0.5252,0.55282,0.05,63.41
2021-01-30,170787478.6,0.55291,0.684,0.55201,0.63734,0.06,61.3
2021-01-31,281650359.1,0.637,0.865,0.60062,0.79448,0.08,65.98
2021-02-01,179927084.0,0.7945,0.8839,0.74784,0.78311,0.09,60.6
2021-02-02,109622872.4,0.78414,0.81993,0.72312,0.75205,0.09,64.76
