date,volume,open,high,low,close,MACD,RSI
2021-06-10,7044984.5,9.52,24.0,9.52,13.26,0.0,
2021-06-11,9870831.32,13.23,18.36,11.79,11.97,-0.1,
2021-06-12,2520009.16,11.99,12.25,10.6,11.21,-0.24,
2021-06-13,2158172.41,11.22,11.3,9.54,10.48,-0.41,
2021-06-14,2088772.9,10.46,12.0,10.0,10.4,-0.54,
2021-06-15,1093578.02,10.38,11.11,10.21,10.73,-0.61,
2021-06-16,1381029.17,10.7,11.2,8.96,9.19,-0.78,
2021-06-17,931958.7,9.21,9.72,8.24,8.43,-0.97,
2021-06-18,1929344.08,8.44,8.9,7.61,7.97,-1.14,
2021-06-19,830724.77,7.99,8.4,7.82,7.97,-1.26,
2021-06-20,1317191.79,7.98,8.12,6.69,7.45,-1.38,
2021-06-21,1826273.79,7.45,7.68,5.4,5.53,-1.61,
2021-06-22,1597056.11,5.53,6.17,4.62,5.25,-1.8,
2021-06-23,1130490.53,5.24,6.29,5.09,5.73,-1.89,
2021-06-24,868629.99,5.73,6.12,5.26,5.7,-1.94,8.82
2021-06-25,1658987.19,5.7,6.8,5.57,5.74,-1.95,10.72
2021-06-26,861984.23,5.72,6.2,5.29,5.8,-1.93,12.59
2021-06-27,2255156.49,5.82,7.61,5.58,7.2,-1.79,29.24
2021-06-28,3638112.95,7.2,8.59,7.13,7.45,-1.63,31.72
2021-06-29,1975602.63,7.45,9.02,7.36,8.49,-1.41,37.24
2021-06-30,1444834.34,8.48,8.8,7.19,7.74,-1.28,40.93
2021-07-01,1340832.64,7.76,7.79,6.68,7.05,-1.22,41.29
2021-07-02,886583.44,7.05,7.36,6.41,6.87,-1.17,42.8
2021-07-03,1166624.0,6.84,7.9,6.7,7.36,-1.08,46.25
2021-07-04,717849.7,7.36,7.8,6.96,7.23,-1.0,48.58
2021-07-05,921379.55,7.22,7.29,6.61,6.82,-0.97,60.35
2021-07-06,844664.4,6.84,7.46,6.83,7.13,-0.91,65.02
