date,volume,open,high,low,close,MACD,RSI
2019-07-01,14645034.9,0.0315,0.038,0.026,0.02797,0.0,
2019-07-02,9453040.0,0.02797,0.02862,0.02469,0.02615,-0.0,
2019-07-03,5951143.0,0.02612,0.02875,0.02549,0.02597,-0.0,
2019-07-04,5080951.3,0.0259,0.02623,0.02403,0.02417,-0.0,
2019-07-05,6012946.2,0.02456,0.0272,0.0235,0.02446,-0.0,
2019-07-06,3143111.8,0.02447,0.025,0.02387,0.02457,-0.0,
2019-07-07,3753741.2,0.02434,0.027,0.02427,0.0255,-0.0,
2019-07-08,15877395.7,0.0255,0.0308,0.02537,0.0287,-0.0,
2019-07-09,8842982.2,0.02871,0.02917,0.02463,0.02567,-0.0,
2019-07-10,7566109.7,0.02577,0.02612,0.022,0.02274,-0.0,
2019-07-11,2643467.5,0.02274,0.02285,0.01995,0.02015,-0.0,
2019-07-12,6722674.7,0.02,0.024,0.0198,0.02182,-0.0,
2019-07-13,3958335.9,0.02181,0.023,0.02033,0.02147,-0.0,
2019-07-14,2308221.6,0.02158,0.02178,0.01873,0.01925,-0.0,
2019-07-15,4553658.2,0.01884,0.01951,0.01701,0.0194,-0.0,29.85
2019-07-16,5151487.8,0.01939,0.0196,0.01499,0.01563,-0.0,27.35
2019-07-17,6341280.8,0.01565,0.01848,0.01468,0.01663,-0.0,30.57
2019-07-18,10547741.7,0.01666,0.01866,0.01594,0.01791,-0.0,36.69
2019-07-19,8371290.6,0.01786,0.01998,0.0175,0.0191,-0.0,39.03
2019-07-20,5574874.8,0.01909,0.02034,0.01881,0.0195,-0.0,39.74
2019-07-21,2263058.3,0.0195,0.0201,0.0188,0.01944,-0.0,37.29
2019-07-22,2723518.6,0.0194,0.0206,0.01888,0.01961,-0.0,28.16
2019-07-23,6747303.1,0.01962,0.022,0.01886,0.02,-0.0,34.4
2019-07-24,5141504.2,0.01994,0.0201,0.01847,0.01949,-0.0,39.68
2019-07-25,3529077.9,0.01955,0.02038,0.01915,0.01922,-0.0,46.54
2019-07-26,1507742.0,0.01916,0.01962,0.019,0.01924,-0.0,39.05
2019-07-27,2684836.8,0.01921,0.01958,0.01755,0.01793,-0.0,36.11
2019-07-28,1456230.3,0.01812,0.01838,0.017,0.01777,-0.0,43.07
2019-07-29,1948541.7,0.01769,0.01837,0.01718,0.01733,-0.0,40.57
2019-07-30,2306202.4,0.01733,0.01746,0.01647,0.01728,-0.0,61.38
2019-07-31,2653978.0,0.01728,0.01753,0.01679,0.01708,-0.0,53.49
2019-08-01,4301365.7,0.01708,0.01764,0.01651,0.01688,-0.0,40.41
2019-08-02,3422493.8,0.01684,0.01742,0.01665,0.01741,-0.0,32.06
2019-08-03,3310836.2,0.01739,0.01813,0.01709,0.01731,-0.0,25.17
2019-08-04,1187235.4,0.01738,0.01757,0.01679,0.01695,-0.0,23.57
2019-08-05,2914640.7,0.01681,0.0177,0.01621,0.01636,-0.0,18.32
2019-08-06,6195783.2,0.01622,0.01743,0.01574,0.01639,-0.0,12.16
2019-08-07,5752791.8,0.01659,0.01709,0.01511,0.01532,-0.0,10.88
2019-08-08,3318050.4,0.01532,0.0154,0.01466,0.01531,-0.0,11.44
2019-08-09,4862124.9,0.01523,0.01566,0.01376,0.01389,-0.0,8.66
2019-08-10,4151982.0,0.01389,0.01414,0.01301,0.014,-0.0,12.71
2019-08-11,4246835.9,0.01387,0.01432,0.01338,0.01386,-0.0,12.76
2019-08-12,22814819.3,0.01371,0.01666,0.0137,0.01429,-0.0,20.99
2019-08-13,10055346.2,0.01429,0.01534,0.01429,0.01464,-0.0,26.17
2019-08-14,5848718.0,0.01461,0.01487,0.01305,0.01305,-0.0,20.92
2019-08-15,2720950.3,0.01332,0.01373,0.01248,0.01293,-0.0,21.17
2019-08-16,2902615.1,0.01292,0.01343,0.01226,0.01251,-0.0,13.65
2019-08-17,2093751.2,0.01251,0.01289,0.01227,0.01287,-0.0,18.29
2019-08-18,3246091.9,0.01272,0.01369,0.01251,0.0132,-0.0,23.1
2019-08-19,3468053.1,0.01324,0.01346,0.0129,0.01304,-0.0,24.62
2019-08-20,2560350.8,0.01304,0.01305,0.01249,0.01256,-0.0,22.6
2019-08-21,6082514.4,0.01252,0.01285,0.01175,0.01262,-0.0,27.42
2019-08-22,8459312.2,0.01263,0.0138,0.01207,0.01302,-0.0,32.03
2019-08-23,2381547.9,0.01301,0.01355,0.01285,0.01355,-0.0,46.9
2019-08-24,8765961.8,0.01358,0.01468,0.01319,0.01448,-0.0,53.81
2019-08-25,3890831.2,0.01448,0.01496,0.01362,0.01383,-0.0,49.78
2019-08-26,2801203.3,0.01392,0.01475,0.01373,0.0144,-0.0,50.79
2019-08-27,4518103.8,0.01453,0.01454,0.01372,0.01383,-0.0,44.35
2019-08-28,4821741.3,0.01403,0.01403,0.01184,0.01212,-0.0,43.62
2019-08-29,3039247.4,0.01214,0.01226,0.01123,0.01176,-0.0,42.23
2019-08-30,1501604.3,0.01187,0.01195,0.01151,0.01171,-0.0,44.41
2019-08-31,3337985.1,0.01169,0.01199,0.01118,0.01143,-0.0,39.83
2019-09-01,6189915.0,0.01133,0.01337,0.01133,0.01234,-0.0,44.39
2019-09-02,1733104.5,0.01234,0.01297,0.01196,0.01229,-0.0,45.03
2019-09-03,10127832.3,0.01229,0.014,0.01206,0.0132,-0.0,54.01
2019-09-04,1679329.1,0.0132,0.01351,0.01245,0.01294,-0.0,51.96
2019-09-05,1201522.7,0.0125,0.01276,0.01194,0.01237,-0.0,46.11
2019-09-06,2410744.8,0.01237,0.0127,0.01098,0.01128,-0.0,37.26
2019-09-07,2127752.8,0.01127,0.01236,0.01106,0.01222,-0.0,37.33
2019-09-08,1435656.6,0.01222,0.01238,0.01145,0.0119,-0.0,38.77
2019-09-09,2365201.4,0.01175,0.01267,0.01125,0.01199,-0.0,35.14
2019-09-10,1461804.8,0.01217,0.01307,0.01193,0.01268,-0.0,43.01
2019-09-11,4313986.5,0.01268,0.0137,0.01156,0.01188,-0.0,48.36
2019-09-12,2096915.1,0.01177,0.01262,0.01114,0.01213,-0.0,52.57
2019-09-13,690578.1,0.01217,0.01228,0.0116,0.0122,-0.0,53.39
2019-09-14,219691.7,0.01214,0.01229,0.01191,0.01211,-0.0,54.83
2019-09-15,663095.9,0.01232,0.01242,0.01179,0.01207,-0.0,47.81
2019-09-16,3805601.4,0.01213,0.01325,0.01178,0.0126,-0.0,52.33
2019-09-17,3439421.0,0.0126,0.01374,0.01251,0.01335,-0.0,51.16
2019-09-18,10092006.4,0.01346,0.01611,0.01329,0.01479,-0.0,62.06
2019-09-19,5244993.8,0.01479,0.01508,0.01335,0.01392,-0.0,59.72
2019-09-20,3561384.8,0.01397,0.01549,0.01388,0.01472,0.0,72.4
2019-09-21,4174221.0,0.01472,0.0148,0.01389,0.01411,0.0,62.86
2019-09-22,1877177.4,0.01398,0.01408,0.01337,0.01364,0.0,61.6
2019-09-23,2078678.5,0.01336,0.01371,0.01231,0.01254,0.0,53.23
2019-09-24,6847733.7,0.01247,0.01274,0.00941,0.01065,-0.0,39.55
2019-09-25,2521338.7,0.01061,0.01122,0.00971,0.01112,-0.0,45.95
2019-09-26,4657428.4,0.01104,0.01182,0.00974,0.01122,-0.0,45.07
2019-09-27,24085921.0,0.01133,0.01416,0.01036,0.0135,-0.0,55.68
2019-09-28,5612794.1,0.01347,0.0141,0.01287,0.01361,-0.0,56.54
2019-09-29,2862355.5,0.01364,0.01392,0.01232,0.01271,-0.0,52.6
2019-09-30,3562214.7,0.01271,0.0128,0.01179,0.01268,-0.0,50.34
2019-10-01,1960942.3,0.01268,0.013,0.01223,0.01244,-0.0,45.98
2019-10-02,6575360.9,0.01246,0.01333,0.01228,0.0132,-0.0,42.52
2019-10-03,1982625.8,0.01332,0.01341,0.01247,0.01305,-0.0,45.61
2019-10-04,1098407.3,0.01292,0.0135,0.01253,0.01316,-0.0,41.54
2019-10-05,4905928.6,0.01312,0.01493,0.01302,0.01442,0.0,51.57
2019-10-06,5065121.6,0.01428,0.01438,0.01314,0.01368,0.0,50.2
2019-10-07,4097232.4,0.01367,0.01415,0.01329,0.01402,0.0,57.89
2019-10-08,3601195.8,0.01402,0.01496,0.01343,0.01474,0.0,74.91
2019-10-09,6645513.8,0.01489,0.01535,0.01389,0.01431,0.0,69.52
2019-10-10,5395298.9,0.01434,0.01454,0.0132,0.0136,0.0,63.55
2019-10-11,4053635.6,0.01364,0.01384,0.01292,0.01332,0.0,48.67
2019-10-12,808654.5,0.01335,0.01378,0.0133,0.0133,0.0,47.68
2019-10-13,5924912.5,0.01324,0.01349,0.01262,0.01322,0.0,54.34
2019-10-14,2572240.1,0.01321,0.01322,0.01281,0.01291,0.0,51.87
2019-10-15,2872618.7,0.01286,0.0133,0.01272,0.01281,0.0,53.08
2019-10-16,4387327.2,0.01281,0.01314,0.01181,0.01226,-0.0,41.9
2019-10-17,692646.0,0.01219,0.01257,0.01195,0.01241,-0.0,44.48
2019-10-18,1008498.3,0.01241,0.01248,0.01159,0.0119,-0.0,39.84
2019-10-19,1226268.6,0.01189,0.0128,0.01179,0.0123,-0.0,30.15
2019-10-20,2331154.9,0.01221,0.0127,0.0119,0.01254,-0.0,38.22
2019-10-21,1005440.8,0.01258,0.01289,0.0124,0.01254,-0.0,33.56
2019-10-22,2151674.1,0.01257,0.01296,0.01211,0.01236,-0.0,19.95
2019-10-23,1761409.2,0.01239,0.01251,0.01098,0.01117,-0.0,16.74
2019-10-24,1697853.1,0.01112,0.01136,0.01085,0.01119,-0.0,20.1
2019-10-25,2631685.7,0.01131,0.0124,0.0111,0.01221,-0.0,38.36
2019-10-26,5268000.8,0.01221,0.013,0.0115,0.01175,-0.0,35.12
2019-10-27,6471667.0,0.01189,0.01424,0.01154,0.01279,-0.0,46.52
2019-10-28,6785827.8,0.01283,0.01318,0.01205,0.01268,-0.0,48.07
2019-10-29,3459381.2,0.01265,0.01292,0.01205,0.0126,-0.0,48.24
2019-10-30,1690933.1,0.01258,0.01277,0.01237,0.01245,-0.0,51.71
2019-10-31,4033717.2,0.01245,0.01391,0.01222,0.01312,-0.0,55.85
2019-11-01,1927967.1,0.01319,0.01366,0.01293,0.0135,-0.0,63.47
2019-11-02,942974.7,0.01348,0.01349,0.01315,0.01316,0.0,57.31
2019-11-03,1117186.5,0.01325,0.0135,0.013,0.01341,0.0,57.39
2019-11-04,12189881.0,0.01345,0.01558,0.01312,0.01447,0.0,63.88
2019-11-05,4350652.6,0.01447,0.01513,0.01411,0.01464,0.0,66.43
2019-11-06,1147755.2,0.01459,0.0147,0.01431,0.0145,0.0,78.27
2019-11-07,4565727.0,0.01468,0.01473,0.01339,0.01357,0.0,67.5
2019-11-08,1860084.7,0.01358,0.01414,0.0125,0.01277,0.0,54.26
2019-11-09,603439.8,0.01283,0.01317,0.01274,0.013,0.0,59.84
2019-11-10,1020769.0,0.013,0.01324,0.0129,0.01315,0.0,53.3
2019-11-11,2097580.1,0.0131,0.0138,0.01288,0.01349,0.0,57.12
2019-11-12,2094969.9,0.01356,0.01364,0.01288,0.01332,0.0,56.23
2019-11-13,750047.8,0.01333,0.01348,0.01303,0.01347,0.0,58.82
2019-11-14,2144364.0,0.01333,0.01347,0.01262,0.01288,0.0,47.89
2019-11-15,3419615.5,0.01288,0.01305,0.01241,0.01278,0.0,43.36
