date,volume,open,high,low,close,MACD,RSI
2021-12-17,2849080.54,24.4,44.0,17.5,19.49,0.0,
2021-12-18,2457739.853,19.46,20.5,13.53,14.38,-0.41,
2021-12-19,2021489.381,14.38,16.61,14.01,14.71,-0.7,
2021-12-20,1074614.061,14.72,15.09,11.98,12.35,-1.1,
2021-12-21,1437641.571,12.35,13.29,11.35,12.68,-1.38,
2021-12-22,908752.37,12.68,13.71,12.0,12.09,-1.63,
2021-12-23,1144586.168,12.1,12.8,11.28,12.59,-1.77,
2021-12-24,921501.869,12.6,13.56,11.55,11.75,-1.92,
2021-12-25,3158820.049,11.78,15.92,11.61,14.65,-1.79,
2021-12-26,1427859.539,14.67,15.3,13.3,13.55,-1.76,
2021-12-27,859223.356,13.54,14.86,13.28,13.9,-1.68,
2021-12-28,937255.809,13.9,14.13,11.56,11.63,-1.78,
2021-12-29,1421961.208,11.62,11.74,10.51,10.93,-1.9,
2021-12-30,611735.913,10.92,11.65,10.78,11.07,-1.96,
2021-12-31,844296.363,11.07,11.87,10.8,11.0,-1.98,25.87
2022-01-01,515484.958,11.0,11.69,10.98,11.5,-1.94,38.91
2022-01-02,1269204.504,11.5,12.86,11.06,12.23,-1.83,40.73
2022-01-03,871729.879,12.24,12.52,11.51,11.96,-1.74,48.27
2022-01-04,682168.128,11.98,11.99,11.23,11.45,-1.7,44.64
2022-01-05,1132135.548,11.45,11.57,9.51,9.92,-1.76,41.26
2022-01-06,659310.893,9.92,10.5,8.86,9.71,-1.81,38.12
2022-01-07,605800.392,9.7,9.8,8.7,9.22,-1.87,39.25
2022-01-08,365723.701,9.21,9.69,8.41,8.53,-1.95,17.99
2022-01-09,322053.148,8.53,8.82,8.21,8.51,-1.99,20.28
2022-01-10,392445.209,8.5,8.6,7.4,7.84,-2.05,15.57
2022-01-11,362507.357,7.86,8.33,7.57,8.01,-2.06,22.99
2022-01-12,625793.491,8.01,8.49,7.7,8.28,-2.02,28.87
2022-01-13,2597258.388,8.28,10.61,8.0,9.47,-1.88,39.07
2022-01-14,2083278.616,9.46,9.77,8.33,8.73,-1.8,35.79
2022-01-15,598173.297,8.74,9.15,8.64,8.73,-1.72,31.51
2022-01-16,546723.907,8.73,8.73,8.21,8.32,-1.67,22.73
2022-01-17,435788.388,8.32,8.35,7.56,7.84,-1.65,22.09
2022-01-18,368694.386,7.84,7.88,7.0,7.31,-1.66,22.03
2022-01-19,429653.156,7.32,7.52,6.76,6.93,-1.68,26.08
2022-01-20,461458.208,6.92,7.44,6.59,6.62,-1.7,25.67
2022-01-21,1234314.215,6.61,6.79,5.75,5.86,-1.75,24.62
2022-01-22,1246960.16,5.87,6.63,5.29,5.61,-1.8,26.38
2022-01-23,596677.765,5.6,6.18,5.35,5.69,-1.8,27.4
2022-01-24,1037826.718,5.7,5.72,4.52,4.91,-1.85,26.93
2022-01-25,532600.43,4.91,5.16,4.73,5.04,-1.86,26.47
2022-01-26,1062028.97,5.04,5.3,4.56,4.67,-1.87,21.84
2022-01-27,1074362.779,4.67,4.87,4.08,4.31,-1.89,3.76
2022-01-28,629625.809,4.31,4.49,4.1,4.38,-1.88,5.7
2022-01-29,696581.028,4.38,4.85,4.36,4.64,-1.82,10.44
2022-01-30,2851342.236,4.64,5.73,4.62,5.1,-1.72,19.16
2022-01-31,2310943.639,5.1,6.97,4.74,6.75,-1.5,41.47
2022-02-01,1695030.676,6.74,6.9,5.72,5.92,-1.37,39.61
2022-02-02,1180507.139,5.92,6.0,5.21,5.27,-1.3,38.07
2022-02-03,672118.456,5.27,5.41,4.95,5.05,-1.25,38.57
2022-02-04,842416.734,5.07,5.63,5.0,5.46,-1.17,46.93
2022-02-05,897838.45,5.46,5.65,5.23,5.4,-1.09,48.34
2022-02-06,2208936.555,5.4,6.3,5.36,6.07,-0.97,52.75
2022-02-07,1829900.414,6.06,6.49,5.76,6.22,-0.85,60.41
2022-02-08,1689576.909,6.23,6.4,5.4,5.75,-0.78,55.35
2022-02-09,1228849.675,5.76,6.35,5.7,6.21,-0.68,61.46
2022-02-10,1781824.683,6.23,6.23,5.4,5.53,-0.65,58.66
2022-02-11,819996.673,5.54,5.7,5.05,5.12,-0.65,55.01
2022-02-12,713393.107,5.12,5.26,4.89,5.04,-0.65,52.78
2022-02-13,709949.135,5.04,5.45,4.9,5.06,-0.64,49.7
2022-02-14,386697.077,5.06,5.2,4.86,5.16,-0.62,34.74
2022-02-15,675674.139,5.16,5.72,5.08,5.57,-0.56,46.35
2022-02-16,765753.919,5.55,5.88,5.24,5.42,-0.53,51.75
2022-02-17,566777.276,5.42,5.52,4.82,4.88,-0.53,48.16
2022-02-18,504579.516,4.87,4.94,4.53,4.6,-0.55,40.4
2022-02-19,319453.637,4.6,4.71,4.39,4.56,-0.57,40.58
2022-02-20,1245057.773,4.56,4.58,4.04,4.31,-0.59,28.22
2022-02-21,3042682.124,4.32,5.25,4.2,4.23,-0.61,24.94
2022-02-22,1412612.776,4.23,4.49,4.04,4.35,-0.61,30.66
2022-02-23,859170.526,4.36,4.54,4.12,4.14,-0.62,19.29
2022-02-24,1285585.233,4.13,4.14,3.48,3.84,-0.64,21.74
2022-02-25,789629.314,3.85,4.14,3.82,4.08,-0.63,31.56
2022-02-26,591854.599,4.08,4.36,3.99,4.02,-0.62,31.79
2022-02-27,573841.74,4.03,4.14,3.69,3.77,-0.63,28.71
2022-02-28,654209.95,3.77,4.2,3.73,4.19,-0.59,35.52
2022-03-01,974050.313,4.19,4.3,3.95,4.06,-0.57,25.41
2022-03-02,1181888.579,4.06,4.25,3.93,4.14,-0.54,28.67
2022-03-03,692402.99,4.14,4.15,3.73,3.86,-0.53,31.39
2022-03-04,611656.853,3.86,3.88,3.49,3.53,-0.54,30.82
2022-03-05,412856.428,3.53,3.75,3.47,3.74,-0.53,36.15
2022-03-06,1277915.109,3.74,4.18,3.51,3.87,-0.5,42.25
2022-03-07,4922191.847,3.87,4.4,3.58,3.74,-0.49,41.52
2022-03-08,904699.946,3.73,3.98,3.66,3.7,-0.47,38.43
2022-03-09,1169743.719,3.69,4.21,3.69,4.01,-0.43,47.77
2022-03-10,759059.843,4.0,4.01,3.59,3.75,-0.41,48.43
2022-03-11,531480.851,3.75,3.84,3.61,3.68,-0.4,42.59
2022-03-12,2700866.545,3.69,4.58,3.65,4.06,-0.36,50.66
2022-03-13,2036299.329,4.06,4.55,3.65,3.67,-0.35,48.42
2022-03-14,804843.716,3.68,4.01,3.63,3.83,-0.32,43.79
2022-03-15,757503.523,3.82,3.92,3.65,3.81,-0.3,45.52
2022-03-16,1027656.397,3.82,3.94,3.67,3.86,-0.28,44.93
2022-03-17,1713584.583,3.86,4.25,3.83,3.93,-0.25,51.37
2022-03-18,1016821.152,3.93,4.12,3.71,4.04,-0.22,60.94
2022-03-19,32484439.56,4.04,8.61,4.03,7.44,0.08,83.51
2022-03-20,9687181.668,7.42,8.5,5.51,5.72,0.17,63.01
2022-03-21,6144471.309,5.73,7.0,5.38,5.96,0.27,65.37
2022-03-22,1659743.865,5.96,6.28,5.75,5.84,0.33,64.66
2022-03-23,2406888.32,5.84,6.7,5.6,6.02,0.38,64.02
2022-03-24,1572125.794,6.02,6.26,5.75,5.84,0.41,64.74
2022-03-25,1532494.546,5.84,6.26,5.81,6.03,0.44,66.3
2022-03-26,2616652.787,6.04,6.91,5.95,6.09,0.47,64.73
2022-03-27,1252750.001,6.09,6.37,6.0,6.36,0.5,69.87
2022-03-28,3058753.825,6.36,7.5,6.17,6.28,0.52,68.31
2022-03-29,1567712.441,6.28,6.76,6.25,6.51,0.54,69.57
2022-03-30,7409533.954,6.51,8.7,6.33,7.83,0.66,74.3
2022-03-31,3499853.113,7.83,7.83,6.26,6.61,0.65,64.38
2022-04-01,3084768.328,6.61,7.93,6.28,7.06,0.67,65.63
2022-04-02,2116288.968,7.06,7.69,6.83,6.94,0.66,46.08
2022-04-03,1442815.429,6.94,7.4,6.67,7.27,0.68,65.53
2022-04-04,2030699.388,7.27,7.42,6.52,6.64,0.64,56.32
2022-04-05,1297859.128,6.64,7.19,6.56,6.58,0.59,56.95
2022-04-06,2167668.772,6.57,6.58,5.44,5.53,0.46,46.04
2022-04-07,1072235.559,5.55,5.89,5.25,5.46,0.35,46.88
2022-04-08,2109714.646,5.47,5.78,5.15,5.2,0.24,43.25
2022-04-09,2083845.269,5.2,5.56,5.0,5.14,0.15,42.28
2022-04-10,1755559.728,5.13,5.38,5.01,5.06,0.06,39.09
2022-04-11,1155983.898,5.06,5.08,4.32,4.45,-0.05,35.9
2022-04-12,1062570.158,4.47,4.74,4.32,4.55,-0.13,34.59
2022-04-13,612609.955,4.56,4.71,4.35,4.63,-0.19,18.75
2022-04-14,1811798.741,4.63,5.2,4.49,4.56,-0.23,24.18
2022-04-15,598231.153,4.56,4.74,4.5,4.62,-0.26,15.92
2022-04-16,946431.117,4.63,5.19,4.6,5.14,-0.24,27.39
2022-04-17,1121554.274,5.14,5.15,4.56,4.57,-0.27,18.01
2022-04-18,1008209.538,4.57,4.8,4.29,4.73,-0.27,24.53
2022-04-19,783115.279,4.73,4.9,4.62,4.86,-0.26,27.49
2022-04-20,833431.438,4.87,4.99,4.63,4.79,-0.26,36.97
2022-04-21,1151275.75,4.78,5.13,4.5,4.55,-0.27,34.88
2022-04-22,546307.012,4.55,4.63,4.38,4.51,-0.28,37.63
2022-04-23,769654.189,4.51,4.75,4.45,4.55,-0.28,39.35
2022-04-24,598189.597,4.55,4.59,4.3,4.33,-0.29,37.46
2022-04-25,728148.613,4.33,4.38,3.95,4.33,-0.3,47.39
2022-04-26,652656.643,4.34,4.41,3.88,3.97,-0.34,38.67
2022-04-27,1004911.983,3.96,4.47,3.91,4.09,-0.35,39.62
2022-04-28,4052215.034,4.1,5.19,4.06,4.45,-0.32,48.1
2022-04-29,4054330.483,4.45,4.91,4.07,4.14,-0.33,42.36
2022-04-30,1096744.158,4.14,4.28,3.64,3.68,-0.36,26.3
2022-05-01,609812.276,3.68,3.99,3.61,3.92,-0.37,38.18
2022-05-02,1874035.484,3.92,4.15,3.71,3.83,-0.37,33.21
2022-05-03,1274806.333,3.84,4.12,3.67,3.77,-0.38,29.12
2022-05-04,1064872.785,3.77,4.15,3.75,4.11,-0.35,38.19
2022-05-05,899330.711,4.12,4.16,3.52,3.64,-0.36,35.37
2022-05-06,971982.533,3.65,3.83,3.48,3.6,-0.37,35.37
2022-05-07,319317.508,3.6,3.6,3.4,3.46,-0.38,33.02
2022-05-08,1150255.788,3.45,3.45,3.08,3.18,-0.41,32.42
2022-05-09,1259347.613,3.17,3.19,2.6,2.6,-0.48,27.53
2022-05-10,932145.954,2.61,2.88,2.53,2.61,-0.52,30.57
2022-05-11,1930082.099,2.61,2.68,1.61,1.65,-0.63,21.89
2022-05-12,1396440.007,1.66,1.77,1.45,1.54,-0.71,14.43
2022-05-13,1794530.178,1.54,2.0,1.51,1.77,-0.75,20.45
2022-05-14,1503988.489,1.77,1.85,1.65,1.82,-0.77,24.17
2022-05-15,2053028.437,1.83,2.19,1.75,2.08,-0.75,24.59
2022-05-16,1981921.64,2.07,2.25,1.95,1.97,-0.74,24.45
2022-05-17,1094065.86,1.98,2.17,1.97,2.12,-0.71,27.88
2022-05-18,1166942.146,2.12,2.16,1.85,1.92,-0.7,19.5
2022-05-19,980504.287,1.92,2.11,1.9,2.07,-0.66,25.99
2022-05-20,2074491.685,2.07,2.48,2.0,2.12,-0.63,27.44
2022-05-21,964898.111,2.13,2.26,2.03,2.19,-0.59,30.22
2022-05-22,862824.918,2.19,2.23,2.07,2.15,-0.55,32.66
2022-05-23,1109389.522,2.14,2.2,1.91,1.94,-0.53,37.31
2022-05-24,1058904.103,1.94,2.23,1.93,2.13,-0.5,41.37
2022-05-25,1247100.184,2.13,2.29,2.07,2.13,-0.46,63.19
2022-05-26,3378725.5,2.13,2.57,1.93,1.96,-0.45,61.17
2022-05-27,1173710.072,1.96,2.0,1.76,1.79,-0.44,50.55
2022-05-28,553942.208,1.79,1.88,1.78,1.85,-0.43,50.82
2022-05-29,532684.162,1.85,1.98,1.79,1.91,-0.41,44.79
2022-05-30,846440.969,1.92,2.11,1.89,2.1,-0.37,53.8
2022-05-31,988416.227,2.11,2.19,1.97,2.13,-0.34,50.31
2022-06-01,676945.847,2.13,2.15,1.85,1.9,-0.32,49.38
2022-06-02,488733.347,1.9,2.02,1.82,1.99,-0.3,47.44
2022-06-03,461142.879,2.0,2.01,1.84,1.87,-0.29,42.33
2022-06-04,1283271.491,1.87,2.1,1.85,2.05,-0.27,45.98
2022-06-05,490721.007,2.05,2.05,1.9,1.95,-0.25,44.44
2022-06-06,697957.39,1.94,2.12,1.94,1.99,-0.23,51.53
2022-06-07,703470.914,1.99,2.01,1.85,1.95,-0.22,43.92
2022-06-08,2940529.844,1.95,2.44,1.93,2.02,-0.2,46.45
2022-06-09,1404571.029,2.02,2.07,1.89,1.92,-0.19,48.65
2022-06-10,784816.732,1.93,1.96,1.72,1.76,-0.2,48.98
2022-06-11,920237.94,1.75,1.79,1.57,1.61,-0.21,42.31
2022-06-12,704647.336,1.61,1.61,1.45,1.48,-0.23,36.81
2022-06-13,1953511.633,1.48,1.5,1.13,1.24,-0.26,24.4
2022-06-14,835393.002,1.24,1.36,1.16,1.3,-0.27,25.73
2022-06-15,1239499.545,1.3,1.36,1.1,1.32,-0.28,30.67
2022-06-16,3347104.561,1.32,1.51,1.21,1.23,-0.29,24.67
2022-06-17,999686.705,1.23,1.32,1.22,1.28,-0.29,29.37
2022-06-18,905546.662,1.29,1.31,1.08,1.19,-0.3,17.91
2022-06-19,676127.672,1.17,1.27,1.13,1.25,-0.29,23.08
2022-06-20,995202.91,1.25,1.28,1.1,1.21,-0.29,20.0
2022-06-21,851869.138,1.21,1.31,1.2,1.23,-0.28,21.88
2022-06-22,614457.174,1.23,1.26,1.18,1.19,-0.27,16.8
2022-06-23,1009316.385,1.19,1.36,1.19,1.3,-0.26,25.4
2022-06-24,761019.501,1.31,1.38,1.25,1.34,-0.24,31.58
2022-06-25,2334325.185,1.34,1.47,1.3,1.41,-0.21,40.57
2022-06-26,1351522.434,1.42,1.49,1.29,1.29,-0.2,40.95
2022-06-27,822879.726,1.3,1.39,1.27,1.29,-0.19,53.09
2022-06-28,614254.274,1.29,1.32,1.22,1.23,-0.19,45.68
2022-06-29,1110661.347,1.23,1.34,1.2,1.25,-0.18,45.68
2022-06-30,740433.821,1.25,1.3,1.17,1.25,-0.17,51.39
2022-07-01,1853055.479,1.25,1.41,1.23,1.25,-0.16,47.76
2022-07-02,598853.044,1.25,1.33,1.21,1.29,-0.15,58.06
2022-07-03,390530.188,1.28,1.32,1.24,1.29,-0.14,53.57
2022-07-04,574716.255,1.29,1.33,1.23,1.32,-0.12,60.0
2022-07-05,627822.588,1.32,1.36,1.25,1.29,-0.12,55.36
2022-07-06,1211070.673,1.3,1.45,1.25,1.38,-0.1,65.57
2022-07-07,3831609.486,1.38,1.67,1.33,1.46,-0.08,63.79
2022-07-08,1473372.786,1.46,1.53,1.37,1.4,-0.07,55.0
2022-07-09,855086.833,1.4,1.51,1.39,1.46,-0.05,54.24
2022-07-10,813271.605,1.46,1.46,1.33,1.35,-0.05,55.17
2022-07-11,476539.548,1.35,1.39,1.29,1.29,-0.05,50.0
2022-07-12,1210572.253,1.29,1.35,1.25,1.26,-0.06,52.46
2022-07-13,3190329.239,1.26,1.51,1.26,1.42,-0.05,61.33
2022-07-14,3817428.741,1.43,1.71,1.38,1.44,-0.03,62.34
2022-07-15,1501999.999,1.45,1.53,1.41,1.45,-0.02,62.82
2022-07-16,2207437.695,1.44,1.65,1.42,1.53,-0.01,64.63
2022-07-17,4033009.203,1.54,1.85,1.52,1.54,0.0,65.06
2022-07-18,1537894.757,1.54,1.68,1.53,1.66,0.02,68.48
2022-07-19,3220280.931,1.65,1.84,1.55,1.69,0.04,71.74
2022-07-20,1958866.027,1.7,1.75,1.52,1.58,0.04,60.64
2022-07-21,645274.593,1.57,1.67,1.52,1.64,0.05,59.78
2022-07-22,854607.774,1.64,1.7,1.54,1.56,0.05,58.51
2022-07-23,956445.075,1.56,1.65,1.53,1.61,0.05,58.06
2022-07-24,1688409.257,1.62,1.83,1.6,1.61,0.05,65.85
2022-07-25,723240.686,1.61,1.61,1.52,1.55,0.05,65.85
2022-07-26,400930.242,1.54,1.55,1.45,1.52,0.04,65.85
2022-07-27,1204494.825,1.51,1.66,1.49,1.64,0.05,64.1
2022-07-28,2568508.885,1.63,1.91,1.6,1.85,0.07,71.13
2022-07-29,12917736.393,1.85,2.86,1.77,2.06,0.1,76.07
2022-07-30,3262884.261,2.06,2.27,1.95,1.97,0.11,68.64
2022-07-31,3382225.345,1.97,2.45,1.95,1.98,0.13,68.64
2022-08-01,1656495.31,1.97,2.05,1.85,1.897,0.13,60.37
2022-08-02,11446226.972,1.897,2.164,1.865,2.019,0.14,63.32
2022-08-03,4953433.74,2.019,2.22,1.958,2.02,0.14,69.54
2022-08-04,1959360.642,2.018,2.096,1.907,1.968,0.14,64.67
2022-08-05,1343060.884,1.967,2.073,1.962,2.03,0.14,71.36
2022-08-06,849813.205,2.03,2.057,1.992,1.995,0.14,67.74
2022-08-07,661733.491,1.995,2.017,1.954,1.997,0.14,67.8
2022-08-08,1212292.284,1.997,2.145,1.981,2.057,0.14,73.32
