date,volume,open,high,low,close,MACD,RSI
2020-04-27,35448674.01,0.4178,0.92,0.4178,0.448,0.0,
2020-04-28,9890494.13,0.449,0.4992,0.4231,0.4414,-0.0,
2020-04-29,17343441.23,0.4414,0.5038,0.3928,0.4443,-0.0,
2020-04-30,7504188.42,0.4443,0.4893,0.416,0.4186,-0.0,
2020-05-01,6929603.57,0.4186,0.4224,0.3645,0.3708,-0.01,
2020-05-02,7226361.15,0.3717,0.3917,0.3378,0.3386,-0.02,
2020-05-03,20210374.41,0.3386,0.4388,0.3059,0.4061,-0.01,
2020-05-04,24012971.96,0.4061,0.4734,0.3603,0.4231,-0.01,
2020-05-05,7335302.83,0.4241,0.437,0.391,0.4007,-0.01,
2020-05-06,5181761.35,0.4013,0.409,0.361,0.3708,-0.02,
2020-05-07,3685069.84,0.3708,0.3854,0.3519,0.3604,-0.02,
2020-05-08,2596086.24,0.3608,0.3955,0.3608,0.362,-0.02,
2020-05-09,1969815.75,0.3621,0.375,0.3485,0.3502,-0.02,
2020-05-10,2992874.5,0.3501,0.3507,0.2919,0.307,-0.03,
2020-05-11,3942022.66,0.307,0.3654,0.307,0.3189,-0.03,30.49
2020-05-12,1752010.73,0.3183,0.34,0.3105,0.3229,-0.03,31.95
2020-05-13,1270854.91,0.3221,0.3292,0.32,0.3226,-0.03,31.32
2020-05-14,1748907.16,0.323,0.3398,0.3176,0.331,-0.03,35.8
2020-05-15,1118502.1,0.331,0.3351,0.308,0.3148,-0.03,39.88
2020-05-16,1137619.39,0.3158,0.317,0.3057,0.3077,-0.03,43.86
2020-05-17,3638821.15,0.3073,0.3585,0.3,0.3527,-0.03,38.35
2020-05-18,4369090.93,0.3527,0.3535,0.3205,0.3221,-0.03,29.2
2020-05-19,8780242.95,0.3221,0.373,0.3134,0.3166,-0.03,31.39
2020-05-20,5248748.23,0.316,0.3375,0.3121,0.319,-0.03,36.95
2020-05-21,2690867.67,0.318,0.322,0.2868,0.2944,-0.03,34.48
2020-05-22,2528216.9,0.2944,0.3059,0.2884,0.2974,-0.03,34.91
2020-05-23,1863257.2,0.2977,0.3029,0.2904,0.2936,-0.03,36.26
2020-05-24,2625731.86,0.2936,0.2985,0.2646,0.2672,-0.03,39.48
2020-05-25,4206435.75,0.2668,0.2927,0.2619,0.2754,-0.03,38.27
2020-05-26,4714763.69,0.2754,0.305,0.2671,0.2723,-0.03,36.29
2020-05-27,2702964.76,0.2723,0.2853,0.271,0.2764,-0.03,37.74
2020-05-28,2184991.79,0.2764,0.278,0.2656,0.2718,-0.03,33.97
2020-05-29,1388837.38,0.2718,0.2737,0.2666,0.2692,-0.03,36.67
2020-05-30,2761622.28,0.2693,0.2695,0.2561,0.2579,-0.03,35.79
2020-05-31,2956850.13,0.2577,0.2613,0.2321,0.2352,-0.03,11.58
2020-06-01,5156620.51,0.2353,0.2741,0.2353,0.2565,-0.03,27.16
2020-06-02,2769642.73,0.2566,0.2622,0.235,0.242,-0.03,25.56
2020-06-03,1494493.8,0.2429,0.2545,0.2381,0.2474,-0.03,26.99
2020-06-04,2526067.82,0.2463,0.2671,0.2444,0.2637,-0.03,39.58
2020-06-05,2692705.32,0.264,0.27,0.2525,0.2599,-0.03,37.34
2020-06-06,1300722.87,0.2599,0.2603,0.2494,0.2525,-0.03,36.45
2020-06-07,1448798.78,0.2522,0.2607,0.2473,0.2518,-0.02,43.89
2020-06-08,913466.93,0.2511,0.254,0.2491,0.2506,-0.02,39.58
2020-06-09,918940.75,0.2514,0.2546,0.249,0.2495,-0.02,40.26
2020-06-10,1136624.97,0.2507,0.251,0.2444,0.2485,-0.02,37.75
2020-06-11,9500974.85,0.2476,0.2614,0.2333,0.2453,-0.02,38.22
2020-06-12,4320362.04,0.2444,0.258,0.2399,0.2549,-0.02,44.02
2020-06-13,2534101.2,0.2549,0.2633,0.2481,0.261,-0.02,51.36
2020-06-14,6189329.04,0.261,0.2784,0.2524,0.2532,-0.02,59.05
2020-06-15,5386285.34,0.2531,0.256,0.2404,0.2516,-0.02,46.93
2020-06-16,2138208.62,0.2516,0.2575,0.2467,0.2555,-0.01,59.77
2020-06-17,2409410.46,0.2549,0.26,0.2477,0.251,-0.01,52.64
2020-06-18,2668247.95,0.2522,0.253,0.2423,0.2455,-0.01,34.15
2020-06-19,1311999.11,0.2451,0.246,0.2401,0.2407,-0.01,33.56
2020-06-20,4856664.31,0.2413,0.257,0.2412,0.2534,-0.01,50.71
2020-06-21,3090169.61,0.2529,0.254,0.2455,0.2498,-0.01,48.5
2020-06-22,2098744.23,0.2499,0.2515,0.2447,0.2495,-0.01,49.16
2020-06-23,2872144.86,0.249,0.2531,0.2461,0.2484,-0.01,49.16
2020-06-24,5251627.87,0.2484,0.2523,0.2351,0.24,-0.01,44.19
2020-06-25,2358517.77,0.2399,0.2412,0.2285,0.2357,-0.01,43.53
2020-06-26,3866902.67,0.2366,0.2404,0.2149,0.2195,-0.01,28.09
2020-06-27,3160149.42,0.2194,0.2256,0.1985,0.2062,-0.01,18.86
2020-06-28,1367494.92,0.2056,0.215,0.1988,0.207,-0.02,21.48
2020-06-29,3066578.54,0.207,0.2309,0.207,0.2236,-0.01,35.42
2020-06-30,938770.03,0.2229,0.2238,0.2156,0.2174,-0.01,30.62
2020-07-01,754441.76,0.2183,0.2199,0.2133,0.214,-0.01,30.97
2020-07-02,1184654.79,0.2153,0.2153,0.202,0.2083,-0.02,30.9
2020-07-03,518823.91,0.2077,0.2099,0.206,0.2074,-0.02,32.19
2020-07-04,1700560.47,0.2074,0.2166,0.2054,0.2104,-0.02,24.34
2020-07-05,1162781.21,0.2104,0.2119,0.2036,0.2066,-0.02,24.29
2020-07-06,1864641.84,0.2063,0.228,0.206,0.2248,-0.01,37.88
2020-07-07,1005220.97,0.2245,0.2245,0.2137,0.2161,-0.01,35.25
2020-07-08,1515800.98,0.2168,0.2219,0.2145,0.2188,-0.01,39.79
2020-07-09,2410541.92,0.2185,0.2273,0.211,0.218,-0.01,41.18
2020-07-10,3280570.76,0.218,0.2398,0.2158,0.2315,-0.01,56.15
2020-07-11,1862698.7,0.2316,0.2377,0.2286,0.2349,-0.01,66.36
2020-07-12,1112837.45,0.2342,0.2349,0.2228,0.2271,-0.01,60.61
2020-07-13,823597.04,0.227,0.229,0.2211,0.2229,-0.01,49.57
2020-07-14,1563477.09,0.2223,0.2223,0.214,0.2183,-0.01,50.56
2020-07-15,1077171.26,0.2175,0.2224,0.215,0.2189,-0.01,53.15
2020-07-16,1249718.28,0.2182,0.219,0.2053,0.2112,-0.01,51.81
2020-07-17,1075776.83,0.2123,0.2142,0.207,0.2114,-0.01,52.53
2020-07-18,600935.89,0.2106,0.2134,0.2085,0.2109,-0.01,50.33
2020-07-19,1280028.07,0.2109,0.2186,0.2105,0.2132,-0.01,54.39
2020-07-20,3000695.55,0.2132,0.2203,0.2101,0.2161,-0.01,42.74
2020-07-21,20798775.42,0.2161,0.2849,0.2135,0.2321,-0.0,61.9
2020-07-22,5081818.41,0.2313,0.2375,0.2247,0.2275,-0.0,56.3
2020-07-23,2243546.99,0.227,0.2295,0.2218,0.2237,-0.0,53.95
2020-07-24,1927515.62,0.2236,0.2327,0.2225,0.2235,-0.0,43.2
2020-07-25,1407455.98,0.2235,0.229,0.222,0.2238,-0.0,40.04
2020-07-26,2470704.19,0.2238,0.2242,0.2097,0.2168,-0.0,40.62
2020-07-27,9540446.31,0.2168,0.2489,0.2105,0.2207,-0.0,47.99
2020-07-28,5687135.05,0.2207,0.24,0.2145,0.2336,-0.0,62.16
2020-07-29,3790084.09,0.2344,0.2466,0.2319,0.2389,0.0,64.79
2020-07-30,2336066.97,0.2389,0.239,0.223,0.2262,0.0,60.33
2020-07-31,1869195.63,0.2271,0.2315,0.2218,0.2235,0.0,58.06
2020-08-01,2275967.98,0.2235,0.2311,0.2219,0.2237,0.0,58.56
2020-08-02,4249778.2,0.2236,0.238,0.213,0.2177,-0.0,52.87
