date,volume,open,high,low,close,MACD,RSI
2020-09-24,11230104.682,1.86,8.0,1.86,2.29,0.0,
2020-09-25,2100299.982,2.288,2.338,1.85,1.872,-0.03,
2020-09-26,1138049.106,1.872,1.936,1.738,1.772,-0.07,
2020-09-27,559925.8,1.772,1.797,1.511,1.527,-0.11,
2020-09-28,3572524.673,1.525,1.985,1.525,1.653,-0.14,
2020-09-29,757923.583,1.653,1.724,1.5,1.637,-0.15,
2020-09-30,379001.36,1.636,1.642,1.524,1.569,-0.17,
2020-10-01,563906.029,1.571,1.744,1.471,1.539,-0.19,
2020-10-02,372277.324,1.538,1.572,1.456,1.536,-0.2,
2020-10-03,255323.029,1.536,1.599,1.445,1.449,-0.21,
2020-10-04,243461.838,1.449,1.465,1.326,1.357,-0.22,
2020-10-05,536297.554,1.357,1.381,1.213,1.239,-0.24,
2020-10-06,758889.56,1.241,1.294,0.961,0.979,-0.27,
2020-10-07,1050071.023,0.989,1.256,0.976,1.212,-0.28,
2020-10-08,828714.226,1.212,1.312,1.087,1.304,-0.27,23.89
2020-10-09,364776.473,1.304,1.44,1.253,1.287,-0.26,30.33
2020-10-10,610824.457,1.279,1.538,1.279,1.472,-0.24,40.46
2020-10-11,353725.273,1.473,1.475,1.34,1.372,-0.23,44.57
2020-10-12,267392.401,1.372,1.43,1.302,1.359,-0.21,38.81
2020-10-13,191433.324,1.365,1.373,1.28,1.339,-0.2,38.69
2020-10-14,130165.461,1.339,1.362,1.271,1.341,-0.19,40.89
2020-10-15,169503.916,1.341,1.374,1.309,1.329,-0.18,41.49
2020-10-16,247978.637,1.327,1.327,1.151,1.166,-0.19,36.73
2020-10-17,180676.482,1.174,1.218,1.148,1.182,-0.19,39.91
2020-10-18,214832.86,1.178,1.27,1.178,1.25,-0.18,45.88
2020-10-19,147554.703,1.248,1.25,1.158,1.158,-0.18,46.82
2020-10-20,158201.933,1.161,1.165,1.065,1.081,-0.18,54.68
2020-10-21,130456.057,1.085,1.15,1.085,1.105,-0.18,43.93
2020-10-22,166740.006,1.106,1.165,1.086,1.13,-0.17,39.31
2020-10-23,182546.493,1.131,1.138,1.031,1.055,-0.17,36.7
2020-10-24,151592.822,1.06,1.07,1.02,1.034,-0.17,19.07
2020-10-25,333922.655,1.029,1.062,0.997,1.041,-0.17,23.09
2020-10-26,683020.329,1.044,1.149,1.027,1.051,-0.17,24.84
2020-10-27,319894.256,1.052,1.12,1.039,1.077,-0.16,28.8
2020-10-28,282634.577,1.08,1.095,0.965,0.983,-0.16,24.79
2020-10-29,362171.313,0.984,0.995,0.859,0.88,-0.16,21.97
2020-10-30,364262.538,0.883,0.896,0.819,0.834,-0.17,25.73
2020-10-31,319190.072,0.833,0.849,0.803,0.834,-0.17,23.95
