date,volume,open,high,low,close,MACD,RSI
2019-02-18,1519125015.0,0.0015269,0.00166,0.0013906,0.0014588,0.0,
2019-02-19,1140360780.0,0.0014588,0.0015468,0.001352,0.001413,-0.0,
2019-02-20,498650681.0,0.001413,0.0014659,0.0013809,0.0014015,-0.0,
2019-02-21,808662706.0,0.0014016,0.001417,0.00132,0.0013452,-0.0,
2019-02-22,538426465.0,0.0013527,0.0013896,0.0013206,0.00137,-0.0,
2019-02-23,869102237.0,0.001367,0.001411,0.001311,0.0013545,-0.0,
2019-02-24,1814003244.0,0.0013576,0.001411,0.0011277,0.0011278,-0.0,
2019-02-25,1040588284.0,0.0011278,0.00129,0.0011189,0.0011936,-0.0,
2019-02-26,620031488.0,0.0011942,0.00123,0.0011284,0.001161,-0.0,
2019-02-27,1362081959.0,0.0011608,0.001184,0.0010316,0.0010878,-0.0,
2019-02-28,881374321.0,0.0010936,0.0011211,0.001054,0.0010726,-0.0,
2019-03-01,685186804.0,0.0010772,0.00111,0.00106,0.0010848,-0.0,
2019-03-02,1984948139.0,0.0010848,0.001213,0.0010816,0.0011446,-0.0,
2019-03-03,757766312.0,0.0011445,0.00115,0.001064,0.0010766,-0.0,
2019-03-04,875081377.0,0.0010779,0.001088,0.00099,0.001011,-0.0,21.03
2019-03-05,1138143208.0,0.0010166,0.0011138,0.0009901,0.0010836,-0.0,29.41
2019-03-06,629156433.0,0.0010836,0.0010994,0.0010333,0.0010412,-0.0,28.31
2019-03-07,1098079249.0,0.0010412,0.0010582,0.001,0.00103,-0.0,29.94
2019-03-08,2266359141.0,0.0010314,0.0011769,0.0010222,0.0010691,-0.0,31.19
2019-03-09,1023041849.0,0.0010721,0.0011295,0.0010506,0.0010988,-0.0,34.3
2019-03-10,697312202.0,0.0010952,0.001113,0.0010548,0.001094,-0.0,47.15
2019-03-11,869328625.0,0.001095,0.001113,0.0010321,0.0010513,-0.0,37.5
2019-03-12,819032544.0,0.0010501,0.001071,0.0010261,0.0010526,-0.0,39.92
2019-03-13,648906239.0,0.0010526,0.0010807,0.00104,0.0010465,-0.0,45.61
2019-03-14,566887112.0,0.0010469,0.0010618,0.0010262,0.0010462,-0.0,47.1
