date,volume,open,high,low,close,MACD,RSI
2021-05-11,1773623.0,249.28,2831.02,249.28,364.01,0.0,
2021-05-12,1291354.53,364.06,390.0,255.0,258.02,-8.46,
2021-05-13,815229.63,258.0,346.81,252.0,301.44,-11.52,
2021-05-14,462179.09,301.48,341.0,291.39,304.13,-13.57,
2021-05-15,540015.89,304.1,305.03,240.0,246.06,-19.66,
2021-05-16,507341.61,246.06,263.68,205.07,225.19,-25.87,
2021-05-17,520889.77,225.16,226.35,184.39,195.59,-32.8,
2021-05-18,690553.08,195.58,205.82,160.34,163.47,-40.42,
2021-05-19,1274193.75,163.66,179.12,92.0,122.79,-49.18,
2021-05-20,3769557.35,122.83,224.11,103.63,164.15,-52.18,
2021-05-21,2026467.63,163.92,186.91,120.0,145.88,-55.39,
2021-05-22,1206414.61,145.87,169.53,124.76,146.23,-57.25,
2021-05-23,1455176.26,145.92,165.59,120.62,143.94,-58.23,
2021-05-24,1260806.93,143.97,163.6,135.5,147.67,-58.04,
2021-05-25,1029887.3,147.62,157.0,122.6,134.04,-58.32,22.16
2021-05-26,1080307.24,134.01,152.35,131.89,142.67,-57.19,31.73
2021-05-27,684980.11,142.53,145.79,129.65,132.12,-56.49,20.07
2021-05-28,832199.55,132.13,132.94,110.08,115.65,-56.61,18.23
2021-05-29,500541.51,115.65,119.76,105.6,110.75,-56.45,22.21
2021-05-30,456137.64,110.77,118.97,104.4,111.9,-55.59,24.68
2021-05-31,496847.77,111.87,115.36,105.15,114.65,-54.06,29.44
2021-06-01,418636.87,114.65,117.11,106.47,107.58,-52.82,33.74
2021-06-02,806345.16,107.58,113.06,101.97,108.01,-51.2,44.38
2021-06-03,1666717.82,107.89,136.62,105.2,124.54,-48.04,31.45
2021-06-04,1329668.01,124.5,124.54,105.24,108.78,-46.26,32.2
2021-06-05,755203.97,108.71,116.26,100.0,104.55,-44.69,30.73
2021-06-06,512306.77,104.5,110.0,102.39,104.49,-42.95,31.37
2021-06-07,819469.64,104.42,106.73,88.88,91.13,-42.16,25.53
2021-06-08,1081773.46,91.14,94.37,76.72,81.31,-41.85,26.4
2021-06-09,1226553.49,81.31,88.99,77.1,81.55,-41.1,20.42
2021-06-10,2095644.84,81.55,83.69,65.35,66.57,-41.25,19.58
2021-06-11,2119023.27,66.54,72.39,56.14,58.49,-41.54,21.24
2021-06-12,2179939.38,58.4,67.66,52.92,61.08,-41.08,24.41
2021-06-13,2035143.16,61.07,67.0,57.18,64.45,-39.99,26.1
2021-06-14,1588608.47,64.44,70.81,61.88,66.69,-38.5,25.72
2021-06-15,1801762.13,66.69,68.88,58.58,60.39,-37.4,25.92
2021-06-16,1323822.44,60.32,60.41,54.72,55.34,-36.51,24.33
2021-06-17,1388646.51,55.34,60.18,51.02,54.09,-35.5,9.66
2021-06-18,1305078.1,54.12,55.54,46.89,48.44,-34.75,10.93
2021-06-19,1737401.79,48.44,54.9,46.33,48.62,-33.75,11.78
2021-06-20,1463587.92,48.64,50.7,44.0,47.1,-32.71,11.55
2021-06-21,2441109.22,47.12,47.64,36.2,36.61,-32.36,12.01
2021-06-22,2316371.81,36.66,40.13,31.82,34.54,-31.88,13.47
2021-06-23,2192089.96,34.52,41.5,32.86,37.75,-30.88,17.3
2021-06-24,2212299.09,37.74,38.89,33.12,34.6,-30.0,21.02
2021-06-25,2238122.07,34.61,36.7,30.7,31.13,-29.24,22.93
2021-06-26,2335156.08,31.11,33.75,28.26,30.34,-28.38,18.47
2021-06-27,4776729.13,30.32,46.0,29.45,43.0,-26.37,31.52
2021-06-28,5785634.89,42.99,51.5,40.48,51.26,-23.84,37.95
2021-06-29,5280307.53,51.21,59.45,46.79,54.22,-21.35,44.92
2021-06-30,6250390.78,54.16,54.69,43.2,49.94,-19.49,45.5
2021-07-01,3381335.99,49.92,50.79,44.2,45.69,-18.16,43.33
2021-07-02,2459456.31,45.69,47.43,41.42,43.87,-17.05,46.13
2021-07-03,2483121.27,43.86,50.0,42.72,48.74,-15.6,50.09
2021-07-04,2116096.87,48.77,50.98,46.43,46.71,-14.44,49.7
2021-07-05,2131768.05,46.72,48.0,44.0,46.22,-13.42,58.85
2021-07-06,1682990.23,46.24,48.45,45.0,46.2,-12.46,61.16
2021-07-07,1486321.71,46.2,47.95,45.0,45.37,-11.63,57.64
2021-07-08,1723697.25,45.37,45.5,39.16,40.28,-11.26,55.48
2021-07-09,1377879.2,40.27,42.52,37.28,40.6,-10.81,59.73
2021-07-10,1190654.85,40.57,42.11,37.61,38.64,-10.5,58.33
2021-07-11,1073749.97,38.62,41.46,37.73,39.71,-10.04,45.7
2021-07-12,1035412.03,39.74,40.99,35.91,37.22,-9.77,28.39
2021-07-13,1471520.55,37.21,39.95,35.21,38.92,-9.31,25.5
2021-07-14,2086244.42,38.98,39.86,35.27,36.89,-9.01,27.48
2021-07-15,1358762.63,36.86,38.39,35.3,35.96,-8.74,31.03
2021-07-16,1117974.43,35.99,36.12,32.14,32.37,-8.72,29.03
2021-07-17,998923.24,32.36,33.51,31.13,32.27,-8.61,13.64
2021-07-18,899628.77,32.28,34.8,31.86,32.36,-8.42,15.35
2021-07-19,876692.94,32.36,32.59,29.81,30.92,-8.29,14.68
2021-07-20,1376424.88,30.92,31.55,26.9,28.53,-8.28,13.23
2021-07-21,2226540.52,28.54,35.16,27.74,33.51,-7.79,28.96
2021-07-22,2705596.56,33.49,35.5,32.15,33.75,-7.29,36.01
2021-07-23,1721674.64,33.75,35.09,31.68,34.65,-6.75,37.56
2021-07-24,4780213.02,34.65,45.74,33.83,43.48,-5.54,57.86
2021-07-25,4365420.01,43.49,46.04,40.38,42.6,-4.6,54.72
2021-07-26,3939219.13,42.59,48.2,40.48,40.6,-3.97,55.61
2021-07-27,3223737.65,40.59,41.79,37.46,41.01,-3.4,53.63
2021-07-28,2427977.48,41.03,43.85,39.27,40.75,-2.94,57.14
2021-07-29,1347700.76,40.77,41.92,39.03,41.25,-2.5,59.94
2021-07-30,1766069.8,41.25,42.76,38.19,42.19,-2.05,70.49
2021-07-31,1840642.86,42.21,43.97,40.36,41.97,-1.7,70.14
2021-08-01,1879639.57,41.95,44.66,40.61,40.87,-1.49,66.96
2021-08-02,1304588.71,40.86,41.51,39.71,40.18,-1.36,69.02
2021-08-03,1391723.45,40.2,40.66,37.51,38.53,-1.38,71.19
2021-08-04,1373394.84,38.55,40.46,37.78,39.32,-1.31,64.97
2021-08-05,1605678.43,39.31,42.75,38.12,42.1,-1.02,69.02
2021-08-06,4556012.16,42.1,52.5,40.45,48.27,-0.29,75.02
2021-08-07,7547111.04,48.27,66.18,47.87,61.65,1.35,78.6
2021-08-08,3954451.43,61.66,62.29,53.2,55.27,2.11,67.0
2021-08-09,5812629.37,55.23,68.9,52.73,64.25,3.4,76.72
2021-08-10,6028075.78,64.25,76.58,61.37,71.6,4.96,79.88
2021-08-11,4614502.53,71.61,77.0,65.57,67.16,5.77,73.85
2021-08-12,3749481.74,67.14,72.32,60.0,64.18,6.1,69.82
2021-08-13,2327234.7,64.2,69.09,62.76,68.23,6.61,71.36
2021-08-14,2359398.3,68.25,68.33,62.05,64.2,6.62,67.16
2021-08-15,2267542.06,64.21,65.0,58.28,63.4,6.48,67.47
2021-08-16,3043095.42,63.4,67.9,60.07,61.06,6.11,65.79
2021-08-17,2928722.01,61.06,64.2,54.34,56.05,5.36,62.61
2021-08-18,2646746.85,56.11,61.53,54.1,58.53,4.9,63.5
2021-08-19,4652427.94,58.53,69.08,57.74,67.15,5.18,66.26
2021-08-20,2833802.04,67.13,71.0,65.68,67.91,5.39,63.72
2021-08-21,1848095.15,67.91,69.42,63.8,64.58,5.24,52.38
2021-08-22,1371646.25,64.62,67.0,61.09,64.59,5.05,58.45
2021-08-23,1638778.66,64.59,67.62,63.35,65.62,4.94,51.45
2021-08-24,1837048.65,65.63,66.9,57.55,59.23,4.28,36.63
2021-08-25,2217825.28,59.22,63.8,55.85,62.18,3.95,44.44
2021-08-26,2388830.12,62.18,63.2,56.01,56.45,3.19,41.87
2021-08-27,2790034.75,56.51,63.6,54.5,62.7,3.05,44.44
2021-08-28,3246411.13,62.73,68.64,61.75,65.08,3.11,50.92
2021-08-29,4740028.97,65.1,74.8,61.52,72.0,3.66,57.93
2021-08-30,4208025.05,72.04,73.17,63.61,64.73,3.48,53.1
2021-08-31,2958933.76,64.75,67.8,61.84,62.78,3.14,56.0
2021-09-01,2226574.3,62.79,66.46,60.51,66.24,3.11,56.76
2021-09-02,2150659.27,66.25,68.91,64.29,64.58,2.92,47.43
2021-09-03,2062915.19,64.57,68.56,63.15,65.82,2.84,47.93
2021-09-04,4383135.94,65.85,79.0,65.4,78.3,3.74,61.49
2021-09-05,5154431.66,78.27,83.61,76.02,79.33,4.48,62.13
2021-09-06,4082261.55,79.3,87.0,75.78,79.55,5.03,61.62
2021-09-07,6261944.62,79.52,81.31,55.0,61.23,3.94,51.39
2021-09-08,3401162.34,61.23,63.86,55.5,61.58,3.07,49.57
2021-09-09,2950122.07,61.49,64.63,58.67,60.82,2.29,53.4
