date,volume,open,high,low,close,MACD,RSI
2018-06-13,3750404.56,1.9525,2.07,1.75,1.9792,0.0,
2018-06-14,7507260.48,1.9792,2.3986,1.961,2.2988,0.03,
2018-06-15,4607768.07,2.2931,2.2988,1.977,1.9864,0.02,
2018-06-16,5344030.54,1.9863,2.0529,1.8555,2.0196,0.02,
2018-06-17,4094900.12,2.0242,2.1021,1.9608,1.9835,0.01,
2018-06-18,4967967.77,1.984,2.1666,1.9324,2.1152,0.02,
2018-06-19,4321653.78,2.117,2.2091,2.0475,2.0983,0.02,
2018-06-20,3698227.57,2.105,2.1399,2.0087,2.0791,0.03,
2018-06-21,3463444.5,2.079,2.11,1.9703,1.994,0.02,
2018-06-22,5563593.38,1.9929,1.9961,1.66,1.7801,-0.0,
2018-06-23,2887520.67,1.7848,1.82,1.6915,1.7433,-0.02,
2018-06-24,6285512.41,1.7492,1.7551,1.44,1.5723,-0.05,
2018-06-25,5039291.0,1.5724,1.6926,1.5406,1.6275,-0.07,
2018-06-26,2931802.35,1.6275,1.6455,1.4568,1.4725,-0.1,
2018-06-27,3595586.69,1.4685,1.5412,1.4256,1.5151,-0.11,35.75
2018-06-28,4518031.45,1.5162,1.61,1.3978,1.41,-0.13,18.58
2018-06-29,4444936.48,1.4088,1.56,1.36,1.5101,-0.14,30.19
2018-06-30,4287766.93,1.5184,1.6601,1.5123,1.56,-0.13,31.14
2018-07-01,4734147.54,1.5608,1.72,1.53,1.648,-0.13,36.8
2018-07-02,5555124.34,1.6506,1.82,1.5701,1.7656,-0.11,36.09
2018-07-03,5574468.51,1.7657,1.82,1.6369,1.6586,-0.1,33.67
2018-07-04,3756756.44,1.6516,1.8324,1.6189,1.7228,-0.09,37.2
2018-07-05,4087464.75,1.7236,1.7889,1.6214,1.6732,-0.08,38.17
2018-07-06,3991613.07,1.6785,1.714,1.5501,1.6822,-0.08,45.75
2018-07-07,3281939.14,1.6826,1.729,1.6,1.7139,-0.07,48.72
2018-07-08,4055143.77,1.7185,1.8,1.6751,1.726,-0.06,57.79
2018-07-09,3963713.46,1.726,1.7505,1.6224,1.631,-0.06,50.17
2018-07-10,5635317.46,1.63,1.6343,1.4022,1.415,-0.08,47.36
2018-07-11,4246923.21,1.41,1.4762,1.3747,1.4341,-0.09,46.2
2018-07-12,5074873.55,1.4371,1.4372,1.2524,1.3294,-0.1,46.21
2018-07-13,5838137.78,1.3295,1.3893,1.2801,1.3234,-0.11,40.38
2018-07-14,4505239.94,1.3192,1.3361,1.2706,1.3279,-0.12,37.45
2018-07-15,5070930.46,1.3292,1.4101,1.3154,1.3644,-0.12,33.76
2018-07-16,5537143.29,1.3644,1.5089,1.357,1.4977,-0.11,34.93
2018-07-17,7276244.04,1.4977,1.689,1.4335,1.6287,-0.09,48.36
2018-07-18,7757589.92,1.6284,1.7699,1.5002,1.5525,-0.08,40.79
2018-07-19,5813674.56,1.5538,1.5966,1.4599,1.4901,-0.08,40.23
2018-07-20,6607040.57,1.4901,1.4928,1.296,1.3188,-0.09,33.48
2018-07-21,5993938.73,1.3192,1.43,1.275,1.3783,-0.09,35.12
2018-07-22,6048636.33,1.3783,1.446,1.338,1.3605,-0.09,33.87
2018-07-23,4710334.23,1.3596,1.43,1.2825,1.3007,-0.09,34.96
2018-07-24,7217431.34,1.3008,1.361,1.233,1.3136,-0.1,44.34
2018-07-25,7738042.53,1.3136,1.4172,1.2828,1.363,-0.09,46.16
2018-07-26,7083326.01,1.363,1.39,1.265,1.2838,-0.1,47.47
2018-07-27,6559482.91,1.2842,1.318,1.25,1.305,-0.09,48.99
2018-07-28,5763958.19,1.3088,1.33,1.28,1.297,-0.09,48.32
2018-07-29,5489210.15,1.3,1.32,1.2605,1.2859,-0.09,45.61
2018-07-30,6458907.79,1.2858,1.2957,1.15,1.2027,-0.1,32.5
2018-07-31,7102410.58,1.204,1.205,1.0718,1.1033,-0.11,17.62
2018-08-01,7236644.6,1.1034,1.1058,1.0001,1.0605,-0.12,18.38
2018-08-02,7719325.73,1.0605,1.07,0.89,0.9364,-0.13,17.03
2018-08-03,8154599.88,0.935,0.9603,0.8453,0.9172,-0.15,20.8
2018-08-04,6769399.22,0.9173,0.952,0.825,0.8506,-0.16,12.02
2018-08-05,6664111.94,0.855,0.9,0.8362,0.8903,-0.17,17.19
2018-08-06,6829173.07,0.8903,0.9315,0.8398,0.8593,-0.17,17.91
2018-08-07,13574053.58,0.8577,0.9999,0.81,0.8453,-0.18,16.01
2018-08-08,10129555.4,0.8453,0.8459,0.701,0.7428,-0.18,8.21
2018-08-09,8949015.72,0.7418,0.82,0.7114,0.7806,-0.19,14.09
2018-08-10,7426861.91,0.7823,0.813,0.693,0.7139,-0.19,10.39
2018-08-11,8841155.06,0.7138,0.7171,0.6227,0.6495,-0.2,9.66
2018-08-12,6303080.77,0.6478,0.6998,0.6383,0.6848,-0.2,13.64
2018-08-13,9868007.89,0.6849,0.6888,0.5594,0.565,-0.2,13.07
2018-08-14,15138476.51,0.5656,0.5659,0.4543,0.5268,-0.21,14.06
2018-08-15,14694526.36,0.5282,0.5841,0.4994,0.5019,-0.22,14.38
2018-08-16,10373490.13,0.5031,0.5674,0.4934,0.5466,-0.21,22.35
2018-08-17,20249335.27,0.5468,0.7602,0.5411,0.7386,-0.19,39.82
2018-08-18,14816497.11,0.7387,0.7678,0.582,0.6242,-0.19,37.77
2018-08-19,10519236.85,0.6233,0.6926,0.6101,0.6714,-0.17,38.27
2018-08-20,10566284.66,0.6715,0.7009,0.595,0.601,-0.17,36.72
2018-08-21,8669543.85,0.601,0.6546,0.5931,0.6419,-0.16,39.82
2018-08-22,15312295.39,0.642,0.7053,0.5511,0.5902,-0.15,41.95
2018-08-23,8559523.51,0.5927,0.663,0.5872,0.6616,-0.14,43.94
2018-08-24,10648116.33,0.6621,0.7,0.6304,0.6775,-0.13,48.05
2018-08-25,12639988.08,0.6775,0.7675,0.6584,0.75,-0.11,55.35
2018-08-26,19018049.8,0.75,0.9329,0.6827,0.917,-0.08,60.84
2018-08-27,18566250.88,0.9186,0.9762,0.8511,0.9174,-0.06,68.52
2018-08-28,12367261.71,0.9174,0.9743,0.8903,0.9303,-0.04,71.78
2018-08-29,15240637.32,0.9303,0.9387,0.8183,0.8726,-0.03,69.33
2018-08-30,14427250.84,0.8718,0.8849,0.7853,0.8643,-0.02,67.22
2018-08-31,13465780.94,0.8644,0.9341,0.8305,0.9002,-0.01,60.54
2018-09-01,14437449.25,0.9007,0.9955,0.8951,0.9456,-0.0,73.04
2018-09-02,13128224.09,0.9456,0.98,0.8976,0.9289,0.01,69.3
2018-09-03,10740449.23,0.9307,0.9389,0.878,0.9004,0.01,73.94
2018-09-04,11461126.93,0.9005,0.9549,0.8932,0.9281,0.02,73.38
2018-09-05,17263027.89,0.9281,0.9364,0.7135,0.7222,0.0,58.61
2018-09-06,15265605.95,0.7222,0.755,0.6737,0.74,-0.01,55.5
2018-09-07,13637157.66,0.7422,0.775,0.6718,0.6811,-0.02,50.24
2018-09-08,13715557.65,0.6811,0.7101,0.6156,0.6318,-0.03,41.93
2018-09-09,12438297.21,0.6322,0.6772,0.6033,0.62,-0.04,24.27
2018-09-10,8347930.95,0.6196,0.6588,0.6002,0.6154,-0.05,24.03
2018-09-11,10854304.48,0.6169,0.6353,0.5442,0.579,-0.06,20.96
2018-09-12,10912650.41,0.579,0.598,0.5239,0.5926,-0.06,25.04
2018-09-13,18911178.88,0.5952,0.6675,0.593,0.6338,-0.06,30.59
2018-09-14,14899723.23,0.6344,0.66,0.6,0.6198,-0.06,25.48
2018-09-15,13465603.29,0.6187,0.6766,0.616,0.635,-0.06,21.33
2018-09-16,10154675.46,0.6337,0.6481,0.6153,0.6399,-0.06,22.73
2018-09-17,16656551.82,0.6399,0.655,0.569,0.5807,-0.06,21.48
2018-09-18,11330275.82,0.5808,0.6131,0.5627,0.5974,-0.06,19.91
2018-09-19,11390854.52,0.597,0.61,0.5584,0.5917,-0.06,31.32
2018-09-20,12283905.47,0.5909,0.6496,0.5861,0.6279,-0.06,34.76
2018-09-21,19831753.8,0.6258,0.7309,0.621,0.7194,-0.05,54.78
2018-09-22,11984447.75,0.7194,0.743,0.64,0.6861,-0.04,57.06
2018-09-23,11159508.49,0.6865,0.7159,0.6705,0.7062,-0.03,60.98
2018-09-24,13996201.98,0.706,0.7333,0.6509,0.659,-0.03,55.01
2018-09-25,11765784.77,0.6581,0.6581,0.602,0.6461,-0.03,58.15
2018-09-26,10515328.66,0.6461,0.6671,0.6132,0.6406,-0.03,55.95
2018-09-27,9191957.29,0.6407,0.699,0.6286,0.681,-0.02,55.86
2018-09-28,11590723.01,0.6807,0.692,0.6307,0.6472,-0.02,53.24
2018-09-29,7469822.8,0.648,0.67,0.6236,0.6547,-0.02,52.37
2018-09-30,7635158.11,0.6554,0.6642,0.6351,0.6557,-0.02,51.92
2018-10-01,8185233.41,0.6555,0.6887,0.6526,0.6671,-0.02,61.89
2018-10-02,11653514.4,0.667,0.7135,0.6668,0.6887,-0.01,62.4
2018-10-03,10065897.8,0.6883,0.6908,0.6525,0.6701,-0.01,60.29
2018-10-04,8447351.79,0.668,0.69,0.6648,0.668,-0.01,55.78
2018-10-05,7861582.06,0.6708,0.6988,0.6609,0.6843,-0.01,43.54
2018-10-06,6654912.78,0.6852,0.6894,0.6625,0.6707,-0.01,46.94
2018-10-07,7673325.85,0.671,0.6804,0.6562,0.676,-0.01,43.63
2018-10-08,9343626.47,0.6758,0.71,0.6727,0.7017,-0.0,59.9
2018-10-09,7864706.34,0.7017,0.71,0.6802,0.7009,-0.0,63.46
2018-10-10,9720188.53,0.7009,0.7375,0.6701,0.733,0.0,70.07
2018-10-11,14819314.02,0.7323,0.7362,0.5805,0.5997,-0.0,37.42
2018-10-12,7627856.9,0.5997,0.63,0.5805,0.6032,-0.01,42.49
2018-10-13,7119582.71,0.602,0.6279,0.6006,0.6231,-0.01,44.82
2018-10-14,8060317.26,0.6233,0.6489,0.616,0.6213,-0.01,44.38
2018-10-15,16034626.99,0.62,0.7198,0.6053,0.6959,-0.01,53.9
2018-10-16,9243291.4,0.6959,0.73,0.686,0.7017,-0.0,51.84
2018-10-17,9265645.67,0.7016,0.77,0.6984,0.7446,0.0,59.86
2018-10-18,8580759.37,0.7453,0.75,0.6811,0.6975,0.0,53.49
2018-10-19,5937157.04,0.6981,0.7228,0.6934,0.7088,0.01,52.93
2018-10-20,7503063.53,0.7075,0.717,0.6974,0.709,0.01,54.74
2018-10-21,8257961.46,0.709,0.7188,0.696,0.7031,0.01,53.35
2018-10-22,6013396.06,0.7026,0.71,0.683,0.6947,0.01,49.1
2018-10-23,4547723.01,0.6947,0.6999,0.668,0.6754,0.01,46.86
2018-10-24,3865712.0,0.675,0.693,0.671,0.6815,0.0,43.23
2018-10-25,3247105.35,0.6812,0.6836,0.662,0.6668,0.0,62.83
2018-10-26,2277207.88,0.6667,0.678,0.6634,0.6702,0.0,62.82
2018-10-27,2763760.53,0.6702,0.677,0.64,0.6452,-0.0,54.15
2018-10-28,2077726.84,0.6456,0.6542,0.6433,0.6505,-0.0,55.41
2018-10-29,3140400.93,0.6505,0.6579,0.6055,0.6226,-0.01,33.59
2018-10-30,2104197.69,0.6229,0.642,0.6194,0.6269,-0.01,33.14
2018-10-31,3252666.19,0.6267,0.6538,0.6008,0.6492,-0.01,26.29
2018-11-01,2445498.39,0.6493,0.66,0.638,0.6509,-0.01,35.04
2018-11-02,2560472.07,0.6514,0.6551,0.6351,0.6423,-0.01,28.28
2018-11-03,2088850.54,0.6427,0.6437,0.6223,0.6326,-0.01,26.51
2018-11-04,3569692.88,0.6314,0.6649,0.625,0.6506,-0.01,34.97
2018-11-05,3059624.44,0.6504,0.653,0.6302,0.6365,-0.01,33.87
2018-11-06,3333701.03,0.6365,0.6536,0.631,0.6527,-0.01,43.6
2018-11-07,2496439.25,0.6527,0.6621,0.635,0.6437,-0.01,39.51
2018-11-08,2445485.91,0.6443,0.6479,0.6142,0.6168,-0.01,37.01
2018-11-09,2613939.95,0.6168,0.62,0.5851,0.5921,-0.01,31.73
2018-11-10,1285269.55,0.5921,0.6094,0.59,0.5981,-0.02,37.9
2018-11-11,1451891.4,0.5965,0.5994,0.5713,0.5827,-0.02,33.45
2018-11-12,2597975.53,0.583,0.5918,0.5533,0.5688,-0.02,35.9
2018-11-13,3554483.38,0.5688,0.5689,0.5425,0.5497,-0.03,31.23
2018-11-14,7769563.74,0.5496,0.5504,0.4338,0.4745,-0.03,16.21
2018-11-15,7950915.02,0.4732,0.4775,0.4,0.4523,-0.04,14.41
2018-11-16,3408369.43,0.4517,0.46,0.417,0.4274,-0.05,13.61
2018-11-17,1979680.49,0.4282,0.4299,0.4103,0.422,-0.06,13.81
2018-11-18,1772428.39,0.4228,0.4314,0.4171,0.4222,-0.06,8.2
2018-11-19,11044993.96,0.4226,0.4226,0.321,0.3307,-0.07,6.39
2018-11-20,16804692.2,0.3292,0.35,0.2555,0.287,-0.08,1.64
2018-11-21,7740990.48,0.2855,0.3168,0.2724,0.3032,-0.09,5.81
2018-11-22,4162684.32,0.3033,0.3098,0.2762,0.2776,-0.09,5.83
2018-11-23,4599029.5,0.2776,0.2854,0.261,0.2768,-0.09,6.22
2018-11-24,4463144.06,0.2759,0.2884,0.2308,0.2395,-0.1,4.19
2018-11-25,9113950.11,0.2393,0.2528,0.2091,0.2444,-0.1,5.59
2018-11-26,8852137.54,0.2431,0.257,0.2112,0.2259,-0.1,5.53
2018-11-27,4700598.57,0.2256,0.2392,0.2161,0.2336,-0.1,7.75
2018-11-28,11797801.35,0.233,0.2893,0.233,0.2779,-0.1,21.36
2018-11-29,12787436.49,0.2773,0.31,0.262,0.2902,-0.09,25.68
2018-11-30,11348398.17,0.2902,0.2923,0.2426,0.2603,-0.09,25.3
2018-12-01,7752912.95,0.2604,0.2879,0.2501,0.278,-0.08,29.46
2018-12-02,7018602.86,0.2773,0.29,0.27,0.2739,-0.08,29.08
2018-12-03,8392222.71,0.2739,0.2758,0.2399,0.2472,-0.08,35.59
2018-12-04,7967828.37,0.248,0.2689,0.2363,0.2543,-0.07,43.54
2018-12-05,5869833.47,0.2543,0.2584,0.2314,0.2325,-0.07,36.34
2018-12-06,8669208.2,0.2324,0.246,0.21,0.2124,-0.07,37.12
2018-12-07,10665741.91,0.2118,0.2221,0.19,0.21,-0.07,36.89
2018-12-08,7244830.49,0.2105,0.2235,0.1952,0.2059,-0.07,42.42
2018-12-09,6486529.61,0.2063,0.2298,0.2055,0.2177,-0.07,44.16
2018-12-10,5407810.56,0.2181,0.2215,0.2001,0.2058,-0.06,45.47
2018-12-11,3868131.34,0.2055,0.2086,0.1948,0.2005,-0.06,42.46
2018-12-12,4373155.5,0.2005,0.2106,0.1953,0.2081,-0.06,30.91
2018-12-13,4354518.33,0.208,0.2089,0.1923,0.1955,-0.06,24.14
2018-12-14,6063809.91,0.1956,0.2015,0.1807,0.186,-0.06,27.17
2018-12-15,3853040.52,0.1858,0.191,0.1813,0.186,-0.06,18.28
2018-12-16,2430172.29,0.1862,0.1942,0.1856,0.1871,-0.05,19.44
2018-12-17,8496478.2,0.1871,0.2156,0.1865,0.2089,-0.05,36.03
2018-12-18,8847436.07,0.2089,0.221,0.199,0.2205,-0.04,38.06
2018-12-19,17980044.14,0.2209,0.2476,0.2165,0.2193,-0.04,44.55
2018-12-20,16711775.2,0.2197,0.2522,0.2176,0.2487,-0.03,63.93
2018-12-21,16140106.65,0.2498,0.2692,0.2339,0.239,-0.03,60.54
2018-12-22,6094306.22,0.2399,0.256,0.2337,0.2518,-0.03,65.69
2018-12-23,9172821.39,0.2523,0.27,0.2462,0.2609,-0.02,65.04
2018-12-24,12430681.52,0.2609,0.2904,0.2609,0.272,-0.02,73.18
2018-12-25,8982001.9,0.2715,0.2728,0.231,0.2418,-0.01,62.31
2018-12-26,5742850.93,0.2435,0.2505,0.2317,0.2408,-0.01,60.15
2018-12-27,5774256.68,0.2414,0.2428,0.2154,0.2181,-0.01,56.6
2018-12-28,6779532.51,0.2182,0.249,0.215,0.2453,-0.01,65.7
2018-12-29,6101238.6,0.2453,0.2498,0.2275,0.229,-0.01,60.48
