date,volume,open,high,low,close,MACD,RSI
2023-03-22,561276773.0,0.025,2.5,0.025,0.4065,0.0,
2023-03-23,741475773.0,0.40667,0.57698,0.39501,0.52883,0.01,
2023-03-24,479434719.0,0.52892,0.5965,0.48525,0.5295,0.02,
2023-03-25,167546900.0,0.52986,0.5325,0.458,0.47433,0.02,
2023-03-26,184964953.0,0.47448,0.5245,0.43588,0.48751,0.02,
2023-03-27,159378070.0,0.48767,0.5149,0.42765,0.45341,0.02,
2023-03-28,104113001.0,0.45342,0.46886,0.43058,0.46414,0.02,
2023-03-29,120689726.0,0.46418,0.49057,0.45,0.46584,0.02,
2023-03-30,199538141.0,0.46596,0.5099,0.44374,0.48088,0.02,
2023-03-31,121182026.0,0.48131,0.49335,0.459,0.4796,0.02,
2023-04-01,162462400.0,0.47961,0.52298,0.47106,0.48658,0.02,
2023-04-02,103274935.0,0.48658,0.49989,0.45025,0.46685,0.02,
2023-04-03,84843076.0,0.46685,0.475,0.4321,0.44482,0.01,
2023-04-04,58538455.0,0.44498,0.46717,0.43906,0.46051,0.01,
2023-04-05,71547574.0,0.4605,0.4855,0.45438,0.46235,0.01,58.71
2023-04-06,48741148.0,0.46255,0.463,0.444,0.45092,0.01,31.41
2023-04-07,39089725.0,0.451,0.46348,0.4455,0.45262,0.01,31.75
2023-04-08,47643132.0,0.45262,0.4615,0.43301,0.43828,0.01,39.38
2023-04-09,38262324.0,0.43835,0.45,0.43037,0.44556,0.01,37.2
2023-04-10,74342891.0,0.44556,0.47215,0.44358,0.47,0.01,55.38
2023-04-11,55295570.0,0.47,0.483,0.45297,0.45675,0.01,47.64
2023-04-12,44684176.0,0.45669,0.45949,0.43901,0.45316,0.01,46.0
2023-04-13,262215230.0,0.45345,0.58,0.45223,0.57411,0.01,67.62
2023-04-14,645620907.0,0.57431,0.84,0.57244,0.80162,0.04,82.81
2023-04-15,327084426.0,0.80162,0.86,0.757,0.82895,0.06,83.49
2023-04-16,331222605.0,0.82895,0.98,0.80044,0.92936,0.08,89.08
2023-04-17,340436827.0,0.92933,1.05,0.8252,0.9352,0.1,92.6
2023-04-18,286973602.0,0.9352,1.00808,0.87654,0.90288,0.11,87.35
2023-04-19,224307264.0,0.90248,0.935,0.75,0.78039,0.11,72.31
2023-04-20,186339310.0,0.78015,0.81729,0.71663,0.73605,0.1,69.12
2023-04-21,181120913.0,0.73567,0.79951,0.70326,0.742,0.1,69.29
2023-04-22,97171978.0,0.74209,0.75823,0.7081,0.75166,0.09,71.02
2023-04-23,97324787.0,0.75139,0.75141,0.66171,0.67839,0.08,64.35
2023-04-24,125947805.0,0.6784,0.715,0.65298,0.69884,0.07,64.17
2023-04-25,113798277.0,0.69924,0.70646,0.63439,0.68574,0.07,64.18
2023-04-26,205813596.0,0.68586,0.773,0.64355,0.68042,0.06,64.05
2023-04-27,189919418.0,0.68044,0.77754,0.67673,0.74401,0.06,61.3
2023-04-28,118972065.0,0.744,0.74596,0.67134,0.68374,0.05,39.91
2023-04-29,63235220.0,0.68341,0.68804,0.656,0.6635,0.04,35.67
2023-04-30,67315276.0,0.6635,0.681,0.63077,0.63581,0.03,20.91
2023-05-01,71113273.0,0.636,0.64057,0.6011,0.62262,0.03,19.47
2023-05-02,54880794.0,0.62271,0.63732,0.60952,0.61597,0.02,20.5
2023-05-03,80730324.0,0.61601,0.622,0.56187,0.61521,0.01,27.34
2023-05-04,48269519.0,0.61504,0.61995,0.57332,0.58141,0.01,28.15
2023-05-05,64366742.0,0.58127,0.59083,0.54048,0.5593,-0.0,25.32
2023-05-06,60036165.0,0.55939,0.57112,0.51,0.53396,-0.01,21.78
2023-05-07,52612136.0,0.53412,0.56144,0.52681,0.53484,-0.02,27.1
2023-05-08,77089081.0,0.535,0.54292,0.46001,0.47661,-0.03,18.36
