date,volume,open,high,low,close,MACD,RSI
2021-09-09,57336267.6,0.52711,1.69,0.46003,0.49866,0.0,
2021-09-10,70832717.5,0.49748,0.54,0.375,0.39993,-0.01,
2021-09-11,400491842.2,0.40128,0.74555,0.40128,0.68765,0.01,
2021-09-12,241802963.6,0.68796,0.73259,0.54468,0.56164,0.01,
2021-09-13,109819851.8,0.56167,0.59193,0.46323,0.48829,0.01,
2021-09-14,180826580.8,0.48726,0.65,0.47728,0.54064,0.01,
2021-09-15,77669867.4,0.54257,0.589,0.50766,0.5169,0.01,
2021-09-16,105176753.8,0.5169,0.54,0.465,0.49363,0.01,
2021-09-17,91556303.7,0.4933,0.49873,0.41348,0.43988,-0.0,
2021-09-18,161028693.4,0.44031,0.528,0.42952,0.45065,-0.0,
2021-09-19,43789477.7,0.45137,0.4682,0.4268,0.4268,-0.01,
2021-09-20,69007278.5,0.4268,0.42747,0.33552,0.34571,-0.02,
2021-09-21,56353555.7,0.34569,0.38539,0.31121,0.31999,-0.03,
2021-09-22,47524028.1,0.31998,0.37,0.31231,0.3534,-0.04,
2021-09-23,34419249.0,0.35351,0.3725,0.33,0.3506,-0.04,41.92
2021-09-24,36192892.2,0.35139,0.355,0.28803,0.30316,-0.04,44.41
2021-09-25,26169559.9,0.30287,0.3099,0.28329,0.28586,-0.05,16.23
2021-09-26,50293733.0,0.28586,0.29899,0.2382,0.26234,-0.06,19.61
2021-09-27,469246338.6,0.26235,0.44868,0.2575,0.37376,-0.05,39.2
2021-09-28,147556492.3,0.37389,0.4295,0.3135,0.32217,-0.05,29.38
2021-09-29,70780041.0,0.32268,0.35658,0.3033,0.30846,-0.05,29.94
2021-09-30,40969398.4,0.30846,0.33485,0.305,0.31987,-0.05,32.89
2021-10-01,152539849.3,0.31914,0.405,0.31016,0.36201,-0.04,42.15
2021-10-02,80185152.9,0.36293,0.38122,0.34718,0.3616,-0.04,40.83
2021-10-03,42326690.1,0.3616,0.36848,0.34005,0.35622,-0.04,42.45
2021-10-04,44047922.7,0.35624,0.3629,0.32726,0.33316,-0.04,48.47
2021-10-05,38092659.8,0.33373,0.34349,0.3175,0.32352,-0.03,50.45
2021-10-06,69158160.1,0.32316,0.3441,0.28073,0.31301,-0.03,44.55
2021-10-07,44208987.3,0.31301,0.32149,0.2963,0.29917,-0.04,43.26
2021-10-08,60565972.4,0.2995,0.335,0.29664,0.29999,-0.04,49.53
2021-10-09,47058112.7,0.30074,0.31989,0.3,0.30344,-0.03,52.74
2021-10-10,354480865.5,0.30301,0.398,0.3005,0.34801,-0.03,62.53
