date,volume,open,high,low,close,MACD,RSI
2021-09-22,118077.31,414.5,599.0,414.5,546.1,0.0,
2021-09-23,96879.922,547.1,654.0,536.1,579.2,2.64,
2021-09-24,27336.426,579.1,583.0,470.9,509.4,-0.89,
2021-09-25,7689.143,509.9,530.0,486.4,517.2,-3.02,
2021-09-26,9019.91,516.4,547.0,477.0,517.6,-4.63,
2021-09-27,5992.85,517.8,543.0,499.0,499.7,-7.26,
2021-09-28,5808.106,499.0,509.0,455.6,463.0,-12.17,
2021-09-29,11759.67,462.4,550.0,459.1,470.0,-15.31,
2021-09-30,7686.647,470.2,516.7,469.3,499.1,-15.28,
2021-10-01,7048.135,498.2,560.0,494.1,546.2,-11.33,
2021-10-02,8068.382,546.5,600.0,541.7,565.8,-6.54,
2021-10-03,6987.743,566.6,600.0,549.5,569.8,-2.39,
2021-10-04,6431.573,569.6,583.7,552.5,567.5,0.7,
2021-10-05,8987.533,568.2,612.9,563.7,604.9,6.1,
2021-10-06,56221.965,605.6,900.0,581.4,676.3,15.96,66.97
2021-10-07,13385.459,677.1,699.0,645.1,661.4,22.31,61.25
2021-10-08,6455.15,661.3,682.3,645.4,650.9,26.19,73.11
2021-10-09,7082.683,651.7,703.2,643.0,689.4,32.01,75.56
2021-10-10,5889.742,687.2,720.6,653.0,660.0,33.86,69.46
2021-10-11,6843.211,661.5,669.1,617.9,634.6,32.89,68.07
2021-10-12,4466.086,633.6,633.6,598.0,615.3,30.22,71.4
2021-10-13,4176.078,614.1,653.6,605.0,642.7,29.97,72.95
2021-10-14,7041.108,643.3,729.0,643.3,700.9,34.07,74.89
2021-10-15,5862.43,700.6,734.0,683.6,723.1,38.67,73.25
2021-10-16,4091.443,723.1,748.9,713.4,720.7,41.64,71.32
2021-10-17,2834.048,719.8,745.9,700.2,728.0,44.08,71.58
2021-10-18,3349.187,728.0,747.5,703.3,714.7,44.42,69.49
2021-10-19,3273.185,714.4,750.0,711.7,745.9,46.67,68.98
2021-10-20,5363.39,745.9,800.0,735.2,798.9,52.14,67.37
2021-10-21,6930.789,798.9,836.0,770.0,775.0,53.91,65.69
2021-10-22,5032.541,774.1,810.9,766.4,789.2,55.82,68.91
2021-10-23,3340.916,791.3,830.0,781.6,826.1,59.63,68.77
2021-10-24,3801.549,826.8,839.0,781.0,807.8,60.47,70.93
2021-10-25,3991.551,807.9,868.2,805.0,858.8,64.51,79.61
2021-10-26,4849.725,858.8,890.0,839.3,857.0,66.8,83.47
2021-10-27,10947.141,857.0,938.0,809.9,827.2,65.45,75.38
2021-10-28,7853.045,826.8,927.9,816.6,913.2,70.51,77.13
2021-10-29,10436.305,913.5,989.0,913.4,972.9,78.43,79.13
2021-10-30,15921.504,973.3,1040.0,946.4,1035.2,88.71,82.18
2021-10-31,10544.177,1034.2,1050.0,962.1,996.1,92.64,75.75
2021-11-01,13095.34,996.3,1062.4,958.8,1052.6,99.16,79.97
2021-11-02,21124.377,1053.7,1238.8,1034.4,1220.7,116.56,83.89
2021-11-03,22080.542,1220.8,1380.0,1154.0,1232.9,129.83,82.89
2021-11-04,10560.419,1230.4,1264.9,1202.0,1252.6,140.32,86.42
2021-11-05,15769.724,1251.3,1331.8,1217.8,1226.4,144.85,82.74
2021-11-06,9430.361,1226.4,1243.9,1146.5,1199.9,144.64,78.44
2021-11-07,6446.153,1199.8,1236.5,1147.0,1224.8,144.81,81.41
2021-11-08,5617.333,1224.4,1274.4,1211.6,1267.5,146.69,81.17
2021-11-09,6266.136,1268.0,1281.0,1206.2,1214.0,142.23,75.24
2021-11-10,6897.099,1214.0,1239.8,1088.8,1158.2,132.67,72.57
2021-11-11,4763.817,1158.2,1183.7,1128.2,1159.8,123.79,69.0
2021-11-12,7084.326,1161.0,1205.7,1113.0,1145.8,114.3,64.33
2021-11-13,3977.779,1144.7,1178.3,1127.4,1158.5,106.58,61.14
2021-11-14,5119.991,1157.6,1175.6,1107.2,1139.0,97.77,63.38
2021-11-15,6705.795,1137.6,1193.0,1111.3,1115.7,87.88,56.3
2021-11-16,9361.047,1115.7,1125.4,977.4,1021.8,71.65,26.68
2021-11-17,7061.122,1020.7,1074.2,983.4,1063.9,61.47,31.49
2021-11-18,8000.757,1061.5,1086.1,963.0,972.2,45.48,23.47
2021-11-19,10197.495,971.7,1034.1,964.9,1003.4,34.93,29.1
2021-11-20,9453.929,1004.0,1058.0,973.9,1041.0,29.26,35.41
2021-11-21,13521.783,1041.0,1109.8,1009.6,1046.6,24.93,33.04
2021-11-22,11701.815,1046.6,1109.0,987.0,1035.4,20.36,26.49
2021-11-23,38593.232,1038.4,1304.9,1028.0,1283.2,36.31,55.03
2021-11-24,109027.896,1283.2,1628.3,1277.2,1502.3,65.88,70.21
2021-11-25,54626.924,1502.2,1812.5,1479.4,1660.4,100.9,74.84
2021-11-26,28934.923,1663.6,1695.1,1366.1,1447.9,110.24,62.52
2021-11-27,15318.881,1448.3,1630.0,1443.2,1524.0,122.38,64.39
2021-11-28,11268.658,1523.8,1642.1,1450.0,1613.6,137.63,67.71
2021-11-29,16939.826,1612.0,1770.1,1605.5,1758.8,159.6,72.0
2021-11-30,24302.992,1758.8,1923.4,1679.0,1843.1,181.72,78.28
2021-12-01,20721.82,1843.3,1930.0,1684.3,1729.5,187.92,71.84
2021-12-02,15597.491,1729.6,1729.7,1588.7,1602.6,180.51,70.22
2021-12-03,16613.203,1601.5,1674.1,1410.0,1469.5,162.03,64.03
2021-12-04,28716.597,1468.3,1475.3,1153.0,1383.0,138.8,60.0
2021-12-05,17668.471,1382.3,1475.3,1340.5,1404.5,120.74,60.37
2021-12-06,17355.178,1405.6,1442.0,1217.1,1324.5,98.83,58.06
2021-12-07,10388.702,1324.1,1384.2,1279.6,1305.9,79.05,50.73
2021-12-08,7602.52,1306.0,1385.0,1290.0,1364.9,67.36,45.11
2021-12-09,10340.436,1363.8,1401.1,1255.1,1266.9,49.62,35.37
2021-12-10,8723.255,1268.2,1323.0,1171.0,1179.0,28.14,38.98
2021-12-11,5122.426,1177.7,1241.9,1160.0,1227.6,14.87,37.58
2021-12-12,5777.741,1228.4,1306.4,1206.8,1278.2,8.34,35.47
2021-12-13,9090.408,1278.1,1286.1,1081.2,1109.4,-10.34,22.42
2021-12-14,6914.998,1112.3,1142.3,1061.0,1113.3,-24.54,16.74
2021-12-15,7103.101,1113.7,1212.9,1051.6,1186.1,-29.59,24.28
2021-12-16,5288.92,1183.0,1214.5,1145.0,1145.0,-36.48,26.42
2021-12-17,5811.244,1145.0,1156.8,1055.5,1108.4,-44.38,29.34
2021-12-18,3724.555,1108.3,1162.7,1078.0,1149.8,-46.76,35.93
2021-12-19,3572.223,1149.0,1169.0,1091.3,1099.5,-52.11,32.22
