date,volume,open,high,low,close,MACD,RSI
2022-01-10,2555922.8,3.751,4.3,3.419,3.784,0.0,
2022-01-11,3493404.44,3.791,3.91,3.3,3.597,-0.01,
2022-01-12,3496505.58,3.597,3.858,3.52,3.725,-0.02,
2022-01-13,2142172.61,3.717,3.782,3.5,3.505,-0.03,
2022-01-14,1694636.09,3.519,3.642,3.479,3.562,-0.04,
2022-01-15,1226166.13,3.56,3.69,3.53,3.621,-0.05,
2022-01-16,9797322.76,3.617,4.679,3.613,4.158,-0.0,
2022-01-17,3357901.67,4.156,4.299,3.679,3.764,-0.0,
2022-01-18,2239700.67,3.762,3.85,3.502,3.73,-0.01,
2022-01-19,1400080.68,3.73,3.802,3.496,3.562,-0.02,
2022-01-20,2045567.79,3.565,3.758,3.339,3.358,-0.05,
2022-01-21,4218572.84,3.35,3.426,2.643,2.71,-0.12,
2022-01-22,6291567.52,2.711,2.914,2.01,2.454,-0.2,
2022-01-23,2074790.14,2.469,2.599,2.246,2.503,-0.25,
2022-01-24,3114147.77,2.502,2.507,2.0,2.32,-0.3,26.57
2022-01-25,1831313.27,2.32,2.459,2.196,2.355,-0.34,29.1
2022-01-26,9650551.51,2.354,3.313,2.309,2.996,-0.31,39.54
2022-01-27,5773668.75,3.001,3.083,2.496,2.656,-0.31,38.22
2022-01-28,2955627.78,2.65,2.884,2.481,2.819,-0.3,39.99
2022-01-29,2545856.52,2.825,2.94,2.66,2.827,-0.28,39.15
2022-01-30,1959437.49,2.82,2.848,2.48,2.573,-0.29,26.53
2022-01-31,1542968.02,2.572,2.751,2.466,2.694,-0.28,32.76
2022-02-01,2371212.18,2.69,3.031,2.675,2.877,-0.25,36.89
2022-02-02,4404744.39,2.877,3.2,2.761,3.049,-0.22,42.12
2022-02-03,30087980.49,3.026,4.29,3.015,3.385,-0.16,50.4
2022-02-04,21669926.39,3.384,3.453,2.748,2.994,-0.15,54.53
2022-02-05,10743031.58,2.995,3.167,2.807,2.872,-0.14,56.97
2022-02-06,6690491.34,2.872,2.987,2.722,2.827,-0.14,55.41
2022-02-07,9598530.02,2.823,3.08,2.756,2.861,-0.13,59.51
2022-02-08,21724489.98,2.861,3.89,2.606,2.779,-0.13,57.33
2022-02-09,6571341.53,2.778,2.91,2.643,2.817,-0.13,46.09
2022-02-10,7418632.0,2.819,2.863,2.553,2.599,-0.14,48.68
2022-02-11,8449105.47,2.6,2.711,2.225,2.303,-0.18,38.78
2022-02-12,5188695.42,2.305,2.38,2.204,2.302,-0.2,38.55
2022-02-13,8213072.0,2.302,2.471,2.247,2.291,-0.22,43.12
2022-02-14,6090863.71,2.291,2.35,2.17,2.293,-0.23,39.62
2022-02-15,5754615.65,2.291,2.492,2.275,2.478,-0.22,39.68
2022-02-16,5382976.95,2.477,2.506,2.326,2.395,-0.21,32.27
2022-02-17,7112333.67,2.399,2.418,2.104,2.125,-0.23,14.57
2022-02-18,6721326.93,2.125,2.201,2.028,2.048,-0.25,17.69
2022-02-19,4797967.93,2.047,2.102,1.893,1.976,-0.26,18.32
2022-02-20,6751673.56,1.978,1.978,1.774,1.813,-0.29,16.91
2022-02-21,13976757.22,1.813,1.965,1.55,1.57,-0.32,12.92
2022-02-22,12990095.07,1.57,1.693,1.559,1.652,-0.34,17.63
2022-02-23,6307198.29,1.651,1.724,1.542,1.555,-0.35,14.94
2022-02-24,15991501.64,1.553,1.561,1.315,1.504,-0.37,16.47
2022-02-25,6629084.97,1.503,1.584,1.449,1.535,-0.37,21.93
2022-02-26,4369455.06,1.534,1.622,1.485,1.499,-0.37,21.38
2022-02-27,9169534.09,1.5,1.594,1.37,1.41,-0.37,20.26
2022-02-28,6915355.3,1.409,1.562,1.382,1.56,-0.36,27.5
