date,volume,open,high,low,close,MACD,RSI
2018-05-31,4301267.29,1.4,2.15,1.4,1.7547,0.0,
2018-06-01,8098705.83,1.7548,1.9539,1.7128,1.9242,0.01,
2018-06-02,7415130.79,1.9269,1.95,1.8511,1.8962,0.02,
2018-06-03,9094727.55,1.8987,2.0132,1.7242,1.8045,0.02,
2018-06-04,8496128.41,1.8093,1.85,1.658,1.7157,0.01,
2018-06-05,7524463.44,1.7159,1.7849,1.6561,1.7433,0.01,
2018-06-06,6711330.81,1.7434,1.7678,1.64,1.6959,0.0,
2018-06-07,5902671.78,1.6954,1.7436,1.68,1.6923,-0.01,
2018-06-08,6337504.93,1.6927,1.7382,1.6605,1.7037,-0.01,
2018-06-09,6754595.62,1.7032,1.7454,1.64,1.6481,-0.02,
2018-06-10,8610162.2,1.648,1.6512,1.3181,1.3749,-0.04,
2018-06-11,6729264.18,1.3769,1.471,1.3113,1.4597,-0.06,
2018-06-12,7824729.7,1.4567,1.46,1.23,1.2583,-0.08,
2018-06-13,8613960.82,1.2595,1.295,1.1292,1.2055,-0.11,
2018-06-14,9138651.45,1.2056,1.371,1.171,1.2732,-0.12,30.0
2018-06-15,7980199.93,1.2772,1.3,1.161,1.1781,-0.14,16.96
2018-06-16,7146126.21,1.1796,1.23,1.1555,1.1943,-0.15,18.59
2018-06-17,7879816.07,1.1943,1.217,1.1691,1.1716,-0.15,19.81
2018-06-18,10289294.88,1.1744,1.229,1.1,1.1801,-0.16,22.33
2018-06-19,8079945.91,1.1818,1.265,1.16,1.1818,-0.16,20.2
2018-06-20,8943103.51,1.1804,1.1841,1.1116,1.1598,-0.16,20.76
2018-06-21,7936682.77,1.1598,1.18,1.1389,1.1584,-0.16,20.81
2018-06-22,12212505.96,1.1584,1.171,0.9304,0.9726,-0.17,16.43
2018-06-23,9021374.99,0.9726,1.0739,0.9545,1.0366,-0.17,22.14
2018-06-24,11407204.97,1.0377,1.0429,0.881,0.9732,-0.18,27.37
2018-06-25,9687936.06,0.9732,1.0501,0.9522,1.0147,-0.18,23.64
2018-06-26,5509745.31,1.0177,1.0241,0.9278,0.9353,-0.18,27.64
2018-06-27,7892995.5,0.936,1.02,0.923,0.9825,-0.18,34.44
2018-06-28,8813758.06,0.9824,1.0,0.902,0.916,-0.18,25.03
2018-06-29,8869914.43,0.9149,0.9844,0.8924,0.9589,-0.17,33.47
2018-06-30,8707918.68,0.9607,1.03,0.9599,1.0109,-0.16,36.88
