date,volume,open,high,low,close,MACD,RSI
2020-08-11,21229440.5,0.11269,0.14499,0.08502,0.1084,0.0,
2020-08-12,76233604.0,0.10818,0.15,0.09436,0.1435,0.0,
2020-08-13,32404899.9,0.14226,0.1475,0.11163,0.12065,0.0,
2020-08-14,16459004.7,0.12081,0.1366,0.11791,0.12261,0.0,
2020-08-15,10338717.2,0.12297,0.12697,0.11406,0.11441,0.0,
2020-08-16,11703078.5,0.11441,0.1335,0.1125,0.1252,0.0,
2020-08-17,15949935.5,0.12504,0.14063,0.1021,0.11986,0.0,
2020-08-18,8552343.7,0.11924,0.134,0.11,0.11909,0.0,
2020-08-19,9556848.9,0.118,0.1285,0.1077,0.11015,0.0,
2020-08-20,10262262.2,0.11048,0.13021,0.10798,0.12443,0.0,
2020-08-21,7167203.4,0.12443,0.128,0.10597,0.10597,0.0,
2020-08-22,5200684.3,0.10651,0.11497,0.1038,0.11294,0.0,
2020-08-23,25637702.8,0.11294,0.145,0.11253,0.14167,0.0,
2020-08-24,11597912.6,0.14156,0.14355,0.12181,0.1239,0.0,
2020-08-25,10606506.0,0.12453,0.13477,0.11215,0.12099,0.0,53.44
2020-08-26,7688120.9,0.12017,0.125,0.11254,0.11978,0.0,42.05
2020-08-27,9711645.8,0.11984,0.121,0.102,0.11183,0.0,46.72
2020-08-28,15095201.2,0.11233,0.12499,0.107,0.12002,0.0,49.08
2020-08-29,6110429.7,0.11973,0.12069,0.11375,0.114,0.0,49.85
2020-08-30,12212072.2,0.11394,0.12607,0.1105,0.12004,0.0,48.07
2020-08-31,6845702.4,0.12001,0.1235,0.11423,0.1164,0.0,48.69
2020-09-01,16600746.7,0.11649,0.1269,0.10832,0.11078,0.0,46.96
2020-09-02,17047085.9,0.11026,0.11616,0.08768,0.09475,-0.0,44.65
2020-09-03,19608322.5,0.09474,0.09563,0.06684,0.0707,-0.0,32.51
2020-09-04,11024157.9,0.07041,0.07983,0.06504,0.07601,-0.01,39.33
2020-09-05,16768285.0,0.07601,0.087,0.05481,0.06055,-0.01,32.41
2020-09-06,17570196.8,0.06114,0.07384,0.05575,0.06865,-0.01,21.54
2020-09-07,6562284.8,0.06865,0.06999,0.05854,0.06615,-0.01,24.45
2020-09-08,8125749.4,0.06595,0.07127,0.05982,0.06319,-0.01,24.44
2020-09-09,7155972.8,0.06325,0.0675,0.06005,0.06584,-0.01,26.45
2020-09-10,9568529.7,0.06583,0.07643,0.06547,0.07115,-0.01,31.82
2020-09-11,6971287.9,0.0711,0.075,0.06531,0.07052,-0.01,26.27
2020-09-12,14957995.8,0.0705,0.07933,0.06859,0.07572,-0.01,31.51
2020-09-13,11061453.2,0.07572,0.07814,0.06544,0.06926,-0.01,25.57
2020-09-14,5640899.2,0.06924,0.07159,0.066,0.06677,-0.01,25.85
2020-09-15,35928852.5,0.06686,0.095,0.06291,0.07035,-0.01,29.93
2020-09-16,8946689.2,0.07023,0.07023,0.06334,0.066,-0.01,33.86
2020-09-17,10009780.0,0.06598,0.07129,0.06436,0.06811,-0.01,48.07
2020-09-18,10800292.3,0.06837,0.06906,0.0608,0.06307,-0.01,40.32
2020-09-19,6028939.8,0.06287,0.06579,0.0603,0.06399,-0.01,53.29
2020-09-20,5730495.0,0.06423,0.06496,0.05696,0.05809,-0.01,39.46
2020-09-21,17627541.6,0.058,0.05941,0.04403,0.04488,-0.01,32.51
2020-09-22,8806620.1,0.04522,0.04874,0.04274,0.04713,-0.01,36.64
2020-09-23,55887627.2,0.04681,0.074,0.043,0.0518,-0.01,38.7
2020-09-24,38588974.4,0.0518,0.06698,0.05071,0.06224,-0.01,43.38
2020-09-25,5844324.3,0.06224,0.06581,0.05822,0.06216,-0.01,43.73
2020-09-26,4119161.1,0.06216,0.06632,0.06068,0.06478,-0.01,41.47
2020-09-27,6288871.9,0.06479,0.06996,0.0618,0.06629,-0.01,47.49
2020-09-28,12000355.8,0.06636,0.075,0.06224,0.06782,-0.01,50.9
2020-09-29,6617295.3,0.06748,0.07249,0.06645,0.06992,-0.01,49.62
2020-09-30,4265744.3,0.07009,0.07325,0.06802,0.0705,-0.0,54.25
2020-10-01,6800658.5,0.07074,0.07256,0.0624,0.06642,-0.0,48.46
2020-10-02,6229210.6,0.06609,0.06769,0.05689,0.05931,-0.0,46.7
2020-10-03,3000310.0,0.05988,0.06135,0.05836,0.05972,-0.0,46.22
2020-10-04,7782760.9,0.05955,0.068,0.05766,0.06564,-0.0,56.68
2020-10-05,5511732.6,0.06564,0.0677,0.06088,0.06115,-0.0,67.02
2020-10-06,4306205.5,0.06115,0.06132,0.0514,0.0528,-0.0,55.26
2020-10-07,2669458.7,0.05259,0.05854,0.05006,0.05648,-0.0,54.42
2020-10-08,2907717.7,0.05592,0.0581,0.05205,0.05768,-0.0,44.78
2020-10-09,6973123.9,0.05768,0.06456,0.05517,0.06279,-0.0,50.65
2020-10-10,4421797.0,0.06272,0.0644,0.0586,0.05955,-0.0,44.7
2020-10-11,12032937.7,0.05958,0.0713,0.05855,0.06809,-0.0,51.6
2020-10-12,19251522.2,0.0681,0.0783,0.06809,0.07151,-0.0,53.17
2020-10-13,4581320.8,0.07125,0.07214,0.0672,0.06917,-0.0,49.36
2020-10-14,5278906.7,0.06864,0.072,0.06611,0.06825,-0.0,48.09
2020-10-15,4598306.3,0.06804,0.06824,0.06226,0.06462,-0.0,48.46
2020-10-16,4144812.6,0.06443,0.06686,0.06004,0.06117,-0.0,51.7
2020-10-17,2751243.9,0.06134,0.0669,0.0604,0.06481,-0.0,54.39
2020-10-18,5014886.8,0.06488,0.07,0.06338,0.06648,-0.0,50.78
2020-10-19,2726559.3,0.06656,0.06699,0.06272,0.06349,-0.0,52.24
2020-10-20,3672447.2,0.06344,0.06455,0.05751,0.0579,-0.0,55.16
2020-10-21,3933453.7,0.0579,0.062,0.05741,0.05878,-0.0,52.47
2020-10-22,8211339.8,0.05914,0.07,0.05879,0.06152,-0.0,53.99
2020-10-23,6458691.8,0.06137,0.0623,0.05583,0.05839,-0.0,45.24
2020-10-24,10006613.0,0.0587,0.0587,0.05491,0.05618,-0.0,46.27
2020-10-25,4011728.3,0.05619,0.05754,0.05354,0.05404,-0.0,31.87
2020-10-26,4735193.7,0.05404,0.05549,0.05047,0.05364,-0.0,24.99
2020-10-27,4230989.1,0.05401,0.057,0.053,0.05633,-0.0,32.21
2020-10-28,4414670.9,0.05624,0.05768,0.05,0.05109,-0.0,28.76
2020-10-29,2797449.7,0.05071,0.05226,0.04736,0.04816,-0.0,29.27
2020-10-30,3648894.7,0.04803,0.05314,0.04503,0.05047,-0.0,36.13
2020-10-31,2501308.7,0.05004,0.05102,0.04748,0.04755,-0.0,27.19
2020-11-01,3447563.2,0.04762,0.05096,0.04643,0.04826,-0.0,25.3
2020-11-02,3508870.3,0.04827,0.04937,0.04432,0.04567,-0.0,25.58
2020-11-03,2749539.2,0.0455,0.0455,0.04127,0.0426,-0.01,27.47
2020-11-04,6915309.5,0.0426,0.04284,0.03824,0.04127,-0.01,24.56
2020-11-05,19372077.7,0.04156,0.05499,0.04137,0.04576,-0.01,28.21
2020-11-06,9751618.4,0.04576,0.0553,0.0455,0.0542,-0.0,44.95
2020-11-07,7862794.1,0.05441,0.05799,0.04709,0.04884,-0.0,41.77
2020-11-08,4002705.3,0.04907,0.05209,0.04849,0.05042,-0.0,45.89
2020-11-09,5993049.9,0.05042,0.05676,0.048,0.05625,-0.0,52.64
2020-11-10,6610170.4,0.05614,0.05898,0.053,0.05773,-0.0,51.45
2020-11-11,4024356.8,0.05771,0.05914,0.05304,0.0541,-0.0,53.22
2020-11-12,2885218.3,0.05411,0.05513,0.05084,0.0522,-0.0,54.43
2020-11-13,3416073.8,0.0522,0.05622,0.0509,0.05296,-0.0,52.82
2020-11-14,2759976.5,0.05296,0.05339,0.04979,0.05102,-0.0,54.02
2020-11-15,3023044.5,0.05081,0.05241,0.04835,0.04995,-0.0,51.94
2020-11-16,3853623.3,0.0496,0.05411,0.0486,0.05294,-0.0,58.29
2020-11-17,3976587.0,0.0531,0.05448,0.051,0.05282,-0.0,62.49
2020-11-18,4261097.6,0.05287,0.0541,0.0499,0.05066,-0.0,61.25
2020-11-19,3444116.3,0.051,0.053,0.0498,0.05126,-0.0,57.26
2020-11-20,7202882.9,0.05132,0.05671,0.05025,0.05452,-0.0,50.49
2020-11-21,6949832.0,0.05441,0.06,0.0537,0.0597,-0.0,66.71
2020-11-22,6452242.8,0.0599,0.06261,0.0537,0.05716,0.0,60.07
2020-11-23,9119875.2,0.0576,0.064,0.05629,0.06312,0.0,60.23
2020-11-24,9909301.7,0.0633,0.06704,0.06,0.06243,0.0,57.16
2020-11-25,6962286.4,0.06244,0.06878,0.06,0.06289,0.0,64.83
2020-11-26,10120152.4,0.06287,0.06445,0.0492,0.06006,0.0,62.86
2020-11-27,9035474.3,0.06023,0.06398,0.058,0.06162,0.0,63.81
2020-11-28,3308809.9,0.06117,0.0625,0.05879,0.05971,0.0,63.87
2020-11-29,6588714.4,0.05987,0.06061,0.05561,0.05803,0.0,62.65
2020-11-30,4392762.1,0.05766,0.06187,0.05721,0.06031,0.0,61.8
2020-12-01,4992630.8,0.06056,0.06488,0.0574,0.06023,0.0,61.88
2020-12-02,2576992.5,0.06022,0.06389,0.05883,0.06243,0.0,68.84
2020-12-03,4199185.8,0.06262,0.064,0.06031,0.06254,0.0,68.35
2020-12-04,5991849.4,0.06277,0.06525,0.0587,0.05923,0.0,57.65
2020-12-05,2964161.4,0.05948,0.06091,0.05856,0.0606,0.0,51.67
2020-12-06,5276713.4,0.06052,0.0615,0.05746,0.05784,0.0,51.25
2020-12-07,7920731.1,0.05784,0.06085,0.05638,0.05713,0.0,36.36
2020-12-08,3625991.1,0.05752,0.05966,0.054,0.05497,0.0,34.07
2020-12-09,5119588.6,0.05497,0.0565,0.05125,0.05524,0.0,33.53
2020-12-10,5300938.5,0.05585,0.05677,0.05386,0.05434,0.0,36.57
2020-12-11,3313078.8,0.05404,0.05404,0.04903,0.05094,-0.0,26.92
2020-12-12,3724334.2,0.05091,0.056,0.0506,0.05398,-0.0,38.2
2020-12-13,2332969.0,0.05397,0.0562,0.05351,0.05431,-0.0,41.88
2020-12-14,2987226.6,0.05438,0.05608,0.05305,0.05502,-0.0,37.61
2020-12-15,4650645.8,0.05501,0.05718,0.054,0.05556,-0.0,39.29
2020-12-16,5474546.3,0.05556,0.0562,0.05188,0.05458,-0.0,30.94
2020-12-17,14660842.2,0.05458,0.05602,0.05,0.05137,-0.0,26.42
2020-12-18,6811090.0,0.05138,0.0531,0.04959,0.05206,-0.0,32.99
2020-12-19,4891956.2,0.05181,0.0526,0.04999,0.05065,-0.0,26.43
2020-12-20,168654766.7,0.05063,0.05063,0.03886,0.0446,-0.0,22.87
2020-12-21,30359981.1,0.0446,0.04625,0.0385,0.04112,-0.0,20.54
2020-12-22,13001354.1,0.04111,0.04299,0.0383,0.04152,-0.0,23.53
2020-12-23,12286059.0,0.04153,0.04168,0.03162,0.0341,-0.0,17.54
2020-12-24,6438807.1,0.03379,0.03659,0.03273,0.03651,-0.0,23.83
2020-12-25,5322121.8,0.03656,0.0385,0.03472,0.03685,-0.01,27.28
2020-12-26,3751354.4,0.03687,0.03703,0.0345,0.03537,-0.01,18.4
2020-12-27,19140305.0,0.03541,0.04199,0.03482,0.03792,-0.01,24.12
2020-12-28,10483785.9,0.03793,0.04147,0.03689,0.03878,-0.01,24.48
2020-12-29,9159519.3,0.03897,0.04032,0.0335,0.03604,-0.01,21.31
2020-12-30,3203206.0,0.03608,0.03744,0.03451,0.03567,-0.01,21.7
2020-12-31,19914985.6,0.03593,0.04201,0.035,0.04036,-0.0,34.22
2021-01-01,12955265.7,0.04003,0.04252,0.037,0.03914,-0.0,31.76
2021-01-02,6766183.8,0.03914,0.03914,0.036,0.03627,-0.0,30.5
2021-01-03,10212512.2,0.03627,0.04048,0.0344,0.04003,-0.0,43.39
2021-01-04,17361952.9,0.04003,0.04237,0.03442,0.03829,-0.0,45.69
2021-01-05,8673799.5,0.03829,0.0413,0.03613,0.0397,-0.0,47.31
2021-01-06,20224790.1,0.03979,0.04727,0.03886,0.04431,-0.0,66.44
2021-01-07,16581183.3,0.04459,0.04612,0.04,0.04332,-0.0,61.49
2021-01-08,9385839.4,0.04332,0.0441,0.03931,0.04244,-0.0,59.26
