date,volume,open,high,low,close,MACD,RSI
2021-11-22,938176313.6,0.1451,0.3649,0.1451,0.2366,0.0,
2021-11-23,335949872.6,0.2366,0.2446,0.1955,0.201,-0.0,
2021-11-24,216005937.6,0.2011,0.205,0.1726,0.1876,-0.01,
2021-11-25,291775158.7,0.1874,0.245,0.1726,0.2055,-0.01,
2021-11-26,243800797.7,0.2055,0.2111,0.1652,0.1721,-0.01,
2021-11-27,108443816.3,0.172,0.1899,0.1703,0.1764,-0.01,
2021-11-28,113323576.1,0.1764,0.1765,0.16,0.1695,-0.01,
2021-11-29,108279632.1,0.1693,0.1745,0.1662,0.1679,-0.02,
2021-11-30,86817882.7,0.168,0.1693,0.1619,0.166,-0.02,
2021-12-01,114740884.6,0.1661,0.1721,0.1637,0.1673,-0.02,
2021-12-02,206737672.8,0.1674,0.1868,0.1642,0.1762,-0.02,
2021-12-03,133892575.3,0.176,0.185,0.1619,0.1621,-0.02,
2021-12-04,147496175.3,0.1621,0.1689,0.09,0.1397,-0.02,
2021-12-05,67668601.0,0.1398,0.1405,0.126,0.1316,-0.02,
2021-12-06,116677690.3,0.1318,0.1334,0.1037,0.1264,-0.02,18.51
2021-12-07,96168279.8,0.1264,0.1291,0.1134,0.1168,-0.03,21.74
2021-12-08,84412436.3,0.1168,0.1235,0.112,0.1199,-0.03,25.59
2021-12-09,111989875.2,0.1199,0.1212,0.1016,0.1035,-0.03,12.83
2021-12-10,149093211.0,0.1035,0.1072,0.095,0.0952,-0.03,15.7
2021-12-11,156687166.5,0.0952,0.105,0.09,0.1017,-0.03,17.32
2021-12-12,91023065.2,0.1018,0.1019,0.0933,0.0982,-0.03,17.85
2021-12-13,134058143.9,0.0981,0.0981,0.0819,0.0843,-0.03,16.07
2021-12-14,97541417.6,0.0843,0.0903,0.0821,0.0868,-0.03,18.01
2021-12-15,145895804.4,0.0867,0.0929,0.0849,0.0927,-0.03,20.95
2021-12-16,217711583.1,0.0927,0.0948,0.0808,0.081,-0.03,13.72
2021-12-17,204664044.5,0.0811,0.0854,0.0676,0.0715,-0.03,14.22
2021-12-18,109844871.1,0.0717,0.0731,0.0688,0.0728,-0.03,18.29
2021-12-19,162168442.2,0.0728,0.0793,0.0699,0.0708,-0.03,19.42
2021-12-20,170780001.5,0.0708,0.0711,0.0611,0.0652,-0.03,19.34
2021-12-21,1557114990.4,0.0653,0.1215,0.0651,0.0981,-0.03,42.4
2021-12-22,1226470543.6,0.0981,0.1042,0.0854,0.0877,-0.03,37.65
2021-12-23,569019113.7,0.0877,0.096,0.0819,0.0899,-0.02,44.15
2021-12-24,208593415.8,0.0899,0.0916,0.0826,0.0828,-0.02,44.61
2021-12-25,304260423.4,0.0829,0.0948,0.0809,0.088,-0.02,43.98
2021-12-26,262149757.8,0.088,0.093,0.0827,0.0877,-0.02,45.25
2021-12-27,169421741.3,0.0877,0.0885,0.0831,0.0844,-0.02,50.05
2021-12-28,223448644.1,0.0843,0.0843,0.0727,0.0754,-0.02,44.64
2021-12-29,118129016.4,0.0754,0.0796,0.071,0.0723,-0.02,40.15
2021-12-30,610582898.8,0.0723,0.0912,0.0701,0.0789,-0.02,48.93
2021-12-31,707078728.6,0.079,0.0982,0.0783,0.0852,-0.02,57.19
2022-01-01,279862011.1,0.0852,0.0948,0.0841,0.0862,-0.01,57.05
2022-01-02,105451763.0,0.0862,0.0877,0.083,0.0843,-0.01,57.11
2022-01-03,211501495.1,0.0843,0.093,0.0834,0.0855,-0.01,61.22
2022-01-04,111006734.3,0.0855,0.0865,0.0822,0.0839,-0.01,38.01
2022-01-05,170475231.0,0.0839,0.0846,0.0714,0.0767,-0.01,40.18
2022-01-06,174213192.0,0.0767,0.0798,0.0719,0.0768,-0.01,37.85
2022-01-07,205604095.2,0.0767,0.0793,0.072,0.0749,-0.01,41.89
2022-01-08,130199229.6,0.0749,0.0772,0.0691,0.0731,-0.01,33.55
2022-01-09,92696600.0,0.0731,0.0747,0.0705,0.0721,-0.01,33.04
2022-01-10,144864273.3,0.072,0.0745,0.067,0.0688,-0.01,33.04
2022-01-11,105586971.1,0.0689,0.0725,0.0677,0.0707,-0.01,43.96
2022-01-12,134549910.6,0.0706,0.075,0.07,0.073,-0.01,50.92
2022-01-13,122028675.3,0.073,0.0735,0.0692,0.0695,-0.01,36.57
2022-01-14,141874211.3,0.0695,0.0746,0.0676,0.0707,-0.01,25.75
2022-01-15,68294010.1,0.0707,0.0723,0.0689,0.0702,-0.01,22.79
2022-01-16,54281811.9,0.0702,0.0717,0.0699,0.0706,-0.01,25.45
2022-01-17,76837436.0,0.0706,0.0709,0.0657,0.0664,-0.01,19.09
2022-01-18,73342427.0,0.0664,0.0678,0.0636,0.0649,-0.01,19.16
2022-01-19,696131849.4,0.0649,0.0849,0.0646,0.0717,-0.01,41.78
2022-01-20,178918129.9,0.0716,0.0729,0.067,0.0679,-0.01,36.95
2022-01-21,270055031.3,0.0678,0.071,0.053,0.0552,-0.01,28.06
2022-01-22,294500904.8,0.0551,0.0561,0.0459,0.0505,-0.01,26.36
2022-01-23,133709882.6,0.0505,0.0532,0.0493,0.0518,-0.01,28.9
2022-01-24,223849318.3,0.0518,0.0521,0.0439,0.0501,-0.01,29.89
2022-01-25,138293936.1,0.0501,0.0513,0.0472,0.0497,-0.01,26.67
2022-01-26,143296513.7,0.0498,0.0513,0.0462,0.0471,-0.01,21.41
2022-01-27,85655396.6,0.0472,0.0484,0.0443,0.0464,-0.01,22.82
2022-01-28,84909685.2,0.0464,0.0478,0.0447,0.0472,-0.01,22.09
2022-01-29,224598203.6,0.0472,0.0548,0.0464,0.0506,-0.01,28.22
2022-01-30,146175945.1,0.0505,0.0507,0.0466,0.047,-0.01,25.52
2022-01-31,132359454.8,0.047,0.0472,0.0437,0.046,-0.01,27.33
2022-02-01,119090656.5,0.046,0.0467,0.0442,0.0445,-0.01,27.33
2022-02-02,276125704.7,0.0445,0.0473,0.0401,0.0418,-0.01,13.45
2022-02-03,150845466.4,0.0418,0.0425,0.0386,0.0395,-0.01,13.96
2022-02-04,269759081.9,0.0395,0.043,0.0383,0.0423,-0.01,28.14
2022-02-05,304283655.8,0.0422,0.044,0.0395,0.0405,-0.01,31.2
2022-02-06,354196587.6,0.0404,0.0417,0.0385,0.0408,-0.01,28.52
2022-02-07,454249434.1,0.0408,0.0434,0.0398,0.041,-0.01,31.12
2022-02-08,622692383.9,0.041,0.0457,0.0391,0.0399,-0.01,30.24
2022-02-09,494991092.7,0.04,0.0437,0.0396,0.0405,-0.01,35.53
2022-02-10,498194482.7,0.0407,0.0419,0.0391,0.0397,-0.01,35.37
2022-02-11,479510437.7,0.0397,0.0406,0.036,0.0364,-0.01,28.74
2022-02-12,580780084.9,0.0364,0.0365,0.0323,0.0338,-0.01,15.85
2022-02-13,522516528.7,0.0338,0.0343,0.03,0.0306,-0.01,16.12
2022-02-14,599722834.2,0.0307,0.0329,0.0283,0.0297,-0.01,16.18
2022-02-15,1097838776.3,0.0297,0.0364,0.0296,0.0345,-0.01,31.75
2022-02-16,826483804.8,0.0344,0.0371,0.0313,0.0319,-0.01,31.87
2022-02-17,983815531.4,0.032,0.0327,0.0268,0.0275,-0.01,29.59
2022-02-18,678572316.6,0.0275,0.0282,0.0252,0.0256,-0.01,20.7
2022-02-19,1000493597.8,0.0256,0.0262,0.0229,0.0251,-0.01,21.69
2022-02-20,1018438275.4,0.0251,0.0261,0.0202,0.0212,-0.01,18.18
2022-02-21,1133226471.2,0.0211,0.0239,0.0191,0.0192,-0.01,16.56
2022-02-22,759091205.5,0.0192,0.0201,0.0184,0.0198,-0.01,18.69
2022-02-23,943362498.2,0.0198,0.0213,0.0179,0.0179,-0.01,16.17
2022-02-24,2058571064.1,0.018,0.0183,0.0148,0.017,-0.01,16.12
2022-02-25,2744204658.6,0.017,0.0257,0.0163,0.0181,-0.01,20.77
2022-02-26,1138949507.9,0.0181,0.0197,0.0175,0.0178,-0.01,22.41
2022-02-27,1242562820.5,0.0178,0.0179,0.0158,0.0161,-0.01,23.64
2022-02-28,1414737226.7,0.0161,0.0184,0.0159,0.018,-0.01,29.47
2022-03-01,1515762065.4,0.018,0.0185,0.016,0.0166,-0.01,14.34
2022-03-02,1462858125.7,0.0165,0.0176,0.0158,0.0163,-0.01,15.79
