date,volume,open,high,low,close,MACD,RSI
2021-12-28,17162843.0,2.21,2.79,2.202,2.364,0.0,
2021-12-29,4374372.48,2.363,2.455,2.172,2.262,-0.01,
2021-12-30,5613208.18,2.26,2.35,1.966,2.069,-0.03,
2021-12-31,3381122.83,2.069,2.183,2.03,2.105,-0.04,
2022-01-01,2596889.98,2.114,2.243,2.041,2.068,-0.06,
2022-01-02,2677463.61,2.068,2.068,1.949,1.956,-0.08,
2022-01-03,2967691.34,1.959,1.964,1.765,1.768,-0.1,
2022-01-04,4874115.76,1.768,1.955,1.725,1.808,-0.12,
2022-01-05,3883002.62,1.812,1.942,1.528,1.673,-0.15,
2022-01-06,3107877.23,1.672,1.676,1.55,1.619,-0.17,
2022-01-07,2535680.7,1.619,1.62,1.429,1.45,-0.2,
2022-01-08,3127912.62,1.452,1.506,1.281,1.359,-0.22,
2022-01-09,4529791.79,1.359,1.598,1.343,1.502,-0.23,
2022-01-10,3108146.05,1.502,1.562,1.32,1.411,-0.24,
2022-01-11,1643879.31,1.41,1.54,1.404,1.528,-0.24,22.28
2022-01-12,2622590.2,1.528,1.711,1.496,1.617,-0.22,28.43
2022-01-13,1920149.62,1.617,1.66,1.494,1.502,-0.22,29.99
2022-01-14,1433126.18,1.502,1.548,1.437,1.486,-0.22,27.85
2022-01-15,1547175.34,1.486,1.615,1.44,1.547,-0.21,31.67
2022-01-16,3468926.59,1.549,1.7,1.545,1.595,-0.19,36.7
2022-01-17,1716234.38,1.592,1.617,1.44,1.455,-0.19,38.04
2022-01-18,1541226.99,1.455,1.546,1.35,1.405,-0.19,34.72
2022-01-19,1743694.97,1.404,1.45,1.287,1.287,-0.2,35.18
2022-01-20,2772727.82,1.289,1.338,1.182,1.185,-0.21,33.93
2022-01-21,7710920.52,1.185,1.256,0.893,0.899,-0.24,31.22
2022-01-22,7299317.53,0.899,0.949,0.69,0.773,-0.27,30.49
2022-01-23,3633664.62,0.772,0.918,0.769,0.852,-0.28,27.4
2022-01-24,11514442.32,0.852,0.862,0.657,0.803,-0.29,28.22
2022-01-25,5475574.5,0.803,0.925,0.775,0.879,-0.29,26.05
2022-01-26,8159918.14,0.878,1.07,0.828,0.909,-0.29,22.69
2022-01-27,9549969.69,0.909,1.123,0.835,0.99,-0.27,29.71
2022-01-28,15031227.78,0.991,1.32,0.962,1.292,-0.24,43.73
2022-01-29,7311382.26,1.29,1.399,1.208,1.344,-0.2,43.4
2022-01-30,6572061.77,1.345,1.39,1.175,1.266,-0.17,39.52
2022-01-31,5975571.52,1.266,1.5,1.155,1.443,-0.14,49.63
2022-02-01,12863320.68,1.444,1.624,1.38,1.517,-0.1,53.44
2022-02-02,8291986.31,1.514,1.599,1.281,1.301,-0.09,50.41
2022-02-03,4645743.86,1.298,1.322,1.201,1.307,-0.08,53.74
2022-02-04,7943423.0,1.303,1.587,1.265,1.463,-0.06,68.77
2022-02-05,3877600.21,1.464,1.496,1.345,1.426,-0.04,73.11
2022-02-06,2701434.54,1.428,1.492,1.318,1.386,-0.04,69.43
2022-02-07,3362373.5,1.385,1.465,1.37,1.375,-0.03,71.41
2022-02-08,3805261.24,1.377,1.499,1.272,1.339,-0.03,67.75
2022-02-09,3210627.28,1.337,1.445,1.299,1.393,-0.02,68.33
2022-02-10,5882041.03,1.391,1.52,1.357,1.41,-0.01,66.72
2022-02-11,3590743.65,1.406,1.48,1.224,1.244,-0.02,47.86
2022-02-12,3366640.46,1.244,1.368,1.179,1.206,-0.03,43.76
2022-02-13,2181510.17,1.206,1.3,1.153,1.155,-0.04,44.86
2022-02-14,1583509.57,1.155,1.203,1.109,1.186,-0.05,36.23
2022-02-15,1701786.25,1.188,1.339,1.184,1.334,-0.04,40.91
2022-02-16,2050752.84,1.337,1.346,1.235,1.276,-0.04,48.53
2022-02-17,1623355.56,1.275,1.32,1.16,1.184,-0.04,43.42
2022-02-18,1293718.92,1.184,1.224,1.141,1.156,-0.05,30.98
2022-02-19,609828.98,1.158,1.189,1.126,1.157,-0.05,32.56
2022-02-20,2717610.41,1.158,1.172,0.967,1.012,-0.07,28.65
2022-02-21,5796853.81,1.009,1.199,0.984,0.987,-0.08,28.2
2022-02-22,2877323.42,0.985,1.081,0.949,1.076,-0.08,36.06
2022-02-23,3749328.19,1.077,1.2,1.02,1.035,-0.08,30.75
2022-02-24,8948870.22,1.035,1.083,0.844,1.016,-0.09,28.86
2022-02-25,4506861.35,1.016,1.167,0.973,1.14,-0.08,44.16
2022-02-26,2678431.62,1.142,1.205,1.094,1.101,-0.07,44.11
2022-02-27,2897648.67,1.102,1.138,1.021,1.035,-0.08,43.38
2022-02-28,6452056.48,1.036,1.283,1.021,1.209,-0.06,51.1
2022-03-01,10247858.36,1.211,1.247,1.055,1.143,-0.05,40.12
2022-03-02,4034709.18,1.143,1.192,1.076,1.137,-0.05,42.4
2022-03-03,2530322.18,1.136,1.172,1.04,1.08,-0.05,44.09
2022-03-04,4417766.58,1.079,1.148,1.023,1.072,-0.05,45.12
2022-03-05,1146253.38,1.073,1.096,1.038,1.077,-0.05,45.37
2022-03-06,1264481.57,1.077,1.085,1.02,1.042,-0.05,51.99
2022-03-07,2119617.06,1.043,1.091,0.969,0.993,-0.06,50.39
2022-03-08,2222346.94,0.993,1.025,0.968,0.978,-0.06,43.04
2022-03-09,4162272.89,0.98,1.104,0.975,1.013,-0.06,48.42
2022-03-10,2308948.79,1.015,1.029,0.953,0.978,-0.06,47.34
2022-03-11,4348103.43,0.977,1.02,0.887,0.9,-0.07,32.04
2022-03-12,1709647.37,0.899,0.94,0.897,0.918,-0.07,35.86
2022-03-13,1909957.66,0.919,0.93,0.827,0.836,-0.08,34.99
2022-03-14,3644868.55,0.836,0.88,0.798,0.841,-0.08,12.75
2022-03-15,2783975.45,0.84,0.874,0.797,0.836,-0.09,14.55
2022-03-16,3518914.85,0.836,0.911,0.82,0.91,-0.08,27.35
2022-03-17,18875250.11,0.911,1.089,0.899,0.992,-0.07,41.63
2022-03-18,4856025.19,0.993,1.026,0.925,1.011,-0.06,44.32
2022-03-19,3088775.15,1.011,1.086,1.003,1.038,-0.05,46.51
2022-03-20,1647536.53,1.037,1.037,0.968,0.98,-0.05,44.67
2022-03-21,1983766.74,0.98,1.049,0.954,1.019,-0.04,52.27
2022-03-22,2189627.38,1.017,1.075,0.997,0.999,-0.03,51.82
2022-03-23,2356990.8,0.999,1.024,0.972,1.0,-0.03,48.8
2022-03-24,2063852.33,1.0,1.025,0.973,1.018,-0.03,53.8
2022-03-25,2805867.4,1.018,1.028,0.95,0.957,-0.03,55.6
2022-03-26,1655893.26,0.957,0.987,0.95,0.982,-0.02,56.2
2022-03-27,2553831.82,0.983,1.0,0.951,1.0,-0.02,68.14
2022-03-28,14045734.66,0.999,1.248,0.995,1.097,-0.01,73.53
2022-03-29,5581096.14,1.095,1.2,1.084,1.118,-0.0,75.18
2022-03-30,7232709.46,1.118,1.385,1.063,1.267,0.02,78.11
2022-03-31,8754033.3,1.268,1.438,1.188,1.212,0.03,68.09
2022-04-01,4051835.4,1.213,1.285,1.095,1.258,0.04,69.45
2022-04-02,3519772.55,1.257,1.397,1.253,1.275,0.05,68.96
2022-04-03,2736477.55,1.275,1.408,1.249,1.387,0.07,79.97
2022-04-04,2975345.1,1.384,1.397,1.262,1.366,0.08,76.25
2022-04-05,5972896.85,1.368,1.6,1.366,1.411,0.09,80.03
2022-04-06,3667024.2,1.408,1.42,1.228,1.231,0.08,63.35
2022-04-07,3897380.42,1.233,1.405,1.176,1.38,0.09,68.17
2022-04-08,7754854.89,1.38,1.516,1.27,1.281,0.08,65.67
2022-04-09,1984694.88,1.28,1.369,1.26,1.36,0.08,67.37
2022-04-10,1580420.77,1.36,1.4,1.305,1.308,0.08,63.73
2022-04-11,2857770.51,1.308,1.313,1.11,1.146,0.06,52.06
2022-04-12,2438534.7,1.146,1.265,1.135,1.191,0.05,53.01
2022-04-13,1867107.06,1.192,1.277,1.191,1.265,0.05,49.91
2022-04-14,1391138.27,1.266,1.288,1.184,1.201,0.04,49.52
2022-04-15,782886.2,1.2,1.215,1.164,1.186,0.04,46.77
2022-04-16,1068895.41,1.188,1.188,1.142,1.154,0.03,44.64
2022-04-17,1186164.37,1.153,1.168,1.112,1.119,0.02,37.26
2022-04-18,2409771.97,1.118,1.162,1.02,1.149,0.01,39.77
2022-04-19,2682957.51,1.147,1.27,1.141,1.256,0.01,43.1
2022-04-20,1536464.52,1.257,1.261,1.182,1.221,0.01,49.49
2022-04-21,1497211.42,1.221,1.25,1.137,1.174,0.01,38.24
2022-04-22,1059580.31,1.173,1.2,1.117,1.122,0.0,40.41
2022-04-23,1939488.28,1.12,1.138,1.057,1.065,-0.01,31.72
2022-04-24,791690.99,1.064,1.079,1.033,1.049,-0.02,33.2
2022-04-25,2451597.81,1.051,1.108,0.968,1.107,-0.02,47.08
2022-04-26,2158124.3,1.107,1.122,0.968,1.019,-0.03,37.89
2022-04-27,1741173.46,1.019,1.079,1.009,1.034,-0.03,32.26
2022-04-28,3743369.66,1.035,1.037,0.95,0.978,-0.04,32.66
2022-04-29,1858769.99,0.977,0.984,0.881,0.893,-0.05,29.45
2022-04-30,1758978.95,0.893,0.916,0.789,0.813,-0.07,27.6
2022-05-01,1890722.83,0.813,0.883,0.8,0.845,-0.08,31.93
2022-05-02,3725812.25,0.843,0.952,0.822,0.9,-0.08,34.1
2022-05-03,2598920.9,0.9,0.93,0.861,0.892,-0.08,23.39
2022-05-04,1689554.7,0.89,1.026,0.889,1.005,-0.07,35.83
2022-05-05,2587982.31,1.005,1.04,0.839,0.872,-0.08,32.19
2022-05-06,1818106.96,0.873,0.873,0.801,0.823,-0.08,32.31
2022-05-07,1384921.21,0.823,0.859,0.77,0.79,-0.09,33.25
2022-05-08,2066991.56,0.789,0.824,0.75,0.796,-0.09,34.4
2022-05-09,4384975.49,0.797,0.825,0.601,0.602,-0.11,23.34
2022-05-10,3692680.11,0.603,0.694,0.569,0.59,-0.12,25.37
2022-05-11,10457499.85,0.59,0.603,0.315,0.356,-0.15,18.9
2022-05-12,7534051.53,0.356,0.418,0.29,0.407,-0.16,23.69
2022-05-13,13471296.29,0.406,0.56,0.396,0.462,-0.17,29.57
2022-05-14,14321772.29,0.464,0.557,0.417,0.487,-0.17,33.7
2022-05-15,2067643.87,0.487,0.535,0.463,0.517,-0.17,33.57
2022-05-16,3228434.39,0.517,0.543,0.46,0.47,-0.16,28.28
2022-05-17,1384172.62,0.469,0.52,0.468,0.499,-0.16,30.56
2022-05-18,1821908.08,0.5,0.513,0.421,0.423,-0.16,20.12
2022-05-19,3215654.8,0.423,0.445,0.394,0.427,-0.16,23.67
2022-05-20,5779229.04,0.426,0.436,0.38,0.382,-0.16,23.78
2022-05-21,2368422.09,0.382,0.406,0.375,0.388,-0.16,25.31
2022-05-22,3179958.9,0.389,0.44,0.384,0.428,-0.15,28.3
